Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
486  Points		495  Points		317  Points		169  Points		153  Points		425  Points		426  Points		202  Points		153  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00511425	6.45929	0.000242692	0.150596	0.279509	2415.45	0.33231	809.442	0.559017	59334	0.139811	234.101	0.139754	3874.26	0.419288	505.041	0.664601	2242.66
0.0111315	6.45878	0.00060182	0.236635	0.279533	266.88	0.332406	247.65	0.559043	594.021	0.140124	91.6489	0.139902	144.562	0.419375	238.024	0.664614	541.199
0.0171467	6.45787	0.00111661	0.321332	0.279596	141.274	0.332603	146.268	0.55912	298.546	0.140709	57.1844	0.140324	73.8757	0.419524	155.749	0.664643	307.743
0.0231587	6.45655	0.00178139	0.404253	0.279697	96.0893	0.332902	103.849	0.559249	199.411	0.141561	41.73	0.141016	49.8086	0.419736	115.78	0.664689	215.01
0.0291665	6.45484	0.00258909	0.485	0.279837	72.8268	0.333302	80.5599	0.559429	149.732	0.142674	32.9957	0.141973	37.7301	0.420011	92.1685	0.664751	165.232
0.0351688	6.45271	0.00353166	0.563262	0.280015	58.6518	0.333804	65.8519	0.55966	119.895	0.144039	27.4063	0.143187	30.5007	0.420347	76.5843	0.664829	134.178
0.0411646	6.45018	0.00460041	0.638794	0.280231	49.1126	0.334408	55.7281	0.559942	99.9969	0.145647	23.5394	0.14465	25.7099	0.420745	65.5328	0.664925	112.957
0.0471526	6.44722	0.005786	0.711386	0.280485	42.2572	0.335113	48.3401	0.560274	85.7831	0.147488	20.7173	0.146352	22.3168	0.421205	57.2906	0.665039	97.5386
0.0531313	6.44381	0.007079	0.780907	0.280777	37.0943	0.33592	42.7156	0.560658	75.1252	0.14955	18.5759	0.148283	19.7984	0.421726	50.9099	0.66517	85.8295
0.0590997	6.43996	0.00847002	0.847274	0.281107	33.0676	0.336828	38.2942	0.561092	66.839	0.151822	16.902	0.150429	17.8629	0.422307	45.826	0.665321	76.6357
0.0650561	6.43564	0.00994995	0.910459	0.281474	29.8403	0.337838	34.7302	0.561576	60.2138	0.154291	15.5627	0.152781	16.3349	0.422949	41.6816	0.66549	69.226
0.070999	6.43083	0.01151	0.97047	0.281879	27.1969	0.338948	31.7987	0.562111	54.797	0.156946	14.4706	0.155325	15.1025	0.423651	38.2396	0.66568	63.1276
0.076927	6.42552	0.0131417	1.02735	0.282321	24.9929	0.340159	29.3471	0.562696	50.2866	0.159775	13.5661	0.158051	14.091	0.424412	35.3366	0.66589	58.0211
0.0828383	6.41968	0.0148374	1.08116	0.282802	23.1278	0.34147	27.2683	0.56333	46.4738	0.162767	12.807	0.160946	13.2487	0.425232	32.8561	0.666121	53.6832
0.0887311	6.41329	0.01659	1.13201	0.28332	21.5298	0.34288	25.4849	0.564014	43.209	0.165911	12.1627	0.164	12.5384	0.42611	30.713	0.666375	49.9528
0.0946033	6.40631	0.0183928	1.18001	0.283878	20.1458	0.34439	23.9393	0.564747	40.3828	0.169197	11.6106	0.167201	11.9332	0.427046	28.8435	0.666651	46.7112
0.100453	6.39872	0.0202399	1.22527	0.284475	18.9361	0.345998	22.5882	0.56553	37.9129	0.172614	11.1333	0.170541	11.4126	0.428039	27.199	0.666951	43.8684
0.106278	6.39049	0.0221257	1.26792	0.285112	17.8703	0.347704	21.398	0.566361	35.7365	0.176155	10.7176	0.174008	10.9612	0.429088	25.7417	0.667275	41.3553
0.112075	6.38156	0.0240456	1.3081	0.285792	16.9245	0.349506	20.3425	0.56724	33.8047	0.179809	10.353	0.177595	10.567	0.430193	24.4418	0.667624	39.1182
0.117842	6.3719	0.0259951	1.34594	0.286514	16.0801	0.351403	19.4009	0.568168	32.0788	0.183568	10.0314	0.181292	10.2204	0.431353	23.2756	0.668	37.1141
0.123576	6.36147	0.0279704	1.38157	0.287282	15.322	0.353395	18.5564	0.569143	30.528	0.187426	9.74598	0.185091	9.91384	0.432566	22.2238	0.668401	35.3087
