Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3		Asym4	
484  Points		494  Points		484  Points		303  Points		159  Points		145  Points		421  Points		186  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00240364	6.82677	0.000401507	0.484496	0.00187795	6.82689	0.279535	0.0868819	0.333245	0.0712798	0.559025	0.0652317	0.139788	0.316572	0.419285	0.100271	0.666492	0.0197227
0.00876411	6.82593	0.00085291	0.57088	0.00823853	6.82606	0.279616	0.115732	0.333312	0.125874	0.559086	0.0967172	0.140083	0.478713	0.419379	0.139126	0.666511	0.0281059
0.015123	6.82357	0.00146528	0.739798	0.0145976	6.8238	0.279751	0.173206	0.33348	0.235164	0.559206	0.15968	0.14068	0.800268	0.419545	0.216802	0.666545	0.0449792
0.0214791	6.81987	0.00223144	0.900243	0.0209539	6.82023	0.279939	0.230073	0.33375	0.344761	0.559384	0.222543	0.141574	1.11511	0.419783	0.294298	0.666594	0.062173
0.0278311	6.81489	0.00314278	1.05084	0.0273063	6.81535	0.28018	0.286166	0.334122	0.454823	0.55962	0.285282	0.142758	1.4209	0.420093	0.371505	0.66666	0.0797881
0.0341779	6.80852	0.00418957	1.19077	0.0336536	6.80911	0.280472	0.341368	0.334598	0.565377	0.559915	0.347918	0.144222	1.71573	0.420475	0.44843	0.666743	0.097953
0.040518	6.80076	0.00536165	1.31959	0.0399944	6.80147	0.280816	0.395523	0.335176	0.676476	0.560269	0.410421	0.145955	1.99812	0.420929	0.524935	0.666843	0.116778
0.0468503	6.79154	0.00664848	1.43711	0.0455136	6.79371	0.281209	0.448536	0.335858	0.788223	0.56068	0.472731	0.147945	2.26694	0.421453	0.601042	0.666961	0.136263
0.0531733	6.78078	0.00803955	1.54348	0.0502132	6.78612	0.281652	0.500434	0.336645	0.900683	0.56115	0.534804	0.150179	2.52143	0.422049	0.676644	0.667097	0.156558
0.0594856	6.76843	0.00952459	1.6391	0.0540951	6.77927	0.282142	0.551276	0.337536	1.01384	0.561677	0.59662	0.152643	2.76131	0.422714	0.751602	0.667252	0.177737
0.0657855	6.75435	0.0110938	1.72451	0.0571618	6.7734	0.282679	0.601033	0.338534	1.12764	0.562261	0.658215	0.155324	2.98655	0.423449	0.826007	0.667428	0.199808
