Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		481  Points		493  Points		481  Points		280  Points		143  Points		413  Points		163  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.330246	3.72381	0.331735	3.72381	0.00221896	7.5421	0.000237818	0.161064	0.00200141	7.54221	0.27953	422.411	0.335232	788.213	0.139813	265.705	0.419288	618.055
0.0343535	1.56306	0.0347834	1.56306	0.0092455	7.54178	0.000629218	0.261278	0.00902797	7.5418	0.279635	175.491	0.335329	247.111	0.140205	96.1695	0.419402	260.483
0.214199	7.1027	0.215632	7.1027	0.0162703	7.54091	0.00120074	0.35951	0.0160528	7.54094	0.279826	110.816	0.335529	146.603	0.14096	58.9894	0.41961	165.085
0.582233	7.72644	0.583167	7.72644	0.0232918	7.53951	0.00194403	0.455102	0.0230744	7.53957	0.280102	81.0283	0.335832	104.283	0.142072	42.7764	0.419911	120.89
0.86406	8.20407	0.861876	8.20407	0.0303087	7.53763	0.00284892	0.547519	0.0300915	7.53769	0.280461	63.9076	0.336239	80.9806	0.14353	33.7482	0.420304	95.4114
0.423083	7.45671	0.422851	7.45671	0.0373196	7.53522	0.00390383	0.636319	0.0371026	7.5353	0.280901	52.7986	0.336751	66.2402	0.145321	28.029	0.42079	78.8458
0.744698	8.00178	0.745731	8.00178	0.0443228	7.53229	0.00509623	0.72116	0.0441061	7.53239	0.28142	45.0133	0.33737	56.0837	0.14743	24.1042	0.421368	67.2191
0.857429	8.19283			0.0513169	7.52881	0.00641335	0.801828	0.0511005	7.52892	0.282015	39.258	0.338098	48.6671	0.149839	21.2597	0.422037	58.614
				0.0583002	7.52478	0.00784233	0.878191	0.0580842	7.52491	0.282683	34.8333	0.338938	43.0186	0.152533	19.115	0.422796	51.9919
				0.0652709	7.52015	0.00937085	0.950217	0.0650553	7.52031	0.283421	31.3275	0.339891	38.5777	0.155492	17.4486	0.423645	46.7411
				0.0722272	7.51493	0.0109872	1.01795	0.072012	7.5151	0.284225	28.4831	0.340961	34.9981	0.158699	16.1228	0.424583	42.478
				0.079167	7.50906	0.0126804	1.08147	0.0789524	7.50926	0.285092	26.1303	0.342149	32.0545	0.162137	15.0478	0.425608	38.95
				0.0860881	7.50252	0.0144406	1.14093	0.085874	7.50273	0.286019	24.1528	0.343457	29.594	0.165789	14.1621	0.426721	35.9837
				0.0929882	7.49527	0.0162585	1.19648	0.0927749	7.49551	0.287003	22.4682	0.34489	27.509	0.169639	13.4227	0.427919	33.4562
				0.0998647	7.48727	0.0181262	1.24834	0.0996522	7.48753	0.288042	21.0165	0.346448	25.7218	0.173671	12.7982	0.429202	31.2781
				0.106715	7.47845	0.0200365	1.2967	0.106503	7.47874	0.289131	19.7532	0.348133	24.1747	0.177872	12.2656	0.430568	29.3827
				0.113535	7.46878	0.021983	1.34176	0.113325	7.46909	0.290271	18.6443	0.349948	22.824	0.182227	11.8074	0.432017	27.7191
				0.120323	7.45818	0.0239602	1.38376	0.120113	7.45853	0.29146	17.6636	0.351893	21.6362	0.186725	11.41	0.433546	26.2481
				0.127074	7.44659	0.0259634	1.42288	0.126865	7.44696	0.292698	16.7906	0.35397	20.5847	0.191355	11.0631	0.435154	24.9388
				0.133784	7.43392	0.0279882	1.45934	0.133577	7.43433	0.293984	16.0088	0.356179	19.6485	0.196104	10.7582	0.43684	23.7664
				0.140448	7.42008	0.0297677	1.48908	0.140242	7.42052	0.295321	15.3051	0.358519	18.8108	0.200964	10.4887	0.438603	22.7111
				0.147061	7.40497	0.0312939	1.51304	0.146857	7.40546	0.296711	14.6688	0.360991	18.0578	0.205925	10.2492	0.44044	21.7566
				0.153618	7.38849	0.0325617	1.53195	0.153416	7.38902	0.298157	14.0913	0.363594	17.3781	0.210979	10.0354	0.44235	20.8895
				0.160111	7.37051	0.0335673	1.54634	0.159911	7.37109	0.299665	13.5652	0.366326	16.7622	0.216118	9.84359	0.444332	20.0988
				0.166533	7.35088	0.0343084	1.55661	0.166336	7.35151	0.30124	13.0846	0.369186	16.2023	0.221334	9.67077	0.446383	19.375
				0.172877	7.32946	0.0347834	1.56306	0.172682	7.33015	0.30289	12.6446	0.37217	15.6917	0.22662	9.51444	0.448503	18.7104
				0.179133	7.30608	0.0354669	1.57215	0.17894	7.30684	0.304622	12.2408	0.375278	15.2247	0.231971	9.37246	0.450689	18.0982
