Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
479  Points		492  Points		480  Points		270  Points		136  Points		409  Points		154  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00643564	7.89057	0.000615152	0.62339	0.00106249	7.89178	0.27952	0.107467	0.336297	0.151361	0.139867	0.537273	0.419266	0.0822421
0.0137872	7.88911	0.00119596	0.719554	0.00841521	7.89088	0.27962	0.162771	0.336438	0.206617	0.140368	0.74936	0.419342	0.138165
0.0211361	7.88532	0.00195596	0.905727	0.0157663	7.88825	0.279823	0.272727	0.336682	0.317674	0.141263	1.16853	0.419523	0.249905
0.0284807	7.87987	0.00288368	1.07885	0.0231141	7.88402	0.280128	0.380872	0.33703	0.430143	0.142545	1.57577	0.419808	0.361396
0.0358194	7.87277	0.00396629	1.23775	0.0304573	7.87813	0.280533	0.486566	0.337483	0.544633	0.1442	1.96772	0.420196	0.472465
0.0431507	7.86391	0.0051901	1.38175	0.0377941	7.87053	0.281035	0.589263	0.338044	0.661551	0.146212	2.34174	0.420688	0.582981
0.0504729	7.85317	0.00654103	1.51074	0.0451231	7.86118	0.281631	0.688308	0.338716	0.781277	0.148563	2.69597	0.421283	0.692832
0.0577842	7.84045	0.00800519	1.62508	0.0524426	7.84996	0.282317	0.7832	0.3395	0.904201	0.151235	3.02922	0.421979	0.801938
0.0650828	7.82573	0.00956918	1.72551	0.0597507	7.83674	0.28309	0.873595	0.340401	1.03059	0.154208	3.34091	0.422777	0.910141
0.0723666	7.80872	0.0112205	1.813	0.0670455	7.82136	0.283945	0.95917	0.341421	1.16069	0.157461	3.63113	0.423675	1.01727
0.0796335	7.78929	0.0129475	1.88867	0.0743249	7.80371	0.284878	1.03972	0.342564	1.29462	0.160974	3.90028	0.424673	1.12335
0.0868811	7.76727	0.0147398	1.95366	0.0815868	7.78364	0.285883	1.1152	0.343833	1.43239	0.164728	4.14913	0.425768	1.2282
0.0941069	7.74234	0.0165879	2.00914	0.0888289	7.76085	0.286956	1.18573	0.345233	1.57399	0.168705	4.37863	0.426961	1.33164
0.101308	7.71432	0.0184836	2.05623	0.0960483	7.73514	0.288092	1.25158	0.346766	1.71919	0.172887	4.58983	0.42825	1.43371
0.108482	7.68281	0.0204195	2.09592	0.103242	7.70619	0.289288	1.3132	0.348436	1.86771	0.177258	4.78388	0.429633	1.53428
0.115624	7.64739	0.0223891	2.1293	0.110408	7.67365	0.290539	1.37123	0.350246	2.01916	0.181802	4.96198	0.431109	1.63318
0.122732	7.60777	0.0243872	2.15726	0.117541	7.63719	0.291843	1.42637	0.352199	2.17302	0.186504	5.12526	0.432676	1.7304
0.1298	7.56331	0.026409	2.1805	0.124639	7.59629	0.293197	1.47966	0.354295	2.32875	0.191352	5.2748	0.434333	1.82591
0.136825	7.5135	0.0281868	2.19748	0.131696	7.55044	0.2946	1.53225	0.356538	2.48566	0.196333	5.41165	0.436079	1.91951
0.143801	7.45768	0.0297123	2.2099	0.138708	7.4991	0.296052	1.5853	0.358927	2.64305	0.201436	5.53673	0.43791	2.01121
0.150722	7.39505	0.0309798	2.21881	0.14567	7.44153	0.297554	1.64027	0.361463	2.80029	0.20665	5.65104	0.439826	2.10099
0.157581	7.32485	0.0319854	2.22511	0.152575	7.37694	0.299109	1.69865	0.364145	2.9567	0.211966	5.75529	0.441825	2.18872
0.164371	7.24606	0.0327265	2.22927	0.159416	7.30452	0.300719	1.76202	0.366973	3.11155	0.217375	5.85027	0.443905	2.27438
0.171083	7.15762	0.0332015	2.23175	0.166186	7.22325	0.302392	1.83207	0.369943	3.26428	0.222868	5.93667	0.446063	2.35796
0.177708	7.05838	0.0338853	2.23524	0.172876	7.13198	0.304133	1.91056	0.373055	3.41431	0.228437	6.01511	0.448298	2.43942
0.184236	6.94704	0.0346297	2.23873	0.179476	7.02964	0.305952	1.99929	0.376306	3.56117	0.234076	6.08617	0.450609	2.5187
0.190653	6.8223	0.0356438	2.24297	0.185975	6.91483	0.307859	2.09998	0.379691	3.70451	0.239778	6.15029	0.452992	2.59581
0.196948	6.68276	0.0369289	2.24767	0.192361	6.78622	0.309865	2.21444	0.383208	3.84397	0.245536	6.20799	0.455446	2.67071
0.203106	6.52715	0.0384864	2.25252	0.19862	6.6425	0.311985	2.34432	0.386854	3.97926	0.251346	6.25959	0.457968	2.74339
