Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
478  Points		491  Points		478  Points		260  Points		406  Points		146  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00177317	8.2387	0.000651158	0.277653	0.00417087	8.23859	0.279517	802.674	0.139884	194.611	0.419265	2476.23
0.00944861	8.23826	0.00125972	0.384421	0.0118459	8.23799	0.279623	218.468	0.140437	85.0887	0.419344	380.872
0.0171221	8.23728	0.00205347	0.487922	0.0195185	8.23686	0.27985	126.536	0.141419	54.7674	0.419538	206.394
0.0247921	8.23573	0.00301961	0.587437	0.027187	8.23513	0.280195	89.14	0.142818	40.6442	0.419848	141.63
0.0324569	8.23361	0.00414392	0.682464	0.0348499	8.23282	0.280658	68.8729	0.14462	32.5314	0.420272	107.87
0.0401148	8.23088	0.00541127	0.77263	0.0425053	8.2299	0.281234	56.1714	0.146807	27.3014	0.420811	87.1644
0.0477642	8.22755	0.00680637	0.857723	0.0501515	8.22637	0.281919	47.4739	0.149358	23.674	0.421464	73.1774
0.0554029	8.22357	0.00831422	0.937649	0.0577867	8.2222	0.28271	41.1508	0.152252	21.0273	0.42223	63.1025
0.0630294	8.21895	0.00992063	1.01243	0.0654088	8.21737	0.2836	36.3506	0.155465	19.0233	0.423108	55.505
0.0706412	8.21364	0.0116123	1.08218	0.0730156	8.21183	0.284585	32.5855	0.158976	17.4621	0.424097	49.5755
0.0782364	8.20761	0.0133772	1.14706	0.080605	8.20557	0.285657	29.5553	0.162762	16.2183	0.425195	44.8222
0.0858121	8.2008	0.0152046	1.2073	0.0881743	8.19852	0.286812	27.0657	0.166802	15.2089	0.426402	40.9295
0.093366	8.19319	0.0170847	1.26314	0.0957207	8.19064	0.288043	24.9851	0.171075	14.3771	0.427716	37.6854
0.100895	8.18471	0.0190094	1.31487	0.103241	8.18188	0.289343	23.2212	0.175563	13.6829	0.429136	34.9421
0.108396	8.1753	0.0209712	1.36275	0.110733	8.17216	0.290707	21.7076	0.180247	13.0969	0.43066	32.5935
0.115865	8.16489	0.022964	1.40705	0.118191	8.16142	0.292129	20.3949	0.18511	12.5975	0.432285	30.5616
0.123298	8.1534	0.0249824	1.44806	0.125612	8.14957	0.293606	19.2461	0.190137	12.1681	0.434011	28.7874
0.130692	8.14073	0.0267585	1.4813	0.132992	8.13651	0.295134	18.2327	0.195314	11.796	0.435836	27.2259
0.138039	8.12677	0.0282833	1.50793	0.140324	8.12214	0.29671	17.3325	0.200627	11.4714	0.437756	25.8418
0.145336	8.11142	0.0295505	1.52884	0.147604	8.10632	0.298335	16.5278	0.206065	11.1864	0.439772	24.6074
0.152575	8.09453	0.030556	1.5447	0.154823	8.08891	0.300008	15.8048	0.211616	10.9347	0.441879	23.5002
0.159749	8.07594	0.0312972	1.55599	0.161975	8.06976	0.301734	15.152	0.21727	10.7112	0.444076	22.5021
0.16685	8.05549	0.0317723	1.56306	0.169051	8.04869	0.303515	14.5602	0.223018	10.5117	0.446361	21.5982
0.173867	8.03298	0.0324561	1.57302	0.176041	8.02549	0.30536	14.022	0.22885	10.3329	0.448732	20.7763
0.180792	8.00818	0.0332007	1.58357	0.182934	7.99993	0.307276	13.5311	0.234759	10.1718	0.451186	20.026
0.187611	7.98087	0.0342151	1.59747	0.189717	7.97177	0.309274	13.0823	0.240737	10.026	0.45372	19.3388
0.194311	7.95076	0.0355007	1.61435	0.196377	7.94074	0.311369	12.6715	0.246777	9.89369	0.456333	18.7072
0.200877	7.91758	0.0370588	1.63378	0.202898	7.90653	0.313573	12.2951	0.252873	9.77302	0.459022	18.1252
0.207292	7.88101	0.0388905	1.65529	0.209262	7.86884	0.315906	11.95	0.259018	9.66259	0.461784	17.5872
0.213537	7.84073	0.0409967	1.67838	0.215451	7.82734	0.318385	11.6337	0.265207	9.56115	0.464618	17.0888
0.219595	7.79644	0.0431063	1.6999	0.221446	7.78173	0.321031	11.3442	0.271434	9.46765	0.467521	16.6258
0.225444	7.74782	0.0452184	1.72	0.227226	7.7317	0.323865	11.0796	0.277694	9.38114	0.47049	16.1948
0.231065	7.69461	0.0473321	1.73878	0.232771	7.67701	0.326907	10.8382	0.283983	9.30085	0.473523	15.7927
0.236438	7.6366	0.0494471	1.75636	0.238063	7.61747	0.330179	10.6187	0.290295	9.22606	0.476617	15.4169
0.241546	7.57366	0.0515625	1.77283	0.243085	7.55299	0.333699	10.4197	0.296627	9.15616	0.479772	15.0649
0.246374	7.50579	0.0536782	1.78829	0.247823	7.48359	0.33748	10.2398	0.302973	9.09061	0.482984	14.7347
0.250913	7.43309	0.0557938	1.80281	0.251716	7.41922	0.341534	10.078	0.309329	9.02893	0.486251	14.4244
0.255158	7.35582	0.057909	1.81647	0.254857	7.36164	0.345866	9.93269	0.315692	8.97069	0.489571	14.1323
0.25911	7.27436	0.0600237	1.82934	0.257332	7.31225	0.350474	9.80274	0.322057	8.91552	0.492942	13.8569
0.262775	7.18921	0.0621376	1.84148	0.259211	7.27214	0.355352	9.68675	0.32842	8.86307	0.496364	13.597
0.266165	7.10095	0.0642507	1.85294	0.26055	7.24209	0.360489	9.58338	0.334777	8.81304	0.499832	13.3513
0.269295	7.0102	0.0663629	1.86377	0.261388	7.22262	0.365869	9.49133	0.341124	8.76514	0.503348	13.1187
0.272183	6.91761	0.0684741	1.87403	0.262567	7.19433	0.371474	9.40932	0.347457	8.71914	0.506908	12.8983
0.27485	6.82382	0.0705842	1.88375	0.263814	7.1632	0.377285	9.33617	0.353772	8.67479	0.510512	12.6891
0.277317	6.72939	0.0726934	1.89297	0.265455	7.12026	0.38328	9.27078	0.360065	8.63188	0.514158	12.4905
0.279603	6.63487	0.0748015	1.90173	0.267441	7.06508	0.389439	9.21215	0.366331	8.59023	0.517847	12.3017
0.281729	6.5407	0.0769086	1.91005	0.269716	6.99725	0.395743	9.15941	0.372566	8.54965	0.521577	12.122
