Sym0		Asym0		Sym1		Sym2		Asym1	
472  Points		490  Points		473  Points		206  Points		390  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00798174	9.55293	0.000717081	0.313342	0.00432586	9.5531	0.279607	306.167	0.139821	313.814
0.0168803	9.55187	0.00140328	0.435775	0.0132255	9.55241	0.279909	151.717	0.140387	101.933
0.0257747	9.55002	0.00229741	0.553341	0.0221219	9.55088	0.280414	100.99	0.141525	61.2944
0.0346629	9.5474	0.00338125	0.665132	0.0310129	9.54858	0.281118	75.8071	0.143218	44.1944
0.0435425	9.54397	0.0046349	0.770523	0.0398963	9.54548	0.282016	60.779	0.145443	34.859
0.0524111	9.5397	0.00603764	0.869105	0.0487697	9.54155	0.283103	50.8106	0.148173	29.0306
0.0612662	9.53455	0.00756946	0.960754	0.0576307	9.53678	0.284371	43.7264	0.151376	25.08
0.070105	9.52851	0.00921134	1.04551	0.0664765	9.53111	0.285812	38.4409	0.155019	22.2491
0.0789247	9.52152	0.010946	1.12359	0.0753044	9.52451	0.287417	34.3521	0.159067	20.1373
0.087722	9.51351	0.012758	1.19527	0.0841114	9.51693	0.289176	31.0992	0.163487	18.5133
0.0964936	9.50443	0.0146338	1.26094	0.0928939	9.5083	0.291077	28.4528	0.168247	17.234
0.105235	9.49419	0.0165618	1.32102	0.101648	9.49854	0.293109	26.2598	0.173315	16.2065
0.113943	9.4827	0.0185321	1.37592	0.110371	9.48758	0.295259	24.4145	0.178663	15.3677
0.122612	9.46986	0.0205364	1.42609	0.119056	9.47531	0.297516	22.8414	0.184265	14.6736
0.131236	9.45555	0.0223055	1.46627	0.127699	9.46161	0.299866	21.485	0.190095	14.0923
0.13981	9.43961	0.023827	1.49812	0.136294	9.44636	0.302298	20.3039	0.196131	13.6004
0.148326	9.4219	0.0250929	1.52291	0.144835	9.4294	0.304803	19.2665	0.202353	13.1803
0.156776	9.40222	0.0260981	1.54158	0.153313	9.41055	0.307371	18.3482	0.208742	12.8185
0.165151	9.38036	0.0268394	1.55481	0.161721	9.38962	0.309995	17.5299	0.215281	12.5047
0.17344	9.35607	0.0273147	1.56306	0.170046	9.36636	0.312674	16.7965	0.221956	12.2305
0.181632	9.32907	0.027999	1.57464	0.17828	9.34051	0.315405	16.1356	0.228751	11.9894
0.189711	9.29903	0.0287442	1.58685	0.186407	9.31176	0.318195	15.5377	0.235654	11.7762
0.197661	9.2656	0.0297597	1.60287	0.194412	9.27977	0.32105	14.9949	0.242655	11.5865
0.205465	9.22837	0.0310469	1.62219	0.202279	9.24415	0.323983	14.5009	0.249741	11.417
0.213101	9.1869	0.0326072	1.64426	0.209986	9.20448	0.327013	14.0506	0.256903	11.2646
0.220546	9.1407	0.0344416	1.66845	0.217513	9.16028	0.33016	13.6398	0.264133	11.127
0.227774	9.08928	0.0365507	1.69416	0.224833	9.11106	0.333452	13.2652	0.271421	11.0022
0.234756	9.03212	0.0386629	1.71787	0.23192	9.05632	0.336916	12.924	0.278761	10.8885
0.241466	8.96875	0.0407772	1.73979	0.238745	8.99556	0.340584	12.6139	0.286144	10.7845
0.247872	8.89877	0.0428926	1.76008	0.245279	8.92834	0.344489	12.333	0.293565	10.6888
0.25395	8.82188	0.0450086	1.7789	0.251495	8.85431	0.34866	12.0794	0.301016	10.6005
0.259675	8.73794	0.0471247	1.79639	0.257367	8.77327	0.353124	11.8515	0.308491	10.5186
0.265029	8.64702	0.0492405	1.81266	0.262875	8.6852	0.357902	11.6476	0.315984	10.4424
0.270004	8.54945	0.0513556	1.82783	0.268007	8.5903	0.363007	11.4661	0.32349	10.3711
0.274598	8.44574	0.0534699	1.842	0.272757	8.48904	0.368443	11.3051	0.331004	10.3042
0.278818	8.33666	0.0555833	1.85526	0.277129	8.38206	0.374204	11.1628	0.338518	10.2411
0.282681	8.22308	0.0576956	1.86768	0.281136	8.27022	0.380279	11.0372	0.346029	10.1813
0.286208	8.10598	0.0598068	1.87934	0.284798	8.15444	0.386646	10.9265	0.35353	10.1245
0.289426	7.98637	0.0619169	1.89031	0.28814	8.03575	0.393282	10.8289	0.361016	10.0702
0.292362	7.8652	0.0640257	1.90063	0.290812	7.93069	0.40016	10.7427	0.368482	10.0181
0.295047	7.74334	0.0661334	1.91036	0.292928	7.84043	0.407254	10.6664	0.375922	9.96787
0.297508	7.62158	0.0682399	1.91955	0.294575	7.76556	0.414536	10.5985	0.38333	9.91926
