Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		491  Points		474  Points		213  Points		392  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00808678	9.28472	0.000467796	0.614054	0.00292069	9.28614	0.279518	0.167109	0.139755	0.317288
0.0167373	9.28275	0.00103991	0.726984	0.0115725	9.28478	0.279674	0.268316	0.14005	0.610089
0.0253842	9.2777	0.00182245	0.94434	0.0202219	9.28099	0.280018	0.469542	0.140891	1.18952
0.0340253	9.27046	0.00279958	1.1435	0.0288666	9.27502	0.280549	0.667724	0.142267	1.75307
0.0426586	9.26095	0.00395325	1.32262	0.0375048	9.26689	0.281262	0.861571	0.144158	2.29429
0.051282	9.24912	0.00526414	1.48097	0.0461345	9.25648	0.282154	1.04983	0.146542	2.80825
0.0598933	9.23475	0.00671287	1.61889	0.0547533	9.24365	0.283219	1.23123	0.149391	3.29137
0.06849	9.21767	0.00828076	1.7374	0.063359	9.22824	0.284449	1.40461	0.152675	3.74156
0.0770694	9.1977	0.00995034	1.83806	0.0719491	9.21002	0.285836	1.56887	0.156363	4.15818
0.0856289	9.17455	0.0117058	1.92261	0.0805209	9.18875	0.287372	1.72308	0.160423	4.54142
0.0941652	9.14788	0.0135329	1.99299	0.0890713	9.16422	0.289047	1.86632	0.164825	4.89224
0.102675	9.11731	0.0154195	2.05106	0.0975974	9.13604	0.29085	1.9979	0.16954	5.21229
0.111154	9.08239	0.0173548	2.09857	0.106095	9.10377	0.29277	2.11735	0.174538	5.5034
0.119599	9.04258	0.0193299	2.13719	0.114561	9.06698	0.294795	2.2245	0.179795	5.76759
0.128004	8.99732	0.0213373	2.16844	0.122991	9.02506	0.296915	2.31948	0.185285	6.00696
0.136364	8.94582	0.0231077	2.19065	0.131378	8.97738	0.299117	2.40281	0.190988	6.22358
0.144674	8.88722	0.0246298	2.20631	0.139719	8.92313	0.301392	2.47557	0.196882	6.41935
0.152925	8.82049	0.0258959	2.21737	0.148006	8.86135	0.30373	2.53927	0.20295	6.59615
0.16111	8.74444	0.0269012	2.225	0.156231	8.79104	0.306124	2.596	0.209173	6.75565
0.169219	8.65767	0.0276424	2.22987	0.164387	8.71085	0.308568	2.64838	0.215538	6.89939
0.177242	8.55861	0.0281176	2.23283	0.172463	8.61931	0.311059	2.69967	0.22203	7.02875
0.185167	8.4454	0.0288018	2.2369	0.180448	8.51481	0.313598	2.75353	0.228635	7.145
0.192979	8.31593	0.0295468	2.2408	0.188329	8.39533	0.31619	2.81395	0.235344	7.24933
0.200663	8.16797	0.030562	2.24552	0.196092	8.25868	0.318842	2.88527	0.242144	7.34264
0.2082	7.99897	0.0318488	2.25072	0.203718	8.10256	0.321566	2.97197	0.249026	7.42583
0.215568	7.80643	0.0334085	2.25588	0.21119	7.92437	0.32438	3.07848	0.255981	7.49971
0.222746	7.5879	0.0352423	2.26063	0.218485	7.72164	0.327303	3.20904	0.263001	7.565
0.229707	7.34128	0.0373507	2.26469	0.225578	7.49203	0.330359	3.36725	0.270077	7.62227
