Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
455  Points		539  Points		454  Points		403  Points		367  Points		277  Points		479  Points		418  Points		367  Points		278  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.279508	-0.00307439	0.00023256	0.223727	0.279507	-0.00651918	0.356671	0.0182333	0.559017	0.00727666	0.838526	0.00426873	0.139755	0.0457283	0.419265	0.0108238	0.69877	-0.0114981	0.713342	0.0187506
0.279506	-0.00555073	0.000441006	0.258756	0.279501	-0.00897266	0.356688	0.0331512	0.559024	0.0118507	0.83853	0.00655373	0.139798	0.081527	0.419275	0.0155282	0.698759	-0.017304	0.713359	0.0323249
0.279498	-0.0104163	0.000714723	0.328465	0.27949	-0.0138429	0.356733	0.0630369	0.559039	0.0210318	0.838538	0.0112115	0.139907	0.152961	0.419294	0.024954	0.698738	-0.0287893	0.713402	0.0593515
0.279486	-0.0152402	0.00105306	0.397278	0.279475	-0.0186028	0.356805	0.0928522	0.559063	0.0302388	0.838551	0.0159127	0.140083	0.22398	0.419321	0.0343573	0.698706	-0.0398946	0.71347	0.0860853
0.27947	-0.0199807	0.00145501	0.464957	0.279456	-0.0232155	0.356906	0.122527	0.559096	0.0394243	0.838568	0.0205543	0.140324	0.294385	0.419358	0.0437155	0.698663	-0.0505328	0.713562	0.11238
0.279449	-0.0245545	0.00191946	0.531469	0.279432	-0.0276802	0.357034	0.152066	0.559137	0.04864	0.838589	0.0252234	0.140631	0.363931	0.419403	0.0531303	0.698611	-0.0606033	0.713679	0.13809
0.279424	-0.0290146	0.00244534	0.596596	0.279404	-0.0319952	0.357189	0.181482	0.559186	0.0578429	0.838615	0.0298739	0.141002	0.432492	0.419457	0.0625849	0.69855	-0.0699776	0.71382	0.163142
0.279395	-0.0332474	0.00303115	0.6602	0.279372	-0.0360843	0.357372	0.210723	0.559245	0.0670201	0.838645	0.0345609	0.141437	0.499959	0.419519	0.0719726	0.698481	-0.0786188	0.713983	0.187465
0.279362	-0.0372452	0.00367555	0.722223	0.279337	-0.0399412	0.357582	0.23969	0.559311	0.0762193	0.838679	0.0392472	0.141934	0.566046	0.419591	0.081373	0.698404	-0.086453	0.714169	0.211062
0.279325	-0.0410659	0.00437694	0.782549	0.279298	-0.0435533	0.357818	0.268473	0.559387	0.0853891	0.838718	0.0438592	0.142492	0.63069	0.419671	0.0907988	0.69832	-0.0934788	0.714376	0.233793
0.279285	-0.0446058	0.00513375	0.84109	0.279256	-0.0468958	0.358082	0.296961	0.55947	0.0945735	0.838761	0.0485421	0.143109	0.693841	0.41976	0.100202	0.69823	-0.0996934	0.714605	0.255671
0.279242	-0.0478038	0.00594422	0.897821	0.27921	-0.0499186	0.358372	0.325154	0.559563	0.103787	0.838808	0.0532204	0.143785	0.755323	0.419858	0.109634	0.698134	-0.105018	0.714853	0.276723
0.279196	-0.0507573	0.00680674	0.952689	0.279163	-0.0525952	0.358688	0.353049	0.559664	0.112986	0.83886	0.0578895	0.144517	0.815079	0.419964	0.119049	0.698034	-0.109516	0.71512	0.296927
0.279148	-0.0533685	0.00771945	1.00566	0.279112	-0.0549453	0.35903	0.380566	0.559773	0.122154	0.838916	0.0625402	0.145303	0.872995	0.420079	0.128432	0.69793	-0.113237	0.715406	0.316314
0.279097	-0.0555879	0.00868068	1.05675	0.27906	-0.0569357	0.359397	0.407769	0.559891	0.131336	0.838977	0.0672274	0.146143	0.929062	0.420203	0.137821	0.697823	-0.116138	0.71571	0.334874
0.279044	-0.0574633	0.00968859	1.1059	0.279006	-0.0585726	0.359789	0.434635	0.560018	0.140544	0.839041	0.0719143	0.147035	0.983261	0.420336	0.147225	0.697714	-0.118279	0.71603	0.352658
0.27899	-0.0589435	0.0107414	1.15316	0.278951	-0.0597957	0.360207	0.461049	0.560153	0.149731	0.839111	0.0765273	0.147976	1.03556	0.420478	0.156659	0.697603	-0.119777	0.716367	0.369769
0.278934	-0.060073	0.0118374	1.19852	0.278895	-0.0606306	0.360649	0.487069	0.560297	0.158878	0.839184	0.0812123	0.148964	1.08595	0.420628	0.166078	0.697491	-0.120577	0.716719	0.386192
0.278878	-0.0607938	0.0129747	1.24207	0.278838	-0.0610552	0.361114	0.512742	0.560449	0.168089	0.839262	0.0858948	0.149999	1.13443	0.420787	0.175467	0.697378	-0.120711	0.717086	0.4019
0.278821	-0.0610635	0.0141518	1.28384	0.278781	-0.0610256	0.361604	0.537942	0.56061	0.177284	0.839344	0.0905724	0.151078	1.18108	0.420955	0.184871	0.697266	-0.120319	0.717468	0.417056
0.278764	-0.0609438	0.015367	1.3238	0.278724	-0.0606001	0.362117	0.562706	0.56078	0.186444	0.839431	0.09524	0.152053	1.22022	0.421132	0.194304	0.697154	-0.11939	0.717864	0.431621
0.278708	-0.0604113	0.0166186	1.36204	0.278668	-0.0597491	0.362652	0.58704	0.560958	0.195609	0.839522	0.0998876	0.152909	1.25245	0.421317	0.203722	0.697043	-0.117898	0.718272	0.445663
0.278652	-0.0594197	0.017905	1.39861	0.278613	-0.0584133	0.363211	0.610951	0.561144	0.204784	0.839617	0.104569	0.153633	1.27843	0.421511	0.213109	0.696934	-0.115939	0.718694	0.459246
0.278597	-0.0579492	0.0192247	1.43351	0.278559	-0.0566938	0.363791	0.634457	0.561339	0.213978	0.839716	0.109243	0.154217	1.2984	0.421714	0.222508	0.696827	-0.113633	0.719128	0.472348
0.278544	-0.0561068	0.0205762	1.46691	0.278507	-0.0545733	0.364393	0.657445	0.561543	0.223138	0.83982	0.113905	0.154651	1.31299	0.421926	0.231931	0.696722	-0.110851	0.719574	0.485004
0.278492	-0.0538136	0.0219582	1.49878	0.278458	-0.0519435	0.365016	0.679984	0.561755	0.232302	0.839929	0.118615	0.154932	1.3221	0.422146	0.241328	0.696621	-0.107705	0.720032	0.497278
0.278443	-0.0510583	0.023369	1.5292	0.278411	-0.0488813	0.36566	0.702138	0.561976	0.241476	0.840041	0.123273	0.155338	1.33489	0.422376	0.250748	0.696522	-0.104269	0.720501	0.509228
0.278397	-0.0478914	0.0248077	1.55825	0.278367	-0.0453936	0.366324	0.723813	0.562205	0.250667	0.840158	0.127902	0.155785	1.34875	0.422614	0.260141	0.696426	-0.100474	0.720981	0.520823
0.278354	-0.0442676	0.0262726	1.58594	0.278326	-0.0414943	0.367009	0.745044	0.562443	0.259823	0.84028	0.132619	0.156399	1.3672	0.42286	0.26955	0.696334	-0.0963979	0.721471	0.532075
0.278315	-0.0402425	0.0277629	1.6124	0.278289	-0.037138	0.367713	0.765826	0.562689	0.268977	0.840405	0.137293	0.157189	1.39002	0.423116	0.278993	0.696247	-0.0920551	0.721972	0.543081
0.278279	-0.0357813	0.0292772	1.63756	0.278257	-0.0323806	0.368436	0.786151	0.562944	0.278132	0.840536	0.141952	0.15816	1.41671	0.42338	0.288358	0.696163	-0.0874712	0.722483	0.553812
0.278248	-0.0308872	0.0308143	1.66159	0.278229	-0.0271871	0.369178	0.806072	0.563208	0.287286	0.84067	0.146656	0.159323	1.44696	0.423653	0.297787	0.696084	-0.0826977	0.723004	0.564289
0.278222	-0.0255667	0.0323734	1.68453	0.278206	-0.0215608	0.369938	0.825554	0.563479	0.296438	0.840809	0.151304	0.160687	1.48018	0.423935	0.307195	0.696009	-0.0776919	0.723535	0.574549
0.2782	-0.019833	0.0339533	1.70639	0.278189	-0.0155817	0.370716	0.844596	0.56376	0.305587	0.840952	0.155986	0.162081	1.51199	0.424226	0.316564	0.695939	-0.0725143	0.724075	0.584596
0.278185	-0.0137123	0.035553	1.72724	0.278177	-0.00918981	0.371512	0.863269	0.564049	0.314731	0.841099	0.160663	0.163504	1.54236	0.424525	0.326001	0.695874	-0.0671394	0.724624	0.594435
0.278175	-0.00718382	0.0371718	1.74713	0.278172	-0.00241194	0.372325	0.8815	0.564346	0.323863	0.841251	0.165328	0.164955	1.57131	0.424833	0.335426	0.695814	-0.0615899	0.725182	0.604079
0.278171	-0.000279149	0.0388086	1.7661	0.278172	0.00385542	0.373154	0.899286	0.564652	0.333044	0.841408	0.170044	0.166432	1.59898	0.42515	0.344827	0.695759	-0.0559109	0.72575	0.613553
0.278174	0.00701165	0.0404627	1.78419	0.278177	0.0093912	0.374	0.916693	0.564967	0.342178	0.841568	0.174716	0.167934	1.62533	0.425476	0.354256	0.69571	-0.0501192	0.726326	0.622905
0.278184	0.0147085	0.0421333	1.80148	0.278183	0.0140764	0.374862	0.93371	0.56529	0.351292	0.841733	0.179371	0.169461	1.65045	0.42581	0.363663	0.695666	-0.0441755	0.72691	0.63209
0.278202	0.0227779	0.0438196	1.81796	0.278191	0.0179311	0.37574	0.950385	0.565622	0.360436	0.841902	0.184068	0.17101	1.67443	0.426153	0.373031	0.695627	-0.0380741	0.727504	0.641083
