Sym0		Asym0		Sym1		Sym2		Sym3		Asym2		Asym3		Asym4	
470  Points		492  Points		196  Points		137  Points		119  Points		365  Points		151  Points		119  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.0013647	7.72379	0.000381284	0.206164	0.27952	747.173	0.440286	1069.42	0.55905	675.001	0.139856	206.506	0.419275	939.661	0.6988	761.751
0.00856052	7.72343	0.000856428	0.307944	0.279643	214.155	0.44035	327.788	0.559165	317.722	0.140327	87.2168	0.419375	304.36	0.698888	377.97
0.0157543	7.7224	0.00151239	0.407342	0.279904	125.097	0.440482	193.611	0.559362	207.817	0.141177	55.5675	0.419579	181.668	0.699035	251.384
0.0229444	7.72079	0.00233931	0.503672	0.280301	88.4458	0.440683	137.422	0.559642	154.456	0.142397	41.0091	0.419885	129.543	0.699242	188.351
0.0301292	7.71856	0.00332582	0.596431	0.280834	68.4814	0.440953	106.549	0.560005	122.943	0.143976	32.6919	0.420293	100.718	0.699507	150.621
0.0373068	7.71573	0.00445915	0.685191	0.281501	55.9358	0.441293	87.0369	0.560449	102.147	0.145899	27.3437	0.420803	82.4348	0.699831	125.511
0.0444756	7.71227	0.00572602	0.769669	0.282301	47.332	0.441703	73.5941	0.560975	87.4013	0.148148	23.6379	0.421414	69.8126	0.700215	107.601
0.0516337	7.70818	0.00711298	0.849688	0.283231	41.072	0.442184	63.7743	0.561583	76.405	0.150708	20.9342	0.422127	60.5802	0.700657	94.1841
0.0587792	7.70345	0.00860679	0.925165	0.28429	36.3187	0.442737	56.2902	0.562273	67.8927	0.153558	18.8859	0.422939	53.5382	0.701158	83.7611
0.0659102	7.69805	0.0101949	0.996111	0.285476	32.591	0.443364	50.3997	0.563042	61.1107	0.156679	17.2887	0.423851	47.9934	0.701717	75.4322
0.0730248	7.69197	0.0118656	1.06262	0.286786	29.5928	0.444066	45.6452	0.563893	55.5824	0.160054	16.0146	0.424862	43.5169	0.702334	68.6254
0.0801207	7.6852	0.013608	1.1248	0.288217	27.132	0.444844	41.7289	0.564823	50.9912	0.163663	14.9793	0.42597	39.8295	0.703009	62.9598
0.0871959	7.6777	0.0154123	1.18285	0.289766	25.0783	0.4457	38.4488	0.565832	47.119	0.167488	14.125	0.427175	36.7414	0.703742	58.1716
0.0942479	7.66946	0.0172697	1.23696	0.29143	23.3403	0.446636	35.6632	0.56692	43.8106	0.171514	13.4108	0.428475	34.1191	0.704533	54.0726
0.101274	7.66045	0.0191724	1.28733	0.293207	21.8521	0.447653	33.2693	0.568086	40.9521	0.175725	12.807	0.429871	31.866	0.705381	50.5248
0.108273	7.65065	0.0211137	1.33421	0.295093	20.5647	0.448754	31.1914	0.56933	38.4587	0.180105	12.2916	0.431359	29.9106	0.706285	47.4247
