Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
387  Points		394  Points		225  Points		147  Points		123  Points		323  Points		168  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00363727	7.44714	0.000474616	0.226097	0.408191	505.423	0.444307	1174.61	0.816498	2741.76	0.204143	575.352	0.612376	1470.65
0.00972216	7.44672	0.000913357	0.313188	0.408019	251.124	0.444519	371.855	0.816521	732.338	0.204328	174.346	0.612403	496.457
0.0158054	7.44586	0.0014911	0.399388	0.407739	166.974	0.444947	221.085	0.816571	422.633	0.20471	102.915	0.612457	298.658
0.0218862	7.44462	0.00220452	0.484443	0.407361	124.993	0.445581	157.465	0.816646	297.043	0.205287	73.153	0.612539	213.588
0.0279633	7.44296	0.00304991	0.56819	0.406899	99.8226	0.446411	122.41	0.816749	229.012	0.206057	56.8681	0.612647	166.254
0.0340359	7.44089	0.0040228	0.650421	0.406368	83.0445	0.447423	100.229	0.816878	186.351	0.207016	46.6193	0.612782	136.109
0.0401029	7.43842	0.00511829	0.730967	0.405781	71.0585	0.4486	84.9435	0.817033	157.1	0.20816	39.5914	0.612944	115.23
0.0461632	7.43552	0.00633109	0.809683	0.405154	62.067	0.449931	73.7796	0.817214	135.798	0.209485	34.484	0.613133	99.9165
0.0522157	7.43218	0.00765583	0.886464	0.404498	55.0725	0.4514	65.274	0.817422	119.594	0.210986	30.6131	0.613349	88.2059
0.0582593	7.42841	0.00908667	0.961193	0.403827	49.4766	0.452996	58.5826	0.817657	106.853	0.212656	27.5848	0.613592	78.9617
0.064293	7.42421	0.0106179	1.03381	0.40315	44.8985	0.454708	53.1837	0.817918	96.5743	0.214489	25.1561	0.613861	71.4798
0.0703155	7.41954	0.0122437	1.10424	0.402476	41.0846	0.456525	48.7381	0.818205	88.1073	0.216479	23.1691	0.614158	65.3009
0.0763257	7.41442	0.0139583	1.17247	0.401815	37.8591	0.458441	45.0155	0.818518	81.0125	0.218621	21.5165	0.614482	60.1124
0.0823222	7.40883	0.0157558	1.23846	0.401173	35.0965	0.460446	41.8541	0.818858	74.9818	0.220906	20.1231	0.614832	55.6945
0.0883037	7.40274	0.017631	1.30221	0.400557	32.7046	0.462536	39.137	0.819224	69.793	0.223329	18.9344	0.615209	51.8879
0.094269	7.39615	0.0195784	1.36374	0.399971	30.6142	0.464704	36.7776	0.819617	65.2818	0.225884	17.9101	0.615613	48.5742
