Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
369  Points		370  Points		242  Points		153  Points		317  Points		173  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00499877	7.44615	0.000474585	0.53198	0.444273	-0.211998	0.478783	0.437137	0.239368	0.176322	0.71807	-0.00905776
0.0106633	7.4452	0.000879276	0.611934	0.444112	-0.337961	0.479116	0.610105	0.239502	0.274971	0.718063	-0.0140352
0.0163263	7.4427	0.00140561	0.770613	0.443759	-0.57914	0.479712	0.943592	0.239787	0.471618	0.718048	-0.0238543
0.021987	7.43914	0.00205173	0.926505	0.443231	-0.795171	0.480551	1.24942	0.24022	0.666669	0.718027	-0.0335355
0.0276446	7.43453	0.00281525	1.07907	0.442549	-0.980639	0.481612	1.5238	0.240801	0.859602	0.717997	-0.0430305
0.0332982	7.4288	0.00369348	1.22784	0.441739	-1.13378	0.48287	1.76621	0.241528	1.04983	0.717961	-0.0521533
0.0389471	7.42201	0.00468335	1.37244	0.440824	-1.25571	0.4843	1.97853	0.242398	1.2367	0.717918	-0.0608904
0.0445905	7.41409	0.00578158	1.51265	0.439828	-1.34906	0.48588	2.16392	0.243409	1.41982	0.717868	-0.0692149
0.0502273	7.40497	0.00698477	1.64811	0.438772	-1.41727	0.487592	2.32606	0.244558	1.59868	0.717813	-0.0770729
0.0558568	7.39471	0.0082891	1.77854	0.437672	-1.46397	0.489419	2.46842	0.245842	1.77295	0.717751	-0.0843568
0.061478	7.38325	0.00969074	1.90387	0.436544	-1.49243	0.491348	2.59418	0.247256	1.94236	0.717684	-0.0910308
0.06709	7.37048	0.0111857	2.02402	0.435401	-1.50558	0.493366	2.70621	0.248797	2.10652	0.717613	-0.0970232
0.0726918	7.3565	0.0127702	2.1389	0.434254	-1.50587	0.495465	2.80675	0.250461	2.26531	0.717537	-0.10228
0.0782826	7.3412	0.01444	2.24847	0.43311	-1.49523	0.497636	2.89776	0.252243	2.41856	0.717457	-0.106784
0.0838611	7.32441	0.0161911	2.35279	0.431979	-1.47539	0.499874	2.98085	0.254141	2.56618	0.717374	-0.1105
0.0894263	7.30625	0.0180196	2.45189	0.430866	-1.44764	0.502172	3.05715	0.256148	2.70812	0.717289	-0.113356
0.0949772	7.28661	0.0199216	2.54586	0.429776	-1.41303	0.504525	3.12785	0.258261	2.84435	0.717202	-0.1153
0.100513	7.26537	0.021893	2.63486	0.428716	-1.37243	0.50693	3.1938	0.260475	2.97491	0.717113	-0.116319
0.106031	7.24254	0.0239304	2.71903	0.427688	-1.32648	0.509384	3.25557	0.262787	3.09985	0.717025	-0.116382
0.111532	7.21795	0.0260299	2.79846	0.426698	-1.27575	0.511884	3.31378	0.265192	3.21922	0.716936	-0.115522
0.117013	7.19156	0.0281881	2.87338	0.425747	-1.22059	0.514426	3.36895	0.267685	3.33317	0.716849	-0.113623
0.122473	7.16336	0.0304016	2.94392	0.42484	-1.1614	0.517009	3.42143	0.270263	3.44186	0.716764	-0.110632
0.127912	7.13316	0.0326671	3.01027	0.42398	-1.09845	0.519632	3.47149	0.272921	3.54532	0.716681	-0.106624
0.133326	7.10083	0.0349816	3.07265	0.423169	-1.03184	0.522291	3.51939	0.275657	3.6437	0.716601	-0.101568
0.138715	7.0664	0.037342	3.1312	0.42241	-0.961695	0.524986	3.56543	0.278465	3.7373	0.716526	-0.0954034
0.144077	7.02965	0.0397456	3.18615	0.421706	-0.888136	0.527716	3.60976	0.281343	3.82619	0.716456	-0.0881866
0.14941	6.99042	0.0421896	3.23763	0.421059	-0.811256	0.530478	3.65261	0.284287	3.9105	0.716392	-0.0798527
0.154713	6.94874	0.0446715	3.2858	0.420472	-0.731052	0.533273	3.69397	0.287293	3.99048	0.716335	-0.0703612
0.159983	6.90432	0.0471888	3.33092	0.419947	-0.64752	0.536098	3.73401	0.290358	4.06622	0.716285	-0.0598103
0.165217	6.85708	0.0497393	3.37317	0.419487	-0.560651	0.538954	3.77291	0.293479	4.13787	0.716244	-0.0481274
0.170415	6.80693	0.0523209	3.41254	0.419094	-0.470335	0.541839	3.81071	0.296653	4.20562	0.716212	-0.0353465
0.175574	6.75363	0.0549313	3.4494	0.418771	-0.376537	0.544752	3.84746	0.299878	4.26965	0.71619	-0.021446
0.180691	6.69707	0.057569	3.48381	0.418521	-0.279181	0.547692	3.88328	0.30315	4.33006	0.716179	-0.00638286
0.185763	6.63708	0.0602318	3.51582	0.418346	-0.178209	0.55066	3.91815	0.306466	4.38701	0.71618	0.00974973
0.190789	6.5735	0.0629181	3.54572	0.41825	-0.073503	0.553654	3.95218	0.309824	4.44064	0.716194	0.0270345
0.195764	6.50619	0.0656264	3.57356	0.418234	0.0350245	0.556673	3.98544	0.313222	4.49103	0.716221	0.0454575
0.200687	6.43497	0.0683551	3.59948	0.418303	0.147518	0.559717	4.01787	0.316657	4.53833	0.716263	0.0649012
0.205555	6.35974	0.0711028	3.62359	0.418459	0.264053	0.562786	4.04955	0.320127	4.58271	0.71632	0.0854892
0.210364	6.28031	0.0738682	3.64598	0.418705	0.384725	0.565879	4.08061	0.323629	4.62418	0.716393	0.1072
0.21511	6.19662	0.07665	3.66681	0.419044	0.509636	0.568994	4.11097	0.327162	4.66292	0.716483	0.129989
0.219791	6.10855	0.0794471	3.68621	0.41948	0.638807	0.572133	4.14067	0.330724	4.69903	0.716591	0.153859
0.224404	6.016	0.0822584	3.70413	0.420016	0.772371	0.575294	4.16982	0.334312	4.7325	0.716717	0.178814
0.228944	5.91891	0.0850828	3.72076	0.420655	0.910328	0.578477	4.19835	0.337924	4.76347	0.716863	0.204864
0.233409	5.8173	0.0879194	3.73617	0.421401	1.05267	0.581682	4.22625	0.341559	4.79212	0.717029	0.231936
0.237795	5.71123	0.0907672	3.7504	0.422257	1.1994	0.584907	4.25362	0.345215	4.8184	0.717216	0.260067
0.242099	5.60072	0.0936254	3.76362	0.423226	1.35032	0.588154	4.28056	0.34889	4.84235	0.717425	0.289328
0.246316	5.48592	0.0964933	3.77578	0.424311	1.50541	0.59142	4.30688	0.352582	4.86413	0.717656	0.319594
0.250445	5.36709	0.0989997	3.78561	0.425516	1.66443	0.594706	4.33272	0.356291	4.88384	0.717911	0.350882
0.254482	5.24442	0.101141	3.79347	0.426844	1.82712	0.598012	4.3581	0.359534	4.89933	0.71819	0.383319
0.258424	5.11822	0.102915	3.79968	0.428296	1.99326	0.601337	4.38294	0.362306	4.91129	0.718494	0.416706
0.262269	4.98898	0.10432	3.80431	0.429876	2.16228	0.604681	4.40742	0.364603	4.92041	0.718824	0.451098
0.266015	4.85708	0.105354	3.80751	0.431586	2.33384	0.608043	4.43145	0.366422	4.92698	0.71918	0.486602
