Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
360  Points		362  Points		289  Points		175  Points		308  Points		175  Points		360  Points		362  Points		289  Points		175  Points		308  Points		175  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.003294	7.44673	0.000130822	0.305355	0.444277	-0.0404527	0.69224	0.121448	0.346111	0.0908641	0.888565	-0.0420247	0.003294	7.44673	0.000130822	0.305355	0.444277	-0.0404527	0.69224	0.121448	0.346111	0.0908641	0.888565	-0.0420247
0.00797165	7.44612	0.00032263	0.372851	0.444252	-0.0562844	0.692317	0.165045	0.346169	0.152738	0.888539	-0.0756404	0.00797165	7.44612	0.00032263	0.372851	0.444252	-0.0562844	0.692317	0.165045	0.346169	0.152738	0.888539	-0.0756404
0.0126485	7.44451	0.000599233	0.50755	0.444206	-0.08781	0.692448	0.252162	0.346303	0.276329	0.88847	-0.142702	0.0126485	7.44451	0.000599233	0.50755	0.444206	-0.08781	0.692448	0.252162	0.346303	0.276329	0.88847	-0.142702
0.0173242	7.44216	0.000960263	0.64148	0.444141	-0.118922	0.692633	0.339054	0.346516	0.399448	0.88836	-0.209254	0.0173242	7.44216	0.000960263	0.64148	0.444141	-0.118922	0.692633	0.339054	0.346516	0.399448	0.88836	-0.209254
0.0219981	7.43921	0.00140512	0.774522	0.444057	-0.149534	0.692874	0.425603	0.346805	0.521843	0.888207	-0.275111	0.0219981	7.43921	0.00140512	0.774522	0.444057	-0.149534	0.692874	0.425603	0.346805	0.521843	0.888207	-0.275111
0.02667	7.43547	0.00193329	0.906442	0.443953	-0.179578	0.693168	0.511576	0.347171	0.643439	0.888014	-0.340016	0.02667	7.43547	0.00193329	0.906442	0.443953	-0.179578	0.693168	0.511576	0.347171	0.643439	0.888014	-0.340016
0.0313393	7.43093	0.00254388	1.03709	0.443831	-0.208815	0.693516	0.596939	0.347614	0.763981	0.88778	-0.403775	0.0313393	7.43093	0.00254388	1.03709	0.443831	-0.208815	0.693516	0.596939	0.347614	0.763981	0.88778	-0.403775
0.0360055	7.42576	0.00323619	1.16641	0.443691	-0.237087	0.693918	0.681734	0.348131	0.883284	0.887507	-0.466111	0.0360055	7.42576	0.00323619	1.16641	0.443691	-0.237087	0.693918	0.681734	0.348131	0.883284	0.887507	-0.466111
0.0406682	7.41976	0.00400923	1.29412	0.443533	-0.264408	0.694373	0.765719	0.348723	1.0012	0.887195	-0.526905	0.0406682	7.41976	0.00400923	1.29412	0.443533	-0.264408	0.694373	0.765719	0.348723	1.0012	0.887195	-0.526905
