Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
360  Points		362  Points		289  Points		175  Points		308  Points		175  Points		360  Points		362  Points		289  Points		175  Points		308  Points		175  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.003294	7.44712	0.000130822	0.118867	0.444277	919.029	0.69224	1240.31	0.346111	2358.81	0.888565	11519.2	0.003294	7.44712	0.000130822	0.118867	0.444277	919.029	0.69224	1240.31	0.346111	2358.81	0.888565	11519.2
0.00797165	7.44689	0.00032263	0.186629	0.444252	399.662	0.692317	583.609	0.346169	446.738	0.888539	1259.83	0.00797165	7.44689	0.00032263	0.186629	0.444252	399.662	0.692317	583.609	0.346169	446.738	0.888539	1259.83
0.0126485	7.44638	0.000599233	0.254249	0.444206	255.332	0.692448	381.637	0.346303	246.826	0.88847	666.302	0.0126485	7.44638	0.000599233	0.254249	0.444206	255.332	0.692448	381.637	0.346303	246.826	0.88847	666.302
0.0173242	7.4456	0.000960263	0.321694	0.444141	187.57	0.692633	283.568	0.346516	170.598	0.88836	452.879	0.0173242	7.4456	0.000960263	0.321694	0.444141	187.57	0.692633	283.568	0.346516	170.598	0.88836	452.879
0.0219981	7.44459	0.00140512	0.388889	0.444057	148.216	0.692874	225.639	0.346805	130.411	0.888207	342.973	0.0219981	7.44459	0.00140512	0.388889	0.444057	148.216	0.692874	225.639	0.346805	130.411	0.888207	342.973
0.02667	7.44336	0.00193329	0.455824	0.443953	122.498	0.693168	187.4	0.347171	105.604	0.888014	275.962	0.02667	7.44336	0.00193329	0.455824	0.443953	122.498	0.693168	187.4	0.347171	105.604	0.888014	275.962
0.0313393	7.44187	0.00254388	0.522415	0.443831	104.374	0.693516	160.276	0.347614	88.776	0.88778	230.83	0.0313393	7.44187	0.00254388	0.522415	0.443831	104.374	0.693516	160.276	0.347614	88.776	0.88778	230.83
0.0360055	7.44013	0.00323619	0.588654	0.443691	90.9117	0.693918	140.04	0.348131	76.6172	0.887507	198.362	0.0360055	7.44013	0.00323619	0.588654	0.443691	90.9117	0.693918	140.04	0.348131	76.6172	0.887507	198.362
