Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
484  Points		501  Points		285  Points		222  Points		204  Points		148  Points		397  Points		239  Points		198  Points		153  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00257121	4.71291	1.8533e-006	0.0111941	0.279512	764.959	0.408615	2591.14	0.559031	619.591	0.838534	919.495	0.139781	257.189	0.419269	738.652	0.698776	1033.27	0.817233	1433.46
0.00696218	4.71289	8.2285e-005	0.0749916	0.279548	215.519	0.408636	375.105	0.559075	304.847	0.838561	454.838	0.139953	94.871	0.419309	279.668	0.6988	434.584	0.81725	544.177
0.0113527	4.7127	0.000280791	0.138392	0.279624	125.46	0.408687	202.212	0.559149	202.176	0.838605	302.163	0.140282	58.2836	0.419385	172.515	0.698843	275.171	0.817282	335.846
0.0157426	4.71243	0.000596027	0.201317	0.279741	88.5123	0.408769	138.435	0.559253	151.258	0.838668	226.237	0.140767	42.1636	0.419497	124.75	0.698905	201.334	0.81733	242.877
0.0201317	4.71209	0.00102599	0.263591	0.279898	68.3984	0.408882	105.261	0.559387	120.843	0.838749	180.814	0.141405	33.1138	0.419645	97.7193	0.698986	158.75	0.817393	190.229
0.0245197	4.71167	0.00156788	0.325015	0.280096	55.753	0.409026	84.9277	0.559551	100.625	0.838847	150.589	0.142193	27.3344	0.419829	80.3333	0.699087	131.044	0.817472	156.347
0.0289064	4.71115	0.00221833	0.385413	0.280333	47.0708	0.409201	71.1918	0.559744	86.2149	0.838964	129.029	0.143127	23.3347	0.420049	68.2143	0.699207	111.579	0.817566	132.716
0.0332915	4.71055	0.00297343	0.44463	0.28061	40.7433	0.409407	61.2925	0.559968	75.4254	0.839099	112.876	0.144204	20.41	0.420304	59.2856	0.699346	97.1564	0.817676	115.296
0.0376747	4.70985	0.00382878	0.502522	0.280927	35.9289	0.409644	53.8208	0.560221	67.0456	0.839251	100.323	0.145417	18.1839	0.420595	52.4356	0.699504	86.0416	0.817801	101.923
0.042056	4.70908	0.0047798	0.558987	0.281283	32.1442	0.409912	47.9825	0.560504	60.3503	0.839422	90.2875	0.146763	16.4371	0.420922	47.0153	0.699681	77.2144	0.817941	91.3353
0.0464348	4.70821	0.00582158	0.613929	0.281677	29.0919	0.410212	43.2957	0.560817	54.8787	0.83961	82.0822	0.148235	15.0333	0.421284	42.6204	0.699878	70.0352	0.818097	82.7442
0.0508111	4.70726	0.0069491	0.667272	0.282111	26.5791	0.410543	39.4512	0.561159	50.3241	0.839817	75.2484	0.149829	13.8831	0.421682	38.9859	0.700093	64.0822	0.818269	75.6342
0.0551846	4.70621	0.00815719	0.718955	0.282583	24.4751	0.410906	36.2413	0.561531	46.4743	0.840041	69.4691	0.151538	12.9256	0.422115	35.9309	0.700328	59.0664	0.818456	69.6531
0.0595548	4.70506	0.00944084	0.768948	0.283093	22.6884	0.4113	33.5215	0.561932	43.178	0.840283	64.5181	0.153358	12.1178	0.422583	33.3276	0.700582	54.783	0.818658	64.552
0.0639217	4.70382	0.0107949	0.817223	0.283641	21.1528	0.411727	31.188	0.562362	40.3243	0.840543	60.2295	0.155282	11.4285	0.423086	31.0833	0.700855	51.0827	0.818876	60.1502
0.0682848	4.70249	0.0122146	0.863775	0.284226	19.8194	0.412185	29.1645	0.562822	37.83	0.840821	56.4788	0.157306	10.8346	0.423624	29.129	0.701147	47.8543	0.81911	56.3135
0.0726438	4.70105	0.0136952	0.908611	0.284848	18.651	0.412676	27.3934	0.563311	35.6314	0.841117	53.1711	0.159424	10.3183	0.424196	27.4122	0.701457	45.0131	0.819359	52.9396
0.0769986	4.69951	0.015232	0.951741	0.285506	17.6192	0.4132	25.8306	0.563829	33.6794	0.841431	50.2324	0.161631	9.86621	0.424803	25.8925	0.701787	42.4937	0.819624	49.9499
0.0813486	4.69787	0.0168209	0.9932	0.2862	16.7018	0.413756	24.4418	0.564376	31.9348	0.841762	47.6043	0.163923	9.46766	0.425444	24.5381	0.702136	40.2444	0.819904	47.2823
0.0856936	4.69611	0.0184576	1.03301	0.286929	15.8809	0.414345	23.1998	0.564952	30.3665	0.842111	45.2404	0.165985	9.15735	0.426119	23.3237	0.702503	38.2242	0.8202	44.8876
0.0900332	4.69425	0.0201384	1.07122	0.287694	15.1423	0.414968	22.0826	0.565556	28.9492	0.842478	43.1027	0.167789	8.9164	0.426829	22.2289	0.702889	36.3999	0.820512	42.7261
0.0943671	4.69227	0.0218595	1.10787	0.288493	14.4746	0.415624	21.0727	0.566189	27.6624	0.842863	41.1603	0.169311	8.73171	0.427571	21.2371	0.703294	34.7445	0.82084	40.7654
0.0986949	4.69018	0.0236177	1.143	0.289326	13.8681	0.416313	20.1556	0.566851	26.4889	0.843265	39.3879	0.170533	8.59417	0.428348	20.3347	0.703718	33.2357	0.821184	38.9789
0.103016	4.68797	0.0254097	1.17667	0.290192	13.315	0.417037	19.3192	0.567541	25.4147	0.843685	37.7641	0.171442	8.49749	0.429157	19.5102	0.70416	31.8548	0.821543	37.3444
0.10733	4.68563	0.0272327	1.20893	0.291092	12.8087	0.417794	18.5535	0.568259	24.4277	0.844122	36.271	0.172029	8.43749	0.43	18.7541	0.704621	30.5865	0.821918	35.8434
0.111637	4.68317	0.029084	1.23984	0.292025	12.3437	0.418586	17.8501	0.569005	23.5178	0.844577	34.8936	0.172877	8.35369	0.430875	18.0585	0.7051	29.4176	0.822309	34.4603
0.115936	4.68057	0.030961	1.26943	0.292989	11.9152	0.419413	17.2019	0.56978	22.6766	0.84505	33.6191	0.173808	8.26575	0.431783	17.4164	0.705598	28.3369	0.822717	33.1818
0.120227	4.67783	0.0328614	1.29778	0.293986	11.5193	0.420274	16.6028	0.570581	21.8966	0.84554	32.4363	0.175087	8.15114	0.432723	16.8222	0.706114	27.3348	0.82314	31.9966
0.124508	4.67496	0.0347832	1.32492	0.295013	11.1524	0.421171	16.0476	0.571411	21.1714	0.846047	31.3358	0.176724	8.01386	0.433695	16.2706	0.706649	26.4032	0.823579	30.8948
0.128781	4.67193	0.0367243	1.35092	0.296072	10.8116	0.422103	15.5317	0.572268	20.4957	0.846572	30.3093	0.178735	7.8584	0.434699	15.7575	0.707201	25.5349	0.824034	29.8679
0.133043	4.66875	0.038683	1.37582	0.297161	10.4944	0.42307	15.0513	0.573152	19.8645	0.847114	29.3497	0.181134	7.6894	0.435734	15.279	0.707772	24.7238	0.824506	28.9088
0.137294	4.66541	0.0406576	1.39966	0.298281	10.1984	0.424074	14.603	0.574064	19.2737	0.847674	28.4507	0.183938	7.51134	0.4368	14.8319	0.708362	23.9645	0.824994	28.0108
0.141535	4.66191	0.0426466	1.42251	0.299431	9.92161	0.425113	14.1837	0.575002	18.7197	0.848251	27.6068	0.186794	7.34837	0.437898	14.4131	0.708969	23.2521	0.825498	27.1685
0.145763	4.65823	0.0446488	1.44441	0.30061	9.6624	0.426189	13.7909	0.575967	18.1991	0.848845	26.8131	0.189698	7.19877	0.439025	14.0203	0.709594	22.5826	0.826018	26.3768
0.149979	4.65438	0.0466628	1.46539	0.301819	9.41917	0.427301	13.4222	0.576959	17.7091	0.849457	26.0653	0.192649	7.06109	0.440184	13.6511	0.710238	21.9521	0.826555	25.6314
0.154181	4.65033	0.0486873	1.48551	0.302896	9.2192	0.42845	13.0756	0.577978	17.2471	0.850085	25.3596	0.195643	6.93404	0.441372	13.3036	0.710899	21.3575	0.827108	24.9283
0.158369	4.64609	0.0507216	1.5048	0.303832	9.05689	0.429636	12.7493	0.579022	16.8109	0.850731	24.6925	0.198679	6.81654	0.44259	12.9759	0.711578	20.7958	0.827677	24.2641
0.162543	4.64165	0.0525013	1.52096	0.304618	8.92801	0.430859	12.4416	0.580093	16.3984	0.851393	24.0611	0.201753	6.70762	0.443837	12.6665	0.712274	20.2644	0.828263	23.6357
0.1667	4.63699	0.0540233	1.53429	0.305247	8.82935	0.432119	12.1511	0.58119	16.0078	0.852073	23.4625	0.204865	6.60644	0.445113	12.3739	0.712989	19.761	0.828866	23.0404
0.17084	4.63211	0.0552848	1.54501	0.305715	8.75856	0.433416	11.8764	0.582312	15.6374	0.85277	22.8943	0.208012	6.51226	0.446418	12.0968	0.713721	19.2833	0.829485	22.4755
0.174962	4.627	0.0562841	1.55329	0.306015	8.71402	0.434751	11.6164	0.58346	15.2858	0.853483	22.3543	0.211193	6.42444	0.447752	11.8342	0.71447	18.8296	0.830121	21.9389
0.179066	4.62164	0.0570199	1.55928	0.306451	8.651	0.436123	11.3701	0.584633	14.9516	0.854214	21.8405	0.214404	6.34238	0.449114	11.5849	0.715237	18.398	0.830774	21.4285
0.183149	4.61602	0.0574913	1.56306	0.306927	8.58382	0.437533	11.1363	0.585832	14.6336	0.854961	21.351	0.217646	6.2656	0.450503	11.348	0.716021	17.9871	0.831443	20.9425
0.187211	4.61014	0.0581693	1.56844	0.307582	8.49461	0.438981	10.9143	0.587055	14.3306	0.855725	20.8842	0.220916	6.19361	0.45192	11.1227	0.716823	17.5954	0.832129	20.4792
0.19125	4.60397	0.0589071	1.57421	0.308419	8.3852	0.440467	10.7033	0.588303	14.0417	0.856506	20.4385	0.224213	6.12603	0.453365	10.9081	0.717641	17.2217	0.832833	20.037
0.195265	4.59751	0.0599115	1.58192	0.309447	8.25775	0.441991	10.5026	0.589576	13.766	0.857303	20.0126	0.227536	6.06248	0.454836	10.7036	0.718477	16.8647	0.833553	19.6147
0.199255	4.59075	0.0611838	1.59147	0.310673	8.11466	0.443552	10.3114	0.590873	13.5025	0.858117	19.6052	0.230882	6.00263	0.456334	10.5084	0.71933	16.5233	0.83429	19.2109
0.203218	4.58366	0.0627246	1.60269	0.312108	7.95847	0.445152	10.1292	0.592195	13.2506	0.858947	19.2151	0.234251	5.9462	0.457858	10.3221	0.7202	16.1967	0.835045	18.8244
0.207152	4.57623	0.0645355	1.61545	0.313573	7.81028	0.446789	9.9554	0.59354	13.0095	0.859794	18.8414	0.237643	5.89291	0.459408	10.1439	0.721087	15.8838	0.835817	18.4542
0.211056	4.56846	0.0666172	1.62955	0.315069	7.66956	0.448464	9.7895	0.59491	12.7786	0.860657	18.4829	0.241054	5.84252	0.460984	9.97355	0.72199	15.5839	0.836605	18.0993
0.214929	4.56031	0.0687026	1.64312	0.316596	7.53582	0.450177	9.63102	0.596303	12.5572	0.861537	18.1389	0.244485	5.79482	0.462585	9.81044	0.72291	15.2961	0.837412	17.7588
0.218768	4.55178	0.0707913	1.65617	0.318155	7.40863	0.451928	9.47952	0.597719	12.3448	0.862433	17.8084	0.247934	5.74961	0.464212	9.65417	0.723847	15.0198	0.838235	17.4318
0.222571	4.54285	0.0728827	1.66872	0.319747	7.28759	0.453484	9.35287	0.599159	12.1409	0.863345	17.4907	0.251401	5.7067	0.465863	9.50434	0.7248	14.7544	0.839076	17.1176
0.226337	4.5335	0.0749767	1.68081	0.321372	7.17233	0.454833	9.24867	0.600622	11.945	0.864273	17.1852	0.254884	5.66594	0.467321	9.37875	0.72577	14.4991	0.839934	16.8155
0.230063	4.52372	0.0770728	1.69245	0.323032	7.06252	0.455964	9.16501	0.602107	11.7567	0.865217	16.891	0.258383	5.62716	0.468579	9.27516	0.726757	14.2535	0.84081	16.5248
0.233748	4.51349	0.0791708	1.70367	0.324728	6.95786	0.456868	9.10041	0.603616	11.5756	0.866177	16.6077	0.261896	5.59024	0.469629	9.19182	0.727759	14.0171	0.841704	16.2449
0.237389	4.50279	0.0812705	1.71448	0.32646	6.85806	0.457539	9.05376	0.605146	11.4013	0.867153	16.3346	0.265423	5.55505	0.470466	9.12735	0.728778	13.7892	0.842615	15.9753
