Sym0		Asym0		Sym2		Sym3		Sym4		Asym1		Asym3	
461  Points		490  Points		148  Points		115  Points		105  Points		328  Points		124  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00368087	9.08154	0.000675802	0.296772	0.279536	582.442	0.458664	1705.08	0.559032	1177.68	0.139823	292.811	0.419304	608.422
0.0121413	9.08095	0.00132776	0.413778	0.27975	198.175	0.458717	382.043	0.559153	397.582	0.140355	99.5982	0.41949	258.807
0.0205988	9.07955	0.00218023	0.526553	0.280174	119.562	0.458836	215.175	0.559393	239.253	0.141406	60.4062	0.419827	164.473
0.0290515	9.07748	0.00321712	0.634258	0.280805	85.7415	0.459021	149.807	0.559752	171.19	0.14296	43.6839	0.420314	120.632
0.0374973	9.07466	0.00442075	0.736305	0.281644	66.9509	0.459275	114.94	0.560229	133.341	0.145	34.4886	0.420949	95.3248
0.0459341	9.0711	0.00577249	0.832292	0.282686	55.0142	0.459597	93.2724	0.560825	109.255	0.147502	28.7192	0.421733	78.8634
0.0543597	9.06678	0.00725397	0.922035	0.283928	46.7749	0.45999	78.5077	0.561539	92.5889	0.150438	24.7933	0.422664	67.3103
0.062772	9.0617	0.00884753	1.00551	0.285368	40.7563	0.460453	67.8048	0.56237	80.3781	0.153781	21.9706	0.423742	58.763
0.0711686	9.05583	0.0105368	1.08284	0.286999	36.1756	0.46099	59.694	0.563317	71.0519	0.157499	19.8585	0.424964	52.1894
0.0795472	9.04915	0.0123071	1.15425	0.288819	32.5789	0.461602	53.3382	0.56438	63.7001	0.161565	18.2297	0.426329	46.9814
0.087905	9.04162	0.0141452	1.22003	0.29082	29.685	0.462291	48.226	0.565557	57.7592	0.16595	16.9432	0.427836	42.7575
0.0962396	9.03323	0.0160397	1.28053	0.292999	27.3101	0.463061	44.027	0.566848	52.8612	0.170626	15.9074	0.429483	39.2659
0.104548	9.02391	0.0179806	1.3361	0.295348	25.3294	0.463912	40.5187	0.568252	48.7559	0.175567	15.06	0.431267	36.3341
0.112827	9.01366	0.0199596	1.38712	0.297862	23.6549	0.46485	37.5453	0.569767	45.2673	0.18075	14.3572	0.433188	33.8396
0.121074	9.00241	0.0219695	1.43395	0.300534	22.2228	0.465876	34.9948	0.571392	42.2677	0.186153	13.7674	0.435242	31.6934
0.129284	8.99011	0.0237415	1.47163	0.303358	20.9859	0.466995	32.7844	0.573126	39.6624	0.191755	13.2675	0.437427	29.8288
0.137455	8.97672	0.0252644	1.5016	0.306328	19.9082	0.468209	30.8517	0.574968	37.3798	0.197537	12.8399	0.439741	28.1952
0.145582	8.96216	0.026531	1.52501	0.309437	18.9621	0.469524	29.1488	0.576917	35.3644	0.203484	12.4712	0.442181	26.7535
0.153661	8.94637	0.0275366	1.54268	0.31268	18.1259	0.470943	27.6383	0.57897	33.5728	0.209578	12.1508	0.444745	25.4727
0.161687	8.92928	0.028278	1.55523	0.316049	17.3824	0.47247	26.2904	0.581127	31.9706	0.215806	11.8707	0.447429	24.3282
0.169655	8.91081	0.0287533	1.56306	0.31954	16.7177	0.47411	25.0813	0.583385	30.53	0.222155	11.6242	0.450233	23.3003
0.177558	8.89085	0.0294376	1.57407	0.323146	16.1206	0.475867	23.9918	0.585744	29.2283	0.228614	11.4061	0.453152	22.3726
0.185392	8.86933	0.0301828	1.5857	0.326864	15.5818	0.477747	23.0059	0.588202	28.0471	0.235171	11.2121	0.456183	21.5318
0.193149	8.84612	0.0311981	1.60098	0.330688	15.0938	0.479753	22.1105	0.590758	26.9707	0.241817	11.0386	0.459325	20.7669
0.200822	8.82113	0.032485	1.61946	0.334616	14.6501	0.481892	21.2947	0.593409	25.9864	0.248543	10.8828	0.462573	20.0684
0.208403	8.79422	0.034045	1.64062	0.338645	14.2453	0.484167	20.5492	0.596154	25.0832	0.255341	10.7422	0.465926	19.4285
0.215883	8.76528	0.035879	1.6639	0.342772	13.8752	0.486583	19.8661	0.598992	24.2519	0.262203	10.6148	0.469381	18.8406
0.223255	8.73417	0.0379878	1.68872	0.346997	13.5357	0.489144	19.2389	0.601921	23.4846	0.269122	10.4989	0.472933	18.2989
0.230507	8.70075	0.0400998	1.71172	0.351319	13.2237	0.491856	18.6617	0.60494	22.7745	0.276092	10.3931	0.476582	17.7984
0.23763	8.66489	0.0422141	1.73304	0.355739	12.9364	0.494722	18.1296	0.608046	22.1157	0.283107	10.296	0.480324	17.335
0.244613	8.62645	0.0443297	1.75285	0.360261	12.6715	0.497745	17.6381	0.611239	21.5032	0.290161	10.2067	0.484155	16.9049
0.251445	8.5853	0.0464462	1.77129	0.364885	12.4269	0.500929	17.1836	0.614517	20.9324	0.297249	10.1243	0.488074	16.5048
0.258115	8.54132	0.048563	1.78847	0.369616	12.2009	0.504277	16.7627	0.617877	20.3994	0.304366	10.0478	0.492078	16.1319
