Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym3	
459  Points		492  Points		459  Points		141  Points		111  Points		103  Points		323  Points		121  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00728138	9.36048	8.4493e-005	0.107073	0.00541426	9.36062	0.279595	344.054	0.458673	819.351	0.559017	7555.64	0.140029	151.349	0.419278	1051.03
0.0160008	9.35952	0.000399483	0.232149	0.0141343	9.3598	0.279905	160.465	0.458747	307.575	0.559091	555.933	0.140859	75.8569	0.419427	315.213
0.0247165	9.35778	0.00094061	0.354612	0.0228509	9.35821	0.280441	104.797	0.458886	189.373	0.559292	288.685	0.142231	51.0046	0.419737	185.535
0.0334263	9.35534	0.00169585	0.473147	0.0315622	9.35593	0.2812	77.9437	0.459093	136.843	0.559621	195.053	0.144128	38.741	0.420208	131.562
0.0421281	9.35211	0.0026495	0.586704	0.0402659	9.35287	0.28218	62.1621	0.459369	107.164	0.560076	147.359	0.146525	31.4973	0.420839	102.004
0.0508198	9.34814	0.00378335	0.6945	0.0489599	9.34905	0.283378	51.7951	0.459713	88.0968	0.560657	118.471	0.149395	26.7557	0.421629	83.3688
0.0594991	9.34337	0.00507796	0.796008	0.057642	9.34446	0.284789	44.4787	0.460129	74.818	0.561364	99.1082	0.152707	23.438	0.422577	70.5577
0.0681636	9.3378	0.00651365	0.890941	0.0663098	9.33906	0.286409	39.0495	0.460617	65.0435	0.562197	85.2349	0.156429	21.0055	0.423681	61.2186
0.0768108	9.33139	0.00807128	0.979207	0.074961	9.33284	0.288233	34.8688	0.461179	57.5512	0.563154	74.8124	0.160529	19.1591	0.42494	54.1154
0.0854384	9.32414	0.00973304	1.06089	0.083593	9.32576	0.290255	31.5567	0.461818	51.6283	0.564234	66.7003	0.164976	17.7194	0.426353	48.5365
0.0940434	9.31599	0.0114825	1.1362	0.0922031	9.31781	0.29247	28.8728	0.462536	46.8308	0.565437	60.2109	0.169739	16.5726	0.427918	44.0432
0.102623	9.30691	0.0133054	1.20545	0.099686	9.31013	0.29487	26.6578	0.463337	42.8681	0.566761	54.9047	0.174791	15.6428	0.429632	40.3503
0.111174	9.29686	0.015189	1.26898	0.106049	9.30301	0.297449	24.8019	0.464223	39.5415	0.568205	50.4877	0.180104	14.8778	0.431494	37.2644
0.119693	9.2858	0.0171223	1.32719	0.111298	9.29671	0.3002	23.2269	0.465198	36.7112	0.569768	46.7559	0.185654	14.2403	0.433501	34.6497
0.128177	9.27367	0.0190962	1.3805	0.115439	9.29146	0.303115	21.8755	0.466265	34.2753	0.57145	43.5632	0.191418	13.7031	0.435651	32.4081
0.136622	9.26041	0.0211029	1.4293	0.11848	9.28744	0.306189	20.7051	0.467429	32.1584	0.573247	40.8022	0.197377	13.2462	0.437941	30.4668
0.145023	9.24596	0.0228732	1.46845	0.120423	9.2848	0.309412	19.683	0.468694	30.303	0.575159	38.3923	0.203511	12.8542	0.440368	28.7709
0.153376	9.23025	0.0243953	1.49954	0.123214	9.28091	0.312778	18.7838	0.470063	28.6648	0.577185	36.2717	0.209804	12.5151	0.44293	27.2778
0.161677	9.21319	0.0256615	1.52376	0.126243	9.27654	0.316281	17.9877	0.471543	27.2092	0.579322	34.3924	0.216239	12.2199	0.445625	25.9545
0.169919	9.19469	0.026667	1.54203	0.130354	9.27037	0.319913	17.2787	0.473138	25.9083	0.581569	32.7162	0.222804	11.9611	0.448447	24.7746
0.178097	9.17467	0.0274084	1.55498	0.13554	9.26218	0.323668	16.644	0.474853	24.74	0.583925	31.2128	0.229485	11.7329	0.451396	23.7167
0.186204	9.15301	0.0278837	1.56306	0.14179	9.25168	0.327541	16.0731	0.476693	23.6862	0.586388	29.8575	0.23627	11.5305	0.454468	22.7638
0.194234	9.1296	0.028568	1.57441	0.149088	9.23849	0.331526	15.5573	0.478664	22.7317	0.588957	28.63	0.243149	11.3502	0.457659	21.9015
0.202178	9.10431	0.0293132	1.58638	0.157416	9.22213	0.335618	15.0896	0.480772	21.8644	0.591628	27.5138	0.250112	11.1886	0.460967	21.1182
0.210029	9.07702	0.0303287	1.6021	0.165689	9.20438	0.339815	14.6641	0.483021	21.0738	0.594402	26.4948	0.257151	11.0432	0.464388	20.4041
0.217777	9.04757	0.0316159	1.62109	0.173901	9.18516	0.344113	14.2756	0.485418	20.3511	0.597275	25.5613	0.264258	10.9118	0.46792	19.7507
0.225413	9.01582	0.0331761	1.64279	0.182045	9.16435	0.348511	13.92	0.487967	19.6889	0.600247	24.7035	0.271425	10.7925	0.471559	19.1512
0.232926	8.98162	0.0350105	1.66662	0.190116	9.14186	0.353008	13.5937	0.490674	19.0808	0.603315	23.9128	0.278644	10.6838	0.475301	18.5994
0.240305	8.9448	0.0371196	1.69198	0.198105	9.11755	0.357605	13.2938	0.493544	18.5214	0.606478	23.1821	0.285911	10.5843	0.479145	18.0902
0.247539	8.90521	0.039232	1.71541	0.206005	9.09131	0.362303	13.0176	0.49658	18.0058	0.609733	22.5051	0.293218	10.4929	0.483086	17.6193
0.254614	8.86269	0.0413465	1.7371	0.213807	9.06298	0.367106	12.7629	0.499788	17.5299	0.61308	21.8763	0.300561	10.4087	0.487122	17.1826
0.261519	8.8171	0.0434623	1.75721	0.221502	9.03244	0.372017	12.5279	0.50317	17.09	0.616517	21.2911	0.307934	10.3307	0.49125	16.7768
0.268241	8.7683	0.0455787	1.77588	0.22908	8.99952	0.377041	12.3108	0.50673	16.683	0.620041	20.7453	0.315333	10.2582	0.495466	16.399
0.274768	8.71619	0.0476953	1.79326	0.236529	8.96407	0.382184	12.1103	0.510469	16.3059	0.623651	20.2353	0.322752	10.1907	0.499768	16.0466
0.281087	8.66069	0.0498118	1.80945	0.243839	8.92592	0.387451	11.9251	0.514389	15.9563	0.627345	19.7579	0.330188	10.1276	0.504153	15.7172
0.287189	8.60177	0.0519277	1.82456	0.250997	8.88493	0.392847	11.7542	0.518491	15.6317	0.631122	19.3102	0.337636	10.0683	0.508618	15.4088
0.293064	8.53944	0.0540429	1.83869	0.257991	8.84093	0.398378	11.5964	0.522775	15.3303	0.63498	18.8898	0.345092	10.0125	0.51316	15.1197
0.298705	8.47375	0.0561572	1.85192	0.264809	8.79379	0.404047	11.4509	0.527239	15.05	0.638917	18.4943	0.351594	9.96633	0.517778	14.8481
0.304105	8.40481	0.0582705	1.86433	0.271437	8.7434	0.409858	11.3167	0.531883	14.7892	0.642932	18.1218	0.357137	9.92867	0.522467	14.5927
0.309263	8.33278	0.0603828	1.87599	0.277865	8.68965	0.415812	11.1932	0.536704	14.5464	0.647023	17.7704	0.36172	9.89858	0.527226	14.3521
0.314177	8.25788	0.062494	1.88696	0.28408	8.63249	0.421909	11.0794	0.541699	14.3202	0.651188	17.4386	0.365343	9.87543	0.532053	14.1253
0.318849	8.18036	0.064604	1.89729	0.290073	8.57191	0.428146	10.9747	0.546865	14.1093	0.655426	17.1248	0.368006	9.85874	0.536945	13.9111
0.323284	8.1005	0.0667129	1.90705	0.295835	8.50793	0.43452	10.8783	0.552197	13.9124	0.659736	16.8278	0.36971	9.8482	0.5419	13.7085
0.327487	8.01863	0.0688207	1.91626	0.301359	8.44065	0.441025	10.7895	0.557692	13.7286	0.664116	16.5463	0.372158	9.83324	0.546917	13.5169
0.331467	7.93506	0.0709274	1.92498	0.306642	8.37018	0.447655	10.7076	0.563344	13.5568	0.668564	16.2792	0.374819	9.81723	0.551992	13.3352
0.335233	7.85013	0.073033	1.93325	0.311681	8.29673	0.454401	10.632	0.569148	13.3961	0.67308	16.0256	0.378435	9.79584	0.557125	13.163
0.338796	7.76417	0.0751376	1.94108	0.316477	8.22052	0.461256	10.5622	0.575099	13.2457	0.677662	15.7846	0.383005	9.76939	0.562314	12.9994
0.342167	7.67749	0.0772413	1.94853	0.321033	8.14183	0.46821	10.4974	0.581191	13.1048	0.682309	15.5552	0.388524	9.73824	0.567558	12.844
0.345357	7.59039	0.0793439	1.95561	0.325354	8.06095	0.475255	10.4374	0.587419	12.9727	0.687019	15.3368	0.394986	9.70277	0.572854	12.6962
0.348379	7.50316	0.0814456	1.96235	0.329448	7.97821	0.482381	10.3814	0.593777	12.8487	0.691792	15.1287	0.402384	9.66334	0.578202	12.5554
0.351243	7.41603	0.0835465	1.96877	0.333323	7.89394	0.489579	10.3292	0.600259	12.7323	0.696626	14.9302	0.40976	9.6251	0.583601	12.4214
0.35396	7.32923	0.0856465	1.9749	0.336989	7.80847	0.495904	10.2865	0.606859	12.6229	0.70152	14.7408	0.417109	9.5879	0.589049	12.2935
0.356543	7.24298	0.0877458	1.98075	0.340457	7.72212	0.50133	10.2518	0.613573	12.5199	0.706474	14.5598	0.424429	9.5516	0.594547	12.1716
0.359	7.15743	0.0898442	1.98634	0.343739	7.6352	0.505838	10.2244	0.620394	12.4229	0.711487	14.3869	0.431716	9.51606	0.600092	12.0552
0.361342	7.07274	0.091942	1.9917	0.346846	7.54801	0.509414	10.2033	0.627316	12.3314	0.716558	14.2215	0.438966	9.48117	0.605686	11.944
0.363578	6.98904	0.0940391	1.99682	0.349789	7.46079	0.512051	10.1882	0.634335	12.2451	0.721686	14.0632	0.446177	9.44681	0.611326	11.8377
