Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2	
459  Points		491  Points		459  Points		138  Points		110  Points		101  Points		321  Points		118  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00420771	9.49604	0.000292651	0.52143	0.0070293	9.49525	0.27958	0.322727	0.458669	0.0686953	0.559074	0.201315	0.139926	0.78232	1.00114	7.25664
0.0130551	9.49439	0.000778465	0.639773	0.015876	9.49321	0.279881	0.447907	0.458733	0.104434	0.559261	0.271679	0.140655	1.08349	0.994381	7.2745
0.0218995	9.48997	0.0014848	0.868242	0.0247189	9.48807	0.280415	0.697249	0.458863	0.176275	0.55958	0.412239	0.141945	1.6763	0.987586	7.3094
0.0307386	9.48326	0.00239634	1.07872	0.0335559	9.48065	0.28118	0.944127	0.459061	0.248912	0.560029	0.55244	0.143779	2.24676	0.98076	7.34272
0.0395705	9.47422	0.00349487	1.26874	0.042385	9.47085	0.282174	1.18776	0.459327	0.322629	0.560609	0.692071	0.146132	2.78908	0.973904	7.37443
0.0483928	9.4628	0.00476049	1.43718	0.0512038	9.45864	0.283394	1.42732	0.459662	0.397771	0.561319	0.831	0.148976	3.2992	0.967019	7.40439
0.0572034	9.4489	0.00617291	1.58408	0.0600101	9.4439	0.284834	1.66211	0.460068	0.474668	0.562158	0.969187	0.15228	3.7746	0.960107	7.43258
0.0659998	9.43239	0.00771226	1.71038	0.0688015	9.42658	0.286491	1.89145	0.460547	0.553608	0.563125	1.1064	0.156009	4.2143	0.953169	7.45901
0.0747796	9.41321	0.00936001	1.81751	0.0775755	9.40651	0.288359	2.11466	0.4611	0.634876	0.564219	1.24255	0.160132	4.61845	0.946208	7.4836
0.0835403	9.39119	0.011099	1.90733	0.0863295	9.38352	0.290431	2.33125	0.46173	0.718823	0.56544	1.37758	0.164615	4.98801	0.939224	7.50626
0.092279	9.3661	0.0129141	1.98195	0.0950607	9.35745	0.292703	2.54075	0.462439	0.805859	0.566786	1.51134	0.169427	5.32475	0.932221	7.52704
0.100993	9.33784	0.0147921	2.04336	0.103766	9.32809	0.295166	2.74272	0.463231	0.896214	0.568256	1.64374	0.174537	5.63056	0.925198	7.54584
0.109679	9.30613	0.0167217	2.09347	0.112443	9.29523	0.297813	2.93683	0.464109	0.990206	0.569849	1.77472	0.179919	5.90775	0.91816	7.56256
0.118334	9.27069	0.0186931	2.13398	0.121087	9.25858	0.300638	3.12289	0.465077	1.08825	0.571563	1.90419	0.185546	6.15854	0.911106	7.57724
0.126954	9.23125	0.0206981	2.16666	0.129695	9.21788	0.303632	3.30079	0.466137	1.19058	0.573397	2.03203	0.191395	6.38516	0.90404	7.58984
0.135535	9.18751	0.0224676	2.18978	0.137164	9.17893	0.306789	3.4704	0.467295	1.29754	0.57535	2.15821	0.197444	6.58983	0.896964	7.60024
0.144074	9.13906	0.0239893	2.20598	0.143505	9.14293	0.310099	3.63185	0.468555	1.40944	0.577419	2.28268	0.203674	6.77445	0.889878	7.60837
0.152565	9.08546	0.0252553	2.21743	0.148729	9.11102	0.313556	3.78528	0.469921	1.52653	0.579603	2.40536	0.210067	6.94089	0.882786	7.61431
0.161004	9.02631	0.0262607	2.22531	0.152846	9.08443	0.317153	3.93093	0.471399	1.64915	0.581901	2.52629	0.216608	7.09089	0.87569	7.61798
0.169385	8.96103	0.0270021	2.23042	0.155865	9.06391	0.320881	4.06923	0.472994	1.77758	0.584311	2.64531	0.223281	7.22601	0.868591	7.61923
0.177702	8.88907	0.0274774	2.23348	0.157794	9.05036	0.324735	4.20059	0.474712	1.91189	0.58683	2.76242	0.230073	7.3475	0.861492	7.61808
0.185948	8.80981	0.0281618	2.23753	0.160562	9.03043	0.328708	4.32569	0.476557	2.05235	0.589458	2.87764	0.236972	7.45667	0.854396	7.61454
0.194118	8.7225	0.028907	2.24146	0.163563	9.00799	0.332796	4.44529	0.478536	2.19909	0.592193	2.99089	0.243967	7.55466	0.847303	7.60855
0.202202	8.62645	0.0299225	2.24635	0.167632	8.97604	0.336992	4.56029	0.480655	2.35209	0.595031	3.10224	0.251049	7.64241	0.840218	7.60002
0.210192	8.52086	0.0312098	2.25164	0.172758	8.93336	0.341293	4.67162	0.482919	2.51138	0.597973	3.21157	0.258208	7.72077	0.833142	7.58896
0.218079	8.4049	0.0327702	2.25682	0.178922	8.8783	0.345697	4.78047	0.485334	2.67689	0.601016	3.3189	0.265436	7.79057	0.826077	7.57541
0.225854	8.27778	0.0346047	2.26161	0.186103	8.8084	0.350201	4.88808	0.487907	2.84845	0.604158	3.42428	0.272725	7.85252	0.819026	7.55922
0.233504	8.13867	0.0367141	2.2657	0.194271	8.72078	0.354805	4.9957	0.490642	3.02575	0.607397	3.52768	0.280068	7.90713	0.811991	7.54046
0.241019	7.9868	0.0388266	2.26847	0.202354	8.62456	0.35951	5.10476	0.493545	3.20839	0.610731	3.62907	0.287459	7.95499	0.804975	7.5192
0.248387	7.82149	0.0409412	2.27026	0.210342	8.51877	0.364317	5.21652	0.496621	3.3959	0.614159	3.7285	0.294891	7.99657	0.79798	7.49535
0.255594	7.64226	0.043057	2.27131	0.218227	8.4026	0.36923	5.33223	0.499873	3.58775	0.617679	3.82594	0.30236	8.03227	0.791008	7.46898
0.262627	7.4489	0.0451735	2.27168	0.225999	8.27526	0.374253	5.45297	0.503306	3.78329	0.621288	3.92141	0.309859	8.06251	0.784062	7.44019
0.269474	7.24146	0.04729	2.27157	0.233647	8.13593	0.379391	5.57955	0.506923	3.98166	0.624986	4.01502	0.317383	8.08755	0.777144	7.40897
0.276121	7.02032	0.0494063	2.27115	0.24116	7.9838	0.38465	5.71244	0.510725	4.18212	0.62877	4.10666	0.324929	8.10766	0.770256	7.3754
0.282556	6.78625	0.0515221	2.27043	0.248524	7.81823	0.390036	5.85174	0.514716	4.38381	0.632638	4.19642	0.332491	8.12306	0.763401	7.3396
0.288766	6.5407	0.053637	2.26952	0.255728	7.63876	0.395554	5.99703	0.518894	4.58579	0.636589	4.2843	0.340065	8.134	0.75658	7.30168
0.294743	6.28537	0.0557511	2.26852	0.262758	7.44514	0.401211	6.14749	0.523261	4.78722	0.640621	4.37033	0.347648	8.14066	0.749795	7.26181
0.300478	6.02241	0.0578642	2.26739	0.269601	7.2374	0.40701	6.30187	0.527815	4.98721	0.644733	4.45459	0.355235	8.14314	0.743913	7.22553
0.305965	5.75445	0.0599761	2.26621	0.276244	7.01597	0.412954	6.45842	0.532554	5.18489	0.648922	4.53704	0.362822	8.14165	0.738923	7.19359
0.311201	5.48418	0.062087	2.26499	0.282675	6.78174	0.419044	6.61537	0.537476	5.37949	0.653187	4.6178	0.369431	8.1372	0.734814	7.16645
0.316185	5.2145	0.0641967	2.26376	0.288881	6.53594	0.425281	6.7707	0.542578	5.57029	0.657527	4.69683	0.375061	8.13108	0.731576	7.14461
0.320918	4.9481	0.0663053	2.26252	0.294854	6.28043	0.431661	6.92236	0.547856	5.75663	0.661939	4.77418	0.379713	8.12442	0.729201	7.12841
0.325405	4.68755	0.0684126	2.26136	0.300584	6.01743	0.43818	7.06857	0.553305	5.93806	0.666423	4.84994	0.383388	8.11814	0.727021	7.11334
0.329653	4.4351	0.070519	2.26022	0.306067	5.74938	0.444832	7.20777	0.558921	6.11407	0.670977	4.92418	0.386089	8.11286	0.725508	7.10273
0.333669	4.19256	0.0726243	2.25907	0.311298	5.47908	0.451611	7.33865	0.564698	6.28425	0.675599	4.99693	0.387816	8.10927	0.723147	7.0859
0.337465	3.96139	0.0747286	2.25798	0.316276	5.20942	0.458507	7.46031	0.570631	6.44839	0.680288	5.06816	0.390298	8.10369	0.719945	7.06285
