Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
345  Points		344  Points		206  Points		142  Points		293  Points		293  Points		145  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00340617	9.01363	0.000349084	0.511815	0.459109	-0.0608457	0.612376	0.115312	0.306192	0.157147	0.306187	0.111603	0.917434	-3.05146
0.00934442	9.01279	0.000686272	0.596608	0.459069	-0.0886439	0.612451	0.192235	0.306296	0.255151	0.30626	0.209666	0.915424	-3.04097
0.0152816	9.01058	0.00113518	0.765327	0.458992	-0.143865	0.612629	0.345837	0.306528	0.450764	0.306463	0.405455	0.913428	-3.01457
0.0212169	9.00731	0.00169468	0.932064	0.45888	-0.197959	0.612907	0.498604	0.30689	0.64529	0.306794	0.600231	0.911452	-2.98207
0.0271497	9.00294	0.00236329	1.0965	0.458732	-0.250525	0.613286	0.650114	0.307379	0.838266	0.307254	0.793601	0.909498	-2.94858
0.0330793	8.99751	0.00313944	1.25828	0.458549	-0.301175	0.613764	0.800042	0.307994	1.02928	0.30784	0.985196	0.907567	-2.91442
0.039005	8.9909	0.00402122	1.41696	0.458335	-0.34944	0.61434	0.948051	0.308735	1.21793	0.308552	1.17438	0.905658	-2.87976
0.0449259	8.98317	0.00500645	1.57232	0.458089	-0.395113	0.615013	1.09388	0.309599	1.4038	0.309387	1.36092	0.903772	-2.84463
0.0508414	8.97434	0.00609293	1.72414	0.457814	-0.437776	0.615781	1.2372	0.310584	1.58651	0.310345	1.54445	0.90191	-2.80906
0.0567506	8.96425	0.0072782	1.87209	0.457512	-0.477113	0.616643	1.37781	0.311689	1.76581	0.311422	1.72455	0.900071	-2.77305
0.0626528	8.95296	0.00855963	2.01595	0.457185	-0.512905	0.617597	1.51545	0.312911	1.94137	0.312617	1.90099	0.898256	-2.73654
0.0685472	8.94044	0.00993444	2.15565	0.456836	-0.54492	0.61864	1.64987	0.314247	2.11288	0.313927	2.07344	0.896466	-2.69968
0.0744328	8.92658	0.0113999	2.29107	0.456467	-0.572906	0.619771	1.78106	0.315695	2.28014	0.315349	2.24173	0.894699	-2.66231
0.080309	8.91139	0.0129532	2.42198	0.456082	-0.596663	0.620987	1.90888	0.317252	2.44302	0.316881	2.40564	0.892958	-2.62444
0.0861746	8.89479	0.0145912	2.54841	0.455681	-0.616107	0.622286	2.03308	0.318914	2.60129	0.318519	2.56494	0.891241	-2.58611
0.0920289	8.87671	0.016311	2.67036	0.45527	-0.63107	0.623665	2.15376	0.320679	2.75479	0.32026	2.71958	0.88955	-2.54735
0.0978707	8.85713	0.0181097	2.78768	0.45485	-0.641417	0.625124	2.27083	0.322544	2.90352	0.322102	2.86944	0.887885	-2.50816
0.103699	8.83599	0.0199841	2.9005	0.454425	-0.647093	0.626658	2.38419	0.324505	3.04737	0.324041	3.01442	0.886245	-2.46842
0.109513	8.81319	0.0219314	3.0088	0.453997	-0.647982	0.628265	2.49398	0.326559	3.18634	0.326074	3.15449	0.884632	-2.42818
0.115312	8.7886	0.0239486	3.11259	0.453571	-0.643961	0.629944	2.60012	0.328703	3.3203	0.328198	3.28963	0.883046	-2.38749
0.121093	8.76222	0.0260326	3.21204	0.453149	-0.635091	0.631691	2.70262	0.330934	3.44931	0.330409	3.41985	0.881486	-2.34629
0.126857	8.73391	0.0281808	3.30714	0.452734	-0.621286	0.633505	2.80165	0.333248	3.57351	0.332704	3.54514	0.879954	-2.30461
0.132601	8.70359	0.0303902	3.39802	0.45233	-0.60248	0.635382	2.89728	0.335642	3.69275	0.33508	3.66551	0.87845	-2.26236
0.138325	8.67113	0.0326581	3.48478	0.45194	-0.578644	0.637322	2.98941	0.338114	3.80725	0.337533	3.78112	0.876973	-2.2196
0.144026	8.63645	0.0349818	3.56758	0.451568	-0.549721	0.639321	3.07827	0.340659	3.91702	0.340062	3.89198	0.875525	-2.17634
0.149704	8.59942	0.0373588	3.64648	0.451216	-0.515699	0.641378	3.16391	0.343275	4.02211	0.342662	3.99811	0.874106	-2.1325
0.155357	8.55983	0.0397864	3.72161	0.450888	-0.476449	0.64349	3.24642	0.345958	4.12271	0.34533	4.09975	0.872716	-2.08812
0.160983	8.51764	0.0422624	3.79306	0.450588	-0.432027	0.645656	3.32589	0.348707	4.21876	0.348063	4.19686	0.871355	-2.04317
0.16658	8.47262	0.0447842	3.86107	0.450319	-0.382336	0.647872	3.40237	0.351517	4.31049	0.35086	4.28957	0.870023	-1.99771
0.172147	8.42464	0.0473498	3.92572	0.450084	-0.327286	0.650139	3.4761	0.354386	4.39794	0.353716	4.37805	0.868722	-1.95164
0.17768	8.37352	0.0499568	3.98707	0.449888	-0.266802	0.652453	3.54701	0.357312	4.48126	0.356628	4.46229	0.867452	-1.90498
0.18318	8.31914	0.0526032	4.04535	0.449733	-0.200834	0.654812	3.61528	0.360291	4.5606	0.359595	4.54251	0.866212	-1.85773
0.188642	8.26123	0.055287	4.10058	0.449623	-0.129286	0.657216	3.68098	0.363321	4.63588	0.362614	4.61876	0.865004	-1.80986
0.194065	8.19959	0.0580062	4.15305	0.449562	-0.0519638	0.659662	3.74422	0.366399	4.70743	0.365681	4.69118	0.863828	-1.76144
0.199446	8.13411	0.0607592	4.20277	0.449555	0.0311626	0.66215	3.80514	0.369524	4.77532	0.368795	4.75989	0.862683	-1.71236
0.204782	8.06446	0.0635439	4.24981	0.449603	0.1202	0.664676	3.86369	0.372691	4.83952	0.371953	4.82492	0.861571	-1.66258
0.210072	7.99052	0.0663588	4.29436	0.449713	0.215306	0.66724	3.92009	0.3759	4.90018	0.375152	4.88639	0.860493	-1.61221
0.215311	7.91205	0.0692022	4.33655	0.449887	0.316648	0.669841	3.97436	0.379148	4.95749	0.378391	4.94451	0.859447	-1.56118
0.220497	7.82874	0.0720727	4.3765	0.45013	0.424244	0.672477	4.02656	0.382432	5.01152	0.381667	4.99931	0.858436	-1.50948
0.225626	7.74044	0.0749687	4.41424	0.450446	0.538343	0.675147	4.0768	0.385751	5.06229	0.384978	5.05082	0.857458	-1.45713
0.230696	7.64701	0.0778889	4.44993	0.450839	0.659024	0.677849	4.12516	0.389102	5.10999	0.388322	5.09913	0.856516	-1.40402
0.235702	7.5482	0.080832	4.48373	0.451314	0.786448	0.680582	4.17175	0.392484	5.15462	0.391697	5.14449	0.855608	-1.3502
0.240641	7.44379	0.0837968	4.51559	0.451876	0.920729	0.683346	4.21656	0.395894	5.19623	0.395101	5.18684	0.854737	-1.29571
0.24551	7.3337	0.0867819	4.54564	0.452528	1.06178	0.686138	4.25968	0.399331	5.23501	0.398531	5.22626	0.853901	-1.24048
0.250304	7.2177	0.0897862	4.57405	0.453275	1.20986	0.688958	4.30117	0.402792	5.27105	0.401987	5.26296	0.853102	-1.18451
0.25502	7.09581	0.0928087	4.60082	0.454122	1.36494	0.691805	4.34107	0.406276	5.30428	0.405466	5.29678	0.85234	-1.12778
0.259654	6.96794	0.0958483	4.6261	0.455073	1.52688	0.694678	4.37942	0.409781	5.33481	0.408966	5.32796	0.851616	-1.07025
0.264201	6.83411	0.0989041	4.64992	0.456134	1.69569	0.697576	4.41635	0.413305	5.36281	0.412486	5.35655	0.85093	-1.01195
0.268659	6.69448	0.101975	4.6723	0.457307	1.87122	0.700497	4.45188	0.416847	5.38826	0.416024	5.38256	0.850283	-0.95284
0.273022	6.54915	0.10506	4.69343	0.458599	2.05323	0.703441	4.48607	0.420405	5.41119	0.419578	5.40609	0.849675	-0.892932
0.277288	6.39832	0.108159	4.71333	0.460013	2.24137	0.706408	4.51891	0.423977	5.43167	0.423147	5.42716	0.849106	-0.832261
0.281452	6.2423	0.111271	4.73201	0.461552	2.43535	0.709396	4.55043	0.427562	5.44975	0.426729	5.44578	0.848578	-0.770684
0.285513	6.08168	0.114394	4.74956	0.463222	2.63468	0.712404	4.58073	0.431158	5.46551	0.430322	5.46209	0.848091	-0.708228
0.289466	5.91685	0.117529	4.76603	0.465024	2.83862	0.715431	4.60985	0.434763	5.47899	0.433926	5.47608	0.847645	-0.644946
0.293309	5.74837	0.120674	4.78157	0.466962	3.04669	0.718478	4.63784	0.438377	5.49022	0.437538	5.48779	0.847241	-0.580841
0.29704	5.57702	0.123829	4.79607	0.469038	3.25816	0.721542	4.6647	0.441997	5.49921	0.441157	5.49734	0.84688	-0.515816
