Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
345  Points		344  Points		206  Points		142  Points		293  Points		293  Points		145  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00340617	9.01422	0.000349084	0.213534	0.459109	1196.13	0.612376	3758.19	0.306192	1547.92	0.306187	6815.25	0.917434	2995.5
0.00934442	9.01384	0.000686272	0.299212	0.459069	440.297	0.612451	745.3	0.306296	357.565	0.30626	435.193	0.915424	948.548
0.0152816	9.01311	0.00113518	0.384494	0.458992	269.767	0.612629	413.782	0.306528	202.272	0.306463	224.92	0.913428	562.495
0.0212169	9.01202	0.00169468	0.469282	0.45888	194.42	0.612907	286.49	0.30689	141.148	0.306794	151.777	0.911452	399.288
0.0271497	9.01057	0.00236329	0.55346	0.458732	151.945	0.613286	219.173	0.307379	108.498	0.307254	114.64	0.909498	309.195
0.0330793	9.00876	0.00313944	0.636954	0.458549	124.678	0.613764	177.543	0.307994	88.2038	0.30784	92.1962	0.907567	252.08
0.039005	9.0066	0.00402122	0.719664	0.458335	105.688	0.61434	149.264	0.308735	74.3822	0.308552	77.1809	0.905658	212.64
0.0449259	9.00404	0.00500645	0.801487	0.458089	91.7007	0.615013	128.809	0.309599	64.3728	0.309387	66.4409	0.903772	183.771
0.0508414	9.00113	0.00609293	0.882361	0.457814	80.9676	0.615781	113.332	0.310584	56.7975	0.310345	58.3861	0.90191	161.727
0.0567506	8.99784	0.0072782	0.962207	0.457512	72.4703	0.616643	101.218	0.311689	50.8708	0.311422	52.1279	0.900071	144.345
0.0626528	8.99416	0.00855963	1.04095	0.457185	65.5754	0.617597	91.4819	0.312911	46.112	0.312617	47.1306	0.898256	130.289
0.0685472	8.99008	0.00993444	1.11853	0.456836	59.8681	0.61864	83.4891	0.314247	42.2109	0.313927	43.052	0.896466	118.688
0.0744328	8.98561	0.0113999	1.1949	0.456467	55.0656	0.619771	76.8123	0.315695	38.9578	0.315349	39.6635	0.894699	108.951
0.080309	8.98073	0.0129532	1.27001	0.456082	50.9683	0.620987	71.1533	0.317252	36.2064	0.316881	36.8063	0.892958	100.663
0.0861746	8.97542	0.0145912	1.34381	0.455681	47.4315	0.622286	66.2976	0.318914	33.851	0.318519	34.3667	0.891241	93.5236
0.0920289	8.96969	0.016311	1.41627	0.45527	44.3476	0.623665	62.0868	0.320679	31.8136	0.32026	32.2614	0.88955	87.3102
0.0978707	8.96351	0.0181097	1.48736	0.45485	41.6348	0.625124	58.4016	0.322544	30.0355	0.322102	30.4276	0.887885	81.8538
0.103699	8.95688	0.0199841	1.55706	0.454425	39.2301	0.626658	55.1505	0.324505	28.4715	0.324041	28.8173	0.886245	77.0246
0.109513	8.94978	0.0219314	1.62535	0.453997	37.0841	0.628265	52.2618	0.326559	27.0861	0.326074	27.3932	0.884632	72.7206
0.115312	8.9422	0.0239486	1.69222	0.453571	35.1573	0.629944	49.6789	0.328703	25.8513	0.328198	26.1257	0.883046	68.8609
0.121093	8.93411	0.0260326	1.75766	0.453149	33.4181	0.631691	47.3563	0.330934	24.7446	0.330409	24.991	0.881486	65.3804
0.126857	8.92551	0.0281808	1.82167	0.452734	31.8405	0.633505	45.2571	0.333248	23.7478	0.332704	23.9702	0.879954	62.2261
0.132601	8.91637	0.0303902	1.88425	0.45233	30.4034	0.635382	43.3509	0.335642	22.8459	0.33508	23.0474	0.87845	59.3545
0.138325	8.90668	0.0326581	1.94539	0.45194	29.0891	0.637322	41.6128	0.338114	22.0264	0.337533	22.2098	0.876973	56.7295
0.144026	8.89641	0.0349818	2.00513	0.451568	27.8828	0.639321	40.0218	0.340659	21.2789	0.340062	21.4465	0.875525	54.3209
0.149704	8.88555	0.0373588	2.06345	0.451216	26.772	0.641378	38.5603	0.343275	20.5948	0.342662	20.7484	0.874106	52.1031
0.155357	8.87406	0.0397864	2.12038	0.450888	25.7462	0.64349	37.2133	0.345958	19.9667	0.34533	20.1078	0.872716	50.0546
0.160983	8.86193	0.0422624	2.17594	0.450588	24.7962	0.645656	35.9682	0.348707	19.3881	0.348063	19.5182	0.871355	48.1569
0.16658	8.84911	0.0447842	2.23013	0.450319	23.9144	0.647872	34.814	0.351517	18.8537	0.35086	18.9741	0.870023	46.3941
0.172147	8.8356	0.0473498	2.283	0.450084	23.094	0.650139	33.7412	0.354386	18.3589	0.353716	18.4704	0.868722	44.7525
0.17768	8.82135	0.0499568	2.33454	0.449888	22.3291	0.652453	32.7418	0.357312	17.8996	0.356628	18.0032	0.867452	43.2202
0.18318	8.80633	0.0526032	2.38479	0.449733	21.6146	0.654812	31.8086	0.360291	17.4722	0.359595	17.5687	0.866212	41.7868
0.188642	8.79051	0.055287	2.43377	0.449623	20.9461	0.657216	30.9354	0.363321	17.0736	0.362614	17.1637	0.865004	40.4432
0.194065	8.77386	0.0580062	2.4815	0.449562	20.3197	0.659662	30.1166	0.366399	16.7012	0.365681	16.7854	0.863828	39.1813
0.199446	8.75633	0.0607592	2.52802	0.449555	19.7318	0.66215	29.3475	0.369524	16.3526	0.368795	16.4315	0.862683	37.9941
0.204782	8.73789	0.0635439	2.57335	0.449603	19.1793	0.664676	28.6237	0.372691	16.0255	0.371953	16.0996	0.861571	36.8752
0.210072	8.71849	0.0663588	2.61751	0.449713	18.6596	0.66724	27.9414	0.3759	15.7183	0.375152	15.7879	0.860493	35.819
0.215311	8.69811	0.0692022	2.66053	0.449887	18.1701	0.669841	27.2972	0.379148	15.429	0.378391	15.4946	0.859447	34.8206
0.220497	8.67668	0.0720727	2.70244	0.45013	17.7087	0.672477	26.6881	0.382432	15.1563	0.381667	15.2182	0.858436	33.8754
0.225626	8.65417	0.0749687	2.74326	0.450446	17.2735	0.675147	26.1113	0.385751	14.8989	0.384978	14.9573	0.857458	32.9794
0.230696	8.63053	0.0778889	2.78303	0.450839	16.8625	0.677849	25.5645	0.389102	14.6554	0.388322	14.7107	0.856516	32.1291
0.235702	8.60572	0.080832	2.82177	0.451314	16.4744	0.680582	25.0453	0.392484	14.4248	0.391697	14.4772	0.855608	31.321
0.240641	8.57968	0.0837968	2.8595	0.451876	16.1075	0.683346	24.5517	0.395894	14.2062	0.395101	14.2559	0.854737	30.5523
0.24551	8.55239	0.0867819	2.89625	0.452528	15.7606	0.686138	24.082	0.399331	13.9986	0.398531	14.0458	0.853901	29.8202
0.250304	8.52378	0.0897862	2.93205	0.453275	15.4325	0.688958	23.6345	0.402792	13.8012	0.401987	13.8461	0.853102	29.1223
0.25502	8.49381	0.0928087	2.96692	0.454122	15.1222	0.691805	23.2077	0.406276	13.6133	0.405466	13.6561	0.85234	28.4563
0.259654	8.46246	0.0958483	3.00089	0.455073	14.8286	0.694678	22.8002	0.409781	13.4341	0.408966	13.4749	0.851616	27.8202
0.264201	8.42967	0.0989041	3.03398	0.456134	14.5507	0.697576	22.4107	0.413305	13.2632	0.412486	13.3022	0.85093	27.2121
0.268659	8.39541	0.101975	3.06622	0.457307	14.2879	0.700497	22.0381	0.416847	13.0999	0.416024	13.1372	0.850283	26.6304
0.273022	8.35966	0.10506	3.09763	0.458599	14.0393	0.703441	21.6814	0.420405	12.9437	0.419578	12.9794	0.849675	26.0734
0.277288	8.3224	0.108159	3.12823	0.460013	13.8042	0.706408	21.3395	0.423977	12.7942	0.423147	12.8283	0.849106	25.5396
0.281452	8.2836	0.111271	3.15805	0.461552	13.5819	0.709396	21.0116	0.427562	12.6509	0.426729	12.6836	0.848578	25.0278
0.285513	8.24327	0.114394	3.18711	0.463222	13.3717	0.712404	20.6968	0.431158	12.5134	0.430322	12.5448	0.848091	24.5366
0.289466	8.2014	0.117529	3.21542	0.465024	13.1732	0.715431	20.3944	0.434763	12.3813	0.433926	12.4114	0.847645	24.065
0.293309	8.15801	0.120674	3.24302	0.466962	12.9858	0.718478	20.1037	0.438377	12.2543	0.437538	12.2833	0.847241	23.6119
0.29704	8.11312	0.123829	3.26991	0.469038	12.8089	0.721542	19.824	0.441997	12.132	0.441157	12.16	0.84688	23.1763
0.300657	8.06676	0.126993	3.29613	0.471255	12.642	0.724624	19.5547	0.445623	12.0143	0.444781	12.0412	0.846561	22.7573
0.30416	8.01899	0.130166	3.32169	0.473613	12.4846	0.727722	19.2953	0.449252	11.9008	0.44841	11.9267	0.846287	22.354
0.307547	7.96986	0.133348	3.3466	0.476114	12.3363	0.730837	19.0452	0.452884	11.7912	0.452041	11.8163	0.846057	21.9657
0.310819	7.91945	0.136126	3.3678	0.478757	12.1965	0.733967	18.8039	0.456516	11.6853	0.455673	11.7096	0.845871	21.5916
0.313976	7.86782	0.138499	3.38552	0.481542	12.065	0.737111	18.571	0.460149	11.583	0.459306	11.6064	0.845732	21.231
0.317019	7.81507	0.140463	3.39991	0.484468	11.9412	0.740269	18.3461	0.463779	11.4839	0.462937	11.5066	0.845638	20.8833
0.319952	7.7613	0.142019	3.41114	0.487533	11.8247	0.743441	18.1287	0.467406	11.388	0.466565	11.41	0.845591	20.5478
0.322775	7.70662	0.143163	3.41931	0.490734	11.7152	0.746625	17.9185	0.471029	11.2949	0.470189	11.3163	0.845592	20.2241
0.325491	7.65114	0.143896	3.4245	0.494069	11.6122	0.749822	17.7151	0.474647	11.2047	0.473808	11.2254	0.845641	19.9115
0.328106	7.59497	0.144951	3.4319	0.497535	11.5153	0.75303	17.5183	0.478257	11.117	0.47742	11.1371	0.845738	19.6096
0.330621	7.53824	0.146097	3.43989	0.501126	11.4242	0.75625	17.3276	0.481859	11.0318	0.481024	11.0514	0.845885	19.3179
0.333042	7.48107	0.147658	3.45063	0.50484	11.3386	0.75948	17.1428	0.485452	10.9489	0.484619	10.9679	0.846082	19.036
0.335373	7.42357	0.149633	3.46404	0.50867	11.2581	0.762721	16.9637	0.489034	10.8682	0.488204	10.8868	0.846329	18.7635
0.337619	7.36586	0.152025	3.47998	0.512613	11.1823	0.765971	16.79	0.492605	10.7896	0.491777	10.8077	0.846628	18.4999
0.339784	7.30806	0.154834	3.4983	0.516664	11.111	0.76923	16.6214	0.496162	10.7129	0.495337	10.7305	0.846978	18.2449
0.341874	7.25028	0.158061	3.51885	0.520816	11.0438	0.772498	16.4577	0.499705	10.6381	0.498884	10.6553	0.847381	17.9981
0.343894	7.19262	0.161294	3.5389	0.525066	10.9805	0.775775	16.2988	0.503232	10.565	0.502415	10.5818	0.847837	17.7593
0.345848	7.13519	0.16453	3.55847	0.529407	10.9208	0.779059	16.1443	0.506743	10.4936	0.50593	10.51	0.848347	17.5281
0.347743	7.07806	0.16777	3.57757	0.533834	10.8645	0.782351	15.9942	0.510236	10.4237	0.509427	10.4398	0.848911	17.3042
0.349582	7.02134	0.171013	3.5962	0.538342	10.8113	0.785649	15.8482	0.513265	10.364	0.51246	10.3798	0.84953	17.0874
0.35137	6.96509	0.174259	3.6144	0.542927	10.761	0.788955	15.7061	0.515835	10.314	0.515033	10.3295	0.850204	16.8773
0.353112	6.90939	0.177508	3.63216	0.547583	10.7134	0.792267	15.5679	0.517952	10.2732	0.517153	10.2886	0.850935	16.6737
0.354812	6.8543	0.18076	3.64949	0.552305	10.6683	0.795585	15.4333	0.51962	10.2413	0.518824	10.2565	0.851722	16.4765
0.356475	6.79988	0.184014	3.66642	0.557088	10.6254	0.798909	15.3022	0.520843	10.218	0.520049	10.2331	0.852566	16.2852
0.358104	6.74618	0.18727	3.68295	0.561929	10.5848	0.802238	15.1745	0.521625	10.2032	0.520831	10.2182	0.853468	16.0999
0.359704	6.69325	0.190528	3.6991	0.566824	10.5461	0.805573	15.05	0.522746	10.182	0.521954	10.197	0.854427	15.9201
0.361277	6.64111	0.193787	3.71487	0.571767	10.5092	0.808912	14.9287	0.523962	10.1591	0.523172	10.174	0.855445	15.7458
0.362828	6.58981	0.197048	3.73027	0.576755	10.4741	0.812256	14.8103	0.525611	10.1283	0.524824	10.143	0.856522	15.5767
0.364359	6.53937	0.200311	3.74532	0.581135	10.4447	0.815605	14.6948	0.527689	10.0896	0.526905	10.1042	0.857658	15.4127
0.365874	6.48982	0.203574	3.76002	0.584892	10.4206	0.818958	14.5822	0.53019	10.0435	0.52941	10.0578	0.858854	15.2536
0.367374	6.44117	0.206838	3.77438	0.588014	10.4012	0.822315	14.4722	0.533106	9.99006	0.532331	10.0042	0.86011	15.0992
0.368864	6.39343	0.210104	3.78842	0.590491	10.3863	0.825676	14.3648	0.536428	9.92973	0.535659	9.94364	0.861426	14.9495
0.370344	6.34662	0.213369	3.80214	0.592318	10.3755	0.829041	14.2599	0.539724	9.87037	0.538962	9.88406	0.862802	14.8041
0.371818	6.30074	0.216635	3.81555	0.593489	10.3686	0.83241	14.1574	0.542993	9.81194	0.542237	9.82542	0.864238	14.663
0.373287	6.2558	0.219902	3.82865	0.595175	10.3589	0.835783	14.0572	0.546234	9.75438	0.545485	9.76767	0.865735	14.526
0.374754	6.2118	0.223169	3.84147	0.597011	10.3485	0.839159	13.9594	0.549447	9.69766	0.548704	9.71075	0.867293	14.3931
0.37622	6.16874	0.226435	3.85399	0.599514	10.3345	0.84254	13.8637	0.55263	9.64173	0.551894	9.65464	0.868912	14.264
0.377687	6.12661	0.229702	3.86624	0.602688	10.3173	0.845924	13.7701	0.555783	9.58655	0.555054	9.59929	0.870591	14.1386
0.379156	6.0854	0.232968	3.87822	0.606539	10.2969	0.849312	13.6785	0.558905	9.53208	0.558183	9.54466	0.872331	14.0169
0.380439	6.05025	0.236235	3.88993	0.611072	10.2738	0.852705	13.589	0.561996	9.4783	0.561281	9.49072	0.874131	13.8987
0.381536	6.02083	0.239501	3.90138	0.616293	10.248	0.856101	13.5014	0.565055	9.42517	0.564348	9.43745	0.875992	13.7839
0.382445	5.99688	0.242766	3.91259	0.621531	10.2231	0.859502	13.4156	0.568082	9.37267	0.567383	9.3848	0.877912	13.6724
0.383166	5.97819	0.246031	3.92355	0.626785	10.199	0.862908	13.3317	0.571076	9.32076	0.570384	9.33275	0.879893	13.5641
0.383697	5.96457	0.249295	3.93427	0.632051	10.1756	0.866318	13.2495	0.574038	9.26942	0.573354	9.28129	0.881932	13.4588
0.384037	5.95592	0.252559	3.94476	0.637327	10.1529	0.869734	13.1691	0.576966	9.21863	0.576289	9.23037	0.88403	13.3565
0.384527	5.94357	0.255822	3.95502	0.642611	10.1307	0.873156	13.0903	0.57986	9.16837	0.579192	9.17999	0.886187	13.2572
0.38506	5.93024	0.259084	3.96507	0.6479	10.1091	0.876583	13.0132	0.582721	9.11862	0.58206	9.13012	0.888401	13.1606
0.385787	5.91231	0.262345	3.9749	0.653193	10.088	0.880017	12.9376	0.585548	9.06935	0.584895	9.08074	0.890672	13.0667
0.38671	5.88991	0.265605	3.98452	0.658487	10.0674	0.883459	12.8636	0.588341	9.02057	0.587696	9.03185	0.893	12.9755
0.38783	5.86327	0.268864	3.99394	0.663781	10.0471	0.886908	12.7911	0.5911	8.97224	0.590462	8.98341	0.895384	12.8867
0.389152	5.83262	0.272122	4.00316	0.669072	10.0272	0.890365	12.7201	0.593824	8.92436	0.593195	8.93543	0.897822	12.8004
0.390678	5.79824	0.275378	4.01218	0.674358	10.0076	0.893831	12.6506	0.596516	8.87691	0.595894	8.88788	0.900315	12.7165
0.392215	5.76469	0.278634	4.02102	0.679637	9.98829	0.897307	12.5824	0.599173	8.82989	0.598559	8.84076	0.902861	12.6349
0.393764	5.73195	0.281888	4.02967	0.684908	9.96923	0.900793	12.5157	0.601797	8.78328	0.601191	8.79406	0.905458	12.5555
0.395325	5.70002	0.285141	4.03814	0.690169	9.95039	0.90429	12.4503	0.604388	8.73709	0.60379	8.74777	0.908108	12.4783
0.396899	5.66887	0.288393	4.04644	0.695417	9.93172	0.9078	12.3863	0.606946	8.69129	0.606355	8.70188	0.910807	12.4031
0.398487	5.63849	0.291643	4.05456	0.700651	9.91319	0.911323	12.3236	0.609471	8.64589	0.608888	8.65639	0.913556	12.3299
0.400089	5.60886	0.294892	4.06252	0.705868	9.89478	0.914859	12.2622	0.611965	8.60088	0.611389	8.61129	0.916352	12.2586
0.401704	5.57998	0.298139	4.07032	0.711068	9.87646	0.918411	12.202	0.614426	8.55625	0.613858	8.56657	0.919195	12.1892
0.403334	5.55182	0.301385	4.07795	0.716248	9.8582	0.92198	12.1432	0.616857	8.51201	0.616296	8.52224	0.922084	12.1217
0.404979	5.52436	0.30463	4.08543	0.721406	9.83997	0.925565	12.0855	0.619257	8.46815	0.618703	8.47829	0.925018	12.0558
0.406639	5.4976	0.307873	4.09276	0.72654	9.82174	0.929169	12.0291	0.621627	8.42466	0.62108	8.43472	0.927994	11.9916
0.408314	5.47151	0.311114	4.09994	0.731649	9.8035	0.932793	11.9739	0.623968	8.38155	0.623428	8.39152	0.931013	11.9291
0.410005	5.44608	0.314353	4.10698	0.736731	9.78521	0.936438	11.9199	0.626281	8.33882	0.625746	8.3487	0.934072	11.8681
0.411711	5.42131	0.317591	4.11388	0.741783	9.76685	0.940106	11.867	0.628565	8.29645	0.628037	8.30625	0.93717	11.8086
0.413433	5.39716	0.320828	4.12063	0.746805	9.7484	0.943797	11.8154	0.630822	8.25447	0.6303	8.26418	0.940306	11.7506
0.41517	5.37362	0.324063	4.12726	0.751793	9.72985	0.947512	11.7649	0.633052	8.21285	0.632537	8.22248	0.943479	11.694
0.416924	5.35069	0.327296	4.13375	0.756747	9.71116	0.951255	11.7155	0.635257	8.17161	0.634748	8.18115	0.946687	11.6387
0.418693	5.32835	0.330527	4.14011	0.761664	9.69231	0.955024	11.6673	0.637437	8.13075	0.636933	8.1402	0.949928	11.5847
0.420478	5.30658	0.333756	4.14635	0.766542	9.6733	0.958823	11.6201	0.639593	8.09026	0.639095	8.09963	0.953202	11.532
0.42228	5.28537	0.336984	4.15246	0.77138	9.65409	0.962652	11.5741	0.641725	8.05015	0.641233	8.05943	0.956508	11.4805
0.424097	5.2647	0.34021	4.15846	0.776176	9.63467	0.966513	11.5292	0.643835	8.01042	0.643348	8.01961	0.959842	11.4301
0.42593	5.24457	0.343435	4.16433	0.780928	9.61503	0.970406	11.4854	0.645924	7.97107	0.645441	7.98017	0.963205	11.3809
0.42778	5.22495	0.346657	4.1701	0.785635	9.59515	0.974333	11.4427	0.647991	7.93209	0.647513	7.9411	0.966157	11.3388
0.429645	5.20584	0.349878	4.17575	0.790294	9.57501	0.978296	11.401	0.650039	7.8935	0.649566	7.90242	0.968689	11.3036
0.431525	5.18723	0.353097	4.18129	0.794904	9.5546	0.981779	11.3655	0.652068	7.85529	0.651598	7.86413	0.970793	11.2749
0.433422	5.16909	0.356314	4.18672	0.799463	9.5339	0.98477	11.3359	0.654078	7.81747	0.653613	7.82621	0.972463	11.2525
0.435334	5.15142	0.359529	4.19205	0.803971	9.51292	0.987259	11.3119	0.656071	7.78003	0.65561	7.78868	0.973694	11.2362
0.437262	5.13421	0.362743	4.19728	0.808424	9.49162	0.989237	11.2932	0.658047	7.74297	0.65759	7.75154	0.974484	11.2258
0.439206	5.11744	0.365954	4.2024	0.812823	9.47002	0.990698	11.2795	0.660008	7.7063	0.659554	7.71478	0.975621	11.2109
0.441164	5.10111	0.369164	4.20743	0.817165	9.44809	0.991635	11.2709	0.661954	7.67002	0.661503	7.67841	0.97686	11.1949
0.443138	5.0852	0.372372	4.21236	0.82145	9.42583	0.992987	11.2585	0.663885	7.63413	0.663438	7.64243	0.978548	11.1733
0.445128	5.06969	0.375578	4.2172	0.825676	9.40324	0.99446	11.2453	0.665804	7.59863	0.66536	7.60683	0.980691	11.1462
0.447132	5.05459	0.378782	4.22195	0.829843	9.38032	0.996472	11.2274	0.66771	7.56351	0.667269	7.57162	0.983292	11.114
0.449151	5.03988	0.381985	4.2266	0.833949	9.35705	0.999031	11.2051	0.669604	7.52878	0.669166	7.53681	0.986356	11.0767
0.451185	5.02555	0.385185	4.23117	0.837994	9.33344	1.00215	11.1787	0.671488	7.49445	0.671051	7.50238	0.989889	11.0347
0.453233	5.01159	0.388384	4.23566	0.841978	9.3095			0.673361	7.4605	0.672927	7.46834	0.993437	10.9936
0.455296	4.99799	0.39158	4.24006	0.845899	9.28522			0.675225	7.42694	0.674793	7.43469	0.997	10.9531
0.457373	4.98475	0.394775	4.24437	0.849757	9.2606			0.67708	7.39376	0.67665	7.40143	1.00058	10.9134
0.459464	4.97184	0.397968	4.24861	0.853553	9.23566			0.678927	7.36098	0.678499	7.36855		
0.461569	4.95926	0.401159	4.25276	0.857286	9.21039			0.680767	7.32858	0.68034	7.33606		
0.463688	4.94701	0.404348	4.25684	0.860956	9.18481			0.6826	7.29656	0.682175	7.30396		
0.465821	4.93508	0.407536	4.26085	0.864563	9.15892			0.684427	7.26493	0.684004	7.27224		
0.467967	4.92346	0.410721	4.26477	0.868108	9.13274			0.686249	7.23369	0.685827	7.2409		
0.470127	4.91213	0.413905	4.26863	0.871592	9.10627			0.688066	7.20282	0.687645	7.20995		
0.4723	4.90109	0.417086	4.27242	0.875014	9.07953			0.689879	7.17234	0.689459	7.17938		
0.474485	4.89034	0.420266	4.27613	0.878375	9.05253			0.691689	7.14223	0.691269	7.14918		
0.476684	4.87987	0.423444	4.27978	0.881677	9.02528			0.693495	7.1125	0.693076	7.11936		
0.478895	4.86966	0.42662	4.28336	0.88492	8.9978			0.695299	7.08314	0.694881	7.08992		
0.481119	4.85971	0.429794	4.28687	0.888106	8.9701			0.697101	7.05416	0.696683	7.06085		
0.483355	4.85003	0.432967	4.29032	0.891234	8.94219			0.698902	7.02554	0.698484	7.03215		
0.485603	4.84058	0.436137	4.29371	0.894307	8.9141			0.700702	6.99729	0.700284	7.00382		
0.487863	4.83138	0.439306	4.29703	0.897325	8.88583			0.702501	6.96941	0.702083	6.97585		
0.490135	4.82242	0.442473	4.30029	0.90029	8.85741			0.7043	6.94189	0.703883	6.94824		
0.492418	4.81369	0.445638	4.3035	0.903203	8.82885			0.7061	6.91473	0.705682	6.921		
0.494713	4.80517	0.448801	4.30665	0.906066	8.80016			0.707901	6.88792	0.707483	6.89411		
