Sym0		Asym0		Sym1		Asym1		Asym2		Asym3	
342  Points		342  Points		210  Points		292  Points		292  Points		144  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00483857	9.01422	5.08762e-005	0.0815746	0.459114	2025.1	0.322759	1188.14	0.322751	2588.83	0.91823	12419.1
0.0106335	9.01372	0.000209665	0.165533	0.459089	527.905	0.322868	353.023	0.322833	420.573	0.918134	1280.76
0.0164273	9.01294	0.000476166	0.249362	0.459035	303.48	0.323095	207.443	0.323033	229.015	0.917885	675.015
0.0222192	9.01181	0.000849592	0.332851	0.458953	212.922	0.323439	146.988	0.32335	157.466	0.917488	458.119
0.0280085	9.01033	0.00132932	0.416011	0.458843	163.964	0.323899	113.914	0.323784	120.08	0.916951	346.587
0.0337948	9.00851	0.00191411	0.498684	0.458706	133.292	0.324476	93.0716	0.324334	97.1256	0.916287	278.626
0.0395771	9.00636	0.00260271	0.580798	0.458542	112.27	0.325166	78.7473	0.324998	81.6116	0.915507	232.863
0.045355	9.00385	0.00339369	0.662289	0.458354	96.9604	0.32597	68.3065	0.325776	70.4353	0.914623	199.942
0.0511275	9.00098	0.00428532	0.743061	0.458141	85.3124	0.326884	60.3654	0.326666	62.0081	0.91365	175.116
0.0568941	8.99776	0.00527574	0.823041	0.457906	76.1515	0.327909	54.128	0.327665	55.4326	0.912598	155.725
0.062654	8.99416	0.00636301	0.902172	0.45765	68.7573	0.32904	49.1035	0.328772	50.1638	0.91148	140.158
0.0684064	8.99019	0.0075449	0.980378	0.457374	62.663	0.330277	44.973	0.329985	45.8509	0.910306	127.384
0.0741506	8.98584	0.00881915	1.0576	0.457082	57.5533	0.331617	41.5205	0.331301	42.2587	0.909086	116.713
0.0798857	8.9811	0.0101834	1.13378	0.456774	53.2072	0.333057	38.594	0.332719	39.2229	0.907828	107.664
0.0856108	8.97595	0.0116352	1.20889	0.456452	49.4652	0.334594	36.0839	0.334234	36.6256	0.906539	99.8945
0.0913253	8.9704	0.013172	1.28287	0.45612	46.2096	0.336228	33.9089	0.335846	34.3801	0.905227	93.1505
0.097028	8.96443	0.0147912	1.35568	0.455778	43.3513	0.337953	32.0076	0.337551	32.4208	0.903896	87.2417
0.102718	8.95803	0.0164903	1.4273	0.455431	40.8219	0.339768	30.3325	0.339346	30.6975	0.902553	82.0222
0.108395	8.95119	0.0182664	1.49769	0.455079	38.5677	0.341671	28.8466	0.341228	29.1712	0.901201	77.3783
0.114056	8.94388	0.0201171	1.56683	0.454725	36.5465	0.343657	27.5204	0.343195	27.8108	0.899845	73.2199
0.119703	8.9361	0.0220395	1.6347	0.454373	34.7239	0.345724	26.3303	0.345244	26.5915	0.898488	69.4749
0.125332	8.92784	0.0240312	1.7013	0.454025	33.0723	0.34787	25.257	0.347372	25.4929	0.897133	66.0848
0.130943	8.91907	0.0260895	1.76661	0.453683	31.5689	0.350091	24.2847	0.349576	24.4988	0.895783	63.0016
0.136535	8.90978	0.0282117	1.83061	0.45335	30.1949	0.352384	23.4001	0.351854	23.5952	0.89444	60.1857
0.142106	8.89995	0.0303955	1.89332	0.453029	28.9345	0.354747	22.5925	0.354201	22.7709	0.893107	57.6039
0.147656	8.88955	0.0326382	1.95474	0.452724	27.7745	0.357178	21.8525	0.356616	22.0162	0.891786	55.2285
0.153182	8.87857	0.0349374	2.01486	0.452436	26.7036	0.359672	21.1723	0.359096	21.3229	0.890478	53.0358
0.158683	8.86698	0.0372908	2.07369	0.452169	25.7121	0.362228	20.5452	0.361638	20.6842	0.889185	51.0057
0.164157	8.85476	0.039696	2.13124	0.451926	24.7919	0.364843	19.9654	0.36424	20.0941	0.887909	49.1209
0.169603	8.84188	0.0421508	2.18753	0.45171	23.9358	0.367514	19.4281	0.366898	19.5474	0.886651	47.3665
0.175019	8.82832	0.044653	2.24256	0.451524	23.1377	0.370238	18.9288	0.369611	19.0398	0.885412	45.7297
0.180402	8.81404	0.0472005	2.29636	0.451372	22.3922	0.373014	18.4638	0.372375	18.5672	0.884194	44.1991
0.185752	8.79901	0.0497912	2.34892	0.451257	21.6945	0.375839	18.0298	0.375189	18.1264	0.882997	42.7649
0.191065	8.78321	0.0524233	2.40029	0.451181	21.0406	0.37871	17.6239	0.378049	17.7144	0.881823	41.4183
0.19634	8.76659	0.0550947	2.45047	0.45115	20.4266	0.381625	17.2437	0.380955	17.3285	0.880673	40.1518
0.201574	8.74913	0.0578036	2.49948	0.451165	19.8495	0.384582	16.8867	0.383902	16.9664	0.879547	38.9585
0.206765	8.73079	0.0605483	2.54735	0.451231	19.3063	0.387578	16.551	0.38689	16.626	0.878447	37.8324
0.21191	8.71152	0.0633271	2.59408	0.451352	18.7945	0.390612	16.2348	0.389915	16.3055	0.877373	36.7681
0.217005	8.69129	0.0661383	2.63972	0.451531	18.3117	0.393681	15.9366	0.392976	16.0032	0.876327	35.7607
