Sym0		Asym0		Sym1		Asym1		Asym2	
340  Points		338  Points		219  Points		291  Points		291  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00357851	9.01365	0.000203138	0.405627	0.459114	-0.0283426	0.353564	0.157966	0.35356	0.13984
0.00911597	9.01292	0.000452331	0.485307	0.459097	-0.0445149	0.353661	0.239376	0.353646	0.221293
0.0146525	9.01094	0.000799426	0.644148	0.459059	-0.0768144	0.353859	0.401855	0.353832	0.383899
0.0201876	9.00799	0.00124379	0.801881	0.459002	-0.108646	0.354155	0.563527	0.354117	0.545715
0.0257205	9.00409	0.00178468	0.958283	0.458926	-0.139874	0.354551	0.724256	0.354502	0.706508
0.0312507	8.99928	0.00242121	1.11291	0.45883	-0.17034	0.355045	0.883652	0.354986	0.866033
0.0367778	8.99356	0.0031521	1.26567	0.458717	-0.199725	0.355637	1.04138	0.355566	1.02402
0.042301	8.98679	0.00397632	1.41633	0.458585	-0.228062	0.356325	1.19733	0.356244	1.18016
0.0478197	8.97901	0.00489233	1.5646	0.458436	-0.255076	0.357108	1.35118	0.357016	1.33425
0.0533333	8.97023	0.00589871	1.7104	0.458272	-0.280559	0.357985	1.50269	0.357883	1.48604
0.0588412	8.96044	0.00699386	1.85349	0.458092	-0.304422	0.358954	1.65164	0.358842	1.63523
0.0643429	8.94953	0.00817606	1.99371	0.457898	-0.326488	0.360014	1.79782	0.359892	1.78177
0.0698374	8.93749	0.0094435	2.13097	0.457691	-0.346628	0.361163	1.9411	0.361031	1.92534
0.0753242	8.9244	0.0107943	2.2651	0.457472	-0.364693	0.362399	2.08128	0.362258	2.06585
0.0808026	8.91011	0.0122266	2.39596	0.457242	-0.380496	0.36372	2.21823	0.36357	2.20324
0.0862719	8.89453	0.0137382	2.5236	0.457004	-0.393886	0.365125	2.35183	0.364965	2.33719
0.0917312	8.87768	0.0153273	2.64792	0.456758	-0.40478	0.36661	2.48197	0.366441	2.46768
0.0971798	8.85955	0.0169917	2.76871	0.456507	-0.413017	0.368174	2.60852	0.367997	2.5947
0.102617	8.84006	0.0187292	2.88611	0.456251	-0.418495	0.369815	2.73143	0.369629	2.71801
0.108041	8.81918	0.0205378	3.00005	0.455993	-0.421119	0.37153	2.85073	0.371337	2.83767
0.113453	8.79675	0.0224153	3.11053	0.455734	-0.420703	0.373318	2.96626	0.373116	2.95368
0.11885	8.77277	0.0243596	3.21752	0.455476	-0.417205	0.375175	3.07802	0.374966	3.06585
0.124232	8.74714	0.0263686	3.32109	0.455221	-0.410431	0.3771	3.18603	0.376883	3.17422
0.129597	8.71976	0.0284402	3.42127	0.454971	-0.400327	0.379089	3.29029	0.378866	3.2789
0.134946	8.69066	0.0305722	3.51799	0.454729	-0.386784	0.381142	3.39075	0.380912	3.37983
0.140275	8.65967	0.0327627	3.61146	0.454496	-0.369583	0.383256	3.48747	0.383019	3.47696
0.145586	8.62668	0.0350096	3.70164	0.454275	-0.348733	0.385427	3.58049	0.385184	3.57036
0.150875	8.59159	0.0373108	3.7886	0.454068	-0.324138	0.387655	3.6698	0.387405	3.66007
0.156142	8.55428	0.0396646	3.87243	0.453877	-0.295608	0.389936	3.75554	0.389681	3.74619
0.161385	8.51466	0.0420688	3.95312	0.453705	-0.262986	0.392269	3.83762	0.392008	3.82868
0.166604	8.47262	0.0445217	4.03085	0.453554	-0.226289	0.394652	3.91613	0.394385	3.90757
0.171795	8.42799	0.0470215	4.10567	0.453426	-0.185329	0.397081	3.99117	0.396809	3.98305
