Sym0		Asym0		Sym1		Asym1		Asym2	
337  Points		334  Points		218  Points		288  Points		288  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00206857	9.01437	0.000423313	0.235164	0.459111	1145.35	0.360851	1537.49	0.360846	3261.11
0.00760618	9.01402	0.000760757	0.31509	0.45909	452.221	0.360938	425.112	0.360913	497.816
0.013143	9.01342	0.00119567	0.394771	0.459049	281.706	0.361123	246.773	0.361078	269.595
0.0186785	9.01254	0.00172723	0.474111	0.45899	204.553	0.361407	173.943	0.361342	184.955
0.024212	9.01132	0.00235454	0.553041	0.458912	160.559	0.361788	134.39	0.361703	140.849
0.0297431	9.00983	0.00307656	0.631507	0.458817	132.127	0.362265	109.565	0.362161	113.803
0.0352711	9.00801	0.00389207	0.709439	0.458704	112.238	0.362839	92.5433	0.362716	95.5345
0.0407953	9.00585	0.00479983	0.786798	0.458575	97.5435	0.363508	80.1545	0.363365	82.3763
0.0463153	9.0034	0.00579835	0.863516	0.45843	86.2427	0.364271	70.74	0.364109	72.454
0.0518304	9.0006	0.00688609	0.939549	0.45827	77.2809	0.365126	63.3484	0.364946	64.7099
0.05734	8.99749	0.00806142	1.01485	0.458096	69.9996	0.366072	57.395	0.365874	58.5017
0.0628434	8.99403	0.00932251	1.08935	0.457908	63.9661	0.367108	52.5005	0.366891	53.4172
0.0683399	8.99023	0.0106676	1.16304	0.457709	58.8849	0.368231	48.4082	0.367997	49.1794
0.0738289	8.98608	0.0120949	1.23587	0.457499	54.5467	0.36944	44.9379	0.369189	45.5953
0.0793097	8.98159	0.0136023	1.3078	0.457279	50.7996	0.370734	41.9597	0.370466	42.5264
0.0847815	8.97672	0.0151878	1.3788	0.457051	47.5304	0.37211	39.3774	0.371825	39.8707
0.0902436	8.97149	0.0168495	1.44885	0.456817	44.6533	0.373566	37.1184	0.373265	37.5514
0.0956952	8.96587	0.0185852	1.51792	0.456577	42.1016	0.375099	35.1266	0.374783	35.5095
0.101135	8.95986	0.0203929	1.58598	0.456334	39.8233	0.376709	33.3582	0.376378	33.699
0.106564	8.95344	0.0222706	1.65303	0.45609	37.7766	0.378392	31.7785	0.378046	32.0837
0.111979	8.94662	0.024216	1.71904	0.455845	35.9282	0.380147	30.3594	0.379787	30.6342
0.11738	8.93937	0.0262272	1.78401	0.455602	34.2506	0.38197	29.0784	0.381597	29.3269
0.122766	8.93168	0.0283019	1.84791	0.455362	32.7214	0.383861	27.9167	0.383474	28.1425
0.128136	8.92353	0.0304383	1.91076	0.455129	31.3219	0.385816	26.8589	0.385416	27.0648
0.133489	8.91492	0.0326342	1.97254	0.454903	30.0364	0.387834	25.892	0.387421	26.0805
0.138824	8.90582	0.0348876	2.03324	0.454687	28.8518	0.389911	25.0051	0.389487	25.1782
0.14414	8.89621	0.0371966	2.09288	0.454483	27.7568	0.392046	24.1891	0.391611	24.3485
0.149435	8.88609	0.0395593	2.15144	0.454293	26.7419	0.394237	23.4359	0.39379	23.5833
0.154708	8.87543	0.0419736	2.20894	0.454121	25.7988	0.396481	22.7389	0.396024	22.8754
0.159958	8.86421	0.0444377	2.26538	0.453967	24.9203	0.398776	22.0921	0.398309	22.2189
0.165183	8.8524	0.04695	2.32077	0.453835	24.1003	0.40112	21.4906	0.400643	21.6086
0.170383	8.83999	0.0495085	2.37512	0.453726	23.3333	0.403511	20.9297	0.403024	21.0399
0.175554	8.82695	0.0521116	2.42842	0.453645	22.6147	0.405946	20.4058	0.405451	20.5088
0.180696	8.81326	0.0547575	2.4807	0.453593	21.9402	0.408424	19.9154	0.40792	20.0119
0.185807	8.79888	0.0574446	2.53197	0.453574	21.3061	0.410942	19.4554	0.41043	19.5459
0.190884	8.7838	0.0601714	2.58224	0.45359	20.7092	0.413499	19.0231	0.41298	19.1083
0.195927	8.76797	0.0629363	2.63152	0.453644	20.1466	0.416092	18.6163	0.415566	18.6965
0.200933	8.75138	0.065738	2.67982	0.45374	19.6157	0.41872	18.2327	0.418187	18.3084
0.205899	8.73398	0.0685747	2.72717	0.45388	19.1141	0.421381	17.8705	0.420841	17.942
0.210824	8.71576	0.0714453	2.77356	0.454068	18.6398	0.424072	17.528	0.423526	17.5956
0.215704	8.69666	0.0743484	2.81903	0.454307	18.1908	0.426793	17.2036	0.426241	17.2677
0.220539	8.67665	0.0772826	2.86358	0.4546	17.7656	0.42954	16.8959	0.428983	16.9568
0.225324	8.65571	0.0802468	2.90724	0.454952	17.3625	0.432313	16.6038	0.431751	16.6616
0.230057	8.6338	0.0832397	2.95001	0.455365	16.9801	0.43511	16.326	0.434544	16.381
0.234736	8.61086	0.0862602	2.99191	0.455844	16.6173	0.437929	16.0615	0.437358	16.1139
0.239358	8.58688	0.0893071	3.03297	0.456392	16.2729	0.440769	15.8095	0.440194	15.8594
0.243919	8.56181	0.0923793	3.07319	0.457014	15.9457	0.443627	15.5689	0.443049	15.6166
0.248417	8.53562	0.0954759	3.11259	0.457712	15.635	0.446503	15.3391	0.445921	15.3847
0.252847	8.50826	0.0985957	3.15118	0.458492	15.3397	0.449394	15.1194	0.448809	15.163
0.257208	8.47972	0.101738	3.189	0.459356	15.0591	0.4523	14.909	0.451712	14.9507
0.261497	8.44994	0.104902	3.22604	0.460309	14.7924	0.455218	14.7073	0.454628	14.7474
0.265708	8.41891	0.108086	3.26233	0.461355	14.539	0.458148	14.5139	0.457556	14.5523
0.269841	8.3866	0.11129	3.29788	0.462498	14.2982	0.461088	14.3282	0.460493	14.3651
0.273891	8.35299	0.114512	3.3327	0.463741	14.0694	0.464036	14.1497	0.46344	14.1852
0.277856	8.31805	0.117753	3.36682	0.465088	13.8521	0.466991	13.9779	0.466394	14.0121
0.281732	8.28179	0.121011	3.40025	0.466542	13.6457	0.469952	13.8126	0.469354	13.8455
0.285517	8.24418	0.124285	3.433	0.468107	13.4498	0.472918	13.6532	0.472318	13.6849
0.28921	8.20524	0.127576	3.46508	0.469786	13.2639	0.475886	13.4995	0.475287	13.5301
0.292806	8.16497	0.130881	3.49652	0.47158	13.0876	0.478857	13.3511	0.478257	13.3806
0.296306	8.12339	0.134201	3.52732	0.473494	12.9204	0.481828	13.2077	0.481228	13.2363
0.299706	8.08053	0.137535	3.5575	0.475527	12.762	0.484799	13.0691	0.484199	13.0967
0.303007	8.03641	0.140882	3.58708	0.477683	12.6119	0.487768	12.9349	0.487169	12.9616
0.306208	7.99108	0.144242	3.61606	0.479961	12.4698	0.490734	12.8049	0.490135	12.8308
0.309307	7.9446	0.147614	3.64447	0.482363	12.3353	0.493696	12.679	0.493098	12.7041
0.312306	7.89702	0.150997	3.6723	0.484889	12.2081	0.496653	12.5568	0.496056	12.5812
0.315206	7.84842	0.154392	3.69958	0.487537	12.0878	0.499603	12.4382	0.499008	12.4619
0.318006	7.79886	0.157797	3.72632	0.490307	11.9741	0.502546	12.323	0.501952	12.346
0.320711	7.74844	0.161212	3.75253	0.493198	11.8666	0.50548	12.211	0.504889	12.2333
0.32332	7.69723	0.164637	3.77822	0.496207	11.7651	0.508405	12.102	0.507815	12.1238
0.325837	7.64533	0.168071	3.8034	0.499333	11.6693	0.511319	11.996	0.510732	12.0172
0.328264	7.59285	0.171513	3.82808	0.502573	11.5788	0.514222	11.8927	0.513637	11.9133
0.330606	7.53986	0.174964	3.85229	0.505923	11.4933	0.517112	11.792	0.51653	11.8121
0.332865	7.48649	0.178423	3.87601	0.509381	11.4125	0.519988	11.6937	0.519409	11.7134
0.335045	7.43282	0.18189	3.89928	0.512942	11.3363	0.52285	11.5979	0.522274	11.617
0.33715	7.37895	0.185363	3.92209	0.516604	11.2643	0.525697	11.5042	0.525123	11.523
0.339184	7.32498	0.188844	3.94446	0.520361	11.1962	0.528527	11.4127	0.527957	11.431
0.341151	7.271	0.19233	3.96639	0.52421	11.1319	0.53134	11.3233	0.530773	11.3412
0.343056	7.21711	0.195374	3.98516	0.528147	11.0711	0.534135	11.2357	0.533572	11.2532
0.344903	7.16338	0.197972	4.0009	0.532167	11.0135	0.536911	11.15	0.536352	11.1672
0.346696	7.1099	0.200122	4.01376	0.536266	10.959	0.539668	11.0661	0.539113	11.0829
0.348439	7.05674	0.201824	4.02381	0.540441	10.9074	0.542404	10.9838	0.541853	11.0003
0.350137	7.00398	0.203077	4.03114	0.544687	10.8585	0.545119	10.9032	0.544573	10.9193
0.351793	6.95167	0.203878	4.03581	0.549	10.812	0.547813	10.824	0.547271	10.8399
0.353411	6.89989	0.205031	4.04248	0.553376	10.7679	0.550484	10.7464	0.549946	10.7619
0.354995	6.84867	0.206285	4.04968	0.557812	10.726	0.553132	10.6701	0.552599	10.6854
0.356549	6.79808	0.207992	4.0594	0.562303	10.6861	0.555757	10.5952	0.555229	10.6102
0.358076	6.74815	0.210151	4.07156	0.566847	10.6482	0.558357	10.5215	0.557834	10.5363
0.35958	6.69893	0.212765	4.08608	0.571439	10.612	0.560934	10.4491	0.560085	10.4729
0.361063	6.65044	0.215835	4.10284	0.576077	10.5774	0.563158	10.387	0.561989	10.4196
0.362528	6.60272	0.219361	4.12174	0.580757	10.5444	0.565039	10.3347	0.563552	10.376
0.363979	6.55579	0.222891	4.14028	0.585476	10.5128	0.566584	10.2919	0.564782	10.3418
0.365418	6.50968	0.226425	4.15846	0.590232	10.4826	0.567799	10.2583	0.565682	10.3168
0.366664	6.47017	0.229962	4.1763	0.594404	10.4573	0.568688	10.2338	0.566257	10.3009
0.367721	6.43699	0.233502	4.19381	0.597979	10.4364	0.569255	10.2182	0.56708	10.2782
0.368593	6.40991	0.237046	4.21099	0.600948	10.4196	0.570068	10.1959	0.567972	10.2536
0.369282	6.38873	0.240592	4.22784	0.603303	10.4065	0.570949	10.1717	0.56918	10.2203
0.369788	6.37329	0.244141	4.24438	0.605038	10.3971	0.572141	10.1391	0.570698	10.1786
0.370111	6.36346	0.247692	4.26061	0.606151	10.3912	0.57364	10.0981	0.572521	10.1287
0.370576	6.34942	0.251245	4.27654	0.607752	10.3827	0.575439	10.049	0.574641	10.0708
0.371081	6.33426	0.2548	4.29218	0.609496	10.3736	0.577531	9.99214	0.577048	10.0053
0.371767	6.31381	0.258357	4.30752	0.611872	10.3614	0.579906	9.92772	0.579429	9.94065
0.372635	6.28826	0.261916	4.32257	0.614885	10.3463	0.582254	9.86417	0.581782	9.87693
0.373686	6.25779	0.265476	4.33735	0.61854	10.3285	0.584575	9.80148	0.584109	9.81407
0.37492	6.22267	0.269037	4.35186	0.62284	10.3082	0.586869	9.73962	0.586408	9.75204
0.376339	6.18318	0.2726	4.3661	0.627792	10.2855	0.589136	9.67856	0.58868	9.69082
0.377764	6.14457	0.276163	4.38007	0.63276	10.2636	0.591376	9.61828	0.590925	9.63039
0.379195	6.10683	0.279727	4.39379	0.637742	10.2424	0.593588	9.55876	0.593144	9.57072
0.380634	6.06995	0.283292	4.40726	0.642736	10.2217	0.595774	9.49998	0.595335	9.51179
0.382082	6.03393	0.286858	4.42048	0.64774	10.2016	0.597934	9.44192	0.5975	9.45359
0.383541	5.99876	0.290424	4.43345	0.652752	10.1821	0.600067	9.38457	0.599638	9.39609
0.38501	5.96443	0.293989	4.44619	0.657772	10.163	0.602174	9.3279	0.601751	9.33929
0.386491	5.93093	0.297556	4.4587	0.662797	10.1443	0.604256	9.27191	0.603837	9.28316
0.387985	5.89825	0.301122	4.47098	0.667825	10.1261	0.606312	9.21657	0.605899	9.22769
0.389493	5.86639	0.304687	4.48303	0.672856	10.1082	0.608343	9.16189	0.607935	9.17288
