Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
427  Points		528  Points		426  Points		406  Points		353  Points		254  Points		457  Points		401  Points		346  Points		217  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.279509	844.917	0.000216679	0.0906026	0.27951	538.481	0.441152	2316.66	0.559017	2420.26	0.838526	17012.4	0.139763	286.104	0.419267	517.753	0.698772	1295.98	0.882305	1145.37
0.279518	221.399	0.00041787	0.125742	0.279521	192.671	0.44116	393.148	0.559026	480.812	0.838529	854.783	0.139832	98.459	0.419283	240.763	0.698778	475.075	0.882313	518.392
0.279536	127.398	0.000683661	0.160675	0.279541	117.333	0.44118	214.81	0.559045	266.928	0.838538	438.41	0.139966	59.5121	0.41931	156.859	0.698791	290.851	0.882326	335.012
0.279565	89.4352	0.00101341	0.19539	0.279572	84.357	0.441211	147.784	0.559075	184.753	0.838552	294.811	0.140167	42.687	0.419348	116.328	0.698809	209.584	0.882345	247.474
0.279604	68.9089	0.00140626	0.229845	0.279613	65.8556	0.441255	112.645	0.559116	141.271	0.838572	222.076	0.140433	33.3151	0.419398	92.4485	0.698833	163.816	0.88237	196.209
0.279653	56.0507	0.00186102	0.263975	0.279664	54.0148	0.441309	91.0123	0.559168	114.362	0.838599	178.131	0.140763	27.3487	0.41946	76.7081	0.698862	134.457	0.882401	162.541
0.279712	47.2408	0.00237669	0.297767	0.279725	45.7872	0.441376	76.3547	0.559231	96.0689	0.83863	148.708	0.141158	23.2218	0.419533	65.5525	0.698898	114.025	0.882438	138.737
0.279781	40.828	0.0029518	0.331164	0.279796	39.7385	0.441454	65.768	0.559305	82.8251	0.838668	127.629	0.141615	20.2008	0.419617	57.2337	0.698939	98.9852	0.88248	121.017
0.27986	35.9516	0.00358505	0.364146	0.279878	35.1048	0.441544	57.7635	0.55939	72.7942	0.838711	111.786	0.142134	17.8964	0.419713	50.7921	0.698986	87.4526	0.882528	107.313
0.27995	32.1188	0.00427483	0.39667	0.279969	31.4419	0.441645	51.4997	0.559485	64.9339	0.83876	99.4434	0.142713	16.0826	0.41982	45.6572	0.699039	78.3287	0.882582	96.3983
0.280049	29.0273	0.00501965	0.428719	0.28007	28.4739	0.441758	46.4648	0.559592	58.6088	0.838815	89.5572	0.143351	14.6196	0.419938	41.4683	0.699098	70.9303	0.882642	87.5005
0.280158	26.4813	0.00581777	0.46026	0.280182	26.0205	0.441883	42.3297	0.55971	53.4094	0.838875	81.4605	0.144047	13.4158	0.420068	37.9862	0.699163	64.8103	0.882707	80.108
0.280278	24.3484	0.00666762	0.491283	0.280303	23.9587	0.442019	38.8733	0.559838	49.0599	0.838941	74.7078	0.144798	12.409	0.420209	35.0463	0.699233	59.664	0.882779	73.8686
0.280407	22.5356	0.00756733	0.521756	0.280435	22.2019	0.442167	35.9413	0.559978	45.368	0.839013	68.9903	0.145604	11.5553	0.420362	32.5312	0.69931	55.2761	0.882856	68.5321
0.280547	20.9762	0.00851526	0.551676	0.280576	20.6872	0.442326	33.423	0.560128	42.1951	0.83909	64.0869	0.146461	10.8231	0.420526	30.3552	0.699392	51.4906	0.882938	63.9159
0.280696	19.6206	0.00950957	0.581023	0.280728	19.3679	0.442497	31.2369	0.560289	39.4392	0.839174	59.8353	0.14725	10.2655	0.420701	28.4542	0.69948	48.1915	0.883027	59.8835
0.280856	18.4314	0.0105486	0.609794	0.28089	18.2086	0.442679	29.3213	0.560461	37.0232	0.839263	56.1139	0.147952	9.83971	0.420888	26.7793	0.699574	45.2907	0.883121	56.3307
0.281026	17.3799	0.0116305	0.637977	0.281061	17.182	0.442873	27.6291	0.560644	34.8881	0.839357	52.8293	0.148553	9.51739	0.421086	25.2926	0.699674	42.7204	0.883221	53.1768
0.281206	16.4435	0.0127538	0.665575	0.281243	16.2666	0.443078	26.1235	0.560838	32.9876	0.839458	49.9089	0.14904	9.27957	0.421296	23.9641	0.69978	40.427	0.883327	50.3583
0.281396	15.6045	0.0139165	0.692578	0.281435	15.4454	0.443295	24.7753	0.561043	31.2852	0.839564	47.2954	0.149406	9.11351	0.421516	22.7699	0.699891	38.3683	0.883439	47.8245
0.281596	14.8484	0.0151171	0.71899	0.281637	14.7046	0.443523	23.5612	0.561258	29.7515	0.839675	44.9428	0.149642	9.0109	0.421748	21.6908	0.700008	36.5099	0.883556	45.5342
0.281805	14.1636	0.016354	0.744815	0.281849	14.033	0.443763	22.4622	0.561484	28.3627	0.839793	42.8141	0.149987	8.86817	0.421991	20.7108	0.700131	34.8241	0.883679	43.4541
0.282025	13.5406	0.0176256	0.770052	0.282071	13.4215	0.444014	21.4627	0.561721	27.0993	0.839916	40.8786	0.150367	8.7191	0.422246	19.8172	0.70026	33.2879	0.883808	41.5565
0.282255	12.9714	0.0189304	0.79471	0.282303	12.8623	0.444276	20.5499	0.561969	25.9451	0.840045	39.1114	0.150893	8.52586	0.422511	18.9989	0.700395	31.8823	0.883942	39.8185
0.282495	12.4494	0.0202669	0.81879	0.282545	12.3491	0.44455	19.713	0.562228	24.8865	0.840179	37.4913	0.151572	8.29596	0.422788	18.2469	0.700535	30.5912	0.884083	38.2207
0.282746	11.969	0.0216337	0.842305	0.282797	11.8765	0.444835	18.943	0.562497	23.9123	0.84032	36.0008	0.152415	8.0376	0.423076	17.5535	0.700682	29.4014	0.884229	36.7469
0.283006	11.5254	0.0230294	0.865261	0.283059	11.4399	0.445131	18.2323	0.562777	23.0127	0.840465	34.625	0.153431	7.75902	0.423376	16.9121	0.700834	28.3014	0.884381	35.3832
0.283276	11.1147	0.0244528	0.887665	0.283331	11.0354	0.445439	17.5742	0.563068	22.1796	0.840617	33.3511	0.154635	7.46802	0.423686	16.3172	0.700992	27.2813	0.884538	34.1177
0.283556	10.7333	0.0259025	0.909529	0.283614	10.6595	0.445757	16.9632	0.563369	21.4059	0.840774	32.1683	0.155876	7.20381	0.424007	15.764	0.701156	26.3329	0.884701	32.9402
0.283846	10.3783	0.0273773	0.930864	0.283906	10.3095	0.446087	16.3945	0.563681	20.6855	0.840937	31.0671	0.157153	6.96301	0.42434	15.2482	0.701325	25.4488	0.88487	31.8419
0.284146	10.047	0.0288762	0.951678	0.284168	10.0235	0.446429	15.8638	0.564004	20.013	0.841106	30.0394	0.158464	6.74277	0.424684	14.7662	0.701501	24.6227	0.885045	30.8151
0.284456	9.73719	0.0303979	0.971984	0.284398	9.79257	0.446781	15.3676	0.564337	19.384	0.84128	29.078	0.159809	6.54067	0.425039	14.3148	0.701682	23.8491	0.885225	29.8529
0.284776	9.44686	0.0319414	0.991792	0.284593	9.60989	0.447144	14.9025	0.564681	18.7944	0.84146	28.1769	0.161184	6.35466	0.425404	13.8912	0.701869	23.1232	0.885411	28.9496
0.285106	9.17426	0.0335058	1.01112	0.284749	9.47045	0.447518	14.4658	0.565036	18.2406	0.841646	27.3304	0.16259	6.18297	0.425781	13.493	0.702062	22.4408	0.885603	28.0999
0.285446	8.91784	0.0350901	1.02997	0.284865	9.37062	0.447904	14.0549	0.565401	17.7194	0.841837	26.5339	0.164025	6.02409	0.426169	13.118	0.702261	21.798	0.885801	27.2991
