Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
420  Points		526  Points		420  Points		402  Points		349  Points		249  Points		451  Points		398  Points		340  Points		199  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.279514	0.0180672	0.000236786	0.224946	0.279511	0.0136565	0.455763	0.0155554	0.559018	0.0105885	0.838526	0.00568574	0.139783	0.103212	0.419264	0.0113986	0.698772	0.00565035	0.911518	0.003405
0.279531	0.0241717	0.000446367	0.259887	0.279523	0.0198177	0.455778	0.0210463	0.559028	0.0168376	0.838531	0.00886742	0.139879	0.13913	0.419274	0.017822	0.698777	0.00901622	0.911521	0.00599311
0.279559	0.0364794	0.000721058	0.329336	0.279548	0.0321491	0.455802	0.0320257	0.559049	0.029286	0.838542	0.0152631	0.140043	0.210701	0.419297	0.0306467	0.698788	0.0157447	0.911529	0.011194
0.279599	0.04879	0.00106005	0.397847	0.279583	0.0444339	0.455837	0.0429984	0.559082	0.0417317	0.83856	0.0216823	0.140272	0.281701	0.419331	0.0434056	0.698806	0.0224633	0.911542	0.0163955
0.27965	0.0610334	0.0014624	0.46529	0.27963	0.0566988	0.455882	0.0539573	0.559127	0.0541718	0.838583	0.0280754	0.140567	0.351923	0.419378	0.0561793	0.69883	0.0291624	0.911559	0.0215983
0.279712	0.0733619	0.00192706	0.531547	0.279689	0.0689973	0.455938	0.0648889	0.559183	0.0666009	0.838612	0.0344896	0.140928	0.421175	0.419436	0.0689824	0.698861	0.0358954	0.911582	0.0268038
0.279786	0.0856411	0.00245288	0.596386	0.279759	0.0812895	0.456003	0.0758389	0.559251	0.079008	0.838647	0.0408726	0.141352	0.489367	0.419506	0.0817714	0.698897	0.0426231	0.911609	0.0320146
0.279872	0.0978947	0.00303836	0.659706	0.27984	0.0935692	0.456079	0.0868259	0.55933	0.0914442	0.838688	0.0472665	0.14184	0.556245	0.419588	0.094532	0.69894	0.0493402	0.911641	0.037236
0.279969	0.11017	0.00368217	0.721454	0.279933	0.105824	0.456165	0.0978135	0.559421	0.103865	0.838735	0.0536823	0.142389	0.621665	0.419682	0.107309	0.698989	0.0560363	0.911679	0.0424053
0.280077	0.122417	0.00438272	0.781523	0.280038	0.118102	0.456261	0.108729	0.559524	0.116257	0.838788	0.0600687	0.142998	0.685635	0.419788	0.120045	0.699044	0.0627633	0.91172	0.0476169
0.280197	0.13468	0.00513845	0.83977	0.280153	0.130353	0.456368	0.119647	0.559638	0.128661	0.838847	0.0664693	0.143666	0.74795	0.419906	0.132774	0.699106	0.0694791	0.911767	0.05284
0.280328	0.146899	0.00594753	0.896206	0.28028	0.142551	0.456484	0.130644	0.559764	0.141019	0.838912	0.0728253	0.144392	0.808494	0.420036	0.145561	0.699174	0.0761723	0.911819	0.0580127
0.280471	0.159108	0.00680844	0.950851	0.280419	0.154789	0.456611	0.141578	0.559901	0.153431	0.838983	0.0792383	0.145173	0.867325	0.420177	0.158244	0.699248	0.0828938	0.911875	0.0632313
0.280625	0.171293	0.00771934	1.00352	0.280569	0.167034	0.456748	0.152459	0.560049	0.165802	0.83906	0.0856191	0.146008	0.924342	0.420331	0.17094	0.699328	0.0895985	0.911937	0.0684682
0.28079	0.183505	0.00867839	1.0543	0.28073	0.179218	0.456895	0.163382	0.56021	0.178094	0.839142	0.0920087	0.146778	0.972509	0.420496	0.18366	0.699415	0.0963428	0.912003	0.0736685
0.280967	0.195698	0.00968392	1.1032	0.280903	0.191355	0.457053	0.174313	0.560381	0.190446	0.839231	0.0984157	0.147465	1.0125	0.420673	0.196356	0.699508	0.10302	0.912074	0.0788689
0.281155	0.207852	0.0107341	1.15017	0.281087	0.203544	0.45722	0.185191	0.560565	0.202773	0.839326	0.104784	0.148054	1.04472	0.420862	0.209005	0.699607	0.109709	0.91215	0.0840696
0.281354	0.220003	0.0118271	1.19533	0.281282	0.21569	0.457398	0.196106	0.560759	0.215048	0.839426	0.11115	0.148533	1.06966	0.421062	0.22163	0.699712	0.116422	0.912231	0.0892707
