Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
396  Points		408  Points		236  Points		198  Points		162  Points		309  Points		208  Points		109  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00435246	5.49123	0.000332122	0.390925	0.381881	0.00681264	0.488362	0.0736874	0.763763	0.0133023	0.190992	0.221016	0.572823	0.0227353	0.954702	-0.00940598
0.00902284	5.49103	0.000664611	0.457048	0.381887	0.0134179	0.488424	0.102084	0.763774	0.0262383	0.19118	0.301571	0.572842	0.0375826	0.954694	-0.0135318
0.0136929	5.49049	0.00110958	0.588141	0.381904	0.0265744	0.488535	0.158871	0.763807	0.0521289	0.191505	0.46196	0.572887	0.0673616	0.954679	-0.0215767
0.0183624	5.48973	0.00166506	0.71678	0.381932	0.0397291	0.488695	0.21564	0.763863	0.0780751	0.191966	0.620749	0.572957	0.0971532	0.954657	-0.0291618
0.0230311	5.48878	0.00232884	0.842556	0.381972	0.0530409	0.488902	0.272294	0.76394	0.103972	0.192561	0.777299	0.573052	0.12689	0.954629	-0.0361483
0.027699	5.48761	0.00309828	0.965014	0.382023	0.066426	0.489158	0.328796	0.764039	0.129851	0.193288	0.931136	0.573173	0.156597	0.954596	-0.0423387
0.0323657	5.48622	0.00397037	1.0838	0.382085	0.0799579	0.489461	0.385077	0.764161	0.155773	0.194145	1.08188	0.573318	0.186324	0.954557	-0.0477392
0.0370312	5.48458	0.00494186	1.1987	0.382159	0.0937029	0.489813	0.441073	0.764304	0.181623	0.195128	1.22899	0.57349	0.216014	0.954514	-0.0522018
0.0416952	5.48272	0.0060094	1.30944	0.382244	0.107553	0.490212	0.496903	0.76447	0.207486	0.196235	1.37221	0.573686	0.245625	0.954468	-0.0555909
0.0463575	5.48062	0.00716927	1.41579	0.382342	0.121695	0.490658	0.552481	0.764657	0.233299	0.197463	1.51128	0.573907	0.275243	0.95442	-0.0579565
0.0510179	5.47827	0.00841771	1.51767	0.382451	0.136098	0.491151	0.607713	0.764867	0.259089	0.198806	1.64595	0.574154	0.304792	0.95437	-0.0592375
0.0556763	5.47573	0.00975089	1.61498	0.382573	0.150703	0.491692	0.662657	0.765098	0.284914	0.200262	1.7761	0.574426	0.334284	0.954319	-0.0593926
0.0603323	5.4729	0.0111648	1.70769	0.382707	0.165632	0.492279	0.717184	0.765351	0.31065	0.201827	1.90151	0.574723	0.363743	0.954269	-0.058419
0.0649858	5.46979	0.0126557	1.79587	0.382855	0.180888	0.492912	0.771359	0.765627	0.336367	0.203497	2.02221	0.575045	0.393136	0.95422	-0.0563917
0.0696366	5.46648	0.0142197	1.87948	0.383015	0.196475	0.493591	0.825151	0.765924	0.362046	0.205267	2.13812	0.575391	0.422475	0.954173	-0.0532997
0.0742845	5.46289	0.0158528	1.95862	0.383189	0.212406	0.494315	0.878497	0.766242	0.387729	0.207134	2.24926	0.575763	0.451708	0.954129	-0.0491217
0.0789292	5.45902	0.0175514	2.03344	0.383376	0.228702	0.495085	0.931433	0.766583	0.41334	0.209093	2.35569	0.57616	0.480889	0.954089	-0.043975
0.0835705	5.45487	0.0193117	2.10405	0.383578	0.245407	0.4959	0.98387	0.766945	0.438888	0.211141	2.45752	0.576581	0.510046	0.954054	-0.0379338
0.0882081	5.45043	0.0211304	2.1705	0.383794	0.262532	0.496759	1.03587	0.76733	0.464469	0.213274	2.55485	0.577027	0.539076	0.954025	-0.0309864
0.0928419	5.44565	0.0230038	2.23303	0.384025	0.280092	0.497662	1.0874	0.767736	0.489958	0.215487	2.64771	0.577498	0.568011	0.954002	-0.0231893
0.0974714	5.44057	0.0249289	2.29182	0.38427	0.298123	0.498608	1.13839	0.768163	0.515422	0.217777	2.73634	0.577994	0.596836	0.953985	-0.0145753
0.102096	5.43524	0.0269023	2.34698	0.384532	0.316614	0.499598	1.18886	0.768612	0.540835	0.220142	2.82085	0.578513	0.625602	0.953977	-0.00521013
0.106717	5.42954	0.0289212	2.39874	0.384809	0.335544	0.500631	1.23885	0.769083	0.566148	0.222576	2.90137	0.579058	0.654332	0.953976	0.00485505
0.111332	5.42343	0.0309826	2.44721	0.385102	0.35495	0.501706	1.28828	0.769575	0.59142	0.225077	2.97817	0.579626	0.682908	0.953985	0.0155179
0.115942	5.417	0.033084	2.49257	0.385413	0.374908	0.502822	1.33715	0.770089	0.616691	0.227308	3.04222	0.580219	0.711336	0.954003	0.0268146
0.120547	5.41023	0.0352226	2.53497	0.38574	0.395407	0.50398	1.38547	0.770624	0.641879	0.229247	3.09466	0.580836	0.739709	0.954031	0.038737
0.125145	5.40303	0.037396	2.57462	0.386085	0.416427	0.505179	1.43326	0.771181	0.666982	0.230875	3.13669	0.581478	0.767972	0.954069	0.0511084
0.129738	5.39545	0.0396021	2.61171	0.386449	0.438008	0.506418	1.48053	0.771759	0.692076	0.232178	3.16892	0.582143	0.796097	0.954118	0.0639769
0.134323	5.38743	0.0418387	2.64633	0.38683	0.460149	0.507697	1.52718	0.772358	0.717069	0.233144	3.19215	0.582832	0.824104	0.954178	0.077358
0.138902	5.37893	0.0441036	2.67858	0.387231	0.482847	0.509016	1.57322	0.772979	0.742023	0.233766	3.20691	0.583545	0.852037	0.954249	0.0911224
0.143473	5.36996	0.046395	2.70867	0.387652	0.506181	0.510373	1.61877	0.77362	0.766899	0.234665	3.22767	0.584281	0.879821	0.954333	0.105252
0.148036	5.36052	0.0487111	2.73674	0.388092	0.530141	0.511769	1.66372	0.774283	0.791697	0.235649	3.24971	0.585041	0.907468	0.954428	0.119793
0.152591	5.35063	0.0510503	2.76289	0.388554	0.554715	0.513203	1.70806	0.774967	0.816422	0.236998	3.2792	0.585825	0.935002	0.954536	0.134672
0.157138	5.34016	0.0534109	2.78727	0.389036	0.579953	0.514675	1.75188	0.775672	0.84108	0.238721	3.31562	0.586632	0.962389	0.954657	0.149828
0.161675	5.32909	0.0557915	2.80995	0.38954	0.605878	0.516183	1.79515	0.776398	0.865685	0.240829	3.35815	0.587462	0.989643	0.954791	0.165297
0.166203	5.31745	0.0581907	2.83108	0.390067	0.632454	0.517729	1.83781	0.777145	0.890182	0.243336	3.40612	0.588315	1.01679	0.954938	0.181071
0.17072	5.30517	0.0606073	2.85072	0.390616	0.659771	0.51931	1.87989	0.777912	0.914625	0.246256	3.45878	0.589192	1.04381	0.955099	0.197055
0.175227	5.29224	0.0630399	2.86897	0.391189	0.687849	0.520926	1.92144	0.7787	0.938961	0.24922	3.50898	0.590091	1.07066	0.955274	0.213296
0.179723	5.27865	0.0654875	2.88598	0.391786	0.716645	0.522578	1.96242	0.779509	0.963241	0.252225	3.55683	0.591013	1.09738	0.955462	0.229732
0.184206	5.26432	0.0679491	2.90171	0.392408	0.746236	0.524264	2.00281	0.780339	0.98749	0.25527	3.60245	0.591957	1.12395	0.955664	0.246397
0.188677	5.24921	0.0704234	2.91639	0.393055	0.776695	0.525985	2.04269	0.781189	1.0116	0.258353	3.64593	0.592925	1.15038	0.955881	0.263279
0.193135	5.23328	0.0729099	2.93002	0.393729	0.807927	0.527739	2.082	0.78206	1.03558	0.261472	3.6874	0.593914	1.17669	0.956112	0.280275
0.197579	5.2165	0.0754075	2.94261	0.394338	0.835845	0.529526	2.12074	0.782951	1.05957	0.264625	3.72695	0.594926	1.20281	0.956358	0.297498
0.202009	5.19883	0.0779154	2.9543	0.394874	0.860241	0.531347	2.15899	0.783862	1.08346	0.267812	3.76466	0.59596	1.22883	0.956618	0.314855
0.206423	5.18025	0.0804329	2.96517	0.395329	0.880805	0.533199	2.19665	0.784794	1.10718	0.271029	3.80064	0.597016	1.2547	0.956894	0.332318
0.210821	5.16067	0.0829593	2.97521	0.395696	0.897251	0.535083	2.23379	0.785745	1.13087	0.274277	3.83496	0.598095	1.28038	0.957184	0.349994
