Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
261  Points		395  Points		261  Points		217  Points		133  Points		327  Points		223  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.456392	-0.204024	0.000409956	0.420162	0.456393	-0.203655	0.488346	0.108208	0.912872	0.0122131	0.228252	0.173114	0.684654	0.00899431
0.456237	-0.275357	0.000729584	0.479543	0.456238	-0.275011	0.488429	0.208835	0.912881	0.0189177	0.228384	0.237848	0.684661	0.0144446
0.455973	-0.413196	0.00113956	0.597584	0.455974	-0.412923	0.488664	0.406841	0.912901	0.0323037	0.228614	0.367017	0.684676	0.0252337
0.455609	-0.540148	0.00163878	0.714093	0.455609	-0.53993	0.489048	0.596535	0.91293	0.0457101	0.228942	0.495284	0.684699	0.035958
0.455152	-0.654114	0.00222601	0.828882	0.455153	-0.653917	0.489572	0.7749	0.91297	0.0591572	0.229367	0.622378	0.68473	0.0467318
0.454613	-0.75404	0.00289988	0.941667	0.454614	-0.753884	0.490227	0.940113	0.91302	0.0725958	0.229889	0.748022	0.68477	0.0575152
0.454004	-0.839879	0.00365872	1.05215	0.454006	-0.839718	0.491002	1.09122	0.913081	0.0860177	0.230505	0.871841	0.684818	0.0683176
0.453335	-0.912078	0.00450067	1.16026	0.453337	-0.911903	0.491887	1.22821	0.913151	0.0994059	0.231215	0.993715	0.684874	0.079158
0.452617	-0.971527	0.005424	1.2658	0.452618	-0.971415	0.492871	1.35175	0.913232	0.112817	0.232017	1.1134	0.684938	0.0899848
0.451857	-1.01947	0.00642652	1.36851	0.451859	-1.01939	0.493944	1.46284	0.913323	0.126272	0.232909	1.23061	0.685011	0.100874
0.451066	-1.05723	0.00750612	1.46844	0.451067	-1.05714	0.495096	1.56267	0.913424	0.139728	0.23389	1.34526	0.685092	0.111798
0.450249	-1.08591	0.00866069	1.56541	0.450251	-1.08588	0.496321	1.65244	0.913535	0.153184	0.234956	1.45715	0.685181	0.122703
0.449413	-1.10669	0.00988782	1.65925	0.449415	-1.10669	0.497611	1.73349	0.913657	0.166641	0.236107	1.5661	0.685279	0.133659
0.448565	-1.12062	0.0111852	1.75005	0.448567	-1.12058	0.498959	1.80688	0.913789	0.180099	0.237339	1.67214	0.685384	0.144717
0.447709	-1.12856	0.0125504	1.83772	0.44771	-1.12854	0.50036	1.87355	0.913931	0.193559	0.238651	1.77506	0.685499	0.155799
0.446848	-1.13135	0.0139812	1.92228	0.44685	-1.13137	0.501809	1.93449	0.914083	0.207024	0.24004	1.87487	0.685621	0.16684
0.445987	-1.12966	0.0154751	2.00369	0.445989	-1.12966	0.503303	1.99045	0.914246	0.220499	0.241503	1.97151	0.685753	0.177978
0.445129	-1.12403	0.0170297	2.0819	0.445131	-1.12401	0.504837	2.04208	0.914419	0.233994	0.243039	2.06494	0.685892	0.189221
0.444277	-1.11493	0.0186426	2.15715	0.444279	-1.11494	0.50641	2.08999	0.914602	0.247528	0.244645	2.15521	0.68604	0.200493
0.443433	-1.10284	0.0203117	2.22933	0.443435	-1.10292	0.508017	2.1346	0.914795	0.261052	0.246318	2.24226	0.686197	0.211825
0.442599	-1.08815	0.0220344	2.29843	0.442601	-1.08819	0.509657	2.17637	0.914999	0.274553	0.248056	2.32623	0.686363	0.223186
0.441777	-1.07107	0.0238086	2.36469	0.441779	-1.07112	0.511328	2.21567	0.915213	0.288101	0.249857	2.40705	0.686537	0.234605
0.44097	-1.0519	0.0256322	2.42815	0.440971	-1.05195	0.513029	2.25275	0.915437	0.301651	0.251719	2.48482	0.68672	0.246142
0.440177	-1.03085	0.0275029	2.48877	0.440179	-1.03083	0.514756	2.2879	0.915672	0.315207	0.253638	2.55962	0.686911	0.257732
0.439401	-1.00805	0.0294187	2.54669	0.439403	-1.00807	0.516509	2.32131	0.915917	0.328773	0.255613	2.63146	0.687112	0.269342
0.438643	-0.983706	0.0313776	2.60205	0.438645	-0.98381	0.518288	2.35316	0.916172	0.342359	0.257642	2.70042	0.687321	0.28108
0.437904	-0.957982	0.0333776	2.65492	0.437906	-0.958069	0.52009	2.38357	0.916438	0.355986	0.259722	2.76667	0.687539	0.292893
0.437186	-0.930932	0.0354169	2.70532	0.437187	-0.930986	0.521914	2.41283	0.916714	0.369606	0.261851	2.83017	0.687767	0.30477
0.436488	-0.902667	0.0374936	2.75338	0.436489	-0.902744	0.523761	2.44092	0.917	0.38321	0.264028	2.89108	0.688003	0.316771
0.435812	-0.873317	0.0396061	2.79926	0.435814	-0.873351	0.525628	2.46796	0.917297	0.396874	0.26625	2.94955	0.688249	0.328844
0.435159	-0.842875	0.0417526	2.84293	0.435161	-0.842912	0.527516	2.49414	0.917604	0.410567	0.268515	3.00551	0.688503	0.34097
0.43453	-0.811411	0.0439314	2.88452	0.434531	-0.811455	0.529423	2.5194	0.917922	0.424228	0.270822	3.05911	0.688767	0.353201
0.433925	-0.778984	0.0461412	2.92421	0.433926	-0.779041	0.531349	2.54384	0.91825	0.437916	0.273169	3.11053	0.689041	0.365552
0.433345	-0.745705	0.0483805	2.96195	0.433346	-0.745789	0.533293	2.56758	0.918588	0.451656	0.275246	3.15357	0.689324	0.377966
0.43279	-0.71153	0.0506477	2.99789	0.432791	-0.711577	0.535255	2.59067	0.918937	0.465412	0.277038	3.189	0.689616	0.390504
0.432262	-0.676459	0.0529416	3.03207	0.432263	-0.676523	0.537235	2.61308	0.919296	0.479199	0.278535	3.2175	0.689918	0.403112
0.431761	-0.640583	0.0552609	3.06466	0.431762	-0.640681	0.539231	2.63493	0.919666	0.49296	0.279728	3.23956	0.690229	0.41586
0.431288	-0.603906	0.0576043	3.09566	0.431289	-0.603982	0.541243	2.6562	0.920046	0.506756	0.280611	3.25534	0.69055	0.428706
0.430842	-0.566433	0.0599708	3.1251	0.430843	-0.566555	0.543272	2.67695	0.920437	0.520625	0.281177	3.26529	0.690881	0.441661
0.430426	-0.528176	0.062359	3.15311	0.430427	-0.528299	0.545316	2.69719	0.920838	0.534458	0.281995	3.27947	0.691222	0.454744
0.430039	-0.489158	0.0647681	3.1798	0.430039	-0.489194	0.547376	2.71695	0.92125	0.548309	0.282888	3.29468	0.691573	0.467902
0.429682	-0.449334	0.067197	3.20521	0.429682	-0.449376	0.54945	2.73629	0.921672	0.562197	0.28411	3.31497	0.691934	0.481212
0.429355	-0.408708	0.0696446	3.22936	0.429356	-0.40876	0.551539	2.75522	0.922105	0.57616	0.285665	3.33998	0.692305	0.494645
0.42906	-0.367283	0.0721103	3.2523	0.42906	-0.367357	0.553642	2.77372	0.922549	0.590092	0.287561	3.36941	0.692687	0.508146
