Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
291  Points		388  Points		291  Points		232  Points		339  Points		226  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.488346	5044.09	0.000262569	0.144583	1.0018	5.20115	0.577379	1022.98	0.288698	522.449	0.866019	1971.42
0.488309	631.921	0.000494002	0.198238	0.999845	5.20928	0.577489	465.593	0.28879	235.074	0.865982	776.52
0.488217	337.012	0.000797466	0.251734	0.997882	5.21742	0.577681	301.464	0.288952	151.726	0.865914	483.445
0.488068	229.724	0.00117266	0.305077	0.995911	5.22559	0.577955	222.961	0.289183	112.071	0.865815	350.951
0.487865	174.206	0.00161883	0.358171	0.993932	5.23377	0.578308	176.955	0.289483	88.8999	0.865684	275.434
0.487608	140.261	0.00213547	0.41101	0.991945	5.24196	0.57874	146.739	0.289851	73.7122	0.865523	226.642
0.487299	117.355	0.0027219	0.463573	0.989948	5.25016	0.579249	125.38	0.290288	62.9948	0.865331	192.517
0.48694	100.852	0.00337712	0.515788	0.987943	5.25837	0.579832	109.488	0.290792	55.032	0.86511	167.309
0.486533	88.3931	0.00410042	0.567657	0.985927	5.26659	0.580489	97.2052	0.291362	48.8865	0.86486	147.924
0.48608	78.6522	0.00489071	0.619128	0.983901	5.27481	0.581216	87.431	0.291998	44.0028	0.864582	132.552
0.485583	70.8256	0.00574699	0.670182	0.981864	5.28304	0.582011	79.4702	0.292699	40.031	0.864277	120.063
0.485046	64.3983	0.00666812	0.720785	0.979815	5.29126	0.582871	72.863	0.293464	36.7393	0.863945	109.715
0.484469	59.0249	0.00765302	0.770921	0.977755	5.29948	0.583795	67.2925	0.294291	33.9685	0.863587	101
0.483858	54.4651	0.00870037	0.820555	0.975683	5.30769	0.584779	62.5338	0.295181	31.6053	0.863205	93.5593
0.483212	50.5467	0.00980902	0.869675	0.973598	5.3159	0.585821	58.4224	0.29613	29.5672	0.862799	87.132
0.482537	47.1427	0.0109776	0.918254	0.9715	5.32409	0.586917	54.8355	0.297139	27.7923	0.86237	81.5239
0.481833	44.158	0.0122048	0.966276	0.969388	5.33227	0.588067	51.6793	0.298206	26.2336	0.86192	76.5876
0.481104	41.5193	0.0134894	1.01373	0.967262	5.34043	0.589267	48.8812	0.29933	24.8545	0.86145	72.2089
0.480353	39.1695	0.0148298	1.06058	0.965122	5.34857	0.590515	46.3839	0.300508	23.6264	0.86096	68.2982
0.479581	37.0637	0.0162248	1.10684	0.962966	5.35669	0.591808	44.1419	0.301741	22.5262	0.860451	64.7842
0.478791	35.1657	0.0176729	1.15249	0.960795	5.36479	0.593145	42.1182	0.303026	21.5355	0.859926	61.6093
