Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
473  Points		492  Points		473  Points		206  Points		388  Points		129  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00744277	9.04193	3.20348e-005	0.250698	0.00630397	9.0422	0.279589	0.280799	0.139885	0.674483	0.419264	0.0960098
0.0158671	9.03988	0.000265609	0.369662	0.0147285	9.04037	0.27985	0.377522	0.140513	0.949125	0.419353	0.173765
0.0242876	9.03476	0.00072086	0.602337	0.0231497	9.03563	0.280292	0.569693	0.141653	1.49056	0.419588	0.329101
0.0327024	9.02753	0.001388	0.82269	0.0315655	9.02865	0.280912	0.758772	0.143291	2.01341	0.419966	0.483914
0.0411094	9.01797	0.00225385	1.02726	0.0399736	9.01937	0.281706	0.943863	0.145405	2.51265	0.420489	0.638046
0.0495064	9.00603	0.00330219	1.21368	0.0483721	9.00776	0.282671	1.12398	0.147973	2.98444	0.421155	0.79133
0.0578911	8.9916	0.00451541	1.38071	0.0567586	8.9937	0.283801	1.29811	0.150966	3.4264	0.421964	0.943503
0.0662612	8.97446	0.00587499	1.52799	0.0651308	8.97694	0.28509	1.46554	0.154358	3.83731	0.422913	1.09441
0.0746141	8.95445	0.00736266	1.65622	0.0734861	8.95733	0.286532	1.62541	0.158117	4.21698	0.424003	1.2438
0.0829469	8.93137	0.00896118	1.7665	0.0818218	8.93466	0.288118	1.77699	0.162215	4.56601	0.425231	1.39148
0.0912567	8.9049	0.0106543	1.8602	0.0901349	8.90866	0.289843	1.91976	0.166625	4.88556	0.426596	1.53736
0.0995402	8.87473	0.0124275	1.93912	0.0984221	8.87907	0.291696	2.05323	0.171319	5.17728	0.428096	1.68116
0.107794	8.84048	0.0142677	2.00505	0.10668	8.84538	0.293669	2.17714	0.176272	5.4429	0.429729	1.8228
0.116013	8.8017	0.0161636	2.05963	0.114905	8.80722	0.295753	2.29137	0.181461	5.68426	0.431492	1.96208
0.124195	8.75792	0.0181056	2.10449	0.123091	8.76416	0.297938	2.39613	0.186864	5.90324	0.433385	2.09885
0.132333	8.70852	0.0200851	2.14111	0.131236	8.71554	0.300218	2.49174	0.192461	6.10177	0.435403	2.23308
0.140422	8.65278	0.0220953	2.17092	0.139332	8.6607	0.302582	2.57897	0.198234	6.28151	0.437546	2.36451
0.148456	8.58986	0.0238673	2.19218	0.147374	8.59884	0.305023	2.65894	0.204166	6.44404	0.439809	2.49311
0.156428	8.51895	0.0253903	2.20731	0.155355	8.52904	0.307536	2.73305	0.210242	6.5909	0.442192	2.61877
0.16433	8.43894	0.0266568	2.21792	0.163267	8.45031	0.310116	2.80311	0.216448	6.7235	0.444689	2.74133
0.172153	8.34858	0.0276623	2.22536	0.171101	8.36146	0.312759	2.87139	0.222771	6.84301	0.4473	2.86084
0.179887	8.2466	0.0284036	2.23022	0.178847	8.26112	0.315466	2.94048	0.229199	6.9505	0.45002	2.97718
0.18752	8.13147	0.0288789	2.23311	0.186495	8.14787	0.318239	3.01326	0.235722	7.04704	0.452847	3.09026
0.195039	8.00157	0.0295632	2.23701	0.19403	8.02005	0.321081	3.0929	0.24233	7.13348	0.455778	3.2001
0.20243	7.85506	0.0303082	2.24081	0.201439	7.87587	0.324002	3.18275	0.249015	7.21063	0.45881	3.30661
0.209676	7.69022	0.0313234	2.24549	0.208706	7.71364	0.327012	3.28621	0.255767	7.27917	0.46194	3.40979
0.21676	7.50535	0.0326101	2.25061	0.215813	7.53156	0.330125	3.40647	0.262578	7.3397	0.465164	3.50965
0.223662	7.29878	0.0341698	2.25576	0.22274	7.32802	0.33336	3.54644	0.269443	7.3928	0.46848	3.60617
0.23036	7.06942	0.0360034	2.26048	0.229468	7.10178	0.336734	3.70852	0.276354	7.43894	0.471884	3.69937
