Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		468  Points		491  Points		467  Points		170  Points		120  Points		362  Points		131  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.386611	5.09945	0.385842	5.10034	0.0002555	8.80281	0.000476372	0.599666	0.00499746	8.80185	0.279535	0.206605	0.41277	0.080228	0.139769	0.393293	0.419267	0.111838
0.0297116	50.9057	0.0296802	51.1237	0.00845704	8.80179	0.00103508	0.707372	0.0131981	8.80023	0.279727	0.306794	0.412844	0.11916	0.140135	0.656517	0.419371	0.186273
0.19099	45.5705	0.190636	45.773	0.0166567	8.79866	0.00179448	0.915207	0.0213957	8.79587	0.280106	0.506506	0.412992	0.19743	0.140992	1.17724	0.419614	0.334946
0.555708	10.6666	0.553448	10.6538	0.0248524	8.79342	0.00274047	1.1069	0.0295882	8.78944	0.280671	0.70444	0.413212	0.276552	0.142329	1.68359	0.419995	0.483243
0.870691	12.0573	0.870182	12.0247	0.0330423	8.78609	0.00385707	1.28082	0.0377739	8.78088	0.281419	0.899918	0.413507	0.356721	0.144129	2.17033	0.420515	0.630936
0.406505	9.84172	0.407037	9.83371	0.0412243	8.77656	0.00512713	1.4361	0.0459504	8.77007	0.282348	1.09231	0.413877	0.438397	0.146373	2.63347	0.421171	0.777788
0.734751	11.4719	0.735062	10.6655	0.0493964	8.76483	0.00653309	1.57286	0.0541159	8.75703	0.283454	1.28104	0.414324	0.521916	0.149036	3.07003	0.421964	0.923761
0.794432	11.607			0.0575566	8.7508	0.00805799	1.69184	0.0622682	8.74155	0.284735	1.46549	0.41485	0.607507	0.152093	3.4783	0.422892	1.06856
				0.0657026	8.73425	0.00968565	1.79416	0.0704048	8.72349	0.286185	1.64506	0.415456	0.695559	0.155518	3.85764	0.423955	1.21205
				0.0738319	8.71514	0.0114012	1.88131	0.0785235	8.70282	0.2878	1.81942	0.416146	0.786409	0.159282	4.20816	0.425151	1.35408
