Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
462  Points		491  Points		161  Points		123  Points		110  Points		334  Points		334  Points		134  Points		107  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00713005	8.50886	0.000342374	0.518089	0.27951	0.125353	0.465299	0.0594676	0.559037	0.12555	0.139894	0.633342	0.13982	0.5124	0.41928	0.14249	0.698792	0.101443
0.0150577	8.50701	0.000825074	0.624507	0.279627	0.222091	0.465354	0.0942906	0.559154	0.181576	0.140484	0.877715	0.140297	0.757982	0.419413	0.2122	0.698887	0.142193
0.0229819	8.50226	0.00150607	0.830934	0.279924	0.41511	0.465475	0.164189	0.559375	0.293477	0.141529	1.3599	0.141232	1.24322	0.419676	0.351457	0.699057	0.223721
0.0309007	8.49548	0.00237343	1.02322	0.280401	0.606984	0.46566	0.234627	0.559701	0.405145	0.143018	1.82668	0.142614	1.71417	0.420068	0.490299	0.699304	0.305186
0.0388123	8.48666	0.00341273	1.19941	0.281055	0.797225	0.465912	0.305774	0.56013	0.516495	0.144933	2.27382	0.144426	2.16646	0.420589	0.628603	0.699626	0.386523
0.0467147	8.47578	0.0046084	1.35844	0.281886	0.985228	0.46623	0.377831	0.560663	0.627426	0.147255	2.69819	0.146651	2.59665	0.421239	0.766197	0.700024	0.46768
0.054606	8.46272	0.00594403	1.49999	0.282891	1.17058	0.466616	0.451045	0.561299	0.737814	0.149961	3.09766	0.149265	3.00234	0.422017	0.902883	0.700497	0.548621
0.062484	8.44737	0.00740346	1.62451	0.284068	1.35292	0.467071	0.525623	0.562038	0.847629	0.153027	3.47106	0.152245	3.38218	0.422922	1.03863	0.701046	0.629351
0.0703467	8.42971	0.00897112	1.73285	0.285412	1.53169	0.467595	0.601756	0.562879	0.956809	0.156429	3.81803	0.155567	3.73558	0.423953	1.17325	0.70167	0.709805
0.0781919	8.4097	0.0106324	1.82612	0.286922	1.70658	0.468192	0.679681	0.563821	1.06516	0.160141	4.13887	0.159206	4.06276	0.425108	1.30653	0.702369	0.79
0.0860173	8.3871	0.0123739	1.90573	0.288592	1.87721	0.468862	0.759579	0.564864	1.17273	0.164141	4.43441	0.163138	4.3644	0.426387	1.43849	0.703142	0.869824
0.0938203	8.36176	0.0141836	1.97318	0.29042	2.04334	0.469607	0.841666	0.566006	1.27947	0.168404	4.70578	0.167338	4.64159	0.427789	1.56888	0.70399	0.949272
0.101599	8.33365	0.0160507	2.02993	0.2924	2.20473	0.47043	0.926079	0.567248	1.38521	0.17291	4.95447	0.171787	4.89568	0.429311	1.69761	0.704911	1.02841
0.109349	8.30253	0.0179661	2.07737	0.294528	2.36117	0.471333	1.01302	0.568588	1.4899	0.177637	5.18187	0.176461	5.12812	0.430952	1.82462	0.705906	1.10706
0.117069	8.2682	0.0199217	2.11672	0.2968	2.51249	0.472318	1.10275	0.570024	1.5936	0.182566	5.38947	0.181342	5.34045	0.432711	1.94973	0.706974	1.18527
0.124756	8.23046	0.0219104	2.14921	0.29921	2.6586	0.473388	1.19541	0.571557	1.69618	0.187679	5.57888	0.186412	5.53417	0.434585	2.07294	0.708114	1.26302
0.132406	8.1891	0.0239265	2.17595	0.301754	2.79958	0.474545	1.29109	0.573185	1.79757	0.192961	5.75152	0.191655	5.71075	0.436573	2.19414	0.709327	1.34022
0.140016	8.1438	0.0257017	2.19522	0.304426	2.93535	0.475794	1.38994	0.574907	1.8978	0.198397	5.90871	0.197054	5.87159	0.438673	2.31318	0.710612	1.41693
0.147581	8.0943	0.0272262	2.20909	0.307223	3.06605	0.477135	1.4922	0.576721	1.99683	0.203971	6.05178	0.202596	6.01805	0.440884	2.43006	0.711968	1.49306
0.155098	8.04035	0.0284935	2.21894	0.31014	3.19187	0.478574	1.59792	0.578627	2.09454	0.209673	6.18192	0.208268	6.15125	0.443202	2.54472	0.713394	1.56858
0.162563	7.98152	0.0294993	2.22591	0.313171	3.31298	0.480113	1.7072	0.580624	2.19102	0.215491	6.30017	0.214058	6.27226	0.445625	2.65707	0.71489	1.6435
0.169971	7.91746	0.0302408	2.23058	0.316313	3.42969	0.481755	1.82013	0.58271	2.28619	0.221413	6.40754	0.219955	6.38222	0.448153	2.76708	0.716457	1.71785
0.177317	7.8478	0.0307161	2.23321	0.319562	3.54238	0.483505	1.93672	0.584884	2.38	0.227431	6.50496	0.22595	6.48203	0.450782	2.87474	0.718091	1.79146
0.184595	7.77212	0.0314003	2.2369	0.322914	3.65155	0.485364	2.05704	0.587145	2.47248	0.233534	6.59323	0.232034	6.57244	0.45351	2.97998	0.719795	1.86442
0.191799	7.68998	0.0321453	2.24067	0.326366	3.75759	0.487338	2.18106	0.589491	2.56361	0.239716	6.67301	0.238197	6.65424	0.456334	3.0828	0.721566	1.93674
0.198924	7.60091	0.0331604	2.24508	0.329916	3.86106	0.489428	2.30878	0.591922	2.65345	0.245969	6.74506	0.244433	6.72811	0.459254	3.18318	0.723404	2.00827
0.205963	7.50444	0.0344468	2.25005	0.333561	3.96267	0.49164	2.44006	0.594436	2.74187	0.252285	6.81005	0.250735	6.79484	0.462266	3.28112	0.725308	2.07905
0.212908	7.4002	0.036006	2.25514	0.3373	4.063	0.493975	2.57475	0.597031	2.82891	0.257836	6.86132	0.256274	6.84749	0.465368	3.37658	0.727278	2.14912
0.219752	7.28774	0.0378392	2.25995	0.341132	4.1628	0.496438	2.71281	0.599707	2.91466	0.262599	6.90126	0.261028	6.88859	0.468558	3.46957	0.729313	2.21844
0.226488	7.1666	0.039947	2.26423	0.345057	4.26279	0.49903	2.85394	0.602462	2.99901	0.266558	6.93184	0.26498	6.92006	0.471833	3.56018	0.731412	2.28699
0.233106	7.03653	0.0420583	2.26736	0.349075	4.36368	0.501756	2.99793	0.605295	3.082	0.2697	6.95455	0.268117	6.94328	0.475192	3.6484	0.733574	2.35472
0.239599	6.89732	0.044172	2.26955	0.353188	4.46613	0.504616	3.14453	0.608205	3.16369	0.272017	6.97032	0.27043	6.95957	0.478632	3.73416	0.735799	2.42163
0.245959	6.74882	0.0462874	2.27101	0.357397	4.57076	0.507615	3.29331	0.611191	3.24401	0.273502	6.97999	0.271913	6.96964	0.48215	3.81757	0.738086	2.48777
0.252175	6.59114	0.0484038	2.27181	0.361705	4.67822	0.510753	3.44402	0.61425	3.32306	0.275641	6.99345	0.274049	6.98355	0.485745	3.8987	0.740435	2.55303
0.25824	6.42444	0.0505206	2.27214	0.366114	4.78877	0.514033	3.59624	0.617383	3.40082	0.277971	7.00748	0.276375	6.9979	0.489415	3.97754	0.742844	2.61748
0.264146	6.24919	0.0526377	2.27216	0.370628	4.90271	0.517454	3.74951	0.620587	3.4773	0.281146	7.02543	0.279546	7.01642	0.493157	4.05414	0.745312	2.68114
0.269885	6.06604	0.0547546	2.2718	0.37525	5.02015	0.521019	3.90348	0.623862	3.55256	0.285173	7.04646	0.283568	7.03828	0.496969	4.12859	0.74784	2.74392
