Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
451  Points		491  Points		158  Points		129  Points		109  Points		282  Points		139  Points		111  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00742683	8.0305	0.000439244	0.551208	0.279522	0.160864	0.551398	-0.014518	0.559053	0.207703	0.139868	0.551913	0.419283	0.137558	0.698792	0.095129
0.0149088	8.02893	0.000952801	0.650951	0.279672	0.249929	0.551385	-0.0231777	0.559246	0.294165	0.140382	0.771596	0.419412	0.200331	0.698881	0.132151
0.0223879	8.02503	0.00165222	0.844565	0.279988	0.427697	0.551355	-0.0351676	0.559601	0.460825	0.141306	1.20564	0.419657	0.325737	0.699039	0.206157
0.0298626	8.01958	0.00252656	1.02532	0.280469	0.604521	0.551319	-0.0350507	0.560105	0.614335	0.142629	1.62711	0.420019	0.450865	0.699265	0.280048
0.0373315	8.01255	0.0035628	1.19165	0.281114	0.780045	0.55129	-0.021267	0.560746	0.754437	0.144338	2.03249	0.420497	0.575584	0.699561	0.353856
0.0447931	8.00391	0.00474706	1.34273	0.281922	0.95392	0.55128	0.00564117	0.561511	0.88237	0.146416	2.41897	0.421091	0.699705	0.699925	0.427569
0.0522459	7.99359	0.00606483	1.4782	0.282892	1.12574	0.5513	0.0439301	0.56239	1.00018	0.148845	2.78455	0.421801	0.823141	0.700357	0.501095
0.0596883	7.9816	0.00750153	1.59834	0.28402	1.29522	0.551361	0.0915774	0.563374	1.10988	0.151605	3.12811	0.422625	0.945796	0.700858	0.574464
0.0671187	7.96788	0.00904316	1.70392	0.285305	1.46197	0.551471	0.146735	0.564458	1.21321	0.154674	3.44916	0.423563	1.06754	0.701428	0.647668
0.0745355	7.95236	0.0106766	1.79584	0.286744	1.62578	0.551635	0.207832	0.565635	1.31168	0.158032	3.74775	0.424614	1.18829	0.702065	0.720613
