Sym0		Asym0		Sym1		Sym2		Asym1	
475  Points		491  Points		475  Points		236  Points		399  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00250913	9.16267	0.000588294	0.278315	0.00275597	9.16282	0.279512	1546.1	0.139792	399.993
0.0110453	9.16215	0.00120877	0.396906	0.0112921	9.16212	0.279631	251.358	0.14026	109.477
0.0195789	9.16085	0.00203379	0.511367	0.0198255	9.1608	0.27992	136.936	0.141256	63.8335
0.0281077	9.15881	0.00304723	0.620761	0.0283542	9.15875	0.280378	94.2173	0.142766	45.4009
0.0366298	9.15602	0.00423127	0.724464	0.0368761	9.15594	0.281001	71.9121	0.144773	35.5161
0.0451428	9.15246	0.00556697	0.822027	0.0453888	9.15234	0.281785	58.2289	0.147252	29.4035
0.0536446	9.1481	0.00703564	0.913252	0.0538902	9.14797	0.282723	48.9906	0.150175	25.2835
0.0621325	9.14291	0.00861918	0.998094	0.0623777	9.14274	0.283808	42.3426	0.153514	22.3411
0.0706041	9.13685	0.0103008	1.07666	0.0708487	9.13665	0.285032	37.3355	0.157237	20.1508
0.0790563	9.12986	0.0120653	1.14918	0.0793004	9.12965	0.286387	33.4329	0.161316	18.4683
0.0874862	9.1219	0.0138991	1.21594	0.0877295	9.12165	0.287863	30.3086	0.16572	17.1438
0.0958902	9.11289	0.0157905	1.2773	0.0961328	9.11261	0.28945	27.7531	0.170421	16.0803
0.104265	9.10276	0.0177292	1.33362	0.104506	9.10245	0.291136	25.6256	0.175393	15.2121
0.112605	9.09142	0.0197067	1.38528	0.112846	9.09107	0.292912	23.8279	0.180611	14.4935
0.120907	9.07876	0.0217156	1.43266	0.121146	9.07838	0.294767	22.2894	0.186052	13.8915
0.129165	9.06467	0.0234869	1.47074	0.129403	9.06424	0.296692	20.9584	0.191695	13.382
