Sym0		Asym0		Sym1		Sym2		Asym1	
475  Points		491  Points		475  Points		236  Points		399  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00250913	9.162	0.000588294	0.665961	0.00275597	9.1619	0.279512	0.127792	0.139792	0.50205
0.0110453	9.16059	0.00120877	0.775734	0.0112921	9.16048	0.279631	0.219308	0.14026	0.785454
0.0195789	9.15665	0.00203379	0.986621	0.0198255	9.15652	0.27992	0.401206	0.141256	1.34526
0.0281077	9.15047	0.00304723	1.17929	0.0283542	9.15028	0.280378	0.580137	0.142766	1.88773
0.0366298	9.14199	0.00423127	1.35224	0.0368761	9.1417	0.281001	0.754749	0.144773	2.40709
0.0451428	9.13111	0.00556697	1.50498	0.0453888	9.13075	0.281785	0.923649	0.147252	2.89897
0.0536446	9.11762	0.00703564	1.63799	0.0538902	9.1172	0.282723	1.0856	0.150175	3.36046
0.0621325	9.10142	0.00861918	1.75224	0.0623777	9.10087	0.283808	1.23957	0.153514	3.79
0.0706041	9.08226	0.0103008	1.84936	0.0708487	9.08168	0.285032	1.3844	0.157237	4.18706
0.0790563	9.05991	0.0120653	1.93109	0.0793004	9.05921	0.286387	1.51923	0.161316	4.55214
0.0874862	9.03403	0.0138991	1.99918	0.0877295	9.03322	0.287863	1.64335	0.16572	4.88634
0.0958902	9.00425	0.0157905	2.05546	0.0961328	9.00338	0.28945	1.75632	0.170421	5.19118
0.104265	8.97018	0.0177292	2.10167	0.104506	8.9691	0.291136	1.85804	0.175393	5.46856
0.112605	8.93126	0.0197067	2.13929	0.112846	8.93005	0.292912	1.94862	0.180611	5.72038
0.120907	8.8869	0.0217156	2.16979	0.121146	8.88551	0.294767	2.0287	0.186052	5.94856
0.129165	8.83632	0.0234869	2.19154	0.129403	8.83473	0.296692	2.09943	0.191695	6.15517
0.137373	8.77875	0.0250095	2.20688	0.137609	8.77698	0.298679	2.16239	0.197522	6.34193
0.145523	8.71313	0.0262759	2.21779	0.145758	8.71113	0.300721	2.21966	0.203513	6.51058
0.153609	8.63835	0.0272814	2.22528	0.153841	8.63603	0.302815	2.27379	0.209653	6.66273
0.16162	8.55303	0.0280227	2.23014	0.16185	8.55038	0.304958	2.32776	0.215928	6.79973
0.169546	8.45554	0.0284979	2.23311	0.169774	8.45253	0.307153	2.38511	0.222324	6.92301
0.177376	8.34415	0.0291822	2.23711	0.177601	8.3407	0.309403	2.44941	0.228828	7.03364
0.185095	8.2168	0.0299272	2.24095	0.185316	8.21284	0.311717	2.52455	0.23543	7.13271
