Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
359  Points		393  Points		358  Points		318  Points		259  Points		345  Points		332  Points		260  Points		158  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.349232	-0.603257	0.000482966	0.314948	1.00029	2.28472	0.353943	0.95311	0.707107	0.00251956	0.176813	0.115663	0.53033	-0.00375231	0.698524	0.0166862	0.883886	0.00683024
0.348521	-0.815697	0.000854136	0.358784	0.997597	2.28222	0.355066	1.07421	0.70711	0.00361659	0.176949	0.158459	0.530326	-0.00667889	0.698543	0.0288414	0.883894	0.00923895
0.34731	-1.09786	0.00132863	0.445763	0.99491	2.27714	0.356475	1.24444	0.707116	0.00588229	0.177186	0.243705	0.530314	-0.012529	0.698591	0.0530756	0.883908	0.0140481
0.345934	-1.19111	0.00190481	0.531244	0.992229	2.27202	0.357999	1.31903	0.707124	0.00821643	0.177524	0.328064	0.530296	-0.0183697	0.698668	0.0772276	0.883927	0.0188324
0.344502	-1.22188	0.00258078	0.615049	0.989555	2.26685	0.359584	1.3607	0.707135	0.0104677	0.17796	0.411236	0.530271	-0.0241918	0.698774	0.101362	0.883952	0.0236403
0.343054	-1.22966	0.00335449	0.696964	0.986886	2.26162	0.361207	1.38874	0.707149	0.012773	0.178493	0.492985	0.530239	-0.0299034	0.698907	0.125387	0.883983	0.0284954
0.341604	-1.22727	0.00422354	0.776712	0.984224	2.25636	0.362857	1.41016	0.707165	0.0151131	0.179122	0.573061	0.530201	-0.0354673	0.699069	0.14934	0.884019	0.0332983
0.340161	-1.21965	0.00518522	0.85425	0.981568	2.25105	0.36453	1.42797	0.707184	0.0174495	0.179844	0.651254	0.530155	-0.0409553	0.699259	0.17315	0.884061	0.0381434
0.338729	-1.20901	0.00623703	0.92942	0.978918	2.2457	0.366223	1.44352	0.707206	0.0198519	0.180657	0.727366	0.530104	-0.0462918	0.699477	0.19682	0.884109	0.0430729
0.337311	-1.19645	0.00737588	1.00205	0.976275	2.24027	0.367933	1.45761	0.707231	0.0222396	0.181558	0.801222	0.530046	-0.0514715	0.699723	0.220356	0.884163	0.0479514
0.335909	-1.18261	0.00859888	1.07216	0.973638	2.23482	0.369658	1.47065	0.707259	0.0246712	0.182545	0.872689	0.529983	-0.0564844	0.699997	0.243698	0.884222	0.0528744
0.334524	-1.16776	0.00990299	1.13965	0.971007	2.22936	0.371399	1.48288	0.707289	0.0271907	0.183615	0.94172	0.529913	-0.0613098	0.700297	0.266871	0.884287	0.0578863
0.333157	-1.15211	0.0112851	1.20455	0.968383	2.22385	0.373154	1.49452	0.707323	0.0297396	0.184765	1.00815	0.529838	-0.065907	0.700626	0.28978	0.884359	0.0628565
0.331808	-1.13583	0.0127421	1.26681	0.965766	2.21825	0.374922	1.50557	0.70736	0.032347	0.185991	1.07195	0.529758	-0.0702675	0.700981	0.312526	0.884436	0.0678897
0.330479	-1.11902	0.014271	1.32644	0.963155	2.21261	0.376702	1.51617	0.707399	0.0349985	0.187291	1.13312	0.529673	-0.0744473	0.701362	0.33502	0.884519	0.0729755
0.329171	-1.10172	0.0158686	1.38352	0.96055	2.20699	0.378495	1.52639	0.707442	0.0376646	0.188662	1.19165	0.529582	-0.0783392	0.70177	0.35723	0.884608	0.0780936
0.327883	-1.08398	0.017532	1.43805	0.957953	2.2013	0.3803	1.53621	0.707488	0.0404334	0.1901	1.24757	0.529488	-0.0819482	0.702204	0.379238	0.884703	0.0832759
0.326616	-1.06578	0.0192581	1.49013	0.955362	2.19556	0.382116	1.54573	0.707537	0.043261	0.191603	1.30081	0.529389	-0.0852843	0.702664	0.400914	0.884804	0.0884403
