Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3		Asym4	
331  Points		374  Points		331  Points		316  Points		230  Points		344  Points		293  Points		218  Points		93  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.353551	524.677	0.000150063	0.0757337	1.00042	2.60949	0.46426	501.62	0.707111	691.294	0.176797	240.3	0.53033	21050.4	0.883883	18456.2	0.928493	8745.57
0.353537	190.858	0.000381152	0.120619	0.997828	2.61075	0.464317	220.68	0.707126	321.218	0.176913	92.4193	0.530335	440.586	0.88388	720.71	0.928509	722.756
0.35351	116.637	0.000717056	0.165278	0.995226	2.61199	0.464419	141.481	0.707153	209.223	0.177132	57.2732	0.530351	222.629	0.883872	367.527	0.928552	376.971
0.35347	83.972	0.00115677	0.209673	0.992616	2.61323	0.464565	104.138	0.707191	155.14	0.177453	41.5458	0.530376	148.952	0.883857	246.652	0.928621	254.997
0.353417	65.5947	0.00169869	0.253707	0.99	2.61445	0.464755	82.4096	0.70724	123.279	0.177876	32.639	0.530412	111.919	0.883838	185.605	0.928718	192.672
0.353352	53.8121	0.00234096	0.297302	0.987376	2.61566	0.464988	68.1993	0.7073	102.278	0.178397	26.9145	0.530458	89.6384	0.883812	148.779	0.928842	154.84
0.353274	45.6137	0.00308171	0.340426	0.984746	2.61686	0.465265	58.183	0.707372	87.3952	0.179017	22.9308	0.530514	74.7596	0.883782	124.145	0.928992	129.436
0.353185	39.5796	0.00391844	0.382995	0.982107	2.61805	0.465585	50.7445	0.707455	76.2963	0.179732	20.0028	0.53058	64.1201	0.883747	106.508	0.929168	111.201
0.353085	34.9522	0.0048487	0.424969	0.97946	2.61922	0.465948	45.0034	0.707549	67.7017	0.18054	17.763	0.530656	56.1345	0.883706	93.2575	0.92937	97.477
0.352973	31.2907	0.00586973	0.466293	0.976806	2.62038	0.466353	40.4395	0.707654	60.85	0.181439	15.9966	0.530742	49.9203	0.883662	82.9379	0.929599	86.7748
0.352852	28.3211	0.00697869	0.50693	0.974143	2.62153	0.466799	36.7251	0.707771	55.2601	0.182426	14.5698	0.530839	44.9471	0.883613	74.6736	0.929853	78.1962
0.35272	25.8641	0.00817258	0.546841	0.971471	2.62266	0.467287	33.644	0.707899	50.613	0.183499	13.3947	0.530945	40.8771	0.88356	67.906	0.930132	71.1665
0.35258	23.7973	0.00944843	0.586	0.968792	2.62377	0.467814	31.0476	0.708038	46.6889	0.184654	12.4113	0.531062	37.485	0.883503	62.2622	0.930436	65.3015
0.352431	22.0345	0.0108031	0.62438	0.966103	2.62487	0.468382	28.8303	0.708188	43.3314	0.185888	11.5772	0.531189	34.6146	0.883443	57.4839	0.930765	60.3342
0.352275	20.5133	0.0122334	0.661956	0.963405	2.62594	0.468988	26.9152	0.70835	40.4262	0.187025	10.9478	0.531327	32.1542	0.88338	53.3859	0.931117	56.0734
0.352111	19.187	0.0137363	0.698726	0.960699	2.62701	0.469632	25.2447	0.708523	37.8878	0.188039	10.4706	0.531474	30.0219	0.883314	49.8328	0.931494	52.3787
0.351941	18.0205	0.0153088	0.734669	0.957983	2.62805	0.470314	23.7752	0.708708	35.651	0.188907	10.1113	0.531632	28.1564	0.883246	46.7225	0.931894	49.1445
0.351765	16.9865	0.0169476	0.769779	0.955259	2.62908	0.471033	22.4727	0.708904	33.665	0.189612	9.84731	0.531801	26.5106	0.883176	43.9772	0.932318	46.2899
0.351585	16.0636	0.0186499	0.80406	0.952525	2.63008	0.471788	21.3105	0.709111	31.8901	0.19014	9.66353	0.531979	25.048	0.883105	41.5362	0.932764	43.7519
0.351401	15.2349	0.0204128	0.837511	0.949782	2.63107	0.472578	20.2673	0.70933	30.2943	0.190483	9.5502	0.532168	23.7396	0.883032	39.3515	0.933232	41.4809
0.351214	14.4866	0.0222334	0.870133	0.94703	2.63204	0.473402	19.3259	0.70956	28.852	0.190982	9.39284	0.532368	22.5623	0.882959	37.3848	0.933722	39.4368
0.351025	13.8076	0.024109	0.901937	0.944269	2.63299	0.474259	18.4722	0.709801	27.542	0.191532	9.22885	0.532577	21.4975	0.882885	35.605	0.934233	37.5875
0.350833	13.1887	0.0260368	0.932928	0.941499	2.63392	0.475149	17.6946	0.710054	26.347	0.192293	9.01681	0.532797	20.5298	0.882811	33.9868	0.934766	35.9064
0.350642	12.6223	0.0280145	0.963119	0.938719	2.63483	0.476071	16.9836	0.710319	25.2525	0.193276	8.76536	0.533028	19.6465	0.882738	32.509	0.935319	34.3717
0.35045	12.102	0.0300395	0.992526	0.935931	2.63573	0.477024	16.331	0.710594	24.2464	0.194495	8.48383	0.533269	18.8371	0.882665	31.1542	0.935892	32.9651
0.35026	11.6224	0.0321096	1.02116	0.933134	2.6366	0.478008	15.73	0.710882	23.3186	0.195967	8.18151	0.533521	18.0928	0.882593	29.9076	0.936486	31.6712
0.350071	11.179	0.0342224	1.04904	0.930328	2.63745	0.47902	15.1748	0.711181	22.4601	0.197707	7.8671	0.533784	17.4061	0.882523	28.7568	0.937098	30.4773
0.349885	10.7678	0.0363761	1.07617	0.927514	2.63829	0.480062	14.6605	0.711491	21.6636	0.199501	7.58287	0.534056	16.7705	0.882455	27.6912	0.93773	29.372
0.349702	10.3855	0.0385682	1.10259	0.924691	2.63911	0.481131	14.1827	0.711813	20.9226	0.201345	7.32485	0.53434	16.1806	0.882388	26.7017	0.938381	28.346
0.349523	10.0292	0.0407971	1.12829	0.921859	2.6399	0.482227	13.7377	0.712146	20.2316	0.203237	7.0897	0.534635	15.6317	0.882324	25.7803	0.93905	27.3911
0.349349	9.69628	0.043061	1.15331	0.919019	2.64068	0.483349	13.3224	0.712492	19.5857	0.205173	6.87464	0.53494	15.1196	0.882263	24.9204	0.939736	26.5002
0.349181	9.38464	0.0453581	1.17766	0.916172	2.64145	0.484497	12.9339	0.712848	18.9806	0.207153	6.67729	0.535255	14.6409	0.882205	24.116	0.940441	25.667
0.349019	9.09231	0.0476867	1.20136	0.913316	2.64219	0.485669	12.5698	0.713217	18.4126	0.209173	6.49565	0.535582	14.1923	0.88215	23.3619	0.941163	24.8863
0.348864	8.81756	0.0500454	1.22443	0.910452	2.64292	0.486866	12.2278	0.713597	17.8785	0.211232	6.32799	0.53592	13.7712	0.882099	22.6535	0.941902	24.1532
0.348717	8.55891	0.0524325	1.24688	0.907581	2.64363	0.488085	11.906	0.713989	17.3753	0.213326	6.17281	0.536268	13.3751	0.882052	21.9868	0.942658	23.4635
0.348579	8.315	0.0548469	1.26874	0.904703	2.64432	0.489327	11.6027	0.714393	16.9004	0.215455	6.02883	0.536628	13.0019	0.882008	21.3583	0.94343	22.8135
0.34845	8.08464	0.0572871	1.29002	0.901817	2.645	0.490592	11.3165	0.714808	16.4515	0.217617	5.89492	0.536999	12.6497	0.881969	20.7648	0.944218	22.1999
0.34833	7.86676	0.0597519	1.31074	0.898925	2.64566	0.491877	11.0459	0.715235	16.0267	0.219809	5.77009	0.53738	12.3167	0.881935	20.2034	0.945022	21.6197
0.348221	7.66041	0.0622401	1.33092	0.896025	2.6463	0.493013	10.8218	0.715674	15.6239	0.22203	5.6535	0.537773	12.0016	0.881906	19.6716	0.945841	21.0704
0.348124	7.46473	0.0647507	1.35056	0.893119	2.64693	0.493995	10.6389	0.716125	15.2416	0.224279	5.54437	0.538177	11.7028	0.881882	19.1672	0.946676	20.5495
0.348037	7.27894	0.0672825	1.3697	0.890207	2.64755	0.494814	10.4929	0.716588	14.8783	0.226553	5.44205	0.538592	11.4192	0.881863	18.6881	0.947526	20.0549
0.347963	7.10234	0.0698346	1.38835	0.887288	2.64815	0.495467	10.3808	0.717062	14.5325	0.228852	5.34593	0.539018	11.1496	0.881849	18.2325	0.94839	19.5847
0.347902	6.93429	0.072406	1.40652	0.884363	2.64874	0.49595	10.3001	0.717549	14.2032	0.231174	5.25549	0.539399	10.9254	0.881841	17.7987	0.949269	19.1371
0.347855	6.77421	0.074996	1.42422	0.881433	2.64931	0.49626	10.2492	0.718048	13.889	0.233517	5.17024	0.539731	10.7416	0.881839	17.3851	0.950162	18.7106
0.347821	6.62158	0.0776035	1.44148	0.878496	2.64987	0.496708	10.177	0.718558	13.5891	0.235881	5.08977	0.54001	10.5945	0.881843	16.9904	0.95107	18.3036
0.347801	6.47592	0.0802279	1.45831	0.875555	2.65042	0.497197	10.1	0.719081	13.3026	0.238265	5.01371	0.540233	10.4812	0.881853	16.6134	0.951991	17.915
0.347797	6.33678	0.0828684	1.47471	0.872607	2.65096	0.497866	9.99729	0.719616	13.0284	0.240666	4.9417	0.5404	10.3995	0.88187	16.2528	0.952926	17.5436
0.347807	6.20377	0.0855242	1.49071	0.869655	2.65148	0.498717	9.8709	0.720163	12.7659	0.243085	4.87343	0.540507	10.3479	0.881893	15.9077	0.953874	17.1881
0.347834	6.07651	0.0881948	1.50632	0.866698	2.65199	0.499756	9.72298	0.720722	12.5144	0.24552	4.80864	0.540662	10.2747	0.881922	15.5771	0.954835	16.8476
0.347877	5.95467	0.0908794	1.52154	0.863736	2.65249	0.500987	9.55599	0.721294	12.2732	0.247971	4.74706	0.540832	10.1964	0.881959	15.2601	0.95581	16.5213
0.347937	5.83792	0.0935776	1.5364	0.860769	2.65299	0.502414	9.37253	0.721877	12.0416	0.250436	4.68847	0.541065	10.0919	0.882002	14.9559	0.956797	16.2082
0.348014	5.72599	0.0962885	1.5509	0.857798	2.65347	0.503857	9.19725	0.722473	11.8192	0.252914	4.63267	0.541364	9.96295	0.882052	14.6637	0.957797	15.9075
0.348108	5.61859	0.0990119	1.56506	0.854823	2.65394	0.505316	9.02963	0.723081	11.6054	0.255406	4.57944	0.541732	9.81164	0.882109	14.3829	0.958809	15.6187
0.34822	5.51549	0.101747	1.57888	0.851843	2.6544	0.50679	8.86919	0.723702	11.3998	0.257909	4.52863	0.542172	9.64029	0.882174	14.1128	0.959834	15.3408
0.348351	5.41646	0.104494	1.59238	0.84886	2.65485	0.508278	8.71548	0.724253	11.2268	0.260424	4.48008	0.542687	9.4514	0.882246	13.8527	0.960871	15.0735
0.3485	5.32127	0.107251	1.60556	0.845872	2.6553	0.50978	8.56809	0.72473	11.0838	0.262949	4.43364	0.543214	9.27031	0.882325	13.6023	0.96192	14.816
0.348646	5.2413	0.110019	1.61845	0.842881	2.65573	0.511296	8.42665	0.725129	10.9685	0.265484	4.38917	0.543753	9.09656	0.882412	13.3609	0.962981	14.5679
0.348782	5.17523	0.112797	1.63104	0.839886	2.65616	0.512824	8.29081	0.725449	10.8791	0.268029	4.34655	0.544304	8.92972	0.882506	13.128	0.964053	14.3287
0.348902	5.12199	0.115584	1.64334	0.836888	2.65658	0.514365	8.16025	0.725685	10.8144	0.270582	4.30567	0.544867	8.76941	0.882608	12.9033	0.965137	14.0979
0.349002	5.08077	0.118381	1.65537	0.833887	2.65699	0.515918	8.03466	0.725838	10.7734	0.273144	4.26642	0.545443	8.61526	0.882718	12.6864	0.966232	13.875
0.349079	5.05094	0.121187	1.66713	0.830882	2.65739	0.517483	7.91379	0.726058	10.7151	0.275713	4.22871	0.54603	8.46693	0.882836	12.4767	0.967339	13.6597
0.34913	5.03206	0.124001	1.67863	0.827874	2.65779	0.519059	7.79736	0.726299	10.6525	0.27829	4.19245	0.54663	8.3241	0.882962	12.2741	0.968456	13.4516
0.349204	5.0052	0.126824	1.68988	0.824863	2.65818	0.520646	7.68514	0.726629	10.5686	0.280873	4.15756	0.547241	8.1865	0.883095	12.0781	0.969585	13.2504
0.349287	4.97637	0.129654	1.70088	0.82185	2.65857	0.522244	7.57692	0.72705	10.4645	0.283463	4.12394	0.547866	8.05385	0.883237	11.8884	0.970724	13.0557
0.349405	4.93778	0.132492	1.71165	0.818833	2.65895	0.523851	7.47247	0.727566	10.3417	0.286058	4.09155	0.548502	7.9259	0.883386	11.7047	0.971874	12.8672
0.349561	4.88995	0.135338	1.72219	0.815814	2.65932	0.525468	7.37161	0.728181	10.2015	0.288659	4.0603	0.549151	7.80241	0.883523	11.5494	0.973035	12.6847
0.349759	4.83353	0.13819	1.73251	0.812793	2.65969	0.527095	7.27417	0.728898	10.0457	0.291264	4.03014	0.549813	7.68316	0.883645	11.4203	0.974206	12.5078
0.350006	4.76926	0.14105	1.74261	0.809769	2.66005	0.52873	7.17996	0.729628	9.89499	0.293874	4.00102	0.550488	7.56795	0.883749	11.3158	0.975387	12.3363
0.35031	4.69796	0.143916	1.7525	0.806743	2.66041	0.530374	7.08884	0.73037	9.74924	0.296488	3.97286	0.551175	7.45659	0.883834	11.2345	0.976578	12.17
0.350635	4.62915	0.146788	1.76219	0.803714	2.66076	0.532026	7.00065	0.731125	9.60818	0.299107	3.94564	0.551875	7.34889	0.883897	11.1755	0.97778	12.0086
0.350982	4.56273	0.149666	1.77167	0.800683	2.66111	0.533686	6.91526	0.731893	9.47158	0.301728	3.91929	0.552588	7.24469	0.883938	11.1381	0.978992	11.8519
0.35135	4.4986	0.15255	1.78097	0.797651	2.66146	0.535354	6.83253	0.732674	9.33924	0.304353	3.89377	0.553313	7.14382	0.883998	11.0848	0.980056	11.7191
0.35174	4.43665	0.15544	1.79008	0.794616	2.6618	0.537029	6.75235	0.733468	9.21099	0.30698	3.86905	0.554052	7.04615	0.884064	11.0274	0.980968	11.6085
0.352153	4.37679	0.158336	1.79901	0.791579	2.66214	0.538712	6.6746	0.734274	9.08664	0.30961	3.84509	0.554804	6.95153	0.884156	10.9503	0.981727	11.5188
0.352588	4.31894	0.161237	1.80776	0.788541	2.66247	0.5404	6.59916	0.735094	8.96602	0.312242	3.82184	0.555569	6.85982	0.884274	10.8545	0.98233	11.449
0.353045	4.263	0.164142	1.81634	0.7855	2.6628	0.542096	6.52595	0.735926	8.84898	0.314877	3.79928	0.556348	6.7709	0.884422	10.7409	0.982774	11.3982
0.353526	4.20891	0.167053	1.82476	0.782458	2.66313	0.543797	6.45485	0.736772	8.73536	0.317512	3.77737	0.55714	6.68466	0.884601	10.6107	0.983059	11.366
0.354029	4.15658	0.169969	1.83301	0.779415	2.66345	0.545504	6.38578	0.737631	8.62503	0.320149	3.75608	0.557945	6.60099	0.884815	10.4653	0.98347	11.3201
0.354556	4.10595	0.172889	1.8411	0.776369	2.66377	0.547217	6.31866	0.738503	8.51784	0.322788	3.73538	0.558763	6.51977	0.885037	10.3241	0.983918	11.2706
0.355106	4.05696	0.175814	1.84904	0.773323	2.66409	0.548935	6.2534	0.739387	8.41368	0.325427	3.71526	0.559596	6.44091	0.885267	10.1867	0.984528	11.2042
0.35568	4.00953	0.178743	1.85683	0.770275	2.66441	0.550658	6.18993	0.740286	8.31243	0.328067	3.69567	0.560442	6.36432	0.885506	10.0531	0.985304	11.1214
0.356277	3.9636	0.181676	1.86448	0.767225	2.66472	0.552386	6.12817	0.741197	8.21397	0.330707	3.6766	0.561301	6.2899	0.885753	9.92316	0.986246	11.0231
0.356899	3.91913	0.184614	1.87198	0.764175	2.66504	0.554118	6.06805	0.742122	8.11819	0.333347	3.65803	0.562175	6.21758	0.886009	9.79668	0.987358	10.9103
0.357544	3.87606	0.187555	1.87935	0.761123	2.66535	0.555855	6.00951	0.74306	8.02499	0.335987	3.63993	0.563062	6.14727	0.886274	9.67355	0.988643	10.784
0.358214	3.83434	0.1905	1.88658	0.75807	2.66566	0.557596	5.95249	0.744011	7.93428	0.338627	3.62228	0.563964	6.07889	0.886547	9.55364	0.989937	10.6611
0.358908	3.79391	0.193448	1.89368	0.755015	2.66597	0.55934	5.89692	0.744975	7.84596	0.341267	3.60507	0.564879	6.01239	0.886829	9.43683	0.991239	10.5413
0.359628	3.75474	0.196401	1.90065	0.75196	2.66627	0.561088	5.84276	0.745953	7.75994	0.343905	3.58827	0.565809	5.94767	0.887119	9.32301	0.992551	10.4246
0.360371	3.71677	0.199356	1.9075	0.748904	2.66658	0.56284	5.78994	0.746945	7.67615	0.346543	3.57187	0.566752	5.88469	0.887418	9.21206	0.993871	10.3109
0.36114	3.67997	0.202315	1.91423	0.745846	2.66688	0.564594	5.73842	0.74795	7.5945	0.34918	3.55586	0.56771	5.82338	0.887726	9.10388	0.9952	10.2
0.361934	3.6443	0.205278	1.92083	0.742788	2.66719	0.566352	5.68815	0.748968	7.51491	0.351816	3.54021	0.568683	5.76368	0.888043	8.99837	0.996537	10.0918
0.362753	3.60971	0.208243	1.92733	0.739729	2.66749	0.568112	5.63909	0.75	7.43732	0.35445	3.52491	0.56967	5.70554	0.888368	8.89544	0.997883	9.98621
0.363598	3.57618	0.211211	1.93371	0.736669	2.66779	0.569875	5.59118	0.751045	7.36165	0.357082	3.50996	0.570671	5.64889	0.888702	8.79499	0.999237	9.8832
0.364469	3.54367	0.214183	1.93998	0.733608	2.6681	0.571641	5.54439	0.752104	7.28784	0.359713	3.49532	0.571687	5.59369	0.889044	8.69695	1.0006	9.78265
0.365365	3.51214	0.217157	1.94615	0.730547	2.6684	0.573408	5.49868	0.753176	7.21583	0.362342	3.481	0.572718	5.53989	0.889396	8.60123		
0.366288	3.48157	0.220134	1.95221	0.727485	2.6687	0.575177	5.45401	0.754262	7.14556	0.364968	3.46699	0.573763	5.48745	0.889756	8.50775		
0.367237	3.45192	0.223113	1.95817	0.724422	2.66901	0.576949	5.41035	0.755362	7.07696	0.367593	3.45326	0.574824	5.43632	0.890125	8.41643		
0.368212	3.42316	0.225712	1.96328	0.721359	2.66931	0.578722	5.36765	0.756475	7.00999	0.370215	3.4398	0.575899	5.38645	0.890502	8.32721		
0.369214	3.39528	0.227929	1.96757	0.718295	2.66962	0.580496	5.3259	0.757602	6.94459	0.372834	3.42662	0.576989	5.33781	0.890888	8.24001		
0.370243	3.36824	0.229763	1.97109	0.715231	2.66992	0.582272	5.28504	0.758742	6.88071	0.375451	3.41369	0.578094	5.29036	0.891284	8.15478		
0.371299	3.34202	0.231214	1.97384	0.712166	2.67023	0.584049	5.24506	0.759896	6.81831	0.378064	3.40101	0.579214	5.24405	0.891687	8.07144		
0.372383	3.31659	0.232281	1.97585	0.709101	2.67054	0.585826	5.20593	0.761064	6.75733	0.380675	3.38857	0.58035	5.19886	0.8921	7.98994		
0.373494	3.29194	0.232964	1.97713	0.706036	2.67085	0.587605	5.16762	0.762245	6.69774	0.383283	3.37637	0.5815	5.15475	0.892521	7.91022		
0.374634	3.26803	0.233946	1.97897	0.70297	2.67116	0.589385	5.1301	0.76344	6.63948	0.385887	3.36438	0.582667	5.11168	0.892952	7.83223		
0.375802	3.24486	0.235014	1.98095	0.699904	2.67147	0.591165	5.09334	0.764649	6.58253	0.388488	3.35261	0.583848	5.06963	0.89339	7.7559		
0.376999	3.22241	0.236467	1.98362	0.696838	2.67179	0.592945	5.05733	0.765872	6.52684	0.391085	3.34104	0.585045	5.02857	0.893838	7.6812		
0.378224	3.20064	0.238305	1.98698	0.693771	2.6721	0.594726	5.02204	0.767108	6.47236	0.393678	3.32968	0.586257	4.98846	0.894295	7.60807		
0.379479	3.17955	0.240529	1.99099	0.690704	2.67242	0.596507	4.98745	0.768357	6.41908	0.396268	3.3185	0.587485	4.94927	0.89476	7.53647		
0.380764	3.15912	0.24314	1.99563	0.687638	2.67274	0.598288	4.95353	0.769621	6.36695	0.398854	3.30751	0.588729	4.91099	0.895234	7.46635		
0.382079	3.13933	0.246137	2.00088	0.684571	2.67307	0.600069	4.92026	0.770897	6.31593	0.401436	3.29671	0.589988	4.87358	0.895717	7.39766		
0.383424	3.12018	0.249137	2.00604	0.681504	2.67339	0.601849	4.88764	0.772188	6.26601	0.404014	3.28607	0.591263	4.83703	0.896208	7.33037		
0.384801	3.10163	0.252138	2.01113	0.678437	2.67372	0.60363	4.85562	0.773492	6.21713	0.406588	3.27561	0.592554	4.8013	0.896708	7.26444		
0.386209	3.08369	0.255142	2.01613	0.67537	2.67406	0.60541	4.82421	0.77481	6.16928	0.409157	3.2653	0.59386	4.76637	0.897217	7.19983		
0.387649	3.06634	0.258147	2.02106	0.672304	2.67439	0.60719	4.79338	0.776141	6.12243	0.411722	3.25516	0.595183	4.73222	0.897735	7.13649		
0.389122	3.04956	0.261154	2.02591	0.669237	2.67474	0.608969	4.76311	0.777486	6.07655	0.414282	3.24516	0.596521	4.69883	0.898262	7.0744		
0.390628	3.03334	0.264163	2.03069	0.666171	2.67508	0.610748	4.73339	0.778844	6.03161	0.416838	3.23532	0.597875	4.66618	0.898797	7.01352		
0.392167	3.01768	0.267173	2.03539	0.663105	2.67543	0.612526	4.7042	0.780216	5.98759	0.419389	3.22561	0.599246	4.63425	0.899341	6.95382		
