Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
414  Points		468  Points		414  Points		394  Points		285  Points		432  Points		364  Points		261  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.353553	770.368	6.96491e-006	0.0163133	1.00219	2.63287	0.491474	634.091	0.707107	3605.98	0.1768	221.435	0.530333	662.332	0.883884	1016.1
0.35355	254.237	7.0561e-005	0.0519349	0.999977	2.6335	0.491503	287.971	0.707112	626.991	0.176888	102.24	0.530343	306.132	0.883886	490.619
0.353545	152.237	0.00020042	0.0875069	0.997759	2.63412	0.491554	186.302	0.707126	343.351	0.177041	66.5111	0.53036	199.077	0.883889	323.382
0.353537	108.646	0.000396204	0.122967	0.995535	2.63473	0.491627	137.704	0.707147	236.411	0.177257	49.327	0.530384	147.501	0.883894	241.174
0.353527	84.4602	0.000657509	0.158294	0.993307	2.63533	0.491722	109.226	0.707175	180.27	0.177538	39.233	0.530416	117.155	0.8839	192.292
0.353514	69.0805	0.000983801	0.193455	0.991074	2.63592	0.49184	90.5188	0.707212	145.68	0.177881	32.5974	0.530455	97.1674	0.883907	159.886
0.353498	58.438	0.00137428	0.228395	0.988836	2.63651	0.491978	77.2912	0.707256	122.23	0.178287	27.907	0.530501	83.0091	0.883915	136.828
0.35348	50.636	0.00182831	0.263112	0.986594	2.63708	0.492139	67.4445	0.707308	105.286	0.178754	24.4189	0.530554	72.4546	0.883925	119.583
0.35346	44.671	0.00234476	0.297539	0.984347	2.63764	0.492321	59.8301	0.707367	92.4705	0.179281	21.7258	0.530615	64.2837	0.883937	106.198
0.353437	39.9626	0.0029227	0.331666	0.982095	2.63819	0.492525	53.7671	0.707435	82.4386	0.179869	19.5857	0.530682	57.771	0.883949	95.5091
0.353412	36.1514	0.003561	0.36546	0.979839	2.63874	0.49275	48.8256	0.70751	74.3726	0.180514	17.8455	0.530758	52.4586	0.883963	86.7751
0.353386	33.0033	0.00425833	0.398884	0.977578	2.63927	0.492996	44.7213	0.707593	67.7463	0.181216	16.404	0.53084	48.0426	0.883979	79.5051
0.353357	30.359	0.0050135	0.431927	0.975312	2.63979	0.493264	41.2586	0.707683	62.2061	0.181974	15.1914	0.53093	44.3141	0.883996	73.3593
0.353327	28.1065	0.00582516	0.464564	0.973043	2.64031	0.493552	38.2981	0.707781	57.5052	0.182786	14.158	0.531026	41.1242	0.884014	68.0958
0.353295	26.1648	0.00669178	0.496766	0.970769	2.64082	0.493862	35.7383	0.707887	53.4665	0.183651	13.2675	0.531131	38.3642	0.884034	63.5374
0.353261	24.4736	0.00761194	0.52852	0.968491	2.64131	0.494192	33.5034	0.708001	49.9595	0.184568	12.4928	0.531242	35.9527	0.884056	59.5512
0.353226	22.9874	0.0085842	0.559812	0.966208	2.6418	0.494542	31.5353	0.708123	46.8856	0.185534	11.8133	0.531361	33.8278	0.884079	56.0359
