Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
258  Points		501  Points		258  Points		228  Points		212  Points		147  Points		347  Points		239  Points		198  Points		128  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.279525	0.0674666	1.16847e-006	0.0787198	0.279529	0.0727554	0.464375	0.0248971	0.55902	0.03198	0.838527	0.0187685	0.139754	0.0887448	0.419264	0.0296455	0.698772	0.0184181	0.928735	0.0055004
0.279588	0.0925952	7.45113e-005	0.139657	0.279597	0.0979069	0.464398	0.033576	0.55905	0.0486535	0.838545	0.0285894	0.139837	0.168811	0.419292	0.0492323	0.69879	0.0296373	0.92874	0.00939329
0.279698	0.142859	0.000261404	0.260945	0.279712	0.148166	0.464437	0.0508966	0.559111	0.081975	0.838581	0.0482375	0.140069	0.328296	0.419356	0.0883636	0.698828	0.0520156	0.928752	0.0171901
0.279854	0.192996	0.000560753	0.380547	0.279873	0.198294	0.464493	0.0682526	0.559203	0.115293	0.838635	0.0678316	0.140449	0.486132	0.419456	0.127515	0.698886	0.07436	0.928772	0.0250202
0.280057	0.243026	0.000970511	0.497803	0.280081	0.248305	0.464564	0.0856796	0.559326	0.148603	0.838707	0.0873909	0.140975	0.641625	0.419593	0.166633	0.698966	0.0967099	0.928799	0.0328433
0.280307	0.292914	0.00148835	0.612124	0.280336	0.298157	0.464652	0.103102	0.55948	0.181826	0.838798	0.106954	0.141644	0.794042	0.419767	0.205685	0.699067	0.119071	0.928833	0.0406527
0.280603	0.342521	0.00211114	0.72292	0.280637	0.347764	0.464756	0.120661	0.559665	0.215019	0.838906	0.126524	0.142454	0.942796	0.419977	0.244678	0.699188	0.141381	0.928875	0.0485079
0.280945	0.391929	0.00283544	0.829669	0.280984	0.397172	0.464877	0.138348	0.55988	0.248153	0.839033	0.146108	0.143401	1.08737	0.420223	0.283552	0.69933	0.163662	0.928924	0.0563813
0.281333	0.441087	0.00365713	0.931984	0.281377	0.446257	0.465014	0.156071	0.560127	0.281169	0.839179	0.165649	0.144481	1.22734	0.420505	0.322408	0.699493	0.185959	0.92898	0.0642911
0.281767	0.489891	0.00457209	1.02961	0.281816	0.494988	0.465168	0.173939	0.560404	0.314096	0.839342	0.185174	0.145688	1.36239	0.420823	0.361156	0.699677	0.208214	0.929043	0.0722738
0.282246	0.538353	0.0055757	1.12232	0.282299	0.543452	0.465338	0.191949	0.560712	0.346992	0.839524	0.204741	0.147019	1.49224	0.421178	0.399759	0.699881	0.230458	0.929114	0.0802558
0.28277	0.586426	0.0066634	1.21003	0.282828	0.591526	0.465526	0.210099	0.561051	0.37975	0.839724	0.224247	0.148469	1.61672	0.421568	0.438295	0.700106	0.25268	0.929193	0.0882364
0.283339	0.634158	0.00783045	1.29266	0.283402	0.639189	0.46573	0.228381	0.56142	0.412381	0.839942	0.243703	0.150032	1.73584	0.421995	0.476693	0.700352	0.274859	0.929279	0.0962876
0.283952	0.68143	0.00907212	1.37017	0.284019	0.686394	0.465951	0.246855	0.561819	0.444904	0.840178	0.263207	0.151703	1.84948	0.422457	0.514892	0.700618	0.297024	0.929372	0.104406
0.284609	0.728218	0.0103836	1.44272	0.284681	0.733125	0.46619	0.265565	0.562249	0.477285	0.840432	0.282658	0.153478	1.95767	0.422954	0.552985	0.700905	0.319162	0.929473	0.112588
0.285309	0.774555	0.0117605	1.5104	0.285385	0.779417	0.466446	0.284381	0.562709	0.509598	0.840704	0.302077	0.155351	2.06076	0.423487	0.590937	0.701213	0.341247	0.929582	0.12082
0.286052	0.820352	0.0131981	1.57333	0.286133	0.825201	0.46672	0.30341	0.563199	0.541707	0.840995	0.321507	0.15706	2.14646	0.424055	0.628683	0.701541	0.363296	0.929699	0.129081
0.286838	0.865657	0.0146922	1.63181	0.286923	0.870405	0.467011	0.322718	0.563718	0.573623	0.841304	0.340883	0.15857	2.21644	0.424658	0.666235	0.70189	0.385275	0.929823	0.137401
0.287665	0.910345	0.0162388	1.68593	0.287755	0.915037	0.467321	0.342219	0.564267	0.60545	0.84163	0.360228	0.159855	2.27227	0.425297	0.703618	0.702259	0.40726	0.929955	0.145765
0.288534	0.954458	0.0178337	1.73594	0.288628	0.959111	0.467649	0.361957	0.564846	0.637096	0.841975	0.379581	0.160893	2.31508	0.42597	0.740812	0.702649	0.429184	0.930094	0.154216
0.289444	0.998006	0.0194735	1.78212	0.289542	1.00258	0.467996	0.38195	0.565455	0.668529	0.842337	0.398878	0.161669	2.34604	0.426677	0.777774	0.703059	0.451061	0.930242	0.162767
0.290394	1.04094	0.0211545	1.82468	0.290496	1.04543	0.468361	0.402161	0.566092	0.699826	0.842718	0.418137	0.16217	2.36547	0.427419	0.814562	0.703489	0.472915	0.930398	0.171375
0.291383	1.08322	0.0228736	1.8638	0.29149	1.08762	0.468745	0.422661	0.566759	0.730927	0.843117	0.437391	0.162899	2.39277	0.428195	0.851079	0.70394	0.49465	0.930561	0.180021
0.292412	1.12479	0.0246275	1.8997	0.292523	1.12915	0.469148	0.443447	0.567454	0.761854	0.843533	0.456637	0.1637	2.42196	0.429005	0.887346	0.704411	0.516367	0.930733	0.188743
0.293479	1.16574	0.0264135	1.93269	0.293594	1.17003	0.469571	0.46451	0.568178	0.79258	0.843967	0.475793	0.164805	2.46076	0.429848	0.923405	0.704902	0.538049	0.930913	0.197544
0.294584	1.20604	0.0282289	1.96294	0.294703	1.21026	0.470014	0.485909	0.568931	0.82305	0.84442	0.494915	0.166227	2.50839	0.430725	0.959194	0.705414	0.559659	0.931101	0.206432
0.295726	1.24563	0.0300712	1.99061	0.295849	1.24979	0.470477	0.50754	0.569712	0.853376	0.84489	0.514044	0.167983	2.5639	0.431636	0.994738	0.705945	0.581199	0.931298	0.215418
0.296905	1.28452	0.0319382	2.01593	0.297032	1.28854	0.47096	0.529489	0.570521	0.883485	0.845377	0.533111	0.17009	2.6263	0.432579	1.03001	0.706497	0.602674	0.931503	0.224454
0.29812	1.32268	0.0338277	2.03911	0.29825	1.32666	0.471463	0.551779	0.571358	0.913381	0.845883	0.552129	0.17257	2.69438	0.433555	1.06503	0.707068	0.62409	0.931716	0.23359
0.29937	1.36011	0.0357378	2.06026	0.299504	1.36406	0.471988	0.574388	0.572223	0.943071	0.846406	0.571123	0.175111	2.75892	0.434564	1.09977	0.70766	0.645462	0.931938	0.242782
0.300654	1.39688	0.0376667	2.07956	0.300625	1.39611	0.472534	0.597341	0.573115	0.972495	0.846947	0.590067	0.177711	2.82005	0.435604	1.13417	0.708271	0.666747	0.932168	0.252082
0.301973	1.43292	0.0396129	2.09716	0.3016	1.42299	0.473101	0.620613	0.574035	1.00175	0.847506	0.608987	0.180366	2.878	0.436677	1.16831	0.708902	0.687929	0.932408	0.261454
0.303325	1.46823	0.0415745	2.11315	0.302421	1.44485	0.47369	0.644234	0.574982	1.03075	0.848082	0.627855	0.183074	2.93298	0.437781	1.20218	0.709553	0.709052	0.932656	0.270897
0.304709	1.50282	0.0435505	2.12778	0.303079	1.46197	0.474301	0.668184	0.575956	1.05953	0.848676	0.646622	0.185831	2.98504	0.438917	1.23572	0.710223	0.730133	0.932912	0.28048
0.306125	1.5367	0.0455394	2.14107	0.303567	1.47466	0.474935	0.6925	0.576956	1.08807	0.849287	0.665407	0.188636	3.03448	0.440084	1.26896	0.710913	0.751126	0.933178	0.290126
0.307572	1.56989	0.0475401	2.15308	0.303882	1.4826	0.475592	0.717182	0.577983	1.11638	0.849916	0.684153	0.191486	3.08142	0.441282	1.30189	0.711623	0.77202	0.933453	0.299822
0.30905	1.60235	0.0495515	2.16407	0.304338	1.49377	0.476272	0.742229	0.579037	1.14451	0.850562	0.702821	0.194378	3.12599	0.44251	1.33449	0.712352	0.79286	0.933737	0.309621
0.310558	1.63416	0.0515726	2.17403	0.304837	1.50601	0.476975	0.767641	0.580116	1.17234	0.851225	0.721409	0.19731	3.16838	0.443768	1.36682	0.7131	0.813592	0.93403	0.319549
0.312095	1.66528	0.0536025	2.18303	0.305522	1.52255	0.477702	0.793416	0.581221	1.19995	0.851906	0.73998	0.200282	3.20861	0.445057	1.3988	0.713868	0.834256	0.934332	0.329519
0.313661	1.69571	0.055378	2.19022	0.3064	1.54321	0.478453	0.819552	0.582352	1.22735	0.852604	0.758518	0.203289	3.24693	0.446375	1.4304	0.714655	0.854857	0.934644	0.33957
0.315255	1.72554	0.0568959	2.19582	0.307476	1.56774	0.479229	0.846041	0.583508	1.25452	0.85332	0.776991	0.206332	3.28341	0.447722	1.46173	0.715461	0.875331	0.934965	0.349784
0.316876	1.75472	0.0581539	2.20015	0.308761	1.59611	0.48003	0.872946	0.58469	1.2814	0.854052	0.795408	0.209408	3.3181	0.449099	1.49275	0.716286	0.895697	0.935296	0.360033
0.318525	1.78326	0.0591503	2.20346	0.310263	1.62803	0.480856	0.900242	0.585896	1.30807	0.854802	0.81371	0.212515	3.35115	0.450504	1.52337	0.71713	0.915996	0.935636	0.370349
0.320199	1.81128	0.0598839	2.20582	0.311794	1.65926	0.481707	0.927881	0.587127	1.33452	0.855568	0.832005	0.215652	3.38269	0.451937	1.5537	0.717993	0.936231	0.935986	0.380801
0.3219	1.83875	0.0603538	2.20723	0.313355	1.68986	0.482585	0.955914	0.588383	1.3607	0.856352	0.850283	0.218818	3.41274	0.453399	1.58368	0.718874	0.956342	0.936346	0.391303
0.323626	1.86565	0.0610298	2.20913	0.314943	1.7198	0.483489	0.984293	0.589663	1.38667	0.857153	0.868456	0.222011	3.44139	0.454888	1.61331	0.719775	0.976347	0.936715	0.401909
0.325376	1.89204	0.0617652	2.21118	0.316559	1.74909	0.484419	1.01307	0.590967	1.41241	0.85797	0.886564	0.225231	3.46875	0.456209	1.6389	0.720694	0.996289	0.937094	0.412646
0.327151	1.91801	0.0627665	2.2139	0.318202	1.77776	0.485376	1.04221	0.592295	1.43788	0.858805	0.904617	0.228475	3.49485	0.45735	1.66044	0.721631	1.01611	0.937484	0.423427
0.32895	1.9436	0.0640345	2.21713	0.319872	1.80591	0.486233	1.06788	0.593646	1.46311	0.859656	0.922631	0.231743	3.51976	0.458306	1.67814	0.722587	1.03582	0.937883	0.434296
0.330773	1.96876	0.0655703	2.22076	0.321568	1.83345	0.48698	1.09003	0.595021	1.48816	0.860524	0.94057	0.235034	3.54361	0.459068	1.6921	0.723561	1.05546	0.938293	0.445268
0.332619	1.9936	0.0673751	2.22463	0.323288	1.86045	0.487609	1.10845	0.596419	1.51293	0.861409	0.958428	0.238346	3.56637	0.459633	1.70221	0.724554	1.07498	0.938713	0.456298
0.334488	2.01816	0.0694497	2.22866	0.325034	1.88694	0.488114	1.12305	0.59784	1.53747	0.86231	0.976201	0.241679	3.58804	0.459996	1.70865	0.725564	1.09439	0.939143	0.467444
0.336379	2.04246	0.0715279	2.23229	0.326805	1.91301	0.488489	1.13407	0.599284	1.56181	0.863228	0.99395	0.245032	3.60884	0.460521	1.71806	0.726593	1.11372	0.939584	0.478677
0.338294	2.06658	0.0736093	2.23549	0.328599	1.93868	0.488731	1.14104	0.60075	1.58588	0.864162	1.01165	0.248404	3.62872	0.461094	1.7281	0.72764	1.1329	0.940035	0.490011
0.34023	2.09058	0.0756935	2.23841	0.330417	1.96389	0.489082	1.15093	0.602239	1.60971	0.865113	1.02925	0.251794	3.64767	0.461879	1.74161	0.728704	1.152	0.940497	0.5014
0.342189	2.1145	0.0777803	2.24097	0.332258	1.98876	0.489467	1.16195	0.60375	1.63333	0.86608	1.0468	0.255201	3.66583	0.462881	1.75877	0.729786	1.17101	0.94097	0.512898
0.34417	2.13844	0.0798693	2.24321	0.334123	2.01339	0.489996	1.17697	0.605283	1.65677	0.867063	1.06424	0.258625	3.68318	0.464105	1.77926	0.730886	1.18985	0.941453	0.524468
0.346174	2.16246	0.0819603	2.2452	0.33601	2.03776	0.490675	1.19604	0.606837	1.67992	0.868063	1.08163	0.262064	3.69973	0.46556	1.80304	0.732004	1.20862	0.941947	0.536109
0.3482	2.18662	0.084053	2.24697	0.33792	2.06192	0.491511	1.21926	0.608413	1.70287	0.869079	1.09898	0.265519	3.71559	0.467252	1.83	0.733138	1.22733	0.942452	0.547892
0.350249	2.21098	0.0861473	2.24851	0.339852	2.08593	0.492512	1.24678	0.61001	1.7256	0.870111	1.11624	0.268988	3.73077	0.46897	1.8567	0.734291	1.24586	0.942968	0.55974
