Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
250  Points		498  Points		250  Points		228  Points		211  Points		144  Points		313  Points		236  Points		192  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.279516	570.668	0.000277821	0.13494	0.279514	669.771	0.50167	612.12	0.559025	892.786	0.838532	1061.8	0.139768	355.88	0.419266	1039.76	0.698777	1049.66
0.279567	196.671	0.00058455	0.195467	0.279561	207.233	0.501684	286.471	0.559065	358.869	0.838558	487.131	0.139906	105.635	0.419302	314.1	0.698803	437.46
0.27967	118.847	0.00100161	0.255367	0.27966	122.619	0.501707	186.998	0.559139	224.595	0.838602	316.082	0.140193	62.139	0.419375	185.022	0.698852	276.323
0.279822	85.1847	0.00152646	0.31448	0.279809	87.1024	0.501741	138.808	0.559247	163.463	0.838666	233.95	0.140629	44.1144	0.419485	131.158	0.698922	201.954
0.280026	66.4105	0.00215608	0.372662	0.280008	67.5678	0.501784	110.371	0.559389	128.508	0.838748	185.707	0.14121	34.2783	0.419634	101.606	0.699014	159.138
0.280279	54.4413	0.00288687	0.429765	0.280257	55.2144	0.501838	91.609	0.559565	105.885	0.838849	153.968	0.141934	28.0991	0.41982	82.9404	0.699128	131.312
0.280582	46.1486	0.00371476	0.485653	0.280557	46.7011	0.501901	78.303	0.559775	90.0492	0.838969	131.502	0.142798	23.8677	0.420044	70.0844	0.699264	111.777
0.280936	40.0669	0.00463561	0.540236	0.280906	40.4811	0.501975	68.3757	0.560019	78.346	0.839108	114.764	0.143798	20.7963	0.420306	60.6931	0.699421	97.3097
0.281338	35.418	0.00564477	0.593412	0.281305	35.74	0.502059	60.6856	0.560296	69.346	0.839266	101.812	0.144929	18.471	0.420605	53.5339	0.699601	86.1654
0.28179	31.7508	0.00673764	0.645115	0.281753	32.008	0.502154	54.5534	0.560606	62.2107	0.839442	91.4926	0.146187	16.6538	0.420941	47.8968	0.699802	77.3179
0.282291	28.7854	0.00790946	0.695289	0.282251	28.9955	0.50226	49.5496	0.56095	56.416	0.839638	83.0776	0.147567	15.1979	0.421315	43.3443	0.700025	70.124
0.282841	26.3391	0.00915553	0.743899	0.282797	26.5139	0.502377	45.3892	0.561327	51.6172	0.839852	76.0848	0.149064	14.008	0.421726	39.5917	0.700269	64.1604
0.283439	24.2876	0.0104711	0.790916	0.283391	24.4352	0.502505	41.8757	0.561737	47.5786	0.840086	70.1822	0.150674	13.0193	0.422173	36.4459	0.700536	59.1366
0.284085	22.5432	0.0118515	0.836328	0.284033	22.6694	0.502644	38.8694	0.562179	44.1334	0.840338	65.1336	0.15239	12.1865	0.422658	33.7714	0.700824	54.8472
0.284779	21.0424	0.0132924	0.880144	0.284723	21.1516	0.502795	36.2681	0.562654	41.1601	0.840608	60.7663	0.153969	11.5621	0.42318	31.4703	0.701133	51.1423
0.285519	19.7383	0.0147895	0.922365	0.28546	19.8336	0.502958	33.9952	0.563161	38.5685	0.840898	56.9515	0.155373	11.0911	0.423738	29.4699	0.701464	47.9105
0.286306	18.595	0.0163386	0.963021	0.286243	18.6789	0.503133	31.9923	0.5637	36.2898	0.841206	53.5908	0.156574	10.7381	0.424333	27.7154	0.701817	45.0668
0.287139	17.585	0.0179358	1.00213	0.287073	17.6594	0.503321	30.2143	0.564271	34.271	0.841533	50.6078	0.157547	10.4796	0.424964	26.1644	0.702191	42.5454
0.288018	16.6867	0.0195775	1.03973	0.287948	16.753	0.503521	28.6253	0.564873	32.4702	0.841879	47.9424	0.158277	10.3002	0.425631	24.7838	0.702587	40.2947
0.288942	15.8829	0.0212601	1.07586	0.288869	15.9424	0.503734	27.1969	0.565506	30.8542	0.842243	45.5465	0.158749	10.1897	0.426334	23.5473	0.703004	38.2735
0.28991	15.1597	0.0229804	1.11056	0.289833	15.2134	0.503961	25.906	0.566171	29.3961	0.842626	43.3815	0.159437	10.0366	0.427073	22.4337	0.703443	36.4486
0.290922	14.5059	0.0247354	1.14386	0.290842	14.5545	0.504201	24.7337	0.566866	28.0741	0.843028	41.4156	0.160194	9.8774	0.427847	21.4258	0.703903	34.7928
0.291978	13.9122	0.0265222	1.17583	0.291894	13.9565	0.504455	23.6646	0.567591	26.8702	0.843448	39.6227	0.161241	9.67208	0.428657	20.5094	0.704384	33.2838
0.293076	13.371	0.0283381	1.2065	0.292989	13.4114	0.504724	22.6857	0.568346	25.7693	0.843887	37.9809	0.162592	9.42941	0.429501	19.6728	0.704887	31.903
0.294216	12.8757	0.0301807	1.23593	0.294125	12.9127	0.505007	21.7861	0.569131	24.759	0.844344	36.4721	0.164266	9.15884	0.430381	18.9063	0.705411	30.6349
0.295397	12.4209	0.0320479	1.26415	0.295304	12.455	0.505305	20.9566	0.569946	23.8286	0.84482	35.0808	0.166282	8.86972	0.431295	18.2015	0.705956	29.4663
