Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3		Asym4	
494  Points		499  Points		364  Points		214  Points		177  Points		148  Points		444  Points		268  Points		189  Points		150  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00191888	5.32387	0.000270986	0.144478	0.279507	326.447	0.33044	1314.53	0.559028	708.318	0.838526	12007.5	0.139768	389.955	0.419271	645.286	0.660873	8765.52	0.698784	896.15
0.00687869	5.32356	0.000605045	0.215524	0.279502	156.329	0.330518	279.373	0.559069	324.865	0.838535	837.256	0.139938	108.469	0.419314	265.147	0.660883	656.23	0.698832	408.326
0.0118373	5.32296	0.00106818	0.285685	0.279494	102.77	0.330698	156.376	0.559141	210.788	0.838563	433.764	0.140299	63.1461	0.419391	166.88	0.66091	340.889	0.698917	264.426
0.0167939	5.32208	0.00165681	0.354723	0.279483	76.5437	0.330979	108.644	0.559244	156.025	0.838607	292.716	0.140848	44.664	0.419504	121.778	0.660954	230.259	0.699038	195.543
0.0217475	5.32088	0.0023665	0.422408	0.279472	60.9803	0.331359	83.2947	0.559378	123.865	0.838669	220.899	0.141583	34.6575	0.419652	95.887	0.661014	173.852	0.699195	155.151
0.0266973	5.31936	0.00319207	0.488525	0.279461	50.6759	0.331838	67.5862	0.559542	102.711	0.838748	177.389	0.142498	28.4037	0.419835	79.0915	0.661093	139.652	0.699388	128.606
0.0316425	5.31753	0.00412794	0.552913	0.279453	43.3504	0.332414	56.9052	0.559737	87.7412	0.838844	148.206	0.14359	24.1385	0.420053	67.3171	0.661188	116.703	0.699617	109.831
0.036582	5.31537	0.00516798	0.615419	0.279448	37.8755	0.333086	49.1767	0.559962	76.5907	0.838957	127.275	0.144851	21.0531	0.420306	58.607	0.661301	100.239	0.699881	95.8528
0.0415149	5.31289	0.00630595	0.675938	0.27945	33.6291	0.333851	43.3294	0.560218	67.9645	0.839088	111.531	0.146276	18.7246	0.420594	51.9041	0.661431	87.8516	0.700182	85.0424
0.0464402	5.31007	0.00753539	0.73438	0.279461	30.2399	0.334707	38.7543	0.560504	61.0938	0.839236	99.2581	0.147858	16.9102	0.420917	46.5874	0.661579	78.1948	0.700517	76.4338
0.051357	5.30691	0.00884989	0.790693	0.279482	27.4725	0.335652	35.0795	0.560821	55.4928	0.839401	89.4237	0.149588	15.4607	0.421275	42.2682	0.661744	70.4557	0.700888	69.4175
