Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
409  Points		409  Points		379  Points		219  Points		400  Points		329  Points		210  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.00119	2.12467	1.00069	2.12314	0.433086	0.261505	0.866025	-0.00324277	0.216513	0.0673702	1.00005	1.27103	0.808529	0.0157457
0.999077	2.12146	0.998573	2.11999	0.433347	0.351725	0.866021	-0.00439028	0.21658	0.103991	0.998779	1.27176	0.808545	0.0307303
0.996968	2.11514	0.996464	2.11369	0.433787	0.525324	0.866016	-0.00679288	0.21672	0.177108	0.997512	1.27332	0.808591	0.0606916
0.994864	2.10892	0.994362	2.10741	0.434393	0.683773	0.866008	-0.00917156	0.216933	0.249853	0.996243	1.27507	0.808666	0.0906296
0.992767	2.1027	0.992266	2.10117	0.435149	0.825096	0.865998	-0.0115024	0.217218	0.322115	0.994972	1.27699	0.808771	0.120521
0.990675	2.09651	0.990177	2.09502	0.436037	0.949065	0.865985	-0.0139109	0.217574	0.393671	0.993699	1.27911	0.808906	0.150318
0.98859	2.09036	0.988093	2.08896	0.43704	1.05661	0.86597	-0.0162147	0.218002	0.46442	0.992424	1.28135	0.809071	0.179928
0.986511	2.08432	0.986015	2.0829	0.438142	1.14934	0.865953	-0.0184824	0.218499	0.534248	0.991146	1.28383	0.809264	0.209336
0.984438	2.07837	0.983944	2.07694	0.439329	1.22906	0.865933	-0.0207647	0.219066	0.602929	0.989866	1.28655	0.809488	0.238601
0.982371	2.07247	0.981878	2.07108	0.44059	1.2976	0.865911	-0.0229894	0.2197	0.670529	0.988583	1.28939	0.80974	0.267666
0.98031	2.06663	0.979818	2.06526	0.441914	1.35677	0.865887	-0.0251856	0.220402	0.736834	0.987298	1.29247	0.810021	0.296505
0.978254	2.06086	0.977764	2.05951	0.443293	1.40804	0.865861	-0.0273248	0.221168	0.801674	0.986009	1.29576	0.81033	0.325064
0.976204	2.05521	0.975715	2.05382	0.444719	1.45269	0.865833	-0.0294366	0.221999	0.865144	0.984717	1.29924	0.810668	0.353325
0.97416	2.04962	0.973673	2.04825	0.446187	1.4919	0.865802	-0.0314938	0.222892	0.92709	0.983421	1.30298	0.811034	0.381334
0.972121	2.04407	0.971635	2.04283	0.447691	1.52646	0.86577	-0.0334417	0.223846	0.98737	0.982121	1.3069	0.811428	0.409015
0.970088	2.0387	0.969603	2.03745	0.449227	1.5571	0.865736	-0.0353442	0.224859	1.04606	0.980817	1.31102	0.811849	0.436297
0.96806	2.03342	0.967576	2.03214	0.450793	1.5845	0.8657	-0.0372427	0.225929	1.10311	0.979509	1.31545	0.812297	0.463217
0.966037	2.02823	0.965555	2.02697	0.452384	1.60915	0.865662	-0.0390464	0.227056	1.15846	0.978197	1.32006	0.812772	0.489846
0.96402	2.02314	0.963539	2.02194	0.453998	1.63141	0.865622	-0.0407472	0.228237	1.21206	0.97688	1.32486	0.813273	0.516065
0.962007	2.01816	0.961527	2.01697	0.455634	1.65167	0.86558	-0.0424157	0.22947	1.26388	0.975558	1.32995	0.8138	0.541811
0.96	2.01331	0.959521	2.01216	0.457288	1.67017	0.865537	-0.0440195	0.230755	1.31404	0.97423	1.33529	0.814352	0.567218
0.957997	2.00854	0.957519	2.00748	0.458961	1.68714	0.865493	-0.0454937	0.232088	1.36246	0.972898	1.34084	0.81493	0.592207
0.955998	2.00395	0.955522	2.00288	0.460649	1.70281	0.865447	-0.0468824	0.233469	1.40911	0.971559	1.34667	0.815532	0.616707
0.954005	1.99953	0.953529	1.99845	0.462353	1.71725	0.865399	-0.0481865	0.234895	1.45406	0.970215	1.35268	0.816158	0.640748
0.952015	1.99521	0.951541	1.99418	0.46407	1.7307	0.865351	-0.049408	0.236365	1.49735	0.968865	1.359	0.816808	0.664391
0.95003	1.99098	0.949557	1.99006	0.4658	1.74321	0.865301	-0.0505512	0.237878	1.53902	0.967508	1.36556	0.817482	0.687587
