Sym0		Sym1		Sym2		Sym3		Asym1		Asym2		Asym3	
393  Points		393  Points		374  Points		205  Points		400  Points		301  Points		128  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.00116	2.59657	1.00107	2.59662	0.464148	3177.88	0.866026	1033.03	0.216511	643.994	0.649519	9672.39	0.928298	1142.6
0.999001	2.59768	0.998911	2.59772	0.464251	406.496	0.86603	472.115	0.216572	162.565	0.649518	610.922	0.928318	513.317
0.996833	2.59877	0.996742	2.59881	0.464512	217.254	0.866035	305.978	0.216708	93.0778	0.649513	315.42	0.928354	331.024
0.994658	2.59985	0.994567	2.59989	0.464924	148.342	0.866044	226.333	0.216917	65.2526	0.649507	212.589	0.928405	244.284
0.992476	2.60092	0.992384	2.60096	0.465476	112.702	0.866054	179.589	0.217199	50.2742	0.649497	160.32	0.928471	193.571
0.990287	2.60197	0.990195	2.60202	0.466157	90.9366	0.866068	148.848	0.217554	40.9219	0.649485	128.68	0.928553	160.301
0.988091	2.60302	0.987999	2.60306	0.466955	76.2724	0.866084	127.095	0.21798	34.5324	0.649471	107.47	0.92865	136.796
0.985888	2.60404	0.985795	2.60409	0.467856	65.7266	0.866102	110.889	0.218477	29.8942	0.649454	92.2609	0.928762	119.307
0.983677	2.60506	0.983584	2.6051	0.46885	57.781	0.866123	98.3501	0.219044	26.3769	0.649434	80.8222	0.92889	105.788
0.981459	2.60606	0.981366	2.6061	0.469924	51.5818	0.866146	88.3593	0.21968	23.6205	0.649412	71.9063	0.929032	95.0255
0.979233	2.60704	0.97914	2.60708	0.471069	46.6114	0.866172	80.2117	0.220383	21.4038	0.649387	64.7614	0.92919	86.2543
0.976999	2.60801	0.976906	2.60805	0.472276	42.5385	0.866201	73.4405	0.221153	19.5841	0.649361	58.9074	0.929363	78.969
0.974758	2.60897	0.974664	2.60901	0.473538	39.1407	0.866232	67.724	0.221987	18.0646	0.649332	54.0235	0.929551	72.8218
0.972509	2.6099	0.972415	2.60994	0.474848	36.2636	0.866266	62.8337	0.222885	16.7778	0.6493	49.8868	0.929753	67.5656
0.970252	2.61083	0.970158	2.61086	0.476202	33.7962	0.866302	58.6025	0.223844	15.6748	0.649267	46.3382	0.929971	63.0199
0.967987	2.61173	0.967892	2.61177	0.477593	31.6571	0.866341	54.9058	0.224863	14.7195	0.649231	43.2604	0.930203	59.05
0.965715	2.61262	0.965619	2.61266	0.479018	29.7852	0.866383	51.6481	0.225941	13.8848	0.649194	40.5657	0.93045	55.5531
0.963434	2.61349	0.963338	2.61353	0.480474	28.1334	0.866427	48.7558	0.227076	13.1496	0.649154	38.1866	0.930711	52.4496
0.961145	2.61435	0.96105	2.61438	0.481958	26.6651	0.866475	46.1707	0.228266	12.4977	0.649113	36.0707	0.930986	49.6768
0.958849	2.61519	0.958753	2.61522	0.483467	25.3516	0.866525	43.8463	0.229509	11.916	0.64907	34.1767	0.931276	47.1845
0.956545	2.61601	0.956449	2.61604	0.484999	24.1695	0.866578	41.745	0.230804	11.394	0.649026	32.4714	0.93158	44.9324
0.954233	2.61682	0.954136	2.61685	0.486552	23.1003	0.866633	39.8363	0.232149	10.9233	0.64898	30.9279	0.931898	42.8874
0.951914	2.61761	0.951817	2.61764	0.488124	22.1285	0.866692	38.0949	0.23336	10.5494	0.648933	29.5242	0.93223	41.0223
0.949587	2.61838	0.949489	2.61841	0.489714	21.2415	0.866754	36.4997	0.234421	10.2544	0.648884	28.2422	0.932576	39.3144
0.947252	2.61913	0.947155	2.61917	0.491321	20.4286	0.866818	35.033	0.235317	10.0253	0.648834	27.0667	0.932935	37.7446
