Sym0		Sym1		Sym2		Sym3		Asym1		Asym2	
389  Points		390  Points		366  Points		199  Points		400  Points		295  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.001	2.3862	1.00177	2.38421	0.491381	0.0820209	0.866027	0.00527674	0.216534	0.101347	0.649519	9.45318e-005
0.99862	2.38929	0.999398	2.38728	0.491463	0.124873	0.866032	0.00721116	0.216635	0.138429	0.649519	8.83235e-005
0.996237	2.39535	0.997017	2.39335	0.49163	0.209927	0.866041	0.0111079	0.21681	0.21241	0.649519	0.00015636
0.993848	2.40131	0.99463	2.39935	0.491881	0.293547	0.866054	0.0149149	0.217058	0.28593	0.649519	0.000292433
0.991454	2.40718	0.992238	2.40527	0.492214	0.375164	0.866071	0.0187159	0.217379	0.358875	0.64952	0.000391256
0.989053	2.41286	0.989839	2.41104	0.492628	0.454338	0.866092	0.0225915	0.217773	0.431102	0.64952	0.000502241
0.986647	2.41848	0.987435	2.4167	0.49312	0.53079	0.866116	0.0264429	0.218238	0.502415	0.649521	0.000637549
0.984236	2.42402	0.985025	2.42221	0.493686	0.60414	0.866144	0.0303325	0.218774	0.572764	0.649521	0.000821504
0.981818	2.42936	0.98261	2.42759	0.494323	0.674143	0.866176	0.034212	0.219379	0.641967	0.649522	0.00101609
0.979396	2.4346	0.980189	2.43289	0.495028	0.740748	0.866212	0.0380713	0.220053	0.709918	0.649524	0.00123195
0.976969	2.43969	0.977763	2.43804	0.495799	0.803849	0.866252	0.0419768	0.220793	0.776577	0.649525	0.00149033
0.974536	2.44468	0.975332	2.44305	0.49663	0.863495	0.866296	0.0458879	0.2216	0.84178	0.649526	0.00174711
0.972099	2.44954	0.972896	2.44796	0.497519	0.919698	0.866344	0.0498105	0.22247	0.905543	0.649528	0.00208736
0.969657	2.45424	0.970456	2.45275	0.498462	0.972567	0.866395	0.0537558	0.223403	0.967727	0.649531	0.00250786
0.96721	2.45888	0.96801	2.45739	0.499456	1.02224	0.866451	0.0577467	0.224398	1.02831	0.649533	0.00291556
0.964758	2.46338	0.965561	2.4619	0.500498	1.06879	0.86651	0.061742	0.225452	1.08726	0.649536	0.00338432
0.962303	2.4677	0.963106	2.46632	0.501585	1.11252	0.866574	0.0657463	0.226564	1.14449	0.64954	0.00397519
0.959843	2.47194	0.960648	2.47059	0.502714	1.15342	0.866641	0.0697684	0.227732	1.20001	0.649544	0.00455031
0.957378	2.47607	0.958185	2.4747	0.503883	1.19173	0.866713	0.0738262	0.228954	1.25378	0.649549	0.00518057
0.95491	2.48008	0.955718	2.47875	0.505088	1.22771	0.866788	0.0779554	0.230229	1.30595	0.649555	0.00592113
0.952438	2.48394	0.953247	2.4827	0.506329	1.26145	0.866868	0.0820541	0.231382	1.34999	0.649561	0.00670896
0.949962	2.48769	0.950772	2.48653	0.507601	1.29305	0.866952	0.0861784	0.232395	1.38648	0.649568	0.00759132
0.947482	2.49137	0.948294	2.4902	0.508904	1.3227	0.86704	0.0903538	0.233252	1.41592	0.649576	0.0085761
0.944999	2.49491	0.945812	2.49372	0.510236	1.35055	0.867132	0.094545	0.233943	1.43878	0.649585	0.00959237
0.942512	2.49836	0.943326	2.49721	0.511595	1.37679	0.867228	0.0987675	0.234458	1.45527	0.649595	0.0106716
0.940022	2.50169	0.940837	2.50064	0.512979	1.40144	0.867329	0.103053	0.23479	1.46574	0.649606	0.0118769
0.937529	2.5049	0.938345	2.50387	0.514387	1.42467	0.867433	0.107377	0.235272	1.48069	0.649619	0.0131609
0.935032	2.50802	0.935849	2.50702	0.515817	1.4466	0.867542	0.111693	0.235802	1.49661	0.649633	0.0145155
0.932533	2.51106	0.933351	2.51013	0.517268	1.46724	0.867656	0.116078	0.236531	1.51799	0.649648	0.0160115
