Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
466  Points		496  Points		225  Points		193  Points		180  Points		125  Points		329  Points		205  Points		168  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.000331428	5.32586	0.000357032	0.400282	0.279509	0.0435175	0.477966	0.0250599	0.559021	0.0438188	0.838536	0.0382223	0.139766	0.178056	0.419265	0.0446706	0.698771	0.0164541
0.00529351	5.3257	0.000729972	0.469015	0.279549	0.0799952	0.477989	0.0358136	0.559062	0.066886	0.838571	0.0518728	0.139932	0.283314	0.419307	0.0719244	0.698787	0.03224
0.0102553	5.32529	0.00123099	0.604391	0.279658	0.15288	0.478033	0.0573815	0.559146	0.113016	0.838632	0.0791279	0.140294	0.492596	0.419399	0.12644	0.698831	0.0637775
0.0152166	5.32468	0.00185619	0.735103	0.279834	0.225628	0.478096	0.0789841	0.559273	0.15906	0.838719	0.106392	0.14085	0.698902	0.419543	0.180905	0.698905	0.0952852
0.0201772	5.32383	0.00260077	0.860371	0.280078	0.298175	0.47818	0.100656	0.559442	0.205007	0.838831	0.133674	0.141596	0.901164	0.419736	0.23527	0.699009	0.126806
0.025137	5.32273	0.0034594	0.979656	0.28039	0.370392	0.478284	0.122467	0.559655	0.250903	0.838968	0.160919	0.142529	1.09826	0.419981	0.28958	0.699142	0.158281
0.0300956	5.3214	0.00442626	1.09247	0.280769	0.442243	0.478408	0.144482	0.55991	0.2967	0.839131	0.188163	0.143643	1.28937	0.420276	0.343782	0.699304	0.189737
0.0350528	5.31976	0.00549509	1.19849	0.281214	0.513655	0.478553	0.166686	0.560208	0.34237	0.839319	0.215404	0.144931	1.47389	0.420622	0.397768	0.699495	0.221227
0.0400084	5.31788	0.00665952	1.2976	0.281726	0.584555	0.478718	0.189048	0.560548	0.387861	0.839532	0.242567	0.146389	1.65118	0.421017	0.451614	0.699716	0.252639
0.0449621	5.31581	0.00791303	1.38976	0.282303	0.654945	0.478905	0.211726	0.56093	0.43314	0.839771	0.269721	0.148008	1.82084	0.421463	0.505325	0.699966	0.283971
0.0499138	5.31341	0.00924918	1.47505	0.282946	0.72468	0.479113	0.23467	0.561355	0.478288	0.840035	0.296855	0.149782	1.98276	0.421959	0.558769	0.700245	0.315286
0.0548631	5.31075	0.0106616	1.55365	0.283654	0.79369	0.479342	0.257853	0.561822	0.523246	0.840324	0.32395	0.151703	2.13682	0.422504	0.611969	0.700554	0.346569
0.0598098	5.30784	0.0121442	1.62581	0.284425	0.861983	0.479594	0.281368	0.56233	0.567973	0.840638	0.351042	0.153764	2.283	0.423099	0.664976	0.700891	0.377786
0.0647536	5.30465	0.0136911	1.69183	0.28526	0.929503	0.479867	0.305253	0.56288	0.612455	0.840978	0.378052	0.155957	2.42141	0.423743	0.717669	0.701257	0.408948
0.0696944	5.30114	0.0152968	1.75202	0.286157	0.996134	0.480162	0.329511	0.563471	0.656669	0.841343	0.405046	0.158276	2.55225	0.424436	0.770102	0.701653	0.440069
0.0746317	5.29733	0.0169558	1.80678	0.287116	1.06187	0.480481	0.354152	0.564104	0.700639	0.841733	0.432007	0.160713	2.67595	0.425178	0.822234	0.702077	0.47111
0.0795654	5.29323	0.0186635	1.85645	0.288136	1.12668	0.480822	0.37919	0.564777	0.74434	0.842148	0.458903	0.162928	2.77809	0.425969	0.873983	0.702531	0.502063
