Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2		Asym3	
466  Points		495  Points		226  Points		194  Points		181  Points		126  Points		329  Points		206  Points		169  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00184311	5.29428	0.00042742	0.180802	0.279509	3795.12	0.477492	775.431	0.559021	1424.39	0.838535	1016.87	0.139764	465.617	0.419266	1316.81	0.698771	246714
0.00677566	5.2942	0.000827253	0.251008	0.279548	278.061	0.477515	308.577	0.55906	422.2	0.83857	477.459	0.139925	113.588	0.419308	335.422	0.698786	747.743
0.0117079	5.29405	0.00135367	0.320213	0.279654	144.372	0.477557	192.628	0.559142	247.863	0.83863	311.989	0.140279	64.8372	0.4194	192.228	0.69883	374.462
0.0166397	5.29384	0.00200266	0.38818	0.279826	97.5435	0.47762	140.029	0.559266	175.453	0.838715	231.708	0.140826	45.4973	0.419543	134.751	0.698902	249.794
0.0215707	5.29353	0.00276931	0.45467	0.280066	73.6933	0.477703	110.005	0.559432	135.809	0.838825	184.3	0.141561	35.1534	0.419736	103.762	0.699004	187.42
0.0265008	5.29316	0.00364831	0.519517	0.280373	59.2488	0.477805	90.5921	0.559641	110.799	0.83896	153.008	0.142481	28.7338	0.419979	84.3861	0.699134	149.987
0.0314296	5.29269	0.00463368	0.582545	0.280745	49.5682	0.477928	77.0113	0.559892	93.5862	0.839121	130.81	0.14358	24.3755	0.420271	71.1292	0.699294	125.03
0.0363571	5.29216	0.00571935	0.643644	0.281184	42.6326	0.478071	66.9789	0.560185	81.018	0.839306	114.246	0.144852	21.233	0.420614	61.4909	0.699483	107.205
0.0412829	5.29153	0.00689888	0.702706	0.281688	37.4226	0.478235	59.2657	0.56052	71.44	0.839517	101.413	0.146292	18.8674	0.421006	54.1699	0.6997	93.839
0.0462069	5.29084	0.00816582	0.759662	0.282257	33.368	0.478419	53.1516	0.560896	63.9	0.839752	91.1795	0.147893	17.0277	0.421448	48.422	0.699947	83.4453
0.0511288	5.29005	0.00951397	0.814484	0.28289	30.1248	0.478625	48.1867	0.561315	57.8114	0.840012	82.8286	0.149646	15.5604	0.421939	43.7907	0.700222	75.1328
0.0560483	5.28918	0.0109369	0.867135	0.283588	27.4733	0.478851	44.0752	0.561775	52.7929	0.840298	75.8853	0.151546	14.3662	0.422479	39.9808	0.700526	68.3341
0.0609652	5.28823	0.0124287	0.91763	0.284348	25.2664	0.4791	40.615	0.562276	48.586	0.840608	70.0217	0.153585	13.3779	0.423068	36.7926	0.700859	62.6708
0.0658793	5.28719	0.0139836	0.965978	0.285171	23.4021	0.47937	37.6632	0.562819	45.0093	0.840943	65.0047	0.155755	12.5485	0.423706	34.0862	0.70122	57.881
0.0707902	5.28606	0.0155961	1.01222	0.286056	21.8074	0.479662	35.1156	0.563402	41.9317	0.841303	60.6635	0.15805	11.8443	0.424392	31.7608	0.70161	53.7774
0.0756978	5.28484	0.0172611	1.05641	0.287002	20.4285	0.479976	32.8949	0.564026	39.256	0.841688	56.8707	0.160462	11.2403	0.425126	29.742	0.702029	50.2229
0.0806017	5.28354	0.0189737	1.09858	0.288008	19.2252	0.480314	30.9423	0.56469	36.9088	0.842098	53.5286	0.162656	10.7808	0.425908	27.9733	0.702476	47.1146
0.0855017	5.28214	0.0207295	1.13881	0.289073	18.1664	0.480675	29.2122	0.565394	34.8336	0.842533	50.5618	0.164589	10.4305	0.426738	26.4116	0.702952	44.3737
0.0903974	5.28064	0.0225244	1.17716	0.290196	17.2283	0.481059	27.6689	0.566139	32.986	0.842992	47.9105	0.166229	10.1657	0.427615	25.023	0.703456	41.9389
0.0952886	5.27905	0.0243546	1.21371	0.291377	16.3917	0.481467	26.2839	0.566923	31.3309	0.843476	45.5273	0.167553	9.97072	0.428539	23.7805	0.703989	39.7621
0.100175	5.27735	0.0262165	1.24853	0.292614	15.6415	0.4819	25.0342	0.567746	29.8399	0.843984	43.3735	0.16854	9.83474	0.429509	22.6626	0.70455	37.8044
0.105056	5.27556	0.0281069	1.28169	0.293907	14.9653	0.482358	23.9011	0.568608	28.4901	0.844517	41.4178	0.169178	9.7508	0.430525	21.6519	0.705138	36.0345
0.109932	5.27366	0.0300229	1.31326	0.295254	14.353	0.482841	22.8693	0.569509	27.2626	0.845075	39.6341	0.170104	9.63417	0.431588	20.7338	0.705755	34.4269
0.114801	5.27165	0.0319619	1.34333	0.296654	13.7962	0.48335	21.9259	0.570448	26.1416	0.845657	38.0009	0.171121	9.5125	0.432695	19.8964	0.7064	32.9604
0.119665	5.26952	0.0339214	1.37196	0.298106	13.288	0.483886	21.0601	0.571425	25.1141	0.846263	36.5	0.172522	9.35505	0.433848	19.1299	0.707073	31.6173
0.124521	5.26729	0.0358992	1.39923	0.29961	12.8225	0.484449	20.2629	0.57244	24.1691	0.846894	35.116	0.174323	9.16817	0.435045	18.4257	0.707774	30.3828
0.129371	5.26493	0.0378935	1.42521	0.301163	12.3947	0.485039	19.5266	0.573493	23.2971	0.847549	33.836	0.176542	8.95877	0.436286	17.7768	0.708502	29.2444
0.134213	5.26245	0.0399023	1.44995	0.302766	12.0005	0.485657	18.8447	0.574582	22.4901	0.848228	32.6488	0.1792	8.73381	0.437571	17.1771	0.709258	28.1915
0.139047	5.25985	0.0419242	1.47353	0.304416	11.6362	0.486304	18.2114	0.575709	21.7413	0.848931	31.5446	0.18232	8.4999	0.438899	16.6213	0.710041	27.2148
0.143873	5.25711	0.0439575	1.49601	0.306113	11.2987	0.48698	17.6219	0.576871	21.0448	0.849658	30.5152	0.18551	8.28859	0.44027	16.105	0.710852	26.3064
0.14869	5.25424	0.0457377	1.51474	0.307855	10.9852	0.487686	17.0719	0.57807	20.3953	0.85041	29.5533	0.188766	8.09702	0.441683	15.6242	0.71169	25.4596
0.153497	5.25122	0.0472608	1.53011	0.30941	10.7298	0.488422	16.5576	0.579304	19.7884	0.851185	28.6525	0.192085	7.92274	0.443138	15.1755	0.712555	24.6684
0.158294	5.24806	0.0485238	1.54242	0.310761	10.5241	0.489189	16.0759	0.580574	19.2201	0.851984	27.8073	0.195462	7.7637	0.444635	14.7559	0.713447	23.9275
0.163081	5.24475	0.0495245	1.5519	0.311897	10.3617	0.489988	15.6238	0.581879	18.6869	0.852807	27.0127	0.198895	7.61814	0.446172	14.3628	0.714366	23.2323
0.167856	5.24128	0.0502614	1.55874	0.312806	10.238	0.490819	15.1987	0.583219	18.1858	0.853653	26.2644	0.202381	7.48454	0.44775	13.9939	0.715311	22.5789
0.172619	5.23764	0.0507335	1.56306	0.31348	10.1496	0.491683	14.7985	0.584593	17.714	0.854523	25.5586	0.205916	7.36162	0.449367	13.6471	0.716284	21.9637
0.17737	5.23383	0.0514128	1.56919	0.313915	10.094	0.49258	14.4211	0.586001	17.2691	0.855417	24.8916	0.209497	7.24824	0.451024	13.3205	0.717282	21.3834
0.182107	5.22984	0.0521519	1.57574	0.314543	10.0156	0.493512	14.0648	0.587442	16.849	0.856334	24.2606	0.213123	7.14342	0.45272	13.0125	0.718307	20.8353
0.186831	5.22566	0.0531583	1.58449	0.315232	9.93232	0.494478	13.7278	0.588917	16.4516	0.857274	23.6626	0.216791	7.04631	0.454454	12.7217	0.719359	20.3167
0.191539	5.22129	0.0544331	1.59527	0.316176	9.82201	0.49548	13.4088	0.590425	16.0754	0.858238	23.0953	0.220498	6.95616	0.456226	12.4467	0.720436	19.8255
0.196231	5.21671	0.0559774	1.60792	0.317383	9.68729	0.496518	13.1064	0.591965	15.7186	0.859225	22.5563	0.224243	6.87229	0.458035	12.1863	0.721539	19.3595
0.200907	5.21192	0.0577924	1.62222	0.318863	9.53111	0.497592	12.8195	0.593538	15.3798	0.860234	22.0437	0.228023	6.79414	0.459881	11.9394	0.722668	18.9169
0.205565	5.20691	0.059879	1.63795	0.320626	9.35674	0.498704	12.547	0.595142	15.0579	0.861267	21.5555	0.231836	6.72118	0.461763	11.7052	0.723822	18.496
0.210204	5.20166	0.0619694	1.65301	0.322685	9.16756	0.499854	12.2879	0.596778	14.7515	0.862323	21.0901	0.235681	6.65296	0.463681	11.4826	0.725002	18.0953
0.214824	5.19617	0.0640631	1.66741	0.32478	8.98916	0.501043	12.0413	0.598445	14.4597	0.863401	20.646	0.239557	6.58905	0.465635	11.2709	0.726208	17.7135
0.219422	5.19042	0.0661594	1.68121	0.326912	8.8207	0.502271	11.8065	0.600144	14.1815	0.864502	20.2219	0.24346	6.5291	0.467623	11.0694	0.727438	17.3492
0.223998	5.18441	0.0682582	1.69442	0.329079	8.66143	0.503539	11.5826	0.601872	13.916	0.865626	19.8163	0.247391	6.47278	0.469383	10.9015	0.728693	17.0014
0.22855	5.17811	0.0703588	1.70709	0.331281	8.51068	0.504847	11.369	0.603631	13.6623	0.866772	19.4281	0.251346	6.41978	0.470904	10.7638	0.729974	16.6689
0.233078	5.17152	0.0724612	1.71923	0.333517	8.36784	0.506197	11.1652	0.60542	13.4198	0.86794	19.0564	0.255326	6.36985	0.472175	10.6535	0.731278	16.3508
0.237579	5.16462	0.074565	1.73089	0.335787	8.23234	0.507407	10.995	0.607239	13.1878	0.869131	18.7	0.259329	6.32275	0.473189	10.5685	0.732608	16.0463
0.242052	5.1574	0.0766699	1.74207	0.338089	8.10368	0.508464	10.8551	0.609086	12.9656	0.870344	18.3581	0.263353	6.27825	0.47394	10.5072	0.733961	15.7544
0.246495	5.14984	0.0787757	1.75281	0.340424	7.98141	0.509356	10.7428	0.610963	12.7526	0.871579	18.0298	0.267398	6.23616	0.474423	10.4685	0.735339	15.4745
0.250907	5.14193	0.0808823	1.76313	0.342792	7.86511	0.510072	10.6563	0.612868	12.5483	0.872836	17.7144	0.271462	6.19631	0.47512	10.4135	0.736741	15.2059
0.255286	5.13364	0.0829893	1.77305	0.345191	7.7544	0.510606	10.5938	0.614801	12.3523	0.874114	17.4111	0.275544	6.15852	0.475881	10.3547	0.738166	14.9479
0.25963	5.12498	0.0850968	1.7826	0.347623	7.64894	0.51095	10.5543	0.616763	12.164	0.875415	17.1193	0.279644	6.12265	0.476923	10.2761	0.739615	14.6999
0.263937	5.11591	0.0872045	1.79178	0.350086	7.5484	0.511449	10.4982	0.618752	11.983	0.876737	16.8383	0.28376	6.08856	0.478251	10.1792	0.741088	14.4614
0.268205	5.10642	0.0893124	1.80062	0.352582	7.4525	0.511997	10.4381	0.620768	11.809	0.87808	16.5677	0.287891	6.05613	0.479874	10.0655	0.742584	14.2318
0.272432	5.0965	0.0914203	1.80913	0.35511	7.36098	0.512751	10.3579	0.622812	11.6415	0.879445	16.3068	0.292036	6.02524	0.481799	9.93665	0.744103	14.0107
0.276616	5.08612	0.0935282	1.81734	0.357671	7.27359	0.513719	10.2589	0.624882	11.4803	0.880831	16.0551	0.296195	5.99579	0.484037	9.7946	0.745644	13.7977
0.280755	5.07527	0.0956359	1.82525	0.360265	7.1901	0.514912	10.1425	0.626979	11.325	0.882238	15.8122	0.300367	5.96769	0.486305	9.65841	0.747209	13.5923
0.284846	5.06394	0.0977434	1.83288	0.362893	7.11033	0.516343	10.0106	0.628828	11.1942	0.883666	15.5777	0.30455	5.94084	0.488603	9.52775	0.748796	13.3942
0.288887	5.0521	0.0998507	1.84025	0.365554	7.03408	0.518028	9.86511	0.630419	11.0859	0.885115	15.3511	0.308745	5.91516	0.49093	9.40231	0.750406	13.2029
0.292876	5.03975	0.101958	1.84736	0.368251	6.96118	0.519759	9.7255	0.631746	10.9986	0.886585	15.1321	0.312951	5.89058	0.493286	9.28181	0.752037	13.0182
0.296811	5.02688	0.104064	1.85422	0.370984	6.89147	0.521535	9.59153	0.632801	10.9308	0.888075	14.9203	0.317166	5.86703	0.495671	9.16598	0.753691	12.8398
0.30069	5.01346	0.10617	1.86086	0.373755	6.8248	0.523358	9.4629	0.633581	10.8818	0.889586	14.7153	0.32139	5.84444	0.498083	9.05459	0.755366	12.6673
0.30451	4.99949	0.108276	1.86728	0.376563	6.76106	0.525227	9.33936	0.634082	10.8507	0.891118	14.5169	0.325622	5.82276	0.500523	8.94739	0.757064	12.5004
0.30827	4.98496	0.110382	1.87348	0.37941	6.7001	0.527143	9.22068	0.634805	10.8064	0.892669	14.3248	0.329862	5.80191	0.502989	8.84419	0.758782	12.339
0.311967	4.96987	0.112486	1.87949	0.382298	6.64182	0.529106	9.1066	0.635593	10.7589	0.894241	14.1386	0.33411	5.78187	0.505482	8.74476	0.760522	12.1827
0.3156	4.95422	0.114591	1.8853	0.385228	6.58612	0.531116	8.99693	0.63667	10.6952	0.895833	13.9582	0.338363	5.76257	0.508001	8.64894	0.762283	12.0313
0.319168	4.93799	0.116695	1.89093	0.388201	6.53288	0.533174	8.89146	0.638041	10.6162	0.897445	13.7832	0.342623	5.74397	0.510546	8.55653	0.764065	11.8847
0.322668	4.92121	0.118798	1.89638	0.391218	6.48203	0.535279	8.78999	0.639712	10.5228	0.899076	13.6134	0.346888	5.72604	0.513115	8.46738	0.765867	11.7426
0.325663	4.90613	0.120901	1.90167	0.394281	6.43346	0.537432	8.69235	0.641688	10.4162	0.900727	13.4487	0.351158	5.70872	0.51571	8.38133	0.76769	11.6047
0.328174	4.89295	0.123003	1.90679	0.397391	6.38711	0.539632	8.59836	0.643979	10.2976	0.902398	13.2888	0.355432	5.69199	0.518329	8.29824	0.769296	11.488
0.330222	4.88182	0.125105	1.91176	0.400549	6.34288	0.541879	8.50787	0.646294	10.183	0.904088	13.1335	0.359709	5.6758	0.520971	8.21797	0.770676	11.3909
0.331822	4.87288	0.127207	1.91658	0.403756	6.30071	0.544174	8.42073	0.648633	10.072	0.905797	12.9826	0.36399	5.66014	0.523637	8.14039	0.771826	11.3122
0.332989	4.86623	0.129307	1.92127	0.407013	6.26051	0.546517	8.33678	0.650995	9.96447	0.907526	12.836	0.368273	5.64496	0.526327	8.06538	0.772741	11.251
0.33373	4.86194	0.131408	1.92581	0.410321	6.22223	0.548906	8.25589	0.65338	9.86036	0.909273	12.6934	0.372558	5.63024	0.529039	7.99282	0.773416	11.2065
0.33479	4.85572	0.133508	1.93023	0.413681	6.18577	0.551342	8.17793	0.655789	9.75949	0.91104	12.5548	0.376845	5.61595	0.531773	7.92261	0.77385	11.1783
0.335933	4.84891	0.135607	1.93452	0.417092	6.15109	0.553825	8.10277	0.65822	9.6617	0.912825	12.4199	0.381133	5.60207	0.534529	7.85465	0.774475	11.1381
0.337474	4.83953	0.137706	1.9387	0.420555	6.1181	0.556354	8.03031	0.660674	9.56688	0.914628	12.2887	0.385422	5.58857	0.537307	7.78883	0.775157	11.0948
0.339399	4.82751	0.139804	1.94276	0.42407	6.08673	0.558928	7.96043	0.663149	9.47491	0.916451	12.1609	0.38971	5.57543	0.540107	7.72508	0.776088	11.0367
0.341691	4.81274	0.141902	1.9467	0.427637	6.05693	0.561549	7.89301	0.665647	9.38566	0.918291	12.0365	0.393998	5.56263	0.542927	7.66329	0.777273	10.9643
0.344331	4.79509	0.143999	1.95054	0.431255	6.02862	0.564214	7.82796	0.668167	9.29902	0.92015	11.9154	0.398286	5.55016	0.545768	7.6034	0.778715	10.8784
0.347296	4.77443	0.146096	1.95428	0.434924	6.00173	0.566924	7.76519	0.670708	9.2149	0.921785	11.8124	0.402572	5.53798	0.548629	7.54532	0.780421	10.78
0.350192	4.75336	0.148192	1.95792	0.438642	5.97621	0.569679	7.70459	0.673271	9.1332	0.923189	11.7264	0.406856	5.52609	0.55151	7.48899	0.782396	10.6699
0.353022	4.73193	0.150288	1.96147	0.442408	5.95197	0.572476	7.64608	0.675855	9.05382	0.924358	11.6565	0.411138	5.51446	0.554411	7.43432	0.78439	10.5629
0.355785	4.71015	0.152384	1.96493	0.446222	5.92896	0.575317	7.58958	0.678459	8.97667	0.925286	11.602	0.415417	5.50308	0.557331	7.38127	0.786403	10.4588
0.358485	4.68806	0.154479	1.9683	0.450082	5.90712	0.578201	7.53501	0.681084	8.90167	0.925972	11.5623	0.419692	5.49194	0.560271	7.32975	0.788434	10.3575
