Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
477  Points		492  Points		478  Points		257  Points		405  Points		144  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00671335	8.37534	0.000482466	0.241264	0.00330205	8.37554	0.279518	767.834	0.139822	273.435	0.419271	1180.27
0.0145152	8.37454	0.00102815	0.350732	0.0111048	8.37499	0.279633	215.811	0.140293	97.22	0.419377	325.874
0.0223138	8.37306	0.00176576	0.45708	0.018905	8.37379	0.279876	125.65	0.141208	59.4624	0.419602	189.127
0.0301074	8.37096	0.00268278	0.559515	0.026701	8.37196	0.280245	88.7099	0.142556	43.1145	0.419946	133.303
0.0378942	8.36822	0.00376496	0.657459	0.034491	8.36951	0.280738	68.6265	0.144322	34.0531	0.420409	102.991
0.0456722	8.36481	0.00499674	0.750462	0.0422731	8.36639	0.281352	56.0183	0.146487	28.3351	0.42099	83.9677
0.0534394	8.36071	0.00636248	0.838281	0.0500452	8.36259	0.282083	47.3754	0.149032	24.4254	0.421688	70.9268
0.0611938	8.3559	0.00784639	0.920764	0.0578056	8.3581	0.282926	41.0877	0.151933	21.6022	0.422503	61.4363
0.0689332	8.35036	0.0094336	0.997915	0.0655518	8.35287	0.283875	36.3123	0.155167	19.4813	0.423434	54.2253
0.076655	8.34402	0.0111103	1.06984	0.0732815	8.34689	0.284925	32.5655	0.15871	17.8394	0.424479	48.5646
0.0843567	8.33687	0.0128636	1.13669	0.0809924	8.3401	0.28607	29.5497	0.162539	16.5379	0.425637	44.0063
0.0920353	8.32883	0.0146822	1.1987	0.0886815	8.33246	0.287303	27.0716	0.166632	15.4862	0.426907	40.2595
0.0996879	8.31988	0.016556	1.25613	0.0963458	8.32391	0.288617	25.0007	0.170966	14.6228	0.428286	37.1275
0.107311	8.30992	0.018476	1.30926	0.103982	8.31439	0.290007	23.2451	0.175522	13.9045	0.429775	34.4723
0.1149	8.29888	0.0204347	1.35838	0.111587	8.30384	0.291467	21.7386	0.18028	13.2998	0.43137	32.1943
0.122452	8.28668	0.0224256	1.40378	0.119156	8.29217	0.29299	20.4324	0.185224	12.7857	0.43307	30.2198
0.129962	8.27323	0.0244427	1.44573	0.126684	8.27928	0.294572	19.2895	0.190337	12.3447	0.434873	28.4932
0.137423	8.25841	0.0262183	1.47969	0.134167	8.26507	0.296211	18.2814	0.195604	11.9634	0.436778	26.9715
0.144831	8.24209	0.027743	1.50688	0.141599	8.24942	0.297903	17.3861	0.201011	11.6313	0.43878	25.6211
0.152177	8.22413	0.0290102	1.5282	0.148974	8.2322	0.299648	16.5861	0.206545	11.3402	0.44088	24.4154
0.159456	8.20437	0.0300158	1.54436	0.156283	8.21325	0.301447	15.8673	0.212196	11.0835	0.443074	23.333
0.166657	8.18263	0.0307571	1.55586	0.163519	8.19239	0.303303	15.2187	0.217951	10.8558	0.44536	22.3565
0.173771	8.1587	0.0312323	1.56306	0.170672	8.16944	0.30522	14.6309	0.223801	10.6528	0.447735	21.4715
0.180787	8.13235	0.0319163	1.57319	0.177732	8.14418	0.307207	14.0966	0.229738	10.471	0.450198	20.6662
0.187691	8.10334	0.032661	1.58392	0.184687	8.11637	0.309272	13.6095	0.235752	10.3074	0.452746	19.9308
0.194471	8.07138	0.0336757	1.59806	0.191524	8.08573	0.311428	13.1646	0.241836	10.1596	0.455376	19.2567
0.201111	8.03619	0.0349616	1.61521	0.198227	8.052	0.313687	12.7577	0.247982	10.0254	0.458086	18.6371
0.207593	7.99746	0.0365202	1.63494	0.204779	8.01485	0.316066	12.3851	0.254184	9.90311	0.460873	18.0657
0.213898	7.95486	0.0383525	1.65675	0.211165	7.97398	0.318583	12.044	0.260436	9.79125	0.463735	17.5374
0.220008	7.90807	0.0404593	1.68014	0.217362	7.92906	0.321257	11.7319	0.26673	9.68854	0.46667	17.0477
0.225902	7.85682	0.0425696	1.70192	0.223354	7.87979	0.32411	11.4466	0.273063	9.59388	0.469674	16.5927
0.231561	7.80083	0.0446822	1.72224	0.229117	7.8259	0.327162	11.1863	0.279428	9.50631	0.472746	16.169
0.236965	7.73994	0.0467965	1.7412	0.234635	7.76718	0.330434	10.9494	0.28582	9.42503	0.475884	15.7737
0.242097	7.67405	0.0489119	1.75893	0.239887	7.70347	0.333945	10.7343	0.292234	9.3493	0.479084	15.404
0.246945	7.60317	0.0510278	1.77553	0.244861	7.63476	0.33771	10.5397	0.298666	9.27851	0.482344	15.0578
0.251499	7.52747	0.0531438	1.7911	0.249545	7.56114	0.341743	10.3642	0.305111	9.21209	0.485663	14.7329
0.255757	7.44722	0.0552597	1.80571	0.253385	7.49316	0.346051	10.2065	0.311564	9.14956	0.489038	14.4275
0.259719	7.36285	0.0573752	1.81944	0.25648	7.43257	0.350634	10.0651	0.318022	9.09049	0.492467	14.14
