Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
476  Points		491  Points		477  Points		243  Points		128  Points		400  Points		144  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00773532	8.32222	0.000540994	0.610572	0.00221695	8.3236	0.279509	0.0746466	0.35124	0.0570864	0.139798	0.448988	0.419263	0.0727595
0.0154891	8.32032	0.00110986	0.712185	0.00997201	8.32244	0.279578	0.147833	0.351293	0.107258	0.140216	0.684741	0.419331	0.136514
0.0232393	8.31563	0.00186807	0.908699	0.0177249	8.31918	0.279784	0.293638	0.351439	0.208116	0.141074	1.15096	0.419517	0.263908
0.0309844	8.30913	0.00280312	1.09086	0.0254739	8.31397	0.280125	0.437811	0.351681	0.310076	0.142361	1.60432	0.419823	0.390964
0.0387225	8.30058	0.00390077	1.25714	0.0332171	8.30685	0.2806	0.579599	0.352017	0.413654	0.144063	2.04068	0.420246	0.51756
0.0464516	8.28992	0.00514566	1.40674	0.0409528	8.29774	0.281205	0.718303	0.352451	0.519443	0.146163	2.45665	0.420787	0.64353
0.0541698	8.27719	0.00652207	1.53975	0.048679	8.28648	0.281938	0.853181	0.352985	0.627823	0.148641	2.84988	0.421445	0.768688
0.0618752	8.26211	0.00801481	1.65664	0.0563937	8.27304	0.282795	0.983557	0.353621	0.739407	0.151474	3.21894	0.422219	0.892955
0.0695654	8.24456	0.00960905	1.75831	0.0640949	8.25729	0.283771	1.10881	0.354363	0.854616	0.154639	3.56308	0.423109	1.01617
0.077238	8.2244	0.0112912	1.84599	0.0717803	8.23904	0.284861	1.22844	0.355214	0.973852	0.158113	3.88245	0.424113	1.13816
0.0848906	8.20137	0.0130489	1.92095	0.0794474	8.21808	0.28606	1.342	0.356178	1.09755	0.161873	4.17752	0.42523	1.25881
0.0925204	8.17523	0.0148707	1.98457	0.0870938	8.19417	0.287362	1.44923	0.357259	1.22601	0.165897	4.44922	0.426459	1.37801
0.100124	8.14572	0.0167469	2.03821	0.0947164	8.16707	0.288761	1.54988	0.358462	1.35952	0.170164	4.69876	0.427798	1.49563
0.107699	8.11248	0.0186687	2.08316	0.102312	8.13654	0.29025	1.64388	0.359792	1.4982	0.174653	4.92743	0.429245	1.61149
