Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
476  Points		491  Points		475  Points		230  Points		129  Points		395  Points		143  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00105019	8.27337	0.000602668	0.267764	0.00295868	8.2735	0.279564	339.504	0.361826	1332.56	0.139835	247.31	0.419266	1875.76
0.00875815	8.27309	0.00119426	0.375265	0.0106663	8.27292	0.27976	159.394	0.361894	300.771	0.140321	93.7271	0.419353	363.01
0.0164642	8.27211	0.00197276	0.479507	0.0183716	8.27176	0.280096	104.247	0.362049	169.585	0.141239	58.1515	0.419559	201.043
0.0241665	8.27048	0.00292554	0.579793	0.0260727	8.26999	0.280571	77.5373	0.362291	118.141	0.14258	42.4282	0.419882	139.098
0.0318635	8.26825	0.00403841	0.675599	0.0337681	8.2676	0.281183	61.7954	0.362622	90.694	0.14433	33.626	0.420322	106.403
0.0395532	8.26538	0.00529608	0.766524	0.0414558	8.26458	0.281929	51.4289	0.363043	73.6396	0.146469	28.0383	0.420879	86.2104
0.047234	8.26187	0.00668314	0.852342	0.049134	8.2609	0.282806	44.0946	0.363556	62.0224	0.148979	24.2022	0.421552	72.5102
0.0549037	8.25768	0.00818442	0.932952	0.0568007	8.25654	0.283809	38.6381	0.364164	53.6056	0.151837	21.4239	0.42234	62.6117
0.0625603	8.2528	0.00978561	1.00838	0.0644537	8.25148	0.284935	34.4248	0.364868	47.2316	0.155021	19.3317	0.423243	55.1307
0.0702018	8.2472	0.0114732	1.07871	0.072091	8.2457	0.286177	31.0768	0.365673	42.2412	0.158507	17.7089	0.424259	49.2821
0.0778256	8.24085	0.013235	1.14413	0.0797102	8.23915	0.287533	28.3552	0.366582	38.2315	0.162273	16.4204	0.425387	44.5877
0.0854295	8.23371	0.01506	1.20486	0.0873087	8.23181	0.288994	26.1012	0.367598	34.9422	0.166298	15.3779	0.426626	40.7391
0.0930106	8.22573	0.0169385	1.26114	0.0948838	8.22363	0.290557	24.2055	0.368726	32.1979	0.17056	14.5209	0.427975	37.529
0.100566	8.21688	0.018862	1.31326	0.102433	8.21455	0.292215	22.5902	0.36997	29.8759	0.17504	13.8072	0.429432	34.8125
0.108093	8.20709	0.0208232	1.36148	0.109952	8.20452	0.293963	21.1985	0.371334	27.8878	0.179719	13.2058	0.430995	32.4857
0.115587	8.19631	0.0228156	1.4061	0.117437	8.19348	0.295794	19.9876	0.372823	26.1686	0.184582	12.694	0.432664	30.4715
0.123046	8.18446	0.0248339	1.44738	0.124886	8.18136	0.297705	18.9252	0.374442	24.669	0.189611	12.2546	0.434435	28.7123
0.130464	8.17147	0.0266101	1.48083	0.132293	8.16806	0.299689	17.9861	0.376195	23.3511	0.194792	11.8745	0.436307	27.1634
0.137836	8.15723	0.028135	1.50762	0.139654	8.15351	0.301743	17.1504	0.378087	22.1855	0.200112	11.5432	0.438279	25.7902
0.145159	8.14167	0.0294024	1.52865	0.146963	8.13759	0.303864	16.4023	0.380121	21.1487	0.205558	11.2526	0.440348	24.5651
0.152425	8.12465	0.0304081	1.5446	0.154215	8.1202	0.306049	15.7292	0.382302	20.2218	0.21112	10.9962	0.442512	23.4662
0.159629	8.10607	0.0311494	1.55595	0.161402	8.10121	0.308299	15.1208	0.384633	19.3896	0.216786	10.7687	0.444769	22.4755
0.166763	8.08578	0.0316246	1.56306	0.168517	8.08048	0.310613	14.5686	0.387117	18.6393	0.222547	10.5659	0.447117	21.5782
0.173819	8.06363	0.0323086	1.57307	0.175553	8.05784	0.312994	14.0656	0.389756	17.9607	0.228394	10.3842	0.449555	20.7622
0.180788	8.03945	0.0330533	1.58367	0.182499	8.03313	0.315446	13.6061	0.392551	17.3448	0.234319	10.2206	0.452078	20.0175
0.18766	8.01305	0.034068	1.59764	0.189345	8.00615	0.317975	13.1853	0.395503	16.7843	0.240314	10.0728	0.454686	19.3353
0.194425	7.98425	0.0353539	1.61461	0.196081	7.97672	0.320588	12.7992	0.398612	16.2728	0.246372	9.93857	0.457376	18.7084
0.201069	7.95282	0.0369124	1.63414	0.202694	7.94461	0.323295	12.4444	0.401877	15.8049	0.252487	9.81631	0.460146	18.1308
0.20758	7.91854	0.0387446	1.65574	0.20917	7.90959	0.326108	12.1181	0.405297	15.376	0.258653	9.70449	0.462994	17.597
0.213943	7.88119	0.0408514	1.67892	0.215494	7.87144	0.329039	11.8178	0.40887	14.982	0.264863	9.60184	0.465917	17.1025
0.220145	7.84052	0.0429616	1.70053	0.221653	7.82992	0.332104	11.5417	0.412592	14.6193	0.271112	9.50728	0.468912	16.6432
0.226167	7.79633	0.0450743	1.7207	0.226872	7.79082	0.335317	11.2879	0.416461	14.2848	0.277396	9.41987	0.471979	16.2158
0.231996	7.7484	0.0471887	1.73955	0.231203	7.75525	0.338695	11.0548	0.420473	13.9758	0.283709	9.33878	0.475114	15.8172
0.237615	7.69656	0.0493041	1.75718	0.234699	7.72421	0.342252	10.8413	0.424623	13.6898	0.290047	9.26331	0.478316	15.4448
