Minima		Zeros		Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
8  Points		7  Points		475  Points		493  Points		474  Points		220  Points		129  Points		390  Points		143  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.356771	4.01888	0.357848	4.01888	0.00206527	8.22308	3.14431e-005	0.061205	0.00342449	8.22295	0.279521	723.204	0.372115	784.105	0.139843	234.902	0.419272	1126.5
0.0320326	1.56306	0.0318221	1.56306	0.00972609	8.22259	0.000248375	0.171835	0.0110851	8.22243	0.279653	212.148	0.372197	264.67	0.140337	91.9024	0.419377	321.637
0.217515	7.82374	0.216836	7.82374	0.0173847	8.2215	0.000667548	0.280822	0.0187431	8.22123	0.27993	124.419	0.372361	159.267	0.141258	57.4521	0.419599	187.692
0.585548	8.51025	0.584482	8.51025	0.0250395	8.21982	0.00128158	0.387321	0.0263971	8.21946	0.280349	88.1161	0.372606	113.959	0.142597	42.059	0.419938	132.587
0.883953	9.06688	0.885384	9.06688	0.0326888	8.21752	0.00208004	0.490517	0.0340452	8.21705	0.28091	68.2934	0.372935	88.7656	0.144339	33.3956	0.420393	102.561
0.426399	8.21338	0.428065	8.21338	0.0403307	8.2146	0.00305032	0.589752	0.0416855	8.21401	0.28161	55.8199	0.373349	72.7344	0.146467	27.8783	0.420964	83.6796
0.751329	8.81949	0.753501	8.81949	0.0479633	8.21103	0.00417805	0.684489	0.0493163	8.21032	0.282446	47.2581	0.373849	61.643	0.148961	24.0822	0.42165	70.7186
0.870691	9.04214			0.0555848	8.20679	0.00544833	0.774395	0.0569357	8.20597	0.283415	41.0249	0.374438	53.5184	0.151798	21.3284	0.42245	61.2774
				0.0631932	8.20188	0.0068458	0.859238	0.0645415	8.20094	0.284514	36.2897	0.375118	47.3147	0.154958	19.2521	0.423363	54.0987
				0.0707862	8.19626	0.00835556	0.938933	0.0721317	8.19519	0.285737	32.5747	0.375891	42.4264	0.158417	17.6399	0.424389	48.4604
				0.0783618	8.1899	0.00996352	1.01351	0.0797038	8.18869	0.287081	29.5854	0.376761	38.4783	0.162153	16.3588	0.425526	43.9178
				0.0859173	8.18276	0.0116564	1.08307	0.0872555	8.18141	0.28854	27.1308	0.377731	35.2256	0.166145	15.3214	0.426773	40.1826
				0.0934503	8.17481	0.0134223	1.14779	0.0947842	8.17331	0.29011	25.0812	0.378805	32.5018	0.170372	14.4681	0.428129	37.0593
				0.100958	8.166	0.0152505	1.20788	0.102287	8.16434	0.291785	23.3455	0.379987	30.1898	0.174815	13.757	0.429592	34.4108
				0.108437	8.15629	0.0171313	1.26361	0.109761	8.15446	0.293559	21.8581	0.38128	28.2047	0.179456	13.1575	0.43116	32.138
				0.115884	8.1456	0.0190565	1.31523	0.117202	8.1436	0.295428	20.5702	0.382689	26.4837	0.184279	12.6472	0.432833	30.1676
				0.123296	8.13389	0.0210189	1.36302	0.124607	8.1317	0.297386	19.4451	0.384218	24.9789	0.189267	12.2088	0.434608	28.4442
				0.130668	8.12108	0.0230121	1.40725	0.131972	8.11869	0.299428	18.4544	0.385872	23.6537	0.194406	11.8294	0.436484	26.9252
				0.137996	8.10709	0.0250309	1.44819	0.139291	8.10448	0.30155	17.5759	0.387654	22.4791	0.199683	11.4986	0.438458	25.577
				0.145276	8.09183	0.0268074	1.48138	0.146561	8.08898	0.303747	16.7921	0.38957	21.4323	0.205086	11.2084	0.440529	24.3731
				0.152501	8.0752	0.0283324	1.50798	0.153776	8.07209	0.306017	16.0889	0.391622	20.4947	0.210603	10.9523	0.442695	23.2923
				0.159665	8.05708	0.0295999	1.52887	0.16093	8.05371	0.308357	15.4549	0.393814	19.6513	0.216225	10.725	0.444953	22.3171
				0.166763	8.03737	0.0306056	1.54472	0.168015	8.0337	0.310766	14.8807	0.396151	18.8896	0.221942	10.5222	0.447303	21.4333
				0.173786	8.01592	0.031347	1.556	0.175024	8.01192	0.313244	14.3588	0.398634	18.1995	0.227744	10.3406	0.449741	20.6292
				0.180727	7.99259	0.0318221	1.56306	0.181949	7.98824	0.315791	13.8827	0.401267	17.5722	0.233625	10.1771	0.452265	19.8948
				0.187576	7.96721	0.0325062	1.57301	0.188781	7.96248	0.318412	13.4471	0.40405	17.0005	0.239575	10.0292	0.454874	19.2217
				0.194324	7.93962	0.0332509	1.58355	0.19551	7.93448	0.32111	13.0476	0.406984	16.478	0.245589	9.89506	0.457564	18.603
				0.200959	7.90963	0.0342655	1.59744	0.20128	7.9081	0.323891	12.6806	0.410071	15.9994	0.251661	9.77281	0.460335	18.0326
				0.20747	7.87704	0.0355514	1.61432	0.206125	7.88405	0.326763	12.3428	0.41331	15.5602	0.257783	9.66101	0.463184	17.5053
