Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2	
473  Points		492  Points		473  Points		211  Points		130  Points		120  Points		385  Points		143  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00298367	8.17212	0.00029208	0.476194	0.00752949	8.17088	0.279521	0.144367	0.382117	0.0729809	0.559051	0.133477	0.139785	0.404956	0.419275	0.118411
0.0105976	8.17084	0.000735748	0.579501	0.0151423	8.16905	0.279656	0.222693	0.382185	0.114553	0.559175	0.182404	0.140162	0.632834	0.419385	0.180568
0.0182091	8.16743	0.00137192	0.780512	0.0227516	8.16452	0.279936	0.378864	0.38233	0.198033	0.559391	0.280115	0.140964	1.08385	0.419611	0.304711
0.0258167	8.16221	0.00219015	0.969031	0.0303559	8.15816	0.280362	0.533735	0.382554	0.282303	0.559697	0.377612	0.142182	1.52314	0.419953	0.428484
0.0334185	8.15508	0.0031776	1.14304	0.0379535	8.14993	0.280931	0.686591	0.382856	0.367641	0.560095	0.4749	0.143803	1.94658	0.420409	0.551813
0.0410128	8.14601	0.00432008	1.30144	0.0455424	8.13968	0.281641	0.836957	0.383239	0.45438	0.560582	0.571846	0.145809	2.35095	0.420981	0.674545
0.0485977	8.13498	0.0056027	1.44378	0.0531208	8.12738	0.28249	0.984393	0.383703	0.542897	0.56116	0.66847	0.148183	2.734	0.421666	0.796522
0.0561714	8.12186	0.00701041	1.57018	0.0606869	8.11297	0.283475	1.12839	0.38425	0.633505	0.561828	0.764673	0.150904	3.09418	0.422465	0.917649
0.0637319	8.10652	0.00852855	1.68118	0.0682385	8.09631	0.284593	1.26842	0.384883	0.726465	0.562585	0.860327	0.153949	3.43077	0.423376	1.03774
0.071277	8.08889	0.0101431	1.77778	0.0757735	8.07719	0.285839	1.40414	0.385604	0.822078	0.563431	0.955467	0.157297	3.74373	0.424399	1.15669
0.0788046	8.06879	0.0118412	1.8612	0.0832894	8.0555	0.287209	1.53523	0.386415	0.920651	0.564365	1.05002	0.160925	4.03348	0.425532	1.27449
0.0863123	8.04601	0.0136112	1.93261	0.090784	8.0311	0.2887	1.66141	0.38732	1.02251	0.565388	1.14391	0.164813	4.30081	0.426774	1.39092
0.0937975	8.02039	0.0154425	1.99332	0.0982545	8.00368	0.290305	1.78237	0.38832	1.12786	0.566497	1.23706	0.168939	4.54684	0.428124	1.50585
0.101257	7.99177	0.0173256	2.04464	0.105698	7.97308	0.292021	1.89802	0.389421	1.23698	0.567693	1.32946	0.173285	4.77272	0.42958	1.61927
0.108689	7.95979	0.0192524	2.08782	0.113111	7.93899	0.293842	2.00832	0.390625	1.35005	0.568974	1.42111	0.177833	4.97979	0.431141	1.73103
0.11609	7.92419	0.021216	2.12386	0.120491	7.90112	0.295763	2.1132	0.391937	1.46719	0.570341	1.51189	0.182564	5.16936	0.432805	1.84104
0.123455	7.8847	0.02321	2.15375	0.127834	7.85908	0.29778	2.21289	0.393359	1.58861	0.571791	1.60176	0.187465	5.34269	0.434571	1.94929
0.130782	7.84087	0.0252293	2.17859	0.135136	7.81242	0.299887	2.30767	0.394897	1.71434	0.573325	1.69068	0.19252	5.50111	0.436438	2.05563
0.138066	7.79225	0.0270061	2.19665	0.142392	7.76079	0.30208	2.39783	0.396554	1.84436	0.574942	1.77865	0.197716	5.6457	0.438402	2.15998
0.145302	7.73844	0.0285312	2.20969	0.149597	7.70366	0.304355	2.4839	0.398334	1.97865	0.57664	1.86567	0.20304	5.77756	0.440462	2.26233
0.152485	7.67895	0.0297988	2.21905	0.156747	7.64053	0.306708	2.56662	0.400241	2.11714	0.578418	1.95159	0.208482	5.89778	0.442617	2.3626
0.159611	7.61307	0.0308045	2.22572	0.162927	7.58026	0.309137	2.64671	0.402279	2.25952	0.580276	2.03644	0.21403	6.0072	0.444865	2.46075
0.166672	7.54019	0.0315459	2.23	0.168155	7.52461	0.31164	2.72517	0.404451	2.40554	0.582213	2.12021	0.219675	6.10672	0.447203	2.55677
0.173661	7.4597	0.0320211	2.23257	0.172448	7.47531	0.314216	2.80313	0.406761	2.5549	0.584227	2.20288	0.225409	6.19708	0.449629	2.65059
0.180572	7.37071	0.0327051	2.23618	0.175821	7.43415	0.316864	2.88185	0.409212	2.70708	0.586318	2.28441	0.231223	6.279	0.452142	2.74215
0.187396	7.27249	0.0334498	2.23975	0.17829	7.40253	0.319586	2.96268	0.411806	2.86165	0.588484	2.36473	0.237109	6.3531	0.454739	2.83151
0.194123	7.16415	0.0344645	2.24412	0.179864	7.38167	0.322384	3.04708	0.414544	3.01807	0.590724	2.4439	0.243061	6.41987	0.457418	2.91861
0.200745	7.04483	0.0357503	2.24897	0.182119	7.35076	0.325263	3.13661	0.417429	3.17573	0.593038	2.52191	0.249072	6.47995	0.460177	3.00345
0.207251	6.91376	0.0373088	2.25396	0.184559	7.31596	0.328229	3.23285	0.420462	3.33394	0.595424	2.59868	0.255136	6.53375	0.463015	3.08604
0.213628	6.77007	0.0391409	2.25869	0.187859	7.26662	0.331287	3.33721	0.423642	3.49215	0.59788	2.67422	0.261247	6.58157	0.465928	3.16634
0.219866	6.61313	0.0412476	2.26301	0.192	7.20064	0.334447	3.45109	0.426969	3.64979	0.600407	2.74853	0.2674	6.6239	0.468915	3.24447
0.225951	6.44259	0.0433577	2.26619	0.196955	7.11542	0.337718	3.57565	0.430443	3.80613	0.603002	2.82164	0.27359	6.66103	0.471974	3.32039
0.231871	6.25816	0.0454704	2.26848	0.20269	7.00739	0.34111	3.71176	0.434062	3.96061	0.605664	2.89353	0.279812	6.69317	0.475102	3.39406
0.237612	6.06004	0.0475848	2.27006	0.209159	6.87242	0.344635	3.85982	0.437823	4.11284	0.608394	2.96414	0.286062	6.72061	0.478298	3.46561
0.243163	5.84888	0.0497004	2.27103	0.215496	6.72488	0.348303	4.01972	0.441725	4.26223	0.611188	3.0335	0.292335	6.74364	0.48156	3.5351
0.248511	5.62577	0.0518166	2.27152	0.22169	6.56391	0.352125	4.19091	0.445765	4.40838	0.614046	3.10169	0.298628	6.76237	0.484885	3.60253
0.253646	5.39241	0.0539331	2.27158	0.227727	6.38924	0.356112	4.37208	0.44994	4.55104	0.616967	3.16863	0.304936	6.77698	0.488273	3.66795
0.258559	5.1509	0.0560495	2.27136	0.233595	6.20072	0.360272	4.56143	0.454246	4.68988	0.619951	3.23433	0.311256	6.7876	0.49172	3.73147
0.263244	4.90393	0.0581655	2.27091	0.239282	5.99865	0.364612	4.75666	0.458679	4.82466	0.622994	3.29879	0.317584	6.79434	0.495226	3.79311
0.267697	4.65441	0.0602811	2.27025	0.244773	5.78379	0.369135	4.95508	0.463236	4.95529	0.626098	3.36209	0.323917	6.79733	0.498788	3.85295
0.271917	4.40535	0.0623959	2.26945	0.250059	5.55746	0.373845	5.1538	0.467913	5.08171	0.629259	3.42422	0.33025	6.79659	0.502405	3.91113
0.275906	4.15983	0.0645099	2.26853	0.255129	5.32143	0.378739	5.34981	0.472705	5.2038	0.632478	3.48513	0.336581	6.79225	0.506076	3.96771
0.279669	3.92076	0.0666231	2.26756	0.259975	5.07798	0.383814	5.54043	0.477609	5.32158	0.635753	3.54492	0.342907	6.78429	0.509799	4.0228
0.283212	3.69053	0.0687353	2.26653	0.264591	4.82996	0.389063	5.72325	0.482621	5.43511	0.639084	3.60356	0.349223	6.77277	0.513572	4.07651
0.286546	3.47112	0.0708465	2.26542	0.268975	4.58022	0.394478	5.89625	0.487737	5.54447	0.642468	3.66106	0.355527	6.75772	0.517395	4.12892
0.28968	3.26411	0.0729566	2.26432	0.273126	4.3319	0.40005	6.05792	0.492953	5.64974	0.645906	3.71749	0.361815	6.73911	0.521266	4.1802
0.292628	3.0704	0.0750658	2.26326	0.277047	4.08807	0.405767	6.20729	0.498265	5.75106	0.649395	3.77284	0.368085	6.71692	0.525184	4.23047
0.295402	2.89041	0.077174	2.26218	0.280744	3.85134	0.411617	6.34388	0.503669	5.84855	0.652936	3.82715	0.374332	6.69121	0.529149	4.27987
0.298014	2.72429	0.0792811	2.26109	0.284224	3.62414	0.417588	6.46744	0.509163	5.94229	0.656527	3.88047	0.379755	6.66596	0.533159	4.32851
0.300478	2.57179	0.0813873	2.26003	0.287497	3.40833	0.423668	6.57816	0.514742	6.03251	0.660167	3.93277	0.38436	6.6423	0.537215	4.37651
0.302806	2.43239	0.0834924	2.25899	0.290575	3.20514	0.429845	6.6765	0.520404	6.11928	0.663855	3.98412	0.388156	6.6212	0.541315	4.42415
0.30501	2.30542	0.0855966	2.25799	0.293469	3.01547	0.436109	6.76301	0.526145	6.2028	0.667591	4.0346	0.391149	6.60342	0.545459	4.47146
0.307102	2.19006	0.0876999	2.25702	0.296194	2.83963	0.442448	6.83841	0.531962	6.2832	0.671373	4.08414	0.393344	6.58988	0.549647	4.51856
0.309091	2.08553	0.0898023	2.25605	0.298761	2.67759	0.448851	6.90337	0.537853	6.36057	0.675201	4.1329	0.394746	6.58092	0.553878	4.56573
0.310988	1.99094	0.0919038	2.25517	0.301183	2.52907	0.455311	6.95865	0.543814	6.43511	0.679074	4.18083	0.396759	6.56773	0.558154	4.61304
0.312801	1.90549	0.0940046	2.25432	0.303473	2.3934	0.461818	7.00505	0.549844	6.50685	0.682992	4.228	0.398942	6.55292	0.562474	4.66064
0.314539	1.8284	0.0961045	2.25346	0.305643	2.26998	0.468364	7.04321	0.555939	6.57598	0.686953	4.2745	0.401902	6.53177	0.566839	4.70869
0.316208	1.75882	0.0982037	2.25263	0.307703	2.15795	0.474942	7.07375	0.562097	6.64261	0.690957	4.32033	0.405633	6.50387	0.571248	4.75724
0.317816	1.69611	0.100302	2.25188	0.309664	2.05641	0.481545	7.0974	0.568317	6.70674	0.695003	4.36556	0.410122	6.46824	0.575704	4.80651
0.319369	1.63963	0.1024	2.25114	0.311535	1.96467	0.488168	7.11468	0.574595	6.76857	0.699091	4.41025	0.415357	6.42381	0.580205	4.8565
0.320871	1.58877	0.104497	2.25041	0.313325	1.88177	0.494803	7.12609	0.580929	6.82813	0.703221	4.45443	0.421317	6.36917	0.584753	4.90734
