Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Asym1		Asym2	
473  Points		492  Points		473  Points		211  Points		130  Points		120  Points		385  Points		143  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00298367	8.17281	0.00029208	0.185717	0.00752949	8.17256	0.279521	718.211	0.382117	1078.2	0.559051	694.758	0.139785	395.246	0.419275	996.222
0.0105976	8.17232	0.000735748	0.293781	0.0151423	8.17171	0.279656	211.718	0.382185	297.166	0.559175	322.038	0.140162	109.045	0.419385	310.068
0.0182091	8.17116	0.00137192	0.399265	0.0227516	8.17021	0.279936	124.274	0.38233	172.392	0.559391	209.662	0.140964	63.5818	0.419611	183.697
0.0258167	8.16943	0.00219015	0.50143	0.0303559	8.16811	0.280362	88.0457	0.382554	121.465	0.559697	155.482	0.142182	45.1551	0.419953	130.584
0.0334185	8.16709	0.0031776	0.599604	0.0379535	8.16538	0.280931	68.2538	0.382856	93.8101	0.560095	123.602	0.143803	35.2419	0.420409	101.361
0.0410128	8.16411	0.00432008	0.693299	0.0455424	8.16203	0.281641	55.7963	0.383239	76.4508	0.560582	102.612	0.145809	29.0912	0.420981	82.881
0.0485977	8.16049	0.0056027	0.782184	0.0531208	8.15803	0.28249	47.2442	0.383703	64.5467	0.56116	87.752	0.148183	24.9306	0.421666	70.1487
0.0561714	8.15623	0.00701041	0.866062	0.0606869	8.15336	0.283475	41.0177	0.38425	55.8806	0.561828	76.684	0.150904	21.948	0.422465	60.85
0.0637319	8.15128	0.00852855	0.944858	0.0682385	8.148	0.284593	36.2874	0.384883	49.2937	0.562585	68.1242	0.153949	19.7188	0.423376	53.766
0.071277	8.14564	0.0101431	1.01859	0.0757735	8.14194	0.285839	32.5763	0.385604	44.1212	0.563431	61.3096	0.157297	17.9996	0.424399	48.1936
0.0788046	8.13928	0.0118412	1.08738	0.0832894	8.13511	0.287209	29.5905	0.386415	39.9546	0.564365	55.7584	0.160925	16.6406	0.425532	43.6989
0.0863123	8.13215	0.0136112	1.15141	0.090784	8.12752	0.2887	27.139	0.38732	36.5291	0.565388	51.1509	0.164813	15.545	0.426774	39.9994
0.0937975	8.12422	0.0154425	1.21088	0.0982545	8.1191	0.290305	25.0922	0.38832	33.6653	0.566497	47.2671	0.168939	14.647	0.428124	36.9034
0.101257	8.11546	0.0173256	1.26605	0.105698	8.10981	0.292021	23.3594	0.389421	31.2376	0.567693	43.9503	0.173285	13.901	0.42958	34.2762
0.108689	8.10582	0.0192524	1.31718	0.113111	8.09961	0.293842	21.8748	0.390625	29.1552	0.568974	41.0859	0.177833	13.2737	0.431141	32.0203
0.11609	8.09523	0.021216	1.36454	0.120491	8.08844	0.295763	20.5897	0.391937	27.3511	0.570341	38.5884	0.182564	12.7408	0.432805	30.0637
0.123455	8.08365	0.02321	1.40839	0.127834	8.07625	0.29778	19.4674	0.393359	25.7746	0.571791	36.3925	0.187465	12.2841	0.434571	28.3515
0.130782	8.07102	0.0252293	1.449	0.135136	8.06294	0.299887	18.4796	0.394897	24.3866	0.573325	34.4474	0.19252	11.8895	0.436438	26.8417
0.138066	8.05725	0.0270061	1.48194	0.142392	8.04846	0.30208	17.604	0.396554	23.1565	0.574942	32.7133	0.197716	11.546	0.438402	25.5013
0.145302	8.04227	0.0285312	1.50835	0.149597	8.03271	0.304355	16.8232	0.398334	22.0603	0.57664	31.1581	0.20304	11.2451	0.440462	24.304
0.152485	8.02598	0.0297988	1.52909	0.156747	8.0156	0.306708	16.123	0.400241	21.0783	0.578418	29.7562	0.208482	10.9799	0.442617	23.2287
0.159611	8.0083	0.0308045	1.54483	0.162927	7.9995	0.309137	15.4919	0.402279	20.1947	0.580276	28.4864	0.21403	10.7449	0.444865	22.2583
0.166672	7.9891	0.0315459	1.55604	0.168155	7.98484	0.31164	14.9207	0.404451	19.3966	0.582213	27.3314	0.219675	10.5355	0.447203	21.3787
0.173661	7.96828	0.0320211	1.56306	0.172448	7.97203	0.314216	14.4015	0.406761	18.673	0.584227	26.2767	0.225409	10.3481	0.449629	20.5781
0.180572	7.9457	0.0327051	1.57295	0.175821	7.96144	0.316864	13.9281	0.409212	18.015	0.586318	25.3101	0.231223	10.1796	0.452142	19.8468
0.187396	7.92121	0.0334498	1.58342	0.17829	7.95339	0.319586	13.4951	0.411806	17.4149	0.588484	24.4214	0.237109	10.0274	0.454739	19.1766
