Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym3		Asym4	
470  Points		492  Points		195  Points		132  Points		120  Points		371  Points		144  Points		116  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00487408	8.022	0.00044531	0.553859	0.279509	0.0908794	0.410672	0.0489412	0.55902	0.0715384	0.139915	0.61256	0.419295	0.151113	0.698781	0.0727114
0.0123481	8.02055	0.000961338	0.653474	0.279594	0.170084	0.410718	0.0863193	0.559086	0.11925	0.140486	0.830669	0.419436	0.21136	0.698849	0.106969
0.0198195	8.01677	0.00166299	0.846704	0.279826	0.328157	0.410833	0.16132	0.559242	0.214558	0.141463	1.26124	0.419689	0.331602	0.698981	0.175463
0.0272865	8.01119	0.00253908	1.02713	0.280205	0.485295	0.411018	0.236833	0.559486	0.309666	0.142836	1.67876	0.420053	0.451456	0.699176	0.243898
0.0347475	8.00378	0.00357694	1.19317	0.28073	0.641002	0.411274	0.31308	0.559819	0.404594	0.144591	2.07976	0.42053	0.570901	0.699435	0.312212
0.0422007	7.99451	0.00476241	1.34396	0.281399	0.79487	0.411602	0.390282	0.56024	0.499309	0.146712	2.46156	0.421117	0.689746	0.699758	0.380359
0.0496444	7.98331	0.00608126	1.47922	0.282211	0.946456	0.412002	0.468658	0.560749	0.593671	0.149178	2.82242	0.421815	0.807832	0.700144	0.448392
0.0570767	7.97005	0.00751877	1.59922	0.283163	1.09538	0.412475	0.548435	0.561346	0.687618	0.151971	3.16115	0.422623	0.925133	0.700593	0.516196
0.0644957	7.95474	0.00906123	1.70467	0.284252	1.24132	0.413023	0.629838	0.562031	0.781176	0.155069	3.47737	0.423539	1.04152	0.701106	0.583761
0.0718995	7.93723	0.0106952	1.79641	0.285476	1.38386	0.413649	0.713103	0.562802	0.87425	0.158451	3.77122	0.424563	1.15682	0.701681	0.651069
0.0792858	7.91738	0.0124086	1.87574	0.286831	1.52275	0.414352	0.798481	0.56366	0.966795	0.162096	4.04325	0.425695	1.27102	0.702319	0.718083
0.0866526	7.8951	0.0141905	1.9438	0.288314	1.6577	0.415137	0.886107	0.564604	1.05872	0.165985	4.29434	0.426932	1.38394	0.703019	0.7848
0.0939975	7.87018	0.0160307	2.00177	0.28992	1.78846	0.416003	0.976178	0.565633	1.14999	0.170098	4.52552	0.428273	1.49551	0.703781	0.851146
