Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5		Asym6	
402  Points		402  Points		403  Points		388  Points		385  Points		366  Points		356  Points		401  Points		396  Points		377  Points		362  Points		174  Points		133  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.20034	2.4053	2.20315	2.41223	2.20334	2.40546	2.20409	2.49633	0.978331	3373.2	1.38444	1018.49	2.2026	2.72237	0.346197	231.119	0.652202	305.582	1.03835	610.076	2.20038	2.67513	1.73055	1742.55	1.95667	1898.35
2.19451	2.405	2.19828	2.41299	2.19751	2.40515	2.19867	2.49672	0.978328	376.653	1.38449	377.584	2.197	2.72323	0.346677	91.1034	0.652139	146.822	1.03847	259.009	2.19486	2.67592	1.73055	524.328	1.95673	586.179
2.18869	2.4047	2.19343	2.41378	2.19169	2.40485	2.19307	2.4969	0.978319	199.461	1.38458	231.764	2.19146	2.72415	0.347569	56.8601	0.652034	96.6108	1.03869	164.433	2.18931	2.67668	1.73055	308.592	1.95687	346.624
2.18288	2.40442	2.1886	2.41459	2.18587	2.40456	2.18732	2.49691	0.978306	135.646	1.38471	167.205	2.18597	2.72514	0.348866	41.4325	0.65189	71.9805	1.039	120.475	2.18373	2.67742	1.73056	218.634	1.95707	246.083
2.17709	2.40415	2.18378	2.41543	2.18007	2.40429	2.18143	2.49677	0.978291	102.766	1.38488	130.786	2.18054	2.72621	0.350556	32.6783	0.651709	57.3492	1.0394	95.0821	2.17813	2.67813	1.73056	169.286	1.95735	190.769
2.17131	2.40389	2.17899	2.41629	2.17429	2.40402	2.17544	2.49651	0.978276	82.7154	1.38509	107.402	2.17518	2.72738	0.352623	27.0522	0.651496	47.6544	1.03989	78.5473	2.17251	2.67881	1.73057	138.113	1.95769	155.772
2.16554	2.40364	2.17421	2.41718	2.16851	2.40377	2.16938	2.49616	0.978265	69.2116	1.38533	91.1182	2.16989	2.72864	0.35505	23.1419	0.651258	40.758	1.04046	66.9261	2.16687	2.67948	1.73057	116.635	1.95811	131.637
2.15979	2.40341	2.16944	2.41808	2.16275	2.40353	2.16325	2.49573	0.978262	59.4985	1.38561	79.1274	2.16469	2.73002	0.357817	20.2733	0.651001	35.6009	1.04111	58.3132	2.1612	2.68012	1.73056	100.938	1.9586	113.988
2.15404	2.40319	2.16469	2.41901	2.157	2.4033	2.15708	2.49525	0.978272	52.1768	1.38591	69.9302	2.15957	2.73151	0.360901	18.0838	0.650732	31.599	1.04183	51.6753	2.15553	2.68075	1.73056	88.9641	1.95917	100.522
2.14832	2.40299	2.15995	2.41996	2.15126	2.40309	2.15086	2.49472	0.9783	46.4605	1.38624	62.6524	2.15455	2.73314	0.364278	16.3614	0.650461	28.4034	1.04263	46.4038	2.14983	2.68137	1.73054	79.5296	1.95981	89.9106
2.1426	2.4028	2.15523	2.42092	2.14554	2.40289	2.14462	2.49416	0.978353	41.8744	1.38659	56.75	2.14964	2.73491	0.367922	14.9733	0.650197	25.793	1.04348	42.1166	2.14413	2.68197	1.73051	71.9036	1.96053	81.3339
2.1369	2.40262	2.15051	2.42189	2.13983	2.40271	2.13835	2.49356	0.978436	38.1139	1.38695	51.8668	2.14484	2.73684	0.371809	13.8326	0.649953	23.6212	1.04439	38.5619	2.13841	2.68256	1.73047	65.6115	1.96133	74.2587
2.13121	2.40246	2.14579	2.42288	2.13414	2.40254	2.13207	2.49294	0.978558	34.975	1.38733	47.7598	2.14016	2.73893	0.37591	12.8795	0.649739	21.7865	1.04534	35.567	2.13268	2.68314	1.73041	60.3312	1.96221	68.3232
2.12554	2.40232	2.14107	2.42387	2.12846	2.40239	2.12576	2.49229	0.978726	32.3159	1.38771	44.2574	2.13561	2.7412	0.380198	12.0721	0.649569	20.2166	1.04633	33.0092	2.12695	2.68372	1.73033	55.8365	1.96317	63.2732
2.11989	2.40219	2.13634	2.42484	2.1228	2.40225	2.11945	2.49162	0.978949	30.035	1.38809	41.2352	2.13119	2.74365	0.384646	11.3796	0.649458	18.8588	1.04735	30.7994	2.12121	2.68429	1.73023	51.9642	1.96422	58.9249
2.11425	2.40208	2.13159	2.4258	2.11715	2.40213	2.11312	2.49094	0.979236	28.0576	1.38847	38.6006	2.1269	2.7463	0.389225	10.7792	0.649421	17.6736	1.04839	28.8711	2.11546	2.68486	1.73011	48.5931	1.96535	55.142
2.10862	2.40198	2.12679	2.42671	2.11152	2.40203	2.10678	2.49025	0.979597	26.3273	1.38884	36.2834	2.12276	2.74914	0.393906	10.2536	0.649475	16.6308	1.04945	27.1735	2.10971	2.68542	1.72996	45.6317	1.96658	51.8215
2.10301	2.40191	2.12192	2.42755	2.1059	2.40194	2.10044	2.48954	0.980041	24.8013	1.3892	34.2294	2.11875	2.75217	0.398662	9.78944	0.649637	15.7069	1.05051	25.6674	2.10396	2.68599	1.72978	43.0093	1.96789	48.8838
2.09742	2.40185	2.11695	2.42827	2.1003	2.40188	2.09408	2.48881	0.980578	23.4458	1.38954	32.3958	2.11489	2.75541	0.403463	9.3761	0.649927	14.8836	1.05156	24.3219	2.0982	2.68655	1.72957	40.6707	1.96929	46.2668
2.09185	2.40181	2.11184	2.42884	2.09472	2.40183	2.08773	2.48808	0.981219	22.2345	1.38985	30.7489	2.11116	2.75885	0.408282	9.0052	0.650364	14.1461	1.0526	23.1124	2.09245	2.68712	1.72933	38.5721	1.97079	43.921
2.08629	2.40179	2.10655	2.4292	2.08915	2.4018	2.08137	2.48734	0.981974	21.1459	1.39013	29.2614	2.10757	2.76248	0.413088	8.66998	0.650969	13.4826	1.05362	22.0192	2.08669	2.6877	1.72904	36.6781	1.97238	41.8066
2.08075	2.4018	2.10107	2.42934	2.0836	2.40179	2.075	2.48659	0.982854	20.163	1.39037	27.9109	2.1041	2.76631	0.417855	8.36493	0.651762	12.8833	1.0546	21.0259	2.08094	2.68828	1.72872	34.9601	1.97407	39.8914
2.07523	2.40182	2.09541	2.42929	2.07807	2.4018	2.06863	2.48583	0.983869	19.2716	1.39058	26.6793	2.10076	2.77032	0.422554	8.08551	0.652766	12.3403	1.05555	20.1192	2.07519	2.68886	1.72836	33.3945	1.97585	38.1486
2.06972	2.40186	2.08962	2.42907	2.07255	2.40184	2.06226	2.48507	0.98503	18.46	1.39074	25.5513	2.09754	2.77452	0.427157	7.82797	0.654002	11.8469	1.05645	19.288	2.06945	2.68946	1.72795	31.9617	1.97772	36.5562
2.06424	2.40193	2.08373	2.42873	2.06706	2.40189	2.05589	2.48429	0.986345	17.7185	1.39086	24.5142	2.09444	2.77889	0.431638	7.58918	0.655492	11.3975	1.05729	18.5231	2.06371	2.69007	1.7275	30.6455	1.97969	35.0959
2.05877	2.40202	2.07776	2.42831	2.06158	2.40197	2.04951	2.48351	0.987825	17.0388	1.39092	23.5573	2.09144	2.78343	0.435423	7.39432	0.657256	10.9874	1.05807	17.8166	2.05798	2.6907	1.72701	29.432	1.98176	33.7519
2.05332	2.40213	2.07175	2.42783	2.05612	2.40207	2.04314	2.48273	0.989477	16.4141	1.39093	22.6715	2.08854	2.78814	0.438549	7.23676	0.659313	10.6124	1.05879	17.1619	2.05226	2.69134	1.72647	28.3096	1.98393	32.5111
2.04789	2.40226	2.0657	2.42731	2.05069	2.40219	2.03676	2.48194	0.99131	15.8382	1.39089	21.8491	2.08574	2.79301	0.441057	7.11181	0.661681	10.2691	1.05944	16.5533	2.04655	2.692	1.72589	27.2683	1.98618	31.3622
2.04248	2.40242	2.05963	2.42675	2.04527	2.40233	2.03038	2.48114	0.993332	15.3063	1.39079	21.0833	2.08303	2.79802	0.442988	7.01615	0.664376	9.95449	1.06001	15.9858	2.04085	2.69268	1.72525	26.2995	1.98853	30.2956
