Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
388  Points		391  Points		388  Points		383  Points		370  Points		362  Points		155  Points		391  Points		380  Points		367  Points		338  Points		161  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
2.20474	2.68107	0.346289	0.270453	2.20171	2.68079	0.692222	0.0781291	1.21274	-0.141401	1.38452	0.159364	2.02139	-0.233287	0.346315	0.282753	0.808512	-0.0919028	1.03835	0.0998736	1.61696	-0.223739	1.73059	0.174433
2.19856	2.68075	0.346913	0.366319	2.19552	2.68039	0.692402	0.138369	1.21241	-0.188573	1.38489	0.223138	2.02085	-0.390739	0.346967	0.378449	0.808299	-0.127569	1.03858	0.15564	1.61644	-0.297602	1.73099	0.263364
2.19237	2.67999	0.347979	0.556138	2.18934	2.67957	0.69286	0.258223	1.21187	-0.281383	1.38555	0.349273	2.01958	-0.684897	0.348061	0.56805	0.807923	-0.197947	1.03907	0.266396	1.61559	-0.441116	1.73181	0.437798
2.18619	2.67907	0.349479	0.741539	2.18315	2.67858	0.693594	0.376422	1.21111	-0.370544	1.3865	0.472051	2.01769	-0.93293	0.349589	0.753161	0.807386	-0.266119	1.03981	0.375335	1.61441	-0.575068	1.73301	0.603926
2.18001	2.67803	0.351401	0.921323	2.17698	2.67749	0.694597	0.492338	1.21016	-0.454969	1.38773	0.59046	2.01528	-1.1309	0.351537	0.932513	0.806695	-0.331346	1.0408	0.481739	1.61293	-0.697439	1.73459	0.759449
2.17383	2.67691	0.353731	1.09427	2.1708	2.67632	0.695866	0.605371	1.20901	-0.533804	1.38922	0.703644	2.01247	-1.28302	0.353892	1.10504	0.805857	-0.392878	1.04203	0.584976	1.61119	-0.80705	1.73652	0.902843
2.16765	2.67568	0.356451	1.25948	2.16462	2.67502	0.697391	0.714835	1.20769	-0.60644	1.39097	0.810994	2.00936	-1.39682	0.356637	1.26969	0.804882	-0.450171	1.0435	0.684591	1.60921	-0.903519	1.73876	1.03326
2.16148	2.67433	0.359543	1.41617	2.15845	2.67366	0.699164	0.820238	1.20621	-0.672391	1.39296	0.911948	2.00602	-1.48029	0.359752	1.42577	0.803779	-0.502722	1.04519	0.780035	1.60702	-0.986885	1.74129	1.15061
2.15531	2.67295	0.362986	1.56372	2.15229	2.67225	0.701176	0.921179	1.20459	-0.731343	1.39518	1.00619	2.00253	-1.54038	0.363216	1.57278	0.802562	-0.550107	1.0471	0.870874	1.60465	-1.05767	1.74407	1.25524
2.14915	2.67151	0.366759	1.70179	2.14612	2.67076	0.703415	1.01723	1.20284	-0.78311	1.39761	1.09367	1.99892	-1.58246	0.36701	1.71027	0.801241	-0.591924	1.04921	0.956899	1.60214	-1.1167	1.74708	1.3479
2.14298	2.66994	0.37084	1.83014	2.13996	2.66916	0.70587	1.10811	1.20098	-0.827683	1.40023	1.17431	1.99522	-1.61075	0.371109	1.83796	0.79983	-0.627878	1.05151	1.03791	1.5995	-1.16488	1.75029	1.42942
2.13683	2.66834	0.375205	1.94862	2.1338	2.66751	0.708529	1.19355	1.19902	-0.865121	1.40303	1.24812	1.99148	-1.62822	0.375491	1.9558	0.798343	-0.657817	1.054	1.11365	1.59676	-1.20316	1.75368	1.50077
2.13067	2.66668	0.379832	2.05718	2.12765	2.66582	0.711378	1.27339	1.19698	-0.895539	1.40599	1.3154	1.98771	-1.63715	0.380134	2.06375	0.796794	-0.681514	1.05665	1.18405	1.59395	-1.23249	1.75722	1.56298
2.12452	2.6649	0.384698	2.15596	2.1215	2.66406	0.714406	1.34752	1.19489	-0.919168	1.4091	1.37628	1.98393	-1.63926	0.385015	2.16187	0.795198	-0.69888	1.05946	1.24912	1.59107	-1.25371	1.76089	1.61694
2.11837	2.6631	0.389781	2.24496	2.11536	2.66221	0.717597	1.41581	1.19274	-0.936176	1.41234	1.43102	1.98015	-1.63572	0.390111	2.25029	0.793569	-0.709806	1.06242	1.30886	1.58816	-1.2676	1.76468	1.66348
2.11223	2.66124	0.395058	2.32439	2.10922	2.66028	0.720939	1.47826	1.19057	-0.94683	1.4157	1.48	1.97638	-1.62748	0.3954	2.32915	0.791923	-0.714154	1.0655	1.36332	1.58522	-1.27493	1.76857	1.70338
2.10609	2.6593	0.400508	2.39446	2.10308	2.65832	0.724419	1.53491	1.18837	-0.951363	1.41917	1.52339	1.97264	-1.61523	0.40086	2.3986	0.790274	-0.711937	1.06871	1.41262	1.58228	-1.27626	1.77254	1.73733
2.09996	2.65731	0.406108	2.4553	2.09695	2.65629	0.728023	1.58573	1.18618	-0.95003	1.42273	1.56155	1.96892	-1.59953	0.406469	2.45884	0.788637	-0.703109	1.07202	1.4568	1.57934	-1.27212	1.77658	1.76599
2.09383	2.65523	0.411839	2.50703	2.09082	2.65415	0.731737	1.63076	1.18399	-0.94297	1.42638	1.59472	1.96525	-1.58073	0.412207	2.51019	0.787029	-0.687577	1.07543	1.49593	1.57641	-1.26303	1.78069	1.78982
2.0877	2.65306	0.417678	2.54983	2.0847	2.65199	0.735548	1.67005	1.18183	-0.930461	1.43009	1.62313	1.96163	-1.5591	0.417295	2.54785	0.785464	-0.665228	1.07893	1.53026	1.57351	-1.24932	1.78484	1.80921
2.08159	2.65084	0.423606	2.58381	2.07858	2.64972	0.739444	1.70367	1.1797	-0.912693	1.43387	1.64714	1.95806	-1.53487	0.421687	2.57459	0.783959	-0.636057	1.08249	1.5598	1.57064	-1.23127	1.78904	1.82463
2.07547	2.64853	0.429602	2.60906	2.07247	2.64737	0.74341	1.73164	1.17761	-0.889755	1.43769	1.66688	1.95455	-1.50824	0.425351	2.59311	0.782529	-0.599982	1.08612	1.58475	1.56782	-1.20923	1.79326	1.83636
