Sym0		Asym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
386  Points		383  Points		387  Points		374  Points		366  Points		352  Points		143  Points		384  Points		380  Points		366  Points		174  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
2.20021	2.50648	0.346136	439.469	2.20326	2.50658	0.692255	643.566	1.3581	966.838	1.38488	871.811	2.07666	17063.2	0.34611	2510.21	0.905476	419.434	1.03842	680.552	1.73037	946.932	1.81128	3058.06
2.19425	2.50627	0.346521	111.961	2.19729	2.50638	0.692577	204.72	1.35625	365.362	1.38694	355.998	2.07653	854.855	0.346367	141.647	0.904983	202.629	1.03893	271.032	1.72965	418.322	1.81175	624.807
2.18829	2.50608	0.347362	64.2975	2.19134	2.50618	0.693229	121.823	1.35326	224.814	1.39016	224.099	2.07617	438.335	0.347079	73.0283	0.904159	133.483	1.03987	169.342	1.72841	268.297	1.81282	348.145
2.18235	2.50589	0.348651	45.2217	2.18539	2.50599	0.694207	86.7993	1.34963	162.081	1.39407	163.802	2.07559	294.665	0.348243	49.3257	0.903021	99.4409	1.04122	123.25	1.72669	197.347	1.81446	241.461
2.17641	2.50571	0.350378	34.9776	2.17945	2.5058	0.695504	67.4903	1.34564	126.538	1.39838	129.263	2.07479	221.872	0.349848	37.3471	0.901593	79.1677	1.04296	96.9708	1.72457	155.972	1.8166	184.954
2.17048	2.50555	0.352532	28.6039	2.17351	2.50563	0.697109	55.2707	1.34147	103.655	1.40295	106.888	2.07378	177.874	0.351883	30.1402	0.8999	65.7064	1.04507	80.0036	1.7221	128.858	1.81918	149.982
2.16456	2.50539	0.355096	24.2684	2.16759	2.50547	0.699012	46.8506	1.3372	87.691	1.40769	91.2138	2.07256	148.4	0.354333	25.3416	0.897972	56.1121	1.04752	68.1526	1.71934	109.71	1.82214	126.216
2.15865	2.50523	0.358053	21.1373	2.16168	2.50531	0.701201	40.7026	1.33289	75.9204	1.41255	79.6237	2.07116	127.272	0.357181	21.9269	0.895838	48.9246	1.05028	59.4129	1.71635	95.4635	1.82542	109.019
2.15275	2.50509	0.361384	18.7763	2.15577	2.50516	0.703661	36.0209	1.32857	66.8838	1.41749	70.7057	2.06958	111.382	0.360409	19.3799	0.893528	43.3374	1.05332	52.7054	1.71318	84.449	1.82897	96.0017
2.14686	2.50496	0.365069	16.9373	2.14987	2.50503	0.706378	32.34	1.32426	59.7286	1.42249	63.6317	2.06783	98.9947	0.363997	17.4124	0.891071	38.8684	1.05661	47.3977	1.70986	75.6778	1.83275	85.8075
2.14098	2.50484	0.369086	15.4678	2.14399	2.5049	0.709336	29.3726	1.31997	53.9233	1.42755	57.8833	2.06593	89.0652	0.367923	15.8506	0.888494	35.2119	1.06013	43.095	1.70643	68.5276	1.83672	77.6091
2.1351	2.50474	0.373414	14.2693	2.13811	2.50479	0.71252	26.9312	1.31572	49.1196	1.43264	53.1201	2.06388	80.927	0.372165	14.5837	0.885822	32.1647	1.06385	39.5376	1.70292	62.5872	1.84084	70.8735
2.12924	2.50464	0.378031	13.2752	2.13224	2.50469	0.715914	24.8889	1.31151	45.0794	1.43777	49.1088	2.06172	74.1347	0.376703	13.5375	0.883079	29.5863	1.06774	36.5483	1.69935	57.5735	1.8451	65.2417
2.12339	2.50455	0.382915	12.4388	2.12638	2.50459	0.719503	23.1562	1.30736	41.6346	1.44292	45.6843	2.05944	68.3794	0.381514	12.6606	0.880286	27.3764	1.0718	34.0017	1.69574	53.2857	1.84947	60.4631
2.11755	2.50448	0.388044	11.7265	2.12054	2.50451	0.723271	21.6683	1.30327	38.6632	1.4481	42.7268	2.05706	63.4401	0.386576	11.9161	0.877464	25.4615	1.076	31.8065	1.6921	49.5769	1.85394	56.3578
2.11172	2.50442	0.393398	11.1134	2.1147	2.50445	0.727203	20.3775	1.29924	36.0743	1.45329	40.1467	2.0546	59.1546	0.391869	11.2772	0.874631	23.7867	1.08031	29.8951	1.68846	46.3376	1.85848	52.7929
