Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
410  Points		410  Points		394  Points		365  Points		263  Points		157  Points		410  Points		384  Points		366  Points		267  Points		135  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.40198	2.07453	1.40086	2.07198	0.433062	0.127045	0.866019	-0.0409232	0.97837	0.0877244	1.29904	-0.00586127	0.21651	0.0758407	1.40128	1.83228	0.652405	1.16214	1.08253	-0.00931335	1.30446	0.0440732
1.39898	2.07108	1.39787	2.0685	0.433246	0.173449	0.86596	-0.0627061	0.978497	0.118038	1.29903	-0.0106912	0.21662	0.127575	1.39864	1.8411	0.654083	1.30099	1.08252	-0.0182332	1.30452	0.0594673
1.396	2.06418	1.39489	2.06157	0.433563	0.265566	0.865838	-0.106082	0.978711	0.178364	1.29901	-0.0203471	0.216879	0.23063	1.39597	1.85923	0.656161	1.46954	1.08248	-0.0361306	1.30463	0.0901222
1.39303	2.0572	1.39192	2.05459	0.434012	0.356124	0.865654	-0.148816	0.979012	0.238005	1.29897	-0.0299177	0.217286	0.33259	1.39327	1.87835	0.658325	1.5125	1.08241	-0.0539809	1.30478	0.12067
1.39006	2.05019	1.38896	2.04758	0.434591	0.444515	0.865409	-0.190704	0.979398	0.296717	1.29892	-0.0394642	0.217839	0.433092	1.39055	1.8985	0.660527	1.53439	1.08232	-0.0716641	1.30498	0.151078
1.38711	2.04319	1.38601	2.0406	0.435295	0.530329	0.865104	-0.231634	0.979868	0.354227	1.29886	-0.0489624	0.218536	0.531703	1.38779	1.91954	0.662754	1.54977	1.08221	-0.0892325	1.30522	0.181205
1.38416	2.03616	1.38307	2.03353	0.436122	0.613262	0.86474	-0.271234	0.980421	0.410434	1.29878	-0.0582908	0.219374	0.627997	1.38501	1.9414	0.665001	1.56228	1.08207	-0.106571	1.3055	0.211136
1.38123	2.02913	1.38014	2.0265	0.437066	0.692921	0.864321	-0.309417	0.981053	0.465206	1.29869	-0.0675726	0.220349	0.721709	1.38219	1.96409	0.667264	1.57324	1.0819	-0.123671	1.30583	0.240824
1.37831	2.02211	1.37722	2.01946	0.438122	0.76911	0.863847	-0.346086	0.981763	0.518354	1.29858	-0.0767613	0.221457	0.812526	1.37934	1.98743	0.669543	1.58323	1.08171	-0.140512	1.3062	0.270169
1.37539	2.01501	1.37431	2.01235	0.439286	0.841728	0.863322	-0.381045	0.982549	0.569719	1.29847	-0.0857637	0.222694	0.90019	1.37645	2.01126	0.671835	1.59251	1.08149	-0.156983	1.30661	0.299124
1.37249	2.00793	1.37141	2.00529	0.440552	0.910644	0.862747	-0.414195	0.983408	0.619275	1.29834	-0.0946132	0.224056	0.984479	1.37353	2.03556	0.67414	1.60118	1.08126	-0.173151	1.30706	0.327662
1.3696	2.00086	1.36852	1.99821	0.441915	0.97582	0.862126	-0.445412	0.984337	0.666971	1.29819	-0.103303	0.225536	1.06531	1.37057	2.0602	0.676457	1.60937	1.08099	-0.188935	1.30756	0.355809
1.36671	1.99375	1.36564	1.99109	0.443369	1.03733	0.861461	-0.474741	0.985333	0.712704	1.29804	-0.111821	0.227131	1.1426	1.36758	2.08501	0.678786	1.6171	1.08071	-0.204317	1.30809	0.383539
1.36384	1.98665	1.36277	1.98402	0.444909	1.09515	0.860755	-0.502126	0.986394	0.756489	1.29787	-0.120141	0.228835	1.21618	1.36456	2.10982	0.681125	1.62443	1.0804	-0.21926	1.30866	0.410726
1.36098	1.97955	1.35991	1.9769	0.44653	1.14942	0.860012	-0.52745	0.987517	0.798283	1.29769	-0.128212	0.230642	1.28606	1.36149	2.13453	0.683475	1.6314	1.08008	-0.233692	1.30928	0.437416
1.35813	1.97244	1.35706	1.96978	0.448227	1.20025	0.859233	-0.550781	0.988699	0.838146	1.2975	-0.136004	0.232547	1.35229	1.35839	2.15905	0.685835	1.63795	1.07973	-0.247615	1.30993	0.463549
1.35528	1.96534	1.35423	1.96271	0.449995	1.24771	0.858422	-0.572173	0.989937	0.876051	1.2973	-0.143605	0.234545	1.41487	1.35526	2.1832	0.688203	1.6441	1.07936	-0.261033	1.31061	0.489081
1.35245	1.95824	1.3514	1.9556	0.451829	1.29203	0.857581	-0.591592	0.991228	0.912017	1.29709	-0.15097	0.236631	1.47383	1.35209	2.20694	0.690581	1.64993	1.07898	-0.273951	1.31134	0.514072
1.34963	1.95115	1.34858	1.94849	0.453725	1.33334	0.856714	-0.609045	0.99257	0.946155	1.29686	-0.158008	0.2388	1.52927	1.34889	2.23019	0.692966	1.65546	1.07857	-0.286239	1.3121	0.538418
