Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4		Asym5	
410  Points		410  Points		394  Points		365  Points		263  Points		157  Points		410  Points		384  Points		366  Points		267  Points		135  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.40198	2.40112	1.40086	2.40142	0.433062	350.803	0.866019	1383.07	0.97837	722.775	1.29904	8268.32	0.21651	649.903	1.40128	2.56422	0.652405	1348.38	1.08253	47997.1	1.30446	969.253
1.39898	2.40193	1.39787	2.40224	0.433246	161.788	0.86596	418.432	0.978497	349.837	1.29903	811.647	0.21662	121.935	1.39864	2.56616	0.654083	339.392	1.08252	738.452	1.30452	467.703
1.396	2.40276	1.39489	2.40308	0.433563	105.202	0.865838	246.473	0.978711	230.807	1.29901	426.763	0.216879	67.3558	1.39597	2.56806	0.656161	194.672	1.08248	372.075	1.30463	308.235
1.39303	2.40362	1.39192	2.40394	0.434012	77.995	0.865654	174.658	0.979012	172.247	1.29897	289.481	0.217286	46.5951	1.39327	2.56993	0.658325	136.753	1.08241	248.678	1.30478	229.879
1.39006	2.40449	1.38896	2.40482	0.434591	62.0136	0.865409	135.227	0.979398	137.418	1.29892	219.02	0.217839	35.6724	1.39055	2.57175	0.660527	105.56	1.08232	186.734	1.30498	183.301
1.38711	2.40539	1.38601	2.40573	0.435295	51.5059	0.865104	110.302	0.979868	114.33	1.29886	176.14	0.218536	28.9451	1.38779	2.57352	0.662754	86.0639	1.08221	149.488	1.30522	152.431
1.38416	2.4063	1.38307	2.40665	0.436122	44.0761	0.86474	93.1189	0.980421	97.9061	1.29878	147.298	0.219374	24.3927	1.38501	2.57525	0.665001	72.7246	1.08207	124.622	1.3055	130.471
1.38123	2.40724	1.38014	2.4076	0.437066	38.5484	0.864321	80.5534	0.981053	85.6272	1.29869	126.569	0.220349	21.1127	1.38219	2.57692	0.667264	63.0239	1.0819	106.842	1.30583	114.052
1.37831	2.40821	1.37722	2.40857	0.438122	34.2779	0.863847	70.9632	0.981763	76.1019	1.29858	110.951	0.221457	18.6409	1.37934	2.57854	0.669543	55.6521	1.08171	93.4961	1.3062	101.312
1.37539	2.40919	1.37431	2.40956	0.439286	30.8816	0.863322	63.4024	0.982549	68.4989	1.29847	98.7616	0.222694	16.7144	1.37645	2.58011	0.671835	49.8607	1.08149	83.1091	1.30661	91.1405
1.37249	2.4102	1.37141	2.41058	0.440552	28.1175	0.862747	57.2876	0.983408	62.2907	1.29834	88.9828	0.224056	15.1728	1.37353	2.58162	0.67414	45.1909	1.08126	74.7947	1.30706	82.8325
1.3696	2.41123	1.36852	2.41162	0.441915	25.8254	0.862126	52.2396	0.984337	57.1267	1.29819	80.9638	0.225536	13.9132	1.37057	2.58307	0.676457	41.3458	1.08099	67.9884	1.30756	75.9193
1.36671	2.41228	1.36564	2.41268	0.443369	23.8949	0.861461	48.0012	0.985333	52.7646	1.29804	74.2686	0.227131	12.8659	1.36758	2.58447	0.678786	38.1247	1.08071	62.3137	1.30809	70.0774
1.36384	2.41336	1.36277	2.41377	0.444909	22.2473	0.860755	44.3916	0.986394	49.0316	1.29787	68.5942	0.228835	11.9827	1.36456	2.5858	0.681125	35.3873	1.0804	57.5098	1.30866	65.0761
1.36098	2.41446	1.35991	2.41488	0.44653	20.8253	0.860012	41.2804	0.987517	45.8013	1.29769	63.7236	0.230642	11.2287	1.36149	2.58707	0.683475	33.0323	1.08008	53.3904	1.30928	60.7465
1.35813	2.41559	1.35706	2.41602	0.448227	19.586	0.859233	38.5708	0.988699	42.9789	1.2975	59.4973	0.232547	10.5781	1.35839	2.58828	0.685835	30.9849	1.07973	49.8187	1.30993	56.962
