Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
396  Points		395  Points		392  Points		365  Points		241  Points		132  Points		406  Points		378  Points		327  Points		257  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
1.40365	2.4951	1.40153	2.49484	0.433063	411.994	0.866025	11323.7	1.09111	880.654	1.29904	1206.27	0.21653	267.404	1.4013	2.60574	0.727411	1050.68	1.08253	1053.8
1.39978	2.49462	1.39765	2.49435	0.433295	173.699	0.866014	569.801	1.09117	406.796	1.29904	515.434	0.216692	96.1738	1.39755	2.60576	0.727536	340.655	1.08252	438.154
1.39589	2.49412	1.39376	2.49383	0.433713	110.138	0.865982	292.243	1.09127	264.504	1.29904	327.737	0.217004	58.7053	1.3938	2.60577	0.727786	203.345	1.08251	276.571
1.392	2.49359	1.38986	2.4933	0.434312	80.7081	0.86593	196.507	1.09142	195.977	1.29903	240.249	0.217466	42.3096	1.39004	2.60577	0.72816	144.981	1.08248	202.054
1.3881	2.49306	1.38596	2.49276	0.435083	63.7518	0.865857	148.01	1.0916	155.666	1.29903	189.628	0.218077	33.126	1.38627	2.60576	0.728655	112.693	1.08245	159.166
1.3842	2.49251	1.38206	2.4922	0.436018	52.7355	0.865764	118.706	1.09184	129.122	1.29903	156.627	0.218832	27.2632	1.3825	2.60574	0.729268	92.2049	1.08241	131.295
1.38029	2.49195	1.37815	2.49165	0.437108	45.0098	0.865652	99.0819	1.09211	110.323	1.29902	133.409	0.219729	23.2026	1.37873	2.60572	0.729993	78.0526	1.08237	111.728
1.37639	2.49139	1.37425	2.49108	0.43834	39.2962	0.86552	85.0207	1.09242	96.3115	1.29902	116.186	0.220764	20.2288	1.37495	2.60569	0.730826	67.6945	1.08232	97.2355
