Sym0		Sym1		Sym2		Sym3		Sym4		Sym5		Asym1		Asym2		Asym3		Asym4	
395  Points		395  Points		377  Points		361  Points		231  Points		110  Points		400  Points		379  Points		295  Points		239  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
1.40198	2.68318	1.40041	2.68285	0.433018	0.158185	0.866025	-0.00435675	1.19341	0.0156412	1.29904	0.00479263	0.216514	0.0864683	1.40218	2.64641	0.795604	0.0328109	1.08253	0.000752274
1.39811	2.68278	1.39654	2.68239	0.433247	0.270174	0.866018	-0.0067204	1.19343	0.0238882	1.29905	0.00820934	0.216639	0.139428	1.39836	2.64635	0.795651	0.0565557	1.08253	0.001049
1.39424	2.68185	1.39267	2.68145	0.433798	0.485586	0.866005	-0.0113944	1.19348	0.0403526	1.29906	0.0150171	0.216916	0.244913	1.39454	2.64626	0.795767	0.10384	1.08253	0.00171947
1.39037	2.68089	1.3888	2.68051	0.434648	0.680864	0.865986	-0.0159815	1.19355	0.0568019	1.29909	0.0218943	0.217346	0.349315	1.39072	2.64607	0.795951	0.150874	1.08254	0.00240122
1.3865	2.6799	1.38493	2.67951	0.435764	0.852058	0.865959	-0.0205416	1.19364	0.0731479	1.29913	0.028764	0.217925	0.452212	1.3869	2.64576	0.796203	0.197627	1.08254	0.00310555
1.38263	2.67889	1.38107	2.67848	0.437108	0.99867	0.865926	-0.0250475	1.19376	0.0894335	1.29917	0.0356917	0.218651	0.553197	1.38308	2.64544	0.796521	0.243893	1.08255	0.00385502
1.37877	2.67788	1.3772	2.67743	0.438647	1.12241	0.865887	-0.029445	1.1939	0.105598	1.29923	0.0427358	0.219522	0.651821	1.37926	2.64501	0.796907	0.289622	1.08255	0.00462153
1.3749	2.67683	1.37334	2.67636	0.440348	1.22612	0.865841	-0.0337723	1.19406	0.121595	1.2993	0.0497926	0.220533	0.74785	1.37544	2.64445	0.797358	0.334719	1.08256	0.00549539
1.37104	2.67574	1.36947	2.67532	0.442186	1.31291	0.865789	-0.0380323	1.19425	0.137476	1.29937	0.0569484	0.221681	0.840956	1.37163	2.64384	0.797873	0.379136	1.08257	0.00636419
1.36718	2.67459	1.36561	2.67418	0.444138	1.38584	0.865731	-0.0421579	1.19446	0.153124	1.29946	0.0642285	0.22296	0.930854	1.36781	2.64313	0.798452	0.42278	1.08258	0.00729613
1.36332	2.67347	1.36175	2.67301	0.446187	1.44749	0.865668	-0.0460877	1.19469	0.1686	1.29956	0.0716111	0.224368	1.01749	1.364	2.6423	0.799093	0.465537	1.08259	0.00835434
1.35946	2.67232	1.3579	2.67184	0.448317	1.49997	0.865598	-0.049919	1.19494	0.183878	1.29967	0.0791252	0.225898	1.10059	1.36018	2.64138	0.799796	0.507398	1.0826	0.00944537
1.3556	2.67112	1.35404	2.6706	0.450517	1.54507	0.865524	-0.0536266	1.19522	0.198906	1.29979	0.0868294	0.227545	1.18016	1.35637	2.64034	0.800558	0.548273	1.08262	0.0106021
1.35175	2.6699	1.35019	2.66936	0.452777	1.58409	0.865444	-0.0570866	1.19552	0.213655	1.29992	0.0946204	0.229304	1.25608	1.35256	2.6392	0.801379	0.588129	1.08263	0.01189
1.3479	2.66862	1.34634	2.66812	0.45509	1.61817	0.865359	-0.0604178	1.19584	0.228138	1.30006	0.102585	0.231171	1.32832	1.34875	2.63789	0.802256	0.626898	1.08265	0.0132941
1.34404	2.66731	1.34249	2.66682	0.457448	1.64819	0.865269	-0.0635644	1.19618	0.242309	1.30021	0.110751	0.233139	1.39698	1.34495	2.63643	0.803188	0.664593	1.08267	0.0147838
1.3402	2.66601	1.33864	2.66547	0.459848	1.67475	0.865175	-0.0664155	1.19654	0.256148	1.30038	0.1191	0.235204	1.46203	1.34114	2.6349	0.804174	0.701164	1.08269	0.0163718
