Sym0		Asym0		Sym1		Sym2		Sym3		Asym2		Asym3		Asym4		Asym5	
488  Points		495  Points		330  Points		181  Points		160  Points		431  Points		220  Points		163  Points		137  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00454739	6.08111	0.000492358	0.49208	0.279517	0.0345689	0.331396	0.108736	0.55902	0.0415465	0.139804	0.299867	0.419285	0.0807153	0.662769	0.0152106	0.698771	0.0282226
0.0102131	6.0801	0.000950826	0.569057	0.27955	0.047386	0.331498	0.163209	0.559059	0.0651768	0.140084	0.430351	0.41936	0.109177	0.662783	0.0241107	0.698798	0.0538098
0.015877	6.07757	0.00155273	0.719861	0.279606	0.073093	0.331701	0.271992	0.559142	0.11241	0.140606	0.689236	0.419489	0.165998	0.662814	0.0419488	0.698872	0.104937
0.021538	6.07399	0.00229221	0.863923	0.279686	0.0990189	0.332005	0.380426	0.559268	0.159563	0.141368	0.943187	0.41967	0.222657	0.662861	0.0599002	0.698993	0.155921
0.0271952	6.06931	0.00316256	1.00036	0.27979	0.125382	0.332409	0.488456	0.559439	0.206701	0.142364	1.19064	0.419904	0.279214	0.662925	0.0780784	0.699162	0.206693
0.0328475	6.06347	0.00415628	1.12845	0.279919	0.152255	0.332915	0.595898	0.559654	0.253809	0.143587	1.43015	0.42019	0.335563	0.663006	0.0965638	0.699378	0.257262
0.0384938	6.0564	0.0052653	1.24772	0.280074	0.179705	0.33352	0.702677	0.559912	0.300783	0.145029	1.66066	0.420529	0.391719	0.663105	0.115297	0.699642	0.307568
0.0441329	6.04812	0.00648127	1.3581	0.280254	0.207873	0.334224	0.808716	0.560214	0.347636	0.146681	1.88136	0.42092	0.447635	0.663221	0.13438	0.699951	0.35757
0.0497638	6.0386	0.00779597	1.45954	0.280461	0.236816	0.335027	0.913859	0.56056	0.394395	0.148534	2.09155	0.421363	0.503217	0.663356	0.153943	0.700308	0.407183
0.0553852	6.02775	0.00920097	1.55213	0.280696	0.26665	0.335927	1.01802	0.560949	0.441038	0.150579	2.29095	0.421858	0.558498	0.663508	0.173952	0.70071	0.456386
0.0609959	6.0155	0.0106882	1.63629	0.280958	0.297534	0.336924	1.12108	0.561382	0.487521	0.152803	2.47949	0.422404	0.613467	0.66368	0.194414	0.701158	0.505206
0.0665944	6.00177	0.01225	1.71242	0.28125	0.329492	0.338016	1.22307	0.561857	0.533832	0.155199	2.65711	0.423001	0.668035	0.66387	0.215416	0.701652	0.553554
0.0721795	5.98648	0.0138791	1.78087	0.281572	0.362646	0.339203	1.32384	0.562376	0.579945	0.157755	2.82405	0.423648	0.722165	0.664081	0.236986	0.70219	0.601397
0.0777496	5.96951	0.0155685	1.84227	0.281926	0.397168	0.340483	1.42328	0.562938	0.625883	0.160461	2.98061	0.424346	0.775861	0.664312	0.259105	0.702772	0.648745
0.083303	5.95081	0.017312	1.89709	0.282312	0.433179	0.341855	1.52146	0.563543	0.671616	0.163309	3.12718	0.425094	0.829054	0.664564	0.28181	0.703399	0.695539
0.0888383	5.93026	0.0191035	1.94588	0.282733	0.470779	0.343318	1.61827	0.564189	0.717159	0.166288	3.26416	0.425891	0.881826	0.664837	0.305174	0.704068	0.741813
0.0943534	5.90761	0.0209379	1.98918	0.283189	0.510088	0.34487	1.71361	0.564879	0.76247	0.169391	3.39202	0.426737	0.934049	0.665133	0.329124	0.704781	0.787559
0.0998464	5.88282	0.0228101	2.02751	0.283683	0.551281	0.346511	1.80746	0.56561	0.80746	0.172609	3.51127	0.427632	0.985688	0.66545	0.353733	0.705536	0.832763
0.105315	5.85571	0.0247159	2.06134	0.284217	0.594554	0.348238	1.89987	0.566383	0.85225	0.175934	3.62241	0.428574	1.03682	0.665792	0.379	0.706333	0.877394
0.110758	5.82605	0.0266512	2.09104	0.284791	0.640159	0.350051	1.99072	0.567198	0.896787	0.179359	3.7259	0.429564	1.08737	0.666157	0.404853	0.707171	0.921465
0.116172	5.79367	0.0286124	2.11712	0.285409	0.688156	0.351948	2.07998	0.568055	0.941035	0.182877	3.8222	0.4306	1.13727	0.666546	0.431363	0.70805	0.965003
0.121554	5.75828	0.0305962	2.13999	0.286074	0.738812	0.353927	2.16777	0.568952	0.985001	0.186481	3.91175	0.431683	1.18654	0.66696	0.458529	0.708969	1.00799
0.126902	5.71972	0.0326	2.15993	0.286786	0.792445	0.355987	2.25392	0.56989	1.02862	0.190166	3.99497	0.432811	1.23521	0.667401	0.486347	0.709928	1.05045
0.132212	5.6777	0.034621	2.17727	0.28755	0.849245	0.358127	2.33841	0.570869	1.07192	0.193925	4.07229	0.433985	1.28325	0.667867	0.514738	0.710926	1.09238
0.137481	5.63189	0.0366571	2.1924	0.288369	0.909527	0.360345	2.42139	0.571887	1.11493	0.197754	4.14401	0.435202	1.33062	0.66836	0.543759	0.711963	1.13383
0.142706	5.58201	0.0384421	2.20389	0.289245	0.97362	0.362639	2.50275	0.572946	1.15767	0.201647	4.21048	0.436464	1.37733	0.66888	0.573458	0.713039	1.17477
0.147883	5.52765	0.0399706	2.21259	0.290183	1.04182	0.365008	2.58242	0.574045	1.20002	0.2056	4.27208	0.437769	1.42334	0.669428	0.603704	0.714153	1.21519
0.153006	5.46853	0.0412389	2.21915	0.291186	1.1145	0.367451	2.66053	0.575182	1.242	0.209608	4.32907	0.439116	1.46872	0.670005	0.634535	0.715303	1.25516
0.158073	5.40428	0.0422443	2.22381	0.29226	1.19204	0.369966	2.73707	0.576359	1.28364	0.213667	4.38167	0.440506	1.5134	0.670611	0.665946	0.716491	1.29468
0.163077	5.3345	0.0429848	2.22712	0.293408	1.27476	0.372551	2.812	0.577574	1.32495	0.217773	4.43018	0.441936	1.55742	0.671246	0.697933	0.717716	1.33372
0.168013	5.25881	0.0434593	2.2291	0.294635	1.36306	0.375206	2.88532	0.578828	1.36589	0.221922	4.47483	0.443408	1.60079	0.671911	0.730487	0.718977	1.37233
