Sym0		Asym0		Sym1		Sym2		Sym3		Asym1		Asym2	
479  Points		492  Points		480  Points		270  Points		136  Points		409  Points		154  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00643564	7.89196	0.000615152	0.264249	0.00106249	7.8919	0.27952	644.144	0.336297	409.616	0.139867	200.463	0.419266	1920.28
0.0137872	7.89122	0.00119596	0.366902	0.00841521	7.89179	0.27962	204.754	0.336438	191.954	0.140368	86.146	0.419342	364.636
0.0211361	7.88998	0.00195596	0.46667	0.0157663	7.89095	0.279823	121.804	0.336682	125.422	0.141263	55.1571	0.419523	201.527
0.0284807	7.88818	0.00288368	0.562888	0.0231141	7.88954	0.280128	86.7532	0.33703	93.2028	0.142545	40.811	0.419808	139.313
0.0358194	7.88583	0.00396629	0.655075	0.0304573	7.88761	0.280533	67.4241	0.337483	74.2083	0.1442	32.5912	0.420196	106.511
0.0431507	7.88293	0.0051901	0.742886	0.0377941	7.88511	0.281035	55.1869	0.338044	61.6928	0.146212	27.2977	0.420688	86.263
0.0504729	7.87946	0.00654103	0.826086	0.0451231	7.88205	0.281631	46.7506	0.338716	52.8321	0.148563	23.6269	0.421283	72.5286
0.0577842	7.87537	0.00800519	0.904563	0.0524426	7.87841	0.282317	40.5873	0.3395	46.2354	0.151235	20.9479	0.421979	62.6063
0.0650828	7.87067	0.00956918	0.978295	0.0597507	7.87417	0.28309	35.891	0.340401	41.1382	0.154208	18.9182	0.422777	55.1073
0.0723666	7.86532	0.0112205	1.04735	0.0670455	7.8693	0.283945	32.1963	0.341421	37.0857	0.157461	17.3358	0.423675	49.244
0.0796335	7.85928	0.0129475	1.11186	0.0743249	7.86376	0.284878	29.2155	0.342564	33.7902	0.160974	16.0738	0.424673	44.537
0.0868811	7.85251	0.0147398	1.17201	0.0815868	7.85752	0.285883	26.7616	0.343833	31.0609	0.164728	15.0487	0.425768	40.6773
0.0941069	7.84498	0.0165879	1.22798	0.0888289	7.85056	0.286956	24.7071	0.345233	28.7662	0.168705	14.2031	0.426961	37.4571
0.101308	7.83663	0.0184836	1.28003	0.0960483	7.84282	0.288092	22.9629	0.346766	26.8124	0.172887	13.4966	0.42825	34.7313
0.108482	7.82742	0.0204195	1.32839	0.103242	7.83424	0.289288	21.4642	0.348436	25.1311	0.177258	12.8995	0.429633	32.3956
0.115624	7.81725	0.0223891	1.37328	0.110408	7.82477	0.290539	20.1632	0.350246	23.671	0.181802	12.3901	0.431109	30.3731
0.122732	7.80608	0.0243872	1.41498	0.117541	7.81435	0.291843	19.0236	0.352199	22.3929	0.186504	11.9517	0.432676	28.6058
0.1298	7.79381	0.026409	1.4537	0.124639	7.80289	0.293197	18.0177	0.354295	21.2665	0.191352	11.5715	0.434333	27.0492
0.136825	7.78036	0.0281868	1.48518	0.131696	7.79031	0.2946	17.1235	0.356538	20.2676	0.196333	11.2394	0.436079	25.6685
0.143801	7.76561	0.0297123	1.51048	0.138708	7.77652	0.296052	16.3239	0.358927	19.3772	0.201436	10.9477	0.43791	24.4362
