Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
476  Points		491  Points		476  Points		241  Points		401  Points		131  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00390855	8.9245	0.000363915	0.545142	0.00233077	8.9248	0.279559	0.220473	0.139762	0.367742	0.419269	0.11811
0.0122235	8.92307	0.000871821	0.655926	0.010646	8.92355	0.279764	0.304524	0.140105	0.638443	0.419379	0.192955
0.0205357	8.91924	0.00158616	0.870064	0.0189588	8.92011	0.280126	0.471131	0.140952	1.17406	0.419628	0.342416
0.0288435	8.91341	0.00249309	1.06814	0.0272676	8.9147	0.280642	0.634202	0.142292	1.69502	0.420017	0.491339
0.0371449	8.90549	0.00357652	1.24823	0.0355704	8.90716	0.281308	0.792399	0.14411	2.19575	0.420544	0.639624
0.0454379	8.89543	0.00481903	1.40926	0.0438651	8.89751	0.282119	0.944585	0.146384	2.672	0.421208	0.786999
0.0537205	8.88307	0.00620253	1.55115	0.0521499	8.88561	0.283068	1.08966	0.149089	3.12067	0.42201	0.933215
0.0619905	8.86825	0.00770944	1.67461	0.0604225	8.87125	0.284149	1.2265	0.152199	3.53995	0.422947	1.07814
0.0702455	8.85083	0.00932298	1.78075	0.0686805	8.85433	0.285354	1.35437	0.155685	3.92911	0.424019	1.22157
0.0784831	8.83057	0.0110277	1.87107	0.0769216	8.83463	0.286673	1.47247	0.15952	4.28825	0.425224	1.36334
0.0867003	8.80711	0.0128095	1.94721	0.0851429	8.81184	0.288098	1.58023	0.163676	4.61827	0.42656	1.50319
0.0948941	8.78019	0.0146561	2.01085	0.0933415	8.78561	0.289618	1.67744	0.168126	4.92038	0.428025	1.641
0.103061	8.74949	0.0165565	2.06365	0.101514	8.75562	0.291223	1.7642	0.172845	5.19618	0.429617	1.77667
0.111198	8.71445	0.0185015	2.10715	0.109657	8.72143	0.292905	1.8409	0.177808	5.44741	0.431335	1.90995
0.1193	8.67456	0.020483	2.14273	0.117765	8.6825	0.294654	1.90831	0.182995	5.67588	0.433176	2.04071
0.127362	8.62921	0.0224942	2.17178	0.125835	8.63825	0.296461	1.96777	0.188385	5.88335	0.435138	2.16885
0.135379	8.5776	0.0242667	2.19256	0.133862	8.58792	0.29832	2.02099	0.193958	6.07153	0.437218	2.29426
0.143345	8.51893	0.0257898	2.20732	0.141838	8.53068	0.300227	2.07008	0.199698	6.24209	0.439413	2.41675
0.151253	8.45212	0.0270563	2.21771	0.149758	8.46549	0.302178	2.11758	0.20559	6.39651	0.441721	2.53628
0.159095	8.376	0.0280616	2.22505	0.157613	8.39121	0.304173	2.16636	0.211618	6.53617	0.444139	2.65272
0.166861	8.28916	0.0288029	2.22984	0.165394	8.30652	0.306214	2.21968	0.217769	6.66225	0.446664	2.766
0.174541	8.18996	0.029278	2.23266	0.173091	8.20981	0.308309	2.28084	0.224032	6.776	0.449293	2.8761
0.182122	8.0766	0.0299621	2.23649	0.180692	8.09929	0.310465	2.35342	0.230395	6.87839	0.452023	2.98285
0.189591	7.947	0.030707	2.24024	0.188183	7.97295	0.312694	2.44101	0.236849	6.97031	0.454851	3.08628
0.196931	7.79891	0.0317219	2.24489	0.195549	7.82853	0.315013	2.5472	0.243384	7.05264	0.457774	3.18634
0.204123	7.62988	0.0330083	2.24997	0.202771	7.66368	0.317441	2.67551	0.249991	7.12603	0.460789	3.28297
0.211148	7.43749	0.0345674	2.25506	0.209829	7.47593	0.319999	2.82914	0.256662	7.19115	0.463892	3.37618
0.217982	7.21949	0.0364005	2.25981	0.216701	7.26288	0.322712	3.01086	0.263391	7.24859	0.46708	3.46593
0.224601	6.97399	0.0385082	2.26394	0.223363	7.02274	0.325609	3.22269	0.270169	7.29879	0.47035	3.55226
0.230977	6.7	0.0406191	2.26689	0.229787	6.7542	0.328718	3.4656	0.276991	7.34213	0.473699	3.6352
0.237085	6.39775	0.0427323	2.26884	0.235948	6.45721	0.332067	3.73893	0.283851	7.37909	0.477124	3.71473
0.242899	6.06902	0.0448469	2.27007	0.24182	6.13328	0.335685	4.04024	0.290741	7.40995	0.480621	3.79095
