Sym0		Asym0		Sym1		Sym2		Asym1		Asym2	
476  Points		491  Points		476  Points		241  Points		401  Points		131  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.00390855	8.92538	0.000363915	0.216465	0.00233077	8.92547	0.279559	376.191	0.139762	865.763	0.419269	1560.52
0.0122235	8.92478	0.000871821	0.333664	0.010646	8.92494	0.279764	167.041	0.140105	128.169	0.419379	349.375
0.0205357	8.92351	0.00158616	0.447491	0.0189588	8.92379	0.280126	107.471	0.140952	69.6118	0.419628	196.818
0.0288435	8.92159	0.00249309	0.556959	0.0272676	8.922	0.280642	79.3175	0.142292	48.1283	0.420017	137.092
0.0371449	8.91899	0.00357652	0.661345	0.0355704	8.91954	0.281308	62.9337	0.14411	37.0633	0.420544	105.256
0.0454379	8.9157	0.00481903	0.760142	0.0438651	8.91638	0.282119	52.2287	0.146384	30.3707	0.421208	85.4873
0.0537205	8.91171	0.00620253	0.853011	0.0521499	8.91253	0.283068	44.6952	0.149089	25.9213	0.42201	72.0296
0.0619905	8.90697	0.00770944	0.939827	0.0604225	8.90793	0.284149	39.1121	0.152199	22.773	0.422947	62.2848
0.0702455	8.90145	0.00932298	1.02061	0.0686805	8.90256	0.285354	34.8133	0.155685	20.4446	0.424019	54.9089
0.0784831	8.89511	0.0110277	1.09549	0.0769216	8.89638	0.286673	31.4046	0.15952	18.6646	0.425224	49.1365
0.0867003	8.88791	0.0128095	1.1647	0.0851429	8.88934	0.288098	28.6377	0.163676	17.2683	0.42656	44.4999
0.0948941	8.87977	0.0146561	1.22852	0.0933415	8.88139	0.289618	26.3486	0.168126	16.1503	0.428025	40.6971
0.103061	8.87063	0.0165565	1.28729	0.101514	8.87245	0.291223	24.4244	0.172845	15.2396	0.429617	37.5244
0.111198	8.86042	0.0185015	1.34135	0.109657	8.86245	0.292905	22.785	0.177808	14.4872	0.431335	34.8393
0.1193	8.84905	0.020483	1.39104	0.117765	8.8513	0.294654	21.3721	0.182995	13.8579	0.433176	32.5393
0.127362	8.83639	0.0224942	1.43672	0.125835	8.8389	0.296461	20.142	0.188385	13.3258	0.435138	30.5487
0.135379	8.82235	0.0242667	1.47352	0.133862	8.82513	0.29832	19.0617	0.193958	12.8717	0.437218	28.8102
0.143345	8.80677	0.0257898	1.50285	0.141838	8.80985	0.300227	18.1056	0.199698	12.481	0.439413	27.2801
0.151253	8.78949	0.0270563	1.52576	0.149758	8.79291	0.302178	17.2538	0.20559	12.1421	0.441721	25.9238
0.159095	8.77034	0.0280616	1.54308	0.157613	8.77413	0.304173	16.4905	0.211618	11.8463	0.444139	24.7144
0.166861	8.74909	0.0288029	1.55538	0.165394	8.7533	0.306214	15.803	0.217769	11.5863	0.446664	23.6298
0.174541	8.72551	0.029278	1.56306	0.173091	8.73018	0.308309	15.1811	0.224032	11.3566	0.449293	22.6524
0.182122	8.69933	0.0299621	1.57386	0.180692	8.70451	0.310465	14.6167	0.230395	11.1525	0.452023	21.7675
0.189591	8.67022	0.030707	1.58528	0.188183	8.67598	0.312694	14.103	0.236849	10.9701	0.454851	20.9632
0.196931	8.63784	0.0317219	1.60029	0.195549	8.64425	0.315013	13.6347	0.243384	10.8064	0.457774	20.2292
0.204123	8.6018	0.0330083	1.61845	0.202771	8.60894	0.317441	13.2072	0.249991	10.6589	0.460789	19.5572
0.211148	8.56168	0.0345674	1.63927	0.209829	8.56963	0.319999	12.8168	0.256662	10.5252	0.463892	18.94
0.217982	8.51703	0.0364005	1.6622	0.216701	8.52587	0.322712	12.4605	0.263391	10.4036	0.46708	18.3713
0.224601	8.46739	0.0385082	1.68669	0.223363	8.47721	0.325609	12.1357	0.270169	10.2926	0.47035	17.846
0.230977	8.41231	0.0406191	1.70939	0.229787	8.4232	0.328718	11.8404	0.276991	10.1908	0.473699	17.3594
0.237085	8.35138	0.0427323	1.73047	0.235948	8.36341	0.332067	11.5727	0.283851	10.097	0.477124	16.9076
0.242899	8.28428	0.0448469	1.75007	0.24182	8.2975	0.335685	11.3309	0.290741	10.0104	0.480621	16.4872
