Sym0		Asym0		Sym1		Sym2		Asym1	
474  Points		490  Points		474  Points		224  Points		396  Points	
Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)	Freq (MHz)	Vgr (m/ms)
0.00214832	9.60869	0.000660192	0.715376	0.00798507	9.60722	0.27951	0.129342	0.139845	0.664515
0.0111007	9.60732	0.0013267	0.82845	0.0169361	9.6051	0.27963	0.235326	0.140464	0.974108
0.0200505	9.6035	0.00220392	1.04477	0.0258831	9.59976	0.279948	0.445902	0.14166	1.58414
0.0289958	9.5974	0.00327353	1.24048	0.0348242	9.59217	0.280461	0.652823	0.143416	2.17241
0.0379342	9.58894	0.00451542	1.41422	0.0437571	9.58211	0.281165	0.854407	0.145708	2.73261
0.0468637	9.57802	0.00590878	1.56586	0.0526794	9.56947	0.282053	1.04898	0.148508	3.26005
0.0557818	9.56446	0.00743322	1.6962	0.0615887	9.55413	0.283119	1.23489	0.151783	3.75193
0.064686	9.54811	0.00906945	1.80673	0.0704825	9.53585	0.284354	1.41062	0.155499	4.20694
0.0735736	9.52873	0.0107999	1.89933	0.0793577	9.51429	0.285748	1.57474	0.159622	4.62507
0.0824417	9.50594	0.0126086	1.97614	0.0882113	9.48911	0.287289	1.72588	0.164118	5.00723
0.0912869	9.47947	0.0144822	2.03922	0.0970396	9.46	0.288964	1.863	0.168953	5.35509
0.100106	9.44887	0.0164085	2.09053	0.105839	9.42647	0.29076	1.98534	0.174096	5.67076
0.108894	9.41361	0.0183777	2.132	0.114605	9.38788	0.292663	2.09239	0.17952	5.95639
0.117647	9.37312	0.0203813	2.16534	0.123332	9.34353	0.294659	2.18426	0.185196	6.21441
0.12636	9.32662	0.0221498	2.18884	0.132015	9.29262	0.296733	2.26171	0.1911	6.4472
0.135026	9.27326	0.023671	2.20538	0.140648	9.23424	0.298873	2.32601	0.197209	6.65689
0.143639	9.21194	0.0249367	2.21694	0.149222	9.16713	0.301068	2.37925	0.203504	6.84562
0.152192	9.14145	0.0259419	2.22475	0.15773	9.08989	0.303307	2.42434	0.209965	7.01529
0.160673	9.06032	0.0266831	2.22998	0.16616	9.0009	0.305585	2.46488	0.216576	7.16765
0.169074	8.96682	0.0271583	2.23311	0.174502	8.89819	0.3079	2.50515	0.223321	7.30427
0.177382	8.85886	0.0278426	2.23721	0.182741	8.77951	0.310253	2.54996	0.230187	7.42657
0.185582	8.73398	0.0285877	2.24122	0.190862	8.6422	0.312652	2.60449	0.23716	7.53582
0.193657	8.58946	0.0296031	2.246	0.198845	8.48321	0.315106	2.67415	0.244229	7.6331
0.201587	8.42223	0.0308902	2.25127	0.206669	8.29935	0.317634	2.76439	0.251383	7.71947
0.209351	8.22891	0.0324503	2.25649	0.21431	8.08719	0.320258	2.88058	0.258613	7.79569
0.216921	8.00603	0.0342846	2.26124	0.221739	7.84327	0.323002	3.02777	0.26591	7.86251
0.224269	7.75034	0.0363935	2.26518	0.228925	7.56469	0.325899	3.21052	0.273264	7.9207
0.231363	7.4592	0.0385055	2.26792	0.235835	7.24958	0.328985	3.43233	0.280669	7.97073
0.238169	7.13121	0.0406196	2.26966	0.242434	6.89769	0.332295	3.69518	0.288117	8.01307
0.244651	6.76696	0.0427348	2.27053	0.248688	6.51126	0.33587	3.99911	0.295601	8.04817
0.250778	6.36958	0.0448504	2.27081	0.254567	6.09553	0.339747	4.34123	0.303114	8.07633
0.25652	5.94535	0.0469662	2.27066	0.260046	5.65863	0.34396	4.71553	0.31065	8.09779
0.261857	5.50347	0.0490816	2.27019	0.265111	5.21124	0.348534	5.11293	0.318203	8.1128
0.266775	5.05534	0.0511964	2.2694	0.269757	4.7656	0.353487	5.5219	0.325767	8.12151
0.271277	4.61311	0.0533104	2.26842	0.273991	4.33353	0.358823	5.92988	0.333337	8.12397
0.275371	4.18826	0.0554234	2.26734	0.277832	3.92518	0.364537	6.32486	0.340905	8.12027
0.279081	3.79016	0.0575353	2.26615	0.281305	3.54816	0.370609	6.69682	0.348468	8.11037
0.282434	3.42513	0.0596461	2.26489	0.284444	3.20676	0.377015	7.0385	0.356018	8.09424
0.285463	3.09667	0.0617557	2.26364	0.287281	2.90262	0.383725	7.34576	0.363551	8.07179
0.288204	2.80544	0.0638641	2.26239	0.289852	2.63434	0.390703	7.61728	0.371059	8.04294
0.290691	2.55016	0.0659714	2.26114	0.291902	2.4282	0.397919	7.85373	0.378538	8.00741
0.292956	2.32824	0.0680775	2.25993	0.293526	2.27176	0.405338	8.05724	0.38598	7.965
0.295029	2.13644	0.0701825	2.25878	0.294791	2.15471	0.412932	8.23077	0.39338	7.91555
0.296937	1.97131	0.0722865	2.25762	0.295746	2.06953	0.420675	8.37745	0.40073	7.85878
0.298703	1.82942	0.0743893	2.25648	0.296425	2.01085	0.428543	8.50043	0.408024	7.7943
0.300346	1.70767	0.0764912	2.25544	0.296849	1.97508	0.436515	8.60271	0.415254	7.72187
0.301885	1.60324	0.0785921	2.25441	0.297446	1.92605	0.444573	8.68677	0.422412	7.64119
0.303334	1.51363	0.080692	2.25345	0.298078	1.87551	0.452702	8.75498	0.429492	7.5519
0.304705	1.43665	0.0827912	2.25254	0.298912	1.81103	0.460887	8.80931	0.436485	7.45373
0.306011	1.37059	0.0848894	2.25164	0.299926	1.73619	0.469117	8.85133	0.443381	7.34646
0.307259	1.31389	0.0869868	2.25082	0.301098	1.65455	0.47738	8.8824	0.450174	7.22985
0.308459	1.26519	0.0890836	2.25005	0.302404	1.56978	0.485668	8.90367	0.456853	7.10384
0.309617	1.22336	0.0911796	2.2493	0.303825	1.48518	0.493971	8.91604	0.463411	6.96836
0.310739	1.18746	0.0932749	2.24859	0.305172	1.41226	0.502282	8.92027	0.469838	6.82352
0.311829	1.15674	0.0953696	2.24791	0.306456	1.34966	0.510593	8.91693	0.476126	6.66963
0.312894	1.13055	0.0974636	2.24727	0.307687	1.29587	0.518898	8.90652	0.482266	6.50702
0.313936	1.10818	0.0995571	2.24666	0.308871	1.24971	0.52719	8.88944	0.488251	6.33634
0.314959	1.08923	0.10165	2.24606	0.310015	1.21012	0.535462	8.8659	0.494073	6.15832
0.315966	1.07331	0.103742	2.24555	0.311126	1.17611	0.54371	8.83625	0.499726	5.97394
0.316959	1.05999	0.105834	2.24507	0.312207	1.14702	0.551928	8.80068	0.505205	5.78426
0.317941	1.04895	0.107926	2.24457	0.313263	1.12226	0.560109	8.7592	0.510505	5.59044
0.318914	1.03999	0.110017	2.2441	0.314298	1.10117	0.56825	8.71206	0.515622	5.39394
0.319879	1.03283	0.112107	2.24365	0.315315	1.08329	0.576343	8.65931	0.520556	5.19606
