Sym0		Asym0		Sym1		Sym2		Asym1	
473  Points		491  Points		473  Points		209  Points		390  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.000901711	9.51402	0.000281272	0.196591	0.00586735	9.5142	0.279542	524.047	0.139962	176.745
0.00976573	9.51388	0.000760587	0.321949	0.0147303	9.51329	0.279758	190.945	0.140737	81.6537
0.0186275	9.5127	0.00146117	0.443568	0.0235898	9.51168	0.280174	116.894	0.142073	53.5059
0.0274847	9.51073	0.00236779	0.560313	0.0324437	9.50931	0.280788	84.3584	0.143953	40.1321
0.0363355	9.50803	0.00346223	0.671295	0.0412897	9.50616	0.281595	66.0989	0.146351	32.3881
0.0451774	9.50452	0.00472445	0.77587	0.0501257	9.5022	0.28259	54.429	0.149239	27.3815
0.0540081	9.5002	0.00613418	0.8737	0.0589491	9.49741	0.283766	46.3398	0.152586	23.9085
0.0628251	9.49502	0.00767146	0.964646	0.0677573	9.49174	0.285116	40.4116	0.156357	21.3784
0.0716258	9.48895	0.00931753	1.04876	0.0765475	9.48515	0.28663	35.8871	0.160519	19.4675
0.0804073	9.48195	0.0110554	1.12626	0.0853168	9.47759	0.288298	32.3252	0.165038	17.9836
0.0891662	9.47395	0.0128696	1.19742	0.0940617	9.469	0.29011	29.4517	0.169885	16.8056
0.0978993	9.46488	0.014747	1.26265	0.102779	9.4593	0.292054	27.087	0.175028	15.8532
0.106603	9.45467	0.0166761	1.32233	0.111463	9.44841	0.294117	25.1087	0.180439	15.0715
0.115272	9.44322	0.018647	1.3769	0.120111	9.43623	0.296288	23.4304	0.186094	14.4215
0.123902	9.43043	0.0206518	1.42677	0.128717	9.42263	0.298553	21.9894	0.191968	13.8749
0.132487	9.41617	0.022421	1.46673	0.137275	9.40748	0.300902	20.7392	0.198041	13.4107
0.141022	9.4003	0.0239426	1.49842	0.145779	9.39064	0.303322	19.6445	0.204291	13.013
0.149499	9.38265	0.0252085	1.5231	0.15422	9.37192	0.305805	18.6782	0.210703	12.6695
0.15791	9.36304	0.0262137	1.54168	0.16259	9.35111	0.308343	17.8192	0.217259	12.3707
0.166246	9.34124	0.026955	1.55485	0.170878	9.32798	0.310932	17.0508	0.223944	12.109
0.174495	9.31701	0.0274303	1.56306	0.179074	9.30226	0.313572	16.3597	0.230746	11.8783
0.182646	9.29005	0.0281146	1.57459	0.187163	9.27364	0.316263	15.7352	0.237652	11.6739
0.190683	9.26004	0.0288598	1.58675	0.19513	9.24176	0.319014	15.169	0.244651	11.4918
0.198591	9.22661	0.0298752	1.6027	0.202958	9.20623	0.321836	14.6539	0.251732	11.3286
0.206351	9.18934	0.0311622	1.62195	0.210625	9.16662	0.324744	14.1846	0.258887	11.1818
0.213941	9.14779	0.0327224	1.64393	0.218109	9.12245	0.327759	13.7565	0.266106	11.0489
0.221337	9.10145	0.0345567	1.66805	0.225386	9.07322	0.330907	13.3659	0.273381	10.9283
0.228513	9.04982	0.0366657	1.69368	0.232426	9.01839	0.334216	13.01	0.280706	10.8182
0.235441	8.99238	0.0387777	1.71733	0.239202	8.95748	0.337716	12.6861	0.288072	10.7172
0.242091	8.92865	0.0408918	1.7392	0.245684	8.89004	0.341441	12.3923	0.295473	10.6243
0.248434	8.85821	0.0430072	1.75945	0.251843	8.81571	0.345422	12.1268	0.302903	10.5384
0.254443	8.78077	0.0451231	1.77823	0.257655	8.73429	0.349689	11.8877	0.310356	10.4587
0.260096	8.69623	0.0472391	1.79569	0.263099	8.64578	0.354265	11.6736	0.317826	10.3844
0.265374	8.60467	0.0493548	1.81194	0.268164	8.55043	0.359169	11.4826	0.325307	10.3148
0.27027	8.50643	0.0514699	1.82709	0.272845	8.44869	0.364409	11.3131	0.332794	10.2494
0.274783	8.4021	0.0535842	1.84125	0.277147	8.34127	0.369982	11.1633	0.340281	10.1877
0.278923	8.29244	0.0556975	1.85449	0.281085	8.22902	0.375881	11.0312	0.347763	10.1291
0.282706	8.17838	0.0578098	1.86691	0.284678	8.11293	0.382086	10.9148	0.355234	10.0734
0.286156	8.06092	0.0599209	1.87857	0.287953	7.99402	0.388576	10.8124	0.36269	10.0201
0.2893	7.94107	0.062031	1.88952	0.29057	7.88885	0.395323	10.7222	0.370124	9.96886
0.292168	7.8198	0.0641399	1.89985	0.292642	7.79857	0.402301	10.6425	0.377531	9.91945
0.294789	7.69798	0.0662476	1.90958	0.294254	7.72372	0.409481	10.5719	0.384906	9.87156
0.29719	7.57637	0.0683541	1.91877	0.295468	7.66455	0.416837	10.509	0.392242	9.82494
0.2994	7.45561	0.0704596	1.92746	0.296329	7.6211	0.424344	10.4528	0.399533	9.77936
0.301442	7.33625	0.0725639	1.93569	0.296867	7.59333	0.431981	10.4022	0.406774	9.73459
0.303337	7.21869	0.0746672	1.94349	0.297621	7.55349	0.439726	10.3563	0.413958	9.69044
0.305105	7.10327	0.0767695	1.9509	0.298419	7.51031	0.447562	10.3145	0.421078	9.64672
0.306762	6.99023	0.0788708	1.95795	0.299467	7.45182	0.455473	10.2762	0.428127	9.60323
0.308324	6.87974	0.0809711	1.96465	0.300737	7.37833	0.463446	10.2408	0.435099	9.55982
0.309801	6.77194	0.0830707	1.97103	0.302195	7.29031	0.471467	10.2079	0.441985	9.51632
0.311207	6.66688	0.0851694	1.97712	0.303808	7.18844	0.479525	10.1771	0.448779	9.47258
0.31255	6.56462	0.0872672	1.98293	0.305546	7.07362	0.487611	10.148	0.455473	9.42845
0.313838	6.46516	0.0893643	1.98849	0.307177	6.96123	0.495716	10.1205	0.462059	9.38381
0.315078	6.36849	0.0914607	1.9938	0.308716	6.85143	0.503831	10.0941	0.46853	9.33853
0.316278	6.27457	0.0935564	1.99888	0.310174	6.74434	0.511949	10.0688	0.474878	9.29249
0.317441	6.18336	0.0956515	2.00376	0.311562	6.64001	0.520063	10.0443	0.481096	9.2456
0.318574	6.09481	0.0977459	2.00843	0.31289	6.53848	0.528166	10.0205	0.487176	9.19776
0.31968	6.00886	0.0998397	2.01292	0.314165	6.43974	0.536254	9.99726	0.493112	9.14891
0.320763	5.92544	0.101933	2.01723	0.315394	6.34379	0.544319	9.97437	0.498899	9.09898
0.321825	5.84448	0.104026	2.02138	0.316584	6.25058	0.552357	9.95176	0.504529	9.04792
0.322871	5.76591	0.106118	2.02537	0.317739	6.16007	0.560362	9.92932	0.51	8.99572
